spu_filename,DateTime,Site,FileNum,Date,Integration_ms,Temp,Remarks,Type
2019-06-02_TEST_00000.spu,2019-06-02T18:31:44Z,LAB2,0,2019-06-02,50,25.376,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=DARKscan""",Darkscan
2019-06-02_TEST_00001.spu,2019-06-02T18:32:20Z,LAB2,1,2019-06-02,50,26.596,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=DARKscan""",Darkscan
2019-06-02_TEST_00002.spu,2019-06-02T18:36:14Z,LAB2,2,2019-06-02,50,25.376,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\TEST_00001.spu""",NA
2019-06-02_TEST_00003.spu,2019-06-02T18:37:34Z,LAB2,3,2019-06-02,50,25.132,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\TEST_00001.spu""",NA
2019-06-02_TEST_00004.spu,2019-06-02T18:37:42Z,LAB2,4,2019-06-02,50,25.132,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\TEST_00001.spu""",NA
2019-06-02_TEST_00005.spu,2019-06-02T18:37:46Z,LAB2,5,2019-06-02,50,25.132,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\TEST_00001.spu""",NA
2019-06-02_TEST_00006.spu,2019-06-02T18:37:51Z,LAB2,6,2019-06-02,50,25.62,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\TEST_00001.spu""",NA
2019-06-02_TEST_00007.spu,2019-06-02T18:39:28Z,LAB2,7,2019-06-02,50,26.108,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\TEST_00001.spu""",NA
2019-06-02_TEST_00008.spu,2019-06-02T18:39:37Z,LAB2,8,2019-06-02,50,25.376,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\TEST_00001.spu""",NA
2019-06-02_TEST_00009.spu,2019-06-02T18:39:39Z,LAB2,9,2019-06-02,50,25.864,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\TEST_00001.spu""",NA
2019-06-02_TEST_00010.spu,2019-06-02T18:39:41Z,LAB2,10,2019-06-02,50,24.644,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\TEST_00001.spu""",NA
2019-06-02_TEST_00011.spu,2019-06-02T18:39:44Z,LAB2,11,2019-06-02,50,24.644,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\TEST_00001.spu""",NA
2019-06-02_TEST_00012.spu,2019-06-02T18:40:27Z,LAB2,12,2019-06-02,50,24.4,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\TEST_00001.spu""",NA
2019-06-02_TEST_00013.spu,2019-06-02T18:41:01Z,LAB2,13,2019-06-02,50,25.62,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\TEST_00001.spu""",NA
2019-06-02_TEST_00014.spu,2019-06-02T18:41:02Z,LAB2,14,2019-06-02,50,24.888,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\TEST_00001.spu""",NA
2019-06-02_TEST_00015.spu,2019-06-02T18:41:05Z,LAB2,15,2019-06-02,50,24.4,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\TEST_00001.spu""",NA
2019-06-02_TEST_00016.spu,2019-06-02T18:41:08Z,LAB2,16,2019-06-02,50,24.4,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\TEST_00001.spu""",NA
2019-06-02_TEST_00017.spu,2019-06-02T18:42:12Z,LAB2,17,2019-06-02,50,24.644,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\TEST_00001.spu""",NA
2019-06-02_TEST_00018.spu,2019-06-02T18:42:14Z,LAB2,18,2019-06-02,50,25.376,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\TEST_00001.spu""",NA
2019-06-02_TEST_00019.spu,2019-06-02T18:42:18Z,LAB2,19,2019-06-02,50,24.156,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\TEST_00001.spu""",NA
2019-06-02_TEST_00020.spu,2019-06-02T18:42:24Z,LAB2,20,2019-06-02,50,24.644,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\TEST_00001.spu""",NA
2019-06-02_TEST_00021.spu,2019-06-02T18:42:26Z,LAB2,21,2019-06-02,50,24.156,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\TEST_00001.spu""",NA
2019-06-02_MAT_00000.spu,2019-06-02T19:19:10Z,MAT,0,2019-06-02,50,21.96,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=DARKscan""",Darkscan
2019-06-02_MAT_00001.spu,2019-06-02T19:22:34Z,MAT,1,2019-06-02,50,23.18,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\MAT_00000.spu""",NA
2019-06-02_MAT_00002.spu,2019-06-02T19:22:44Z,MAT,2,2019-06-02,50,22.448,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\MAT_00000.spu""",NA
2019-06-02_MAT_00003.spu,2019-06-02T19:22:54Z,MAT,3,2019-06-02,50,21.96,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\MAT_00000.spu""",NA
2019-06-02_MAT_00004.spu,2019-06-02T19:23:01Z,MAT,4,2019-06-02,50,22.692,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\MAT_00000.spu""",NA
2019-06-02_MAT_00005.spu,2019-06-02T19:23:13Z,MAT,5,2019-06-02,50,22.692,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\MAT_00000.spu""",NA
2019-06-02_MAT_00006.spu,2019-06-02T19:24:53Z,MAT,6,2019-06-02,50,22.448,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\MAT_00000.spu""",NA
2019-06-02_MAT_00007.spu,2019-06-02T19:25:10Z,MAT,7,2019-06-02,50,22.448,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\MAT_00000.spu""",NA
2019-06-02_MAT_00008.spu,2019-06-02T19:25:24Z,MAT,8,2019-06-02,50,22.448,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\MAT_00000.spu""",NA
2019-06-02_MAT_00009.spu,2019-06-02T19:25:37Z,MAT,9,2019-06-02,50,22.936,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\MAT_00000.spu""",NA
2019-06-02_MAT_00010.spu,2019-06-02T19:25:50Z,MAT,10,2019-06-02,50,23.18,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\MAT_00000.spu""",NA
2019-06-02_MAT_00011.spu,2019-06-02T19:26:24Z,MAT,11,2019-06-02,50,22.448,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\MAT_00000.spu""",NA
2019-06-02_MAT_00012.spu,2019-06-02T19:26:34Z,MAT,12,2019-06-02,50,23.18,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\MAT_00000.spu""",NA
2019-06-02_MAT_00013.spu,2019-06-02T19:26:44Z,MAT,13,2019-06-02,50,23.18,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\MAT_00000.spu""",NA
2019-06-02_MAT_00014.spu,2019-06-02T19:26:55Z,MAT,14,2019-06-02,50,22.448,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\MAT_00000.spu""",NA
2019-06-02_MAT_00015.spu,2019-06-02T19:27:05Z,MAT,15,2019-06-02,50,23.912,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\MAT_00000.spu""",NA
2019-06-02_MAT_00016.spu,2019-06-02T19:27:42Z,MAT,16,2019-06-02,50,22.692,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\MAT_00000.spu""",NA
2019-06-02_MAT_00017.spu,2019-06-02T19:27:53Z,MAT,17,2019-06-02,50,23.912,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\MAT_00000.spu""",NA
2019-06-02_MAT_00018.spu,2019-06-02T19:28:03Z,MAT,18,2019-06-02,50,23.912,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\MAT_00000.spu""",NA
