"","Research_location","Date","Time","Site.x","Block","Treatment","Weather","Spufilename.x","REP","NDVI(MODIS)","EVI(MODIS)","EVI2(MODIS)","PRI(550Reference)","PRI(570Ref)","WBI","ChlIndex","FileNum.x","Process_file","key_num.x","key","Site.y","FileNum.y","DateTime","Integration_ms","Temp","Remarks","Spufilename.y","Spu_filename","ReflecMean","ReflecSERR","ChAmax","ChBmax","Number_ChAmax","key_num.y","Type"
"1","Toolik",2016-05-27,"0.41666666666666669","HIST",NA,"REF1","Overcast skies","may27hist00005.spu",NA,NA,NA,NA,NA,NA,NA,NA,5,"C:\Users\jiml\Documents\Unispec\UnispecData\2016\Processed Data/HIST_2016-05-27_CTNP.xlsx","00005","2016-05-27_HIST00005","HIST",5,2016-05-27 14:50:56,70,17.568,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\libbytest\MAY27HIST00002.spu""","may27hist00005.spu","C:\Users\jiml\Documents\Unispec\UnispecData\2016\Raw Data/HIST_2016-05-27_CTNP/MAY27HIST00005.spu",1.54514848572157,0.0182993253215354,46642,65287.1,0,"00005","Reference_scan"
"2","Toolik",2016-05-27,"0.41666666666666669","HIST",NA,"REF1","Overcast skies","may27hist00006.spu",NA,NA,NA,NA,NA,NA,NA,NA,6,"C:\Users\jiml\Documents\Unispec\UnispecData\2016\Processed Data/HIST_2016-05-27_CTNP.xlsx","00006","2016-05-27_HIST00006","HIST",6,2016-05-27 14:51:01,70,17.568,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\libbytest\MAY27HIST00002.spu""","may27hist00006.spu","C:\Users\jiml\Documents\Unispec\UnispecData\2016\Raw Data/HIST_2016-05-27_CTNP/MAY27HIST00006.spu",1.54441420256522,0.0181338849190573,46615,65287.1,0,"00006","Reference_scan"
"3","Toolik",2016-05-27,"0.41666666666666669","HIST",NA,"REF1","Overcast skies","may27hist00007.spu",NA,NA,NA,NA,NA,NA,NA,NA,7,"C:\Users\jiml\Documents\Unispec\UnispecData\2016\Processed Data/HIST_2016-05-27_CTNP.xlsx","00007","2016-05-27_HIST00007","HIST",7,2016-05-27 14:51:06,70,17.568,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\libbytest\MAY27HIST00002.spu""","may27hist00007.spu","C:\Users\jiml\Documents\Unispec\UnispecData\2016\Raw Data/HIST_2016-05-27_CTNP/MAY27HIST00007.spu",1.55418963890154,0.0185116384582721,46571,65287.1,0,"00007","Reference_scan"
"4","Toolik",2016-05-27,"0.41666666666666669","HIST","1","CT",NA,"may27hist00016.spu","4","0.52864314840293425","0.42810327091627071","0.3591398817681295","7.3516043996000396E-2","8.4429073514715278E-2","0.9998501705411782","0.21107673168266342",16,"C:\Users\jiml\Documents\Unispec\UnispecData\2016\Processed Data/HIST_2016-05-27_CTNP.xlsx","00016","2016-05-27_HIST00016","HIST",16,2016-05-27 14:53:42,70,17.08,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\libbytest\MAY27HIST00002.spu""","may27hist00016.spu","C:\Users\jiml\Documents\Unispec\UnispecData\2016\Raw Data/HIST_2016-05-27_CTNP/MAY27HIST00016.spu",0.274068021498183,0.0110159206280662,46121,11018.3,0,"00016",""
"5","Toolik",2016-05-27,"0.41666666666666669","HIST","1","CT",NA,"may27hist00017.spu","5","0.53486493647070477","0.44942054960194727","0.3812130326234619","7.82692480057363E-2","9.5780050448153256E-2","1.0050815217391305","0.20494226962952622",17,"C:\Users\jiml\Documents\Unispec\UnispecData\2016\Processed Data/HIST_2016-05-27_CTNP.xlsx","00017","2016-05-27_HIST00017","HIST",17,2016-05-27 14:53:50,70,17.08,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\libbytest\MAY27HIST00002.spu""","may27hist00017.spu","C:\Users\jiml\Documents\Unispec\UnispecData\2016\Raw Data/HIST_2016-05-27_CTNP/MAY27HIST00017.spu",0.290460558850378,0.0120223015010761,46224,11465.3,0,"00017",""
"6","Toolik",2016-05-27,"0.41666666666666669","HIST","1","NP",NA,"may27hist00018.spu","1","0.46290649362329134","0.34061719586085665","0.2772286920394017","5.6787657552173014E-2","6.2314912555989845E-2","1.0055274255338102","0.17175302435903972",18,"C:\Users\jiml\Documents\Unispec\UnispecData\2016\Processed Data/HIST_2016-05-27_CTNP.xlsx","00018","2016-05-27_HIST00018","HIST",18,2016-05-27 14:54:21,70,17.08,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\libbytest\MAY27HIST00002.spu""","may27hist00018.spu","C:\Users\jiml\Documents\Unispec\UnispecData\2016\Raw Data/HIST_2016-05-27_CTNP/MAY27HIST00018.spu",0.231767174895061,0.00756555480281158,46657,8687.2,0,"00018",""
"7","Toolik",2016-05-27,"0.41666666666666669","HIST","1","NP",NA,"may27hist00019.spu","2","0.3205833072959845","0.15860260335281923","0.13426704517855639","4.5778907449946254E-2","4.1806567848660992E-2","0.96222385861561122","8.4485912562065071E-2",19,"C:\Users\jiml\Documents\Unispec\UnispecData\2016\Processed Data/HIST_2016-05-27_CTNP.xlsx","00019","2016-05-27_HIST00019","HIST",19,2016-05-27 14:54:29,70,17.08,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\libbytest\MAY27HIST00002.spu""","may27hist00019.spu","C:\Users\jiml\Documents\Unispec\UnispecData\2016\Raw Data/HIST_2016-05-27_CTNP/MAY27HIST00019.spu",0.149189378450505,0.0029751973058552,46758,5050.1,0,"00019",""
"8","Toolik",2016-05-27,"0.41666666666666669","HIST","1","NP",NA,"may27hist00020.spu","3","0.41371727389566576","0.20787765652034879","0.17833725293053371","5.0096433591579191E-2","5.1600058747694938E-2","1.0001758664353044","0.12996830271146045",20,"C:\Users\jiml\Documents\Unispec\UnispecData\2016\Processed Data/HIST_2016-05-27_CTNP.xlsx","00020","2016-05-27_HIST00020","HIST",20,2016-05-27 14:54:38,70,17.08,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\libbytest\MAY27HIST00002.spu""","may27hist00020.spu","C:\Users\jiml\Documents\Unispec\UnispecData\2016\Raw Data/HIST_2016-05-27_CTNP/MAY27HIST00020.spu",0.148159569902585,0.00415443661955903,46971,5069.4,0,"00020",""
"9","Toolik",2016-05-27,"0.41666666666666669","HIST","1","NP",NA,"may27hist00021.spu","4","0.37739749362458791","0.21832155084299362","0.18457281817736199","5.2109307414380884E-2","5.2332347610416857E-2","0.96678433497873673","0.11156625938743321",21,"C:\Users\jiml\Documents\Unispec\UnispecData\2016\Processed Data/HIST_2016-05-27_CTNP.xlsx","00021","2016-05-27_HIST00021","HIST",21,2016-05-27 14:54:46,70,17.08,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\libbytest\MAY27HIST00002.spu""","may27hist00021.spu","C:\Users\jiml\Documents\Unispec\UnispecData\2016\Raw Data/HIST_2016-05-27_CTNP/MAY27HIST00021.spu",0.179236873974761,0.00464106119588312,47174,6011.4,0,"00021",""
"10","Toolik",2016-05-27,"0.41666666666666669","HIST","1","NP",NA,"may27hist00022.spu","5","0.34560653302391553","0.21317445233606508","0.18539733128589037","5.9707866152768033E-2","6.7928603602381246E-2","0.95923860713720221","9.4402413411751165E-2",22,"C:\Users\jiml\Documents\Unispec\UnispecData\2016\Processed Data/HIST_2016-05-27_CTNP.xlsx","00022","2016-05-27_HIST00022","HIST",22,2016-05-27 14:54:54,70,17.08,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\libbytest\MAY27HIST00002.spu""","may27hist00022.spu","C:\Users\jiml\Documents\Unispec\UnispecData\2016\Raw Data/HIST_2016-05-27_CTNP/MAY27HIST00022.spu",0.204686744335668,0.0052552840564552,47358,6914.9,0,"00022",""
"11","Toolik",2016-05-27,"0.41666666666666669","HIST","1","NP",NA,"may27hist00023.spu","1","0.3590657518159297","0.16321650516935424","0.13948618775044461","4.7430010841145308E-2","4.5634603712104246E-2","1.0088669526665424","0.11471924824770854",23,"C:\Users\jiml\Documents\Unispec\UnispecData\2016\Processed Data/HIST_2016-05-27_CTNP.xlsx","00023","2016-05-27_HIST00023","HIST",23,2016-05-27 14:55:16,70,17.08,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\libbytest\MAY27HIST00002.spu""","may27hist00023.spu","C:\Users\jiml\Documents\Unispec\UnispecData\2016\Raw Data/HIST_2016-05-27_CTNP/MAY27HIST00023.spu",0.133528762702748,0.00297392615436198,47799,4693.5,0,"00023",""
"12","Toolik",2016-05-27,"0.41666666666666669","HIST","1","NP",NA,"may27hist00024.spu","2","0.370134670071671","0.1610125172098657","0.13869334998632249","5.0424804148736575E-2","4.9109267695655115E-2","1.0109051173024888","0.11799435454329983",24,"C:\Users\jiml\Documents\Unispec\UnispecData\2016\Processed Data/HIST_2016-05-27_CTNP.xlsx","00024","2016-05-27_HIST00024","HIST",24,2016-05-27 14:55:26,70,17.08,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\libbytest\MAY27HIST00002.spu""","may27hist00024.spu","C:\Users\jiml\Documents\Unispec\UnispecData\2016\Raw Data/HIST_2016-05-27_CTNP/MAY27HIST00024.spu",0.127052693524545,0.00295143404836499,48036,4503.2,0,"00024",""
"13","Toolik",2016-05-27,"0.41666666666666669","HIST","1","NP",NA,"may27hist00025.spu","3","0.39433173600950339","0.19345069900017514","0.16600076720307994","5.3006856023506424E-2","5.4932165617547039E-2","1.0021712816801227","0.13071229275716562",25,"C:\Users\jiml\Documents\Unispec\UnispecData\2016\Processed Data/HIST_2016-05-27_CTNP.xlsx","00025","2016-05-27_HIST00025","HIST",25,2016-05-27 14:55:33,70,17.08,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\libbytest\MAY27HIST00002.spu""","may27hist00025.spu","C:\Users\jiml\Documents\Unispec\UnispecData\2016\Raw Data/HIST_2016-05-27_CTNP/MAY27HIST00025.spu",0.145897571915283,0.00380381297226947,48210,5328,0,"00025",""
