"","SITE","DATE","BLOCK","EXPERIMENT","SpurFile","Chl Index","EVI (MODIS) ","EVI2 (MODIS)","LAI","NDVI (MODIS)","PRI (550 Reference) ","PRI (570 Ref)","REP","TIME","TREATMENT","WBI","datenumber","LAI (calculated)"
"1","Toolik",2016-05-27,"1","HIST","MAY27HIST00016.spu","0.21107673168266342","0.42810327091627071","0.3591398817681295","0.18605631389588298","0.52864314840293425","7.3516043996000396E-2","8.4429073514715278E-2","4","0.41666666666666669","CT","0.9998501705411782",2016-05-27 10:00:00,NA
"2","Toolik",2016-05-27,"1","HIST","MAY27HIST00017.spu","0.20494226962952622","0.44942054960194727","0.3812130326234619","0.19564677427897273","0.53486493647070477","7.82692480057363E-2","9.5780050448153256E-2","5","0.41666666666666669","CT","1.0050815217391305",2016-05-27 10:00:00,NA
"3","Toolik",2016-05-27,"1","HIST","MAY27HIST00018.spu","0.17175302435903972","0.34061719586085665","0.2772286920394017","0.10939979022314007","0.46290649362329134","5.6787657552173014E-2","6.2314912555989845E-2","1","0.41666666666666669","NP","1.0055274255338102",2016-05-27 10:00:00,NA
"4","Toolik",2016-05-27,"1","HIST","MAY27HIST00019.spu","8.4485912562065071E-2","0.15860260335281923","0.13426704517855639","3.4649371133178175E-2","0.3205833072959845","4.5778907449946254E-2","4.1806567848660992E-2","2","0.41666666666666669","NP","0.96222385861561122",2016-05-27 10:00:00,NA
"5","Toolik",2016-05-27,"1","HIST","MAY27HIST00020.spu","0.12996830271146045","0.20787765652034879","0.17833725293053371","7.3526339218510872E-2","0.41371727389566576","5.0096433591579191E-2","5.1600058747694938E-2","3","0.41666666666666669","NP","1.0001758664353044",2016-05-27 10:00:00,NA
"6","Toolik",2016-05-27,"1","HIST","MAY27HIST00021.spu","0.11156625938743321","0.21832155084299362","0.18457281817736199","5.4830226358390549E-2","0.37739749362458791","5.2109307414380884E-2","5.2332347610416857E-2","4","0.41666666666666669","NP","0.96678433497873673",2016-05-27 10:00:00,NA
"7","Toolik",2016-05-27,"1","HIST","MAY27HIST00022.spu","9.4402413411751165E-2","0.21317445233606508","0.18539733128589037","4.2411718372148959E-2","0.34560653302391553","5.9707866152768033E-2","6.7928603602381246E-2","5","0.41666666666666669","NP","0.95923860713720221",2016-05-27 10:00:00,NA
"8","Toolik",2016-05-27,"1","HIST","MAY27HIST00023.spu","0.11471924824770854","0.16321650516935424","0.13948618775044461","4.7283070218170027E-2","0.3590657518159297","4.7430010841145308E-2","4.5634603712104246E-2","1","0.41666666666666669","NP","1.0088669526665424",2016-05-27 10:00:00,NA
"9","Toolik",2016-05-27,"1","HIST","MAY27HIST00024.spu","0.11799435454329983","0.1610125172098657","0.13869334998632249","5.1705820132108164E-2","0.370134670071671","5.0424804148736575E-2","4.9109267695655115E-2","2","0.41666666666666669","NP","1.0109051173024888",2016-05-27 10:00:00,NA
"10","Toolik",2016-05-27,"1","HIST","MAY27HIST00025.spu","0.13071229275716562","0.19345069900017514","0.16600076720307994","6.2868265166399373E-2","0.39433173600950339","5.3006856023506424E-2","5.4932165617547039E-2","3","0.41666666666666669","NP","1.0021712816801227",2016-05-27 10:00:00,NA
"11","Toolik",2016-05-27,"1","HIST","MAY27HIST00008.spu","0.11732074604732769","0.28091112204064739","0.2449215166963945","4.2440196974790095E-2","0.34568962652549129","6.421376766639976E-2","7.5455507884326062E-2","1","0.41666666666666669","CT","0.96958118015353267",2016-05-27 10:00:00,NA
"12","Toolik",2016-05-27,"1","HIST","MAY27HIST00026.spu","0.15821143272123667","0.23841368189943288","0.20605979560515791","9.8982601077168608E-2","0.45051961959405157","5.9579122225602944E-2","6.7295223026042142E-2","4","0.41666666666666669","NP","1.0199632530915812",2016-05-27 10:00:00,NA
"13","Toolik",2016-05-27,"1","HIST","MAY27HIST00027.spu","0.10937792037879257","0.21325398096142731","0.18286051819631186","5.4149809908511912E-2","0.37585172845177089","5.4853881519843516E-2","5.9698746089745236E-2","5","0.41666666666666669","NP","0.96483270821431233",2016-05-27 10:00:00,NA
"14","Toolik",2016-05-27,"2","HIST","MAY27HIST00028.spu","0.25867124852706702","0.57692495154272327","0.46498240866160845","0.32408216196385503","0.59733924525277771","8.2846544615953602E-2","9.4017461383478856E-2","1","0.41666666666666669","CT","1.0070466571605881",2016-05-27 10:00:00,NA
"15","Toolik",2016-05-27,"2","HIST","MAY27HIST00029.spu","0.18334042827781619","0.42462965523175278","0.36079239049980627","0.12900212234119932","0.48330928678759855","7.5707585815954603E-2","8.8806325284109505E-2","2","0.41666666666666669","CT","0.99573375995733759",2016-05-27 10:00:00,NA
"16","Toolik",2016-05-27,"2","HIST","MAY27HIST00030.spu","0.2356944904570423","0.48989888517357977","0.40703030744208663","0.22134154341882234","0.55013994390560772","7.7863135984206411E-2","9.0904282888543395E-2","3","0.41666666666666669","CT","0.99737710487976894",2016-05-27 10:00:00,NA
"17","Toolik",2016-05-27,"2","HIST","MAY27HIST00031.spu","0.19843733993175675","0.43669526566297712","0.3651770436082622","0.14034240118172536","0.49373924147359405","7.2047559589258126E-2","8.6400499064254552E-2","4","0.41666666666666669","CT","0.98070224719101129",2016-05-27 10:00:00,NA
"18","Toolik",2016-05-27,"2","HIST","MAY27HIST00032.spu","0.22357517233691448","0.48101934511961525","0.40505638134620775","0.21881327405193818","0.54871783558342957","8.1862151037743025E-2","9.9075452899521105E-2","5","0.41666666666666669","CT","0.99920083731625708",2016-05-27 10:00:00,NA
"19","Toolik",2016-05-27,"2","HIST","MAY27HIST00033.spu","0.18469796716749817","0.42782777300735708","0.36912030147409414","0.14064202843986001","0.49400324470844148","8.3164583478807383E-2","9.9253608473739152E-2","1","0.41666666666666669","CT","0.98258255092847047",2016-05-27 10:00:00,NA
"20","Toolik",2016-05-27,"2","HIST","MAY27HIST00034.spu","0.19223144104803494","0.45790609875003629","0.39679368006489663","0.23010127457660115","0.55494449218617503","8.4822530483289776E-2","0.10891208084740775","2","0.41666666666666669","CT","1.0145972329142074",2016-05-27 10:00:00,NA
"21","Toolik",2016-05-27,"2","HIST","MAY27HIST00035.spu","0.21496481710264814","0.42297346657438051","0.36159289403374423","0.22622903769047178","0.55284360350177442","8.3213984553814041E-2","9.990604035665239E-2","3","0.41666666666666669","CT","0.99683057000265929",2016-05-27 10:00:00,NA
"22","Toolik",2016-05-27,"1","HIST","MAY27HIST00009.spu","0.16325208953514994","0.41315001369291321","0.36391377677851272","0.10962184575169483","0.46315749999088152","7.9120004154189655E-2","0.102072160642028","2","0.41666666666666669","CT","0.99968421302561916",2016-05-27 10:00:00,NA
"23","Toolik",2016-05-27,"2","HIST","MAY27HIST00036.spu","0.21314302898057277","0.42193077853368727","0.36439945032502863","0.24652178712261583","0.56347733191915006","8.2937226899712266E-2","0.10223897726245214","4","0.41666666666666669","CT","1.0112981104338017",2016-05-27 10:00:00,NA
"24","Toolik",2016-05-27,"2","HIST","MAY27HIST00037.spu","0.21393669462942144","0.49371544945444229","0.42824877678795004","0.31331771104762324","0.59315775373121626","9.7184854649255137E-2","0.12297924422459068","5","0.41666666666666669","CT","1.0064062475773066",2016-05-27 10:00:00,NA
"25","Toolik",2016-05-27,"2","HIST","MAY27HIST00038.spu","0.17844697966089584","0.32616365433062505","0.27006655951836234","0.14071194768716344","0.49406477000484356","5.673758865248224E-2","6.3235727414308315E-2","1","0.41666666666666669","NP","1.0212548547394129",2016-05-27 10:00:00,NA
"26","Toolik",2016-05-27,"2","HIST","MAY27HIST00039.spu","0.18343550106609802","0.34778829986541621","0.29132816228736852","0.15743621476695299","0.50796689224252445","6.171586455778285E-2","7.2502543093237559E-2","2","0.41666666666666669","NP","1.0148554259179772",2016-05-27 10:00:00,NA
"27","Toolik",2016-05-27,"2","HIST","MAY27HIST00040.spu","0.17306345206854373","0.29860191173726236","0.24817329185270637","0.12809681026964004","0.48243750086653975","5.5651557446054337E-2","6.0093786290737521E-2","3","0.41666666666666669","NP","1.0190875037807403",2016-05-27 10:00:00,NA
