MAY27HIST00007.spu,MAY27HIST00006.spu,MAY27HIST00005.spu,
Wavelength,MAY27HIST00008.spu,MAY27HIST00009.spu,MAY27HIST00010.spu,MAY27HIST00011.spu,MAY27HIST00012.spu,MAY27HIST00013.spu,MAY27HIST00014.spu,MAY27HIST00015.spu,MAY27HIST00016.spu,MAY27HIST00017.spu,MAY27HIST00018.spu,MAY27HIST00019.spu,MAY27HIST00020.spu,MAY27HIST00021.spu,MAY27HIST00022.spu,MAY27HIST00023.spu,MAY27HIST00024.spu,MAY27HIST00025.spu,MAY27HIST00026.spu,MAY27HIST00027.spu,MAY27HIST00028.spu,MAY27HIST00029.spu,MAY27HIST00030.spu,MAY27HIST00031.spu,MAY27HIST00032.spu,MAY27HIST00033.spu,MAY27HIST00034.spu,MAY27HIST00035.spu,MAY27HIST00036.spu,MAY27HIST00037.spu,MAY27HIST00038.spu,MAY27HIST00039.spu,MAY27HIST00040.spu,MAY27HIST00041.spu,MAY27HIST00042.spu,MAY27HIST00043.spu,MAY27HIST00044.spu,MAY27HIST00045.spu,MAY27HIST00046.spu,MAY27HIST00047.spu,MAY27HIST00048.spu,MAY27HIST00049.spu,MAY27HIST00050.spu,MAY27HIST00051.spu,MAY27HIST00052.spu,MAY27HIST00053.spu,MAY27HIST00054.spu,MAY27HIST00055.spu,MAY27HIST00056.spu,MAY27HIST00057.spu,MAY27HIST00058.spu,MAY27HIST00059.spu,MAY27HIST00060.spu,MAY27HIST00061.spu,MAY27HIST00062.spu,MAY27HIST00063.spu,MAY27HIST00064.spu,MAY27HIST00065.spu,MAY27HIST00066.spu,MAY27HIST00067.spu,MAY27HIST00068.spu,MAY27HIST00069.spu,MAY27HIST00070.spu,MAY27HIST00071.spu,MAY27HIST00072.spu,MAY27HIST00073.spu,MAY27HIST00074.spu,MAY27HIST00075.spu,MAY27HIST00076.spu,MAY27HIST00077.spu,MAY27HIST00078.spu,MAY27HIST00079.spu,MAY27HIST00080.spu,MAY27HIST00081.spu,MAY27HIST00082.spu,MAY27HIST00083.spu,MAY27HIST00084.spu,MAY27HIST00085.spu,MAY27HIST00086.spu,MAY27HIST00087.spu
  (nm),5/27/2016 ,5/27/2016 ,5/27/2016 ,5/27/2016 ,5/27/2016 ,5/27/2016 ,5/27/2016 ,5/27/2016 ,5/27/2016 ,5/27/2016 ,5/27/2016 ,5/27/2016 ,5/27/2016 ,5/27/2016 ,5/27/2016 ,5/27/2016 ,5/27/2016 ,5/27/2016 ,5/27/2016 ,5/27/2016 ,5/27/2016 ,5/27/2016 ,5/27/2016 ,5/27/2016 ,5/27/2016 ,5/27/2016 ,5/27/2016 ,5/27/2016 ,5/27/2016 ,5/27/2016 ,5/27/2016 ,5/27/2016 ,5/27/2016 ,5/27/2016 ,5/27/2016 ,5/27/2016 ,5/27/2016 ,5/27/2016 ,5/27/2016 ,5/27/2016 ,5/27/2016 ,5/27/2016 ,5/27/2016 ,5/27/2016 ,5/27/2016 ,5/27/2016 ,5/27/2016 ,5/27/2016 ,5/27/2016 ,5/27/2016 ,5/27/2016 ,5/27/2016 ,5/27/2016 ,5/27/2016 ,5/27/2016 ,5/27/2016 ,5/27/2016 ,5/27/2016 ,5/27/2016 ,5/27/2016 ,5/27/2016 ,5/27/2016 ,5/27/2016 ,5/27/2016 ,5/27/2016 ,5/27/2016 ,5/27/2016 ,5/27/2016 ,5/27/2016 ,5/27/2016 ,5/27/2016 ,5/27/2016 ,5/27/2016 ,5/27/2016 ,5/27/2016 ,5/27/2016 ,5/27/2016 ,5/27/2016 ,5/27/2016 ,5/27/2016 
  time  ,52:23 PM,52:38 PM,52:47 PM,52:54 PM,53:00 PM,53:19 PM,53:27 PM,53:35 PM,53:42 PM,53:50 PM,54:21 PM,54:29 PM,54:38 PM,54:46 PM,54:54 PM,55:16 PM,55:26 PM,55:33 PM,55:43 PM,55:51 PM,56:58 PM,57:05 PM,57:12 PM,57:20 PM,57:27 PM,57:44 PM,57:51 PM,58:00 PM,58:09 PM,58:17 PM,58:47 PM,58:56 PM,59:04 PM,59:11 PM,59:18 PM,59:37 PM,59:45 PM,59:53 PM,00:01 PM,00:09 PM,00:56 PM,01:03 PM,01:10 PM,01:17 PM,01:23 PM,01:40 PM,01:50 PM,01:57 PM,02:06 PM,02:13 PM,02:51 PM,02:58 PM,03:06 PM,03:16 PM,03:23 PM,03:48 PM,04:00 PM,04:13 PM,04:23 PM,04:34 PM,05:19 PM,05:27 PM,05:34 PM,05:41 PM,05:50 PM,06:15 PM,06:22 PM,06:29 PM,06:39 PM,06:47 PM,07:17 PM,07:24 PM,07:31 PM,07:39 PM,07:48 PM,08:10 PM,08:18 PM,08:27 PM,08:35 PM,08:43 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 311 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 312 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 0 , 1 , 1 , 0 , 1 , 1 , 1 , 0 , 0 , 1 , 0 , 1 , 1 , 0 , 1 , 0 , 1 , 0 , 1 , 1 , 1 , 0 , 0 , 1 , 0 , 1 , 1 , 0 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 313 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 0 , 1 , 1 , 0 , 1 , 1 , 1 , 0 , 0 , 1 , 0 , 1 , 1 , 0 , 1 , 0 , 1 , 0 , 1 , 1 , 1 , 0 , 0 , 1 , 0 , 1 , 1 , 0 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 314 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 0 , 1 , 1 , 0 , 1 , 1 , 1 , 0 , 0 , 1 , 0 , 1 , 1 , 0 , 1 , 0 , 1 , 0 , 1 , 1 , 1 , 0 , 0 , 1 , 0 , 1 , 1 , 0 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 315 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 
