JUN28HIST00005.spu,JUN28HIST00004.spu,JUN28HIST00003.spu,
Wavelength,JUN28HIST00006.spu,JUN28HIST00007.spu,JUN28HIST00008.spu,JUN28HIST00009.spu,JUN28HIST00010.spu,JUN28HIST00011.spu,JUN28HIST00012.spu,JUN28HIST00013.spu,JUN28HIST00014.spu,JUN28HIST00015.spu,JUN28HIST00016.spu,JUN28HIST00017.spu,JUN28HIST00018.spu,JUN28HIST00019.spu,JUN28HIST00020.spu,JUN28HIST00021.spu,JUN28HIST00022.spu,JUN28HIST00023.spu,JUN28HIST00024.spu,JUN28HIST00025.spu,JUN28HIST00026.spu,JUN28HIST00027.spu,JUN28HIST00028.spu,JUN28HIST00029.spu,JUN28HIST00030.spu,JUN28HIST00031.spu,JUN28HIST00032.spu,JUN28HIST00033.spu,JUN28HIST00034.spu,JUN28HIST00035.spu,JUN28HIST00036.spu,JUN28HIST00037.spu,JUN28HIST00038.spu,JUN28HIST00039.spu,JUN28HIST00040.spu,JUN28HIST00041.spu,JUN28HIST00042.spu,JUN28HIST00043.spu,JUN28HIST00044.spu,JUN28HIST00045.spu,JUN28HIST00046.spu,JUN28HIST00047.spu,JUN28HIST00048.spu,JUN28HIST00049.spu,JUN28HIST00050.spu,JUN28HIST00051.spu,JUN28HIST00052.spu,JUN28HIST00053.spu,JUN28HIST00054.spu,JUN28HIST00055.spu,JUN28HIST00056.spu,JUN28HIST00057.spu,JUN28HIST00058.spu,JUN28HIST00059.spu,JUN28HIST00060.spu,JUN28HIST00061.spu,JUN28HIST00062.spu,JUN28HIST00063.spu,JUN28HIST00064.spu,JUN28HIST00065.spu,JUN28HIST00066.spu,JUN28HIST00067.spu,JUN28HIST00068.spu,JUN28HIST00069.spu,JUN28HIST00070.spu,JUN28HIST00071.spu,JUN28HIST00072.spu,JUN28HIST00073.spu,JUN28HIST00074.spu,JUN28HIST00075.spu,JUN28HIST00076.spu,JUN28HIST00077.spu,JUN28HIST00078.spu,JUN28HIST00079.spu,JUN28HIST00080.spu,JUN28HIST00081.spu,JUN28HIST00082.spu,JUN28HIST00083.spu,JUN28HIST00084.spu,JUN28HIST00085.spu
  (nm),6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 
  time  ,20:22 PM,20:30 PM,20:38 PM,20:49 PM,21:02 PM,21:24 PM,21:34 PM,21:43 PM,21:55 PM,22:04 PM,22:37 PM,22:47 PM,22:55 PM,23:08 PM,23:15 PM,23:36 PM,23:45 PM,23:54 PM,24:08 PM,24:16 PM,25:40 PM,25:49 PM,25:57 PM,26:06 PM,26:17 PM,26:35 PM,26:43 PM,26:57 PM,27:07 PM,27:17 PM,27:51 PM,28:05 PM,28:15 PM,28:25 PM,28:35 PM,28:58 PM,29:06 PM,29:18 PM,29:31 PM,29:42 PM,30:24 PM,30:38 PM,30:49 PM,31:00 PM,31:09 PM,31:29 PM,31:36 PM,31:43 PM,31:52 PM,32:07 PM,32:35 PM,32:47 PM,32:57 PM,33:05 PM,33:12 PM,33:37 PM,33:51 PM,34:02 PM,34:13 PM,34:22 PM,35:11 PM,35:21 PM,35:30 PM,35:38 PM,35:46 PM,36:01 PM,36:10 PM,36:19 PM,36:26 PM,36:35 PM,37:05 PM,37:16 PM,37:29 PM,37:38 PM,37:48 PM,38:07 PM,38:15 PM,38:23 PM,38:31 PM,38:39 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 1.414566 , 1.414566 , 1.414566 , 1.414566 , 1.414566 , 1.414566 , 1.414566 , 1.414566 , 1.414566 , 1.414566 , 1.414566 , 1.414566 , 1.414566 , 1.414566 , 1.414566 , 1.414566 , 1.414566 , 1.414566 , 1.414566 , 1.414566 , 1.414566 , 1.414566 , 1.414566 , 1.414566 , 1.414566 , 1.414566 , 1.414566 , 1.414566 , 1.414566 , 1.414566 , 1.414566 , 1.414566 , 1.414566 , 1.414566 , 1.414566 , 1.414566 , 1.414566 , 1.414566 , 1.414566 , 1.414566 , 1.414566 , 1.414566 , 1.414566 , 1.414566 , 1.414566 , 1.414566 , 1.414566 , 1.414566 , 1.414566 , 1.414566 , 1.414566 , 1.414566 , 1.414566 , 1.414566 , 1.414566 , 1.414566 , 1.414566 , 1.414566 , 1.414566 , 1.414566 , 1.414566 , 1.414566 , 1.414566 , 1.414566 , 1.414566 , 1.414566 , 1.414566 , 1.414566 , 1.414566 , 1.414566 , 1.414566 , 1.414566 , 1.414566 , 1.414566 , 1.414566 , 1.414566 , 1.414566 , 1.414566 , 1.414566 , 1.414566 
 311 , 1.43424 , 1.43424 , 1.43424 , 1.43424 , 1.43424 , 1.43424 , 1.43424 , 1.43424 , 1.43424 , 1.43424 , 1.43424 , 1.43424 , 1.43424 , 1.43424 , 1.43424 , 1.43424 , 1.43424 , 1.43424 , 1.43424 , 1.43424 , 1.43424 , 1.43424 , 1.43424 , 1.43424 , 1.43424 , 1.43424 , 1.43424 , 1.43424 , 1.43424 , 1.43424 , 1.43424 , 1.43424 , 1.43424 , 1.43424 , 1.43424 , 1.43424 , 1.43424 , 1.43424 , 1.43424 , 1.43424 , 1.43424 , 1.43424 , 1.43424 , 1.43424 , 1.43424 , 1.43424 , 1.43424 , 1.43424 , 1.43424 , 1.43424 , 1.43424 , 1.43424 , 1.43424 , 1.43424 , 1.43424 , 1.43424 , 1.43424 , 1.43424 , 1.43424 , 1.43424 , 1.43424 , 1.43424 , 1.43424 , 1.43424 , 1.43424 , 1.43424 , 1.43424 , 1.43424 , 1.43424 , 1.43424 , 1.43424 , 1.43424 , 1.43424 , 1.43424 , 1.43424 , 1.43424 , 1.43424 , 1.43424 , 1.43424 , 1.43424 
 312 , 1.402798 , 1.402798 , 0 , 1.402798 , 1.402798 , 1.402798 , 1.402798 , 1.402798 , 1.402798 , 1.402798 , 1.402798 , 1.402798 , 1.402798 , 1.402798 , 1.402798 , 1.402798 , 1.402798 , 1.402798 , 1.402798 , 1.402798 , 1.402798 , 1.402798 , 1.402798 , 1.402798 , 1.402798 , 1.402798 , 1.402798 , 1.402798 , 1.402798 , 1.402798 , 1.402798 , 1.402798 , 1.402798 , 1.402798 , 1.402798 , 1.402798 , 1.402798 , 1.402798 , 1.402798 , 1.402798 , 1.402798 , 1.402798 , 1.402798 , 1.402798 , 1.402798 , 1.402798 , 1.402798 , 1.402798 , 1.402798 , 1.402798 , 1.402798 , 1.402798 , 1.402798 , 1.402798 , 1.402798 , 1.402798 , 1.402798 , 1.402798 , 1.402798 , 1.402798 , 1.402798 , 1.402798 , 1.402798 , 1.402798 , 1.402798 , 1.402798 , 1.402798 , 1.402798 , 1.402798 , 1.402798 , 1.402798 , 1.402798 , 1.402798 , 1.402798 , 1.402798 , 1.402798 , 1.402798 , 1.402798 , 1.402798 , 1.402798 
 313 , 1.327539 , 1.327539 , 0 , 1.327539 , 1.327539 , 1.327539 , 1.327539 , 1.327539 , 1.327539 , 1.327539 , 1.327539 , 1.327539 , 1.327539 , 1.327539 , 1.327539 , 1.327539 , 1.327539 , 1.327539 , 1.327539 , 1.327539 , 1.327539 , 1.327539 , 1.327539 , 1.327539 , 1.327539 , 1.327539 , 1.327539 , 1.327539 , 1.327539 , 1.327539 , 1.327539 , 1.327539 , 1.327539 , 1.327539 , 1.327539 , 1.327539 , 1.327539 , 1.327539 , 1.327539 , 1.327539 , 1.327539 , 1.327539 , 1.327539 , 1.327539 , 1.327539 , 1.327539 , 1.327539 , 1.327539 , 1.327539 , 1.327539 , 1.327539 , 1.327539 , 1.327539 , 1.327539 , 1.327539 , 1.327539 , 1.327539 , 1.327539 , 1.327539 , 1.327539 , 1.327539 , 1.327539 , 1.327539 , 1.327539 , 1.327539 , 1.327539 , 1.327539 , 1.327539 , 1.327539 , 1.327539 , 1.327539 , 1.327539 , 1.327539 , 1.327539 , 1.327539 , 1.327539 , 1.327539 , 1.327539 , 1.327539 , 1.327539 
 314 , 1.031571 , 1.031571 , 0 , 1.031571 , 1.031571 , 1.031571 , 1.031571 , 1.031571 , 1.031571 , 1.031571 , 1.031571 , 1.031571 , 1.031571 , 1.031571 , 1.031571 , 1.031571 , 1.031571 , 1.031571 , 1.031571 , 1.031571 , 1.031571 , 1.031571 , 1.031571 , 1.031571 , 1.031571 , 1.031571 , 1.031571 , 1.031571 , 1.031571 , 1.031571 , 1.031571 , 1.031571 , 1.031571 , 1.031571 , 1.031571 , 1.031571 , 1.031571 , 1.031571 , 1.031571 , 1.031571 , 1.031571 , 1.031571 , 1.031571 , 1.031571 , 1.031571 , 1.031571 , 1.031571 , 1.031571 , 1.031571 , 1.031571 , 1.031571 , 1.031571 , 1.031571 , 1.031571 , 1.031571 , 1.031571 , 1.031571 , 1.031571 , 1.031571 , 1.031571 , 1.031571 , 1.031571 , 1.031571 , 1.031571 , 1.031571 , 1.031571 , 1.031571 , 1.031571 , 1.031571 , 1.031571 , 1.031571 , 1.031571 , 1.031571 , 1.031571 , 1.031571 , 1.031571 , 1.031571 , 1.031571 , 1.031571 , 1.031571 
 315 , 0 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 316 , 0 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 317 , 0 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
