JUN24HTH00005.spu,JUN24HTH00004.spu,JUN24HTH00003.spu,
Wavelength,JUN24HTH00006.spu,JUN24HTH00007.spu,JUN24HTH00008.spu,JUN24HTH00009.spu,JUN24HTH00010.spu,JUN24HTH00011.spu,JUN24HTH00012.spu,JUN24HTH00013.spu,JUN24HTH00014.spu,JUN24HTH00015.spu,JUN24HTH00016.spu,JUN24HTH00017.spu,JUN24HTH00018.spu,JUN24HTH00019.spu,JUN24HTH00020.spu,JUN24HTH00021.spu,JUN24HTH00022.spu,JUN24HTH00023.spu,JUN24HTH00024.spu,JUN24HTH00025.spu,JUN24HTH00026.spu,JUN24HTH00027.spu,JUN24HTH00028.spu,JUN24HTH00029.spu,JUN24HTH00030.spu,JUN24HTH00031.spu,JUN24HTH00032.spu,JUN24HTH00033.spu,JUN24HTH00034.spu,JUN24HTH00035.spu,JUN24HTH00036.spu,JUN24HTH00037.spu,JUN24HTH00038.spu,JUN24HTH00039.spu,JUN24HTH00040.spu,JUN24HTH00041.spu,JUN24HTH00042.spu,JUN24HTH00043.spu,JUN24HTH00044.spu,JUN24HTH00045.spu,JUN24HTH00046.spu,JUN24HTH00047.spu,JUN24HTH00048.spu,JUN24HTH00049.spu,JUN24HTH00050.spu,JUN24HTH00051.spu,JUN24HTH00052.spu,JUN24HTH00053.spu,JUN24HTH00054.spu,JUN24HTH00055.spu,JUN24HTH00056.spu,JUN24HTH00057.spu,JUN24HTH00058.spu,JUN24HTH00059.spu,JUN24HTH00060.spu,JUN24HTH00061.spu,JUN24HTH00062.spu,JUN24HTH00063.spu,JUN24HTH00064.spu,JUN24HTH00065.spu
  (nm),6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 
  time  ,52:10 PM,52:20 PM,52:28 PM,52:33 PM,52:40 PM,53:15 PM,53:20 PM,53:28 PM,53:39 PM,53:45 PM,54:28 PM,54:35 PM,54:42 PM,54:48 PM,54:54 PM,55:42 PM,55:49 PM,55:56 PM,56:03 PM,56:11 PM,57:48 PM,57:56 PM,58:04 PM,58:10 PM,58:19 PM,59:17 PM,59:24 PM,59:31 PM,59:38 PM,59:51 PM,00:47 PM,00:54 PM,01:00 PM,01:07 PM,01:14 PM,02:03 PM,02:10 PM,02:15 PM,02:21 PM,02:27 PM,03:31 PM,03:39 PM,03:51 PM,03:57 PM,04:05 PM,05:11 PM,05:18 PM,05:24 PM,05:35 PM,05:40 PM,06:16 PM,06:24 PM,06:31 PM,06:38 PM,06:45 PM,08:19 PM,08:26 PM,08:31 PM,08:37 PM,08:43 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 0 , 1.645597 , 1.645597 , 1.645597 , 1.645597 , 0 , 1.645597 , 0 , 1.645597 , 1.645597 , 1.645597 , 0 , 1.645597 , 1.645597 , 1.645597 , 1.645597 , 1.645597 , 1.645597 , 1.645597 , 1.645597 , 1.645597 , 0 , 1.645597 , 1.645597 , 1.645597 , 1.645597 , 1.645597 , 1.645597 , 1.645597 , 1.645597 , 1.645597 , 1.645597 , 1.645597 , 1.645597 , 1.645597 , 1.645597 , 1.645597 , 1.645597 , 1.645597 , 1.645597 , 1.645597 , 1.645597 , 1.645597 , 1.645597 , 1.645597 , 0 , 1.645597 , 1.645597 , 1.645597 , 1.645597 , 1.645597 , 0 , 1.645597 , 1.645597 , 1.645597 , 1.645597 , 1.645597 , 1.645597 , 1.645597 , 1.645597 
 311 , 0 , 1.858297 , 1.858297 , 1.858297 , 1.858297 , 0 , 1.858297 , 0 , 1.858297 , 1.858297 , 1.858297 , 0 , 1.858297 , 1.858297 , 1.858297 , 1.858297 , 1.858297 , 1.858297 , 1.858297 , 1.858297 , 1.858297 , 0 , 1.858297 , 1.858297 , 1.858297 , 1.858297 , 1.858297 , 1.858297 , 1.858297 , 1.858297 , 1.858297 , 1.858297 , 1.858297 , 1.858297 , 1.858297 , 1.858297 , 1.858297 , 1.858297 , 1.858297 , 1.858297 , 1.858297 , 1.858297 , 1.858297 , 1.858297 , 1.858297 , 0 , 1.858297 , 1.858297 , 1.858297 , 1.858297 , 1.858297 , 0 , 1.858297 , 1.858297 , 1.858297 , 1.858297 , 1.858297 , 1.858297 , 1.858297 , 1.858297 
 312 , 0 , 2.094268 , 0 , 0 , 0 , 0 , 0 , 0 , 2.094268 , 2.094268 , 0 , 0 , 0 , 0 , 0 , 0 , 2.094268 , 0 , 2.094268 , 0 , 2.094268 , 2.094268 , 0 , 2.094268 , 2.094268 , 0 , 2.094268 , 0 , 2.094268 , 2.094268 , 2.094268 , 2.094268 , 2.094268 , 2.094268 , 2.094268 , 0 , 2.094268 , 2.094268 , 2.094268 , 0 , 0 , 2.094268 , 2.094268 , 0 , 0 , 0 , 2.094268 , 0 , 2.094268 , 0 , 2.094268 , 0 , 0 , 2.094268 , 2.094268 , 2.094268 , 2.094268 , 2.094268 , 2.094268 , 2.094268 
 313 , 0 , 2.564831 , 0 , 0 , 0 , 0 , 0 , 0 , 2.564831 , 2.564831 , 0 , 0 , 0 , 0 , 0 , 0 , 2.564831 , 0 , 2.564831 , 0 , 2.564831 , 2.564831 , 0 , 2.564831 , 2.564831 , 0 , 2.564831 , 0 , 2.564831 , 2.564831 , 2.564831 , 2.564831 , 2.564831 , 2.564831 , 2.564831 , 0 , 2.564831 , 2.564831 , 2.564831 , 0 , 0 , 2.564831 , 2.564831 , 0 , 0 , 0 , 2.564831 , 0 , 2.564831 , 0 , 2.564831 , 0 , 0 , 2.564831 , 2.564831 , 2.564831 , 2.564831 , 2.564831 , 2.564831 , 2.564831 
 314 , 0 , 1.441175 , 0 , 0 , 0 , 0 , 0 , 0 , 1.441175 , 1.441175 , 0 , 0 , 0 , 0 , 0 , 0 , 1.441175 , 0 , 1.441175 , 0 , 1.441175 , 1.441175 , 0 , 1.441175 , 1.441175 , 0 , 1.441175 , 0 , 1.441175 , 1.441175 , 1.441175 , 1.441175 , 1.441175 , 1.441175 , 1.441175 , 0 , 1.441175 , 1.441175 , 1.441175 , 0 , 0 , 1.441175 , 1.441175 , 0 , 0 , 0 , 1.441175 , 0 , 1.441175 , 0 , 1.441175 , 0 , 0 , 1.441175 , 1.441175 , 1.441175 , 1.441175 , 1.441175 , 1.441175 , 1.441175 
 315 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1.125667 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1.125667 , 0 , 0 , 1.125667 , 0 , 0 , 0 , 0 , 1.125667 , 0 , 0 , 0 , 1.125667 , 0 , 0 , 1.125667 , 0 , 0 , 1.125667 , 0 , 0 , 0 , 0 , 0 , 1.125667 , 0 , 0 , 0 , 1.125667 , 0 , 1.125667 , 0 , 0 , 0 , 0 , 0 , 1.125667 , 1.125667 , 1.125667 , 1.125667 , 1.125667 , 1.125667 
