JUN28HTH00005.spu,JUN28HTH00004.spu,JUN28HTH00003.spu,
Wavelength,JUN28HTH00006.spu,JUN28HTH00007.spu,JUN28HTH00008.spu,JUN28HTH00009.spu,JUN28HTH00010.spu,JUN28HTH00011.spu,JUN28HTH00012.spu,JUN28HTH00013.spu,JUN28HTH00014.spu,JUN28HTH00015.spu,JUN28HTH00016.spu,JUN28HTH00017.spu,JUN28HTH00018.spu,JUN28HTH00019.spu,JUN28HTH00020.spu,JUN28HTH00021.spu,JUN28HTH00022.spu,JUN28HTH00023.spu,JUN28HTH00024.spu,JUN28HTH00025.spu,JUN28HTH00026.spu,JUN28HTH00027.spu,JUN28HTH00028.spu,JUN28HTH00029.spu,JUN28HTH00030.spu,JUN28HTH00031.spu,JUN28HTH00032.spu,JUN28HTH00033.spu,JUN28HTH00034.spu,JUN28HTH00035.spu,JUN28HTH00036.spu,JUN28HTH00037.spu,JUN28HTH00038.spu,JUN28HTH00039.spu,JUN28HTH00040.spu,JUN28HTH00041.spu,JUN28HTH00042.spu,JUN28HTH00043.spu,JUN28HTH00044.spu,JUN28HTH00045.spu,JUN28HTH00046.spu,JUN28HTH00047.spu,JUN28HTH00048.spu,JUN28HTH00049.spu,JUN28HTH00050.spu,JUN28HTH00051.spu,JUN28HTH00052.spu,JUN28HTH00053.spu,JUN28HTH00054.spu,JUN28HTH00055.spu,JUN28HTH00056.spu,JUN28HTH00057.spu,JUN28HTH00058.spu,JUN28HTH00059.spu,JUN28HTH00060.spu,JUN28HTH00061.spu,JUN28HTH00062.spu,JUN28HTH00063.spu,JUN28HTH00064.spu,JUN28HTH00065.spu
  (nm),6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 
  time  ,54:24 PM,54:30 PM,54:38 PM,54:44 PM,54:51 PM,55:58 PM,56:05 PM,56:11 PM,56:19 PM,56:27 PM,57:18 PM,57:24 PM,57:30 PM,57:39 PM,57:46 PM,58:37 PM,58:46 PM,58:53 PM,59:01 PM,59:09 PM,00:17 PM,00:25 PM,00:31 PM,00:40 PM,00:47 PM,01:49 PM,01:55 PM,02:01 PM,02:10 PM,02:17 PM,03:02 PM,03:08 PM,03:20 PM,03:34 PM,03:40 PM,04:32 PM,04:39 PM,04:48 PM,04:54 PM,05:01 PM,06:15 PM,06:22 PM,06:29 PM,06:36 PM,06:45 PM,07:59 PM,08:04 PM,08:11 PM,08:22 PM,08:32 PM,09:09 PM,09:15 PM,09:22 PM,09:29 PM,09:36 PM,10:14 PM,10:22 PM,10:28 PM,10:35 PM,10:41 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 1.41695 , 1.41695 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1.41695 , 0 , 0 , 0 , 0 , 0 , 0 , 1.41695 , 1.41695 , 1.41695 , 1.41695 , 1.41695 , 1.41695 , 1.41695 , 1.41695 , 0 , 0 , 0 , 1.41695 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1.41695 , 1.41695 , 1.41695 , 1.41695 , 1.41695 , 1.41695 , 1.41695 , 1.41695 , 1.41695 , 0 
 311 , 0.764643 , 0.764643 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.764643 , 0 , 0 , 0 , 0 , 0 , 0 , 0.764643 , 0.764643 , 0.764643 , 0.764643 , 0.764643 , 0.764643 , 0.764643 , 0.764643 , 0 , 0 , 0 , 0.764643 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.764643 , 0.764643 , 0.764643 , 0.764643 , 0.764643 , 0.764643 , 0.764643 , 0.764643 , 0.764643 , 0 
 312 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 1 , 0 , 0 , 1 , 0 , 1 , 0 
 313 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 1 , 0 , 0 , 1 , 0 , 1 , 0 
 314 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 1 , 0 , 0 , 1 , 0 , 1 , 0 
 315 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1.326709 , 1.326709 , 1.326709 , 1.326709 , 1.326709 , 1.326709 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1.326709 , 0 , 1.326709 , 0 
