JUL12DH00005.spu,JUL12DH00004.spu,JUL12DH00003.spu,
Wavelength,JUL12DH00006.spu,JUL12DH00007.spu,JUL12DH00008.spu,JUL12DH00009.spu,JUL12DH00010.spu,JUL12DH00011.spu,JUL12DH00012.spu,JUL12DH00013.spu,JUL12DH00014.spu,JUL12DH00015.spu,JUL12DH00016.spu,JUL12DH00017.spu,JUL12DH00018.spu,JUL12DH00019.spu,JUL12DH00020.spu,JUL12DH00021.spu,JUL12DH00022.spu,JUL12DH00023.spu,JUL12DH00024.spu,JUL12DH00025.spu,JUL12DH00026.spu,JUL12DH00027.spu,JUL12DH00028.spu,JUL12DH00029.spu,JUL12DH00030.spu,JUL12DH00031.spu,JUL12DH00032.spu,JUL12DH00033.spu,JUL12DH00034.spu,JUL12DH00035.spu,JUL12DH00036.spu,JUL12DH00037.spu,JUL12DH00038.spu,JUL12DH00039.spu,JUL12DH00040.spu,JUL12DH00041.spu,JUL12DH00042.spu,JUL12DH00043.spu,JUL12DH00044.spu,JUL12DH00045.spu,JUL12DH00046.spu,JUL12DH00047.spu,JUL12DH00048.spu,JUL12DH00049.spu,JUL12DH00050.spu,JUL12DH00051.spu,JUL12DH00052.spu,JUL12DH00053.spu,JUL12DH00054.spu,JUL12DH00055.spu,JUL12DH00056.spu,JUL12DH00057.spu,JUL12DH00058.spu,JUL12DH00059.spu,JUL12DH00060.spu,JUL12DH00061.spu,JUL12DH00062.spu,JUL12DH00063.spu,JUL12DH00064.spu,JUL12DH00065.spu
  (nm),7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 
  time  ,21:15 PM,21:23 PM,21:29 PM,21:37 PM,21:47 PM,22:33 PM,22:39 PM,22:46 PM,22:55 PM,23:03 PM,23:40 PM,23:46 PM,23:53 PM,24:00 PM,24:07 PM,24:56 PM,25:03 PM,25:11 PM,25:18 PM,25:25 PM,26:14 PM,26:21 PM,26:28 PM,26:36 PM,26:43 PM,27:05 PM,27:11 PM,27:17 PM,27:26 PM,27:35 PM,28:29 PM,28:34 PM,28:40 PM,28:47 PM,28:55 PM,29:37 PM,29:43 PM,29:54 PM,30:00 PM,30:08 PM,31:24 PM,31:30 PM,31:37 PM,31:44 PM,31:50 PM,32:21 PM,32:29 PM,32:36 PM,32:42 PM,32:49 PM,34:10 PM,34:16 PM,34:23 PM,34:30 PM,34:36 PM,35:13 PM,35:20 PM,35:29 PM,35:36 PM,35:44 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 311 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 312 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 313 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 314 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 315 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 
 316 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 , 1.280697 
 317 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 , 1.344699 
 318 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 0 , 0 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 0 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 , 1.362434 
 319 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 0 , 0 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 0 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 , 1.282708 
 320 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 0 , 0 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 0 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 , 1.111852 
