JUL12DH00005.spu,JUL12DH00004.spu,JUL12DH00003.spu,
Wavelength,JUL12DH00101.spu,JUL12DH00102.spu,JUL12DH00103.spu,JUL12DH00104.spu,JUL12DH00105.spu,JUL12DH00106.spu,JUL12DH00107.spu,JUL12DH00108.spu,JUL12DH00109.spu,JUL12DH00110.spu,JUL12DH00111.spu,JUL12DH00112.spu,JUL12DH00113.spu,JUL12DH00114.spu,JUL12DH00115.spu,JUL12DH00116.spu,JUL12DH00117.spu,JUL12DH00118.spu,JUL12DH00119.spu,JUL12DH00120.spu,JUL12DH00121.spu,JUL12DH00122.spu,JUL12DH00123.spu,JUL12DH00124.spu,JUL12DH00125.spu,JUL12DH00126.spu,JUL12DH00127.spu,JUL12DH00128.spu,JUL12DH00129.spu,JUL12DH00130.spu,JUL12DH00131.spu,JUL12DH00132.spu,JUL12DH00133.spu,JUL12DH00134.spu,JUL12DH00135.spu,JUL12DH00136.spu,JUL12DH00137.spu,JUL12DH00138.spu,JUL12DH00139.spu,JUL12DH00140.spu,JUL12DH00141.spu,JUL12DH00142.spu,JUL12DH00143.spu,JUL12DH00144.spu,JUL12DH00145.spu,JUL12DH00146.spu,JUL12DH00147.spu,JUL12DH00148.spu,JUL12DH00149.spu,JUL12DH00150.spu
  (nm),7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 
  time  ,45:09 PM,45:17 PM,45:23 PM,45:31 PM,45:36 PM,46:51 PM,46:58 PM,47:04 PM,47:10 PM,47:21 PM,47:42 PM,47:48 PM,47:55 PM,48:03 PM,48:10 PM,48:58 PM,49:04 PM,49:11 PM,49:17 PM,49:25 PM,49:54 PM,50:00 PM,50:06 PM,50:12 PM,50:22 PM,50:54 PM,51:01 PM,51:08 PM,51:17 PM,51:24 PM,52:31 PM,52:37 PM,52:43 PM,52:49 PM,52:56 PM,53:31 PM,53:38 PM,53:46 PM,53:52 PM,53:59 PM,55:01 PM,55:07 PM,55:16 PM,55:22 PM,55:28 PM,55:45 PM,55:52 PM,55:59 PM,56:05 PM,56:11 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 311 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 312 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 313 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 314 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 315 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 
