JUL12DH00005.spu,JUL12DH00004.spu,JUL12DH00003.spu,
Wavelength,JUL12DH00151.spu,JUL12DH00152.spu,JUL12DH00153.spu,JUL12DH00154.spu,JUL12DH00155.spu,JUL12DH00156.spu,JUL12DH00157.spu,JUL12DH00158.spu,JUL12DH00159.spu,JUL12DH00160.spu,JUL12DH00161.spu,JUL12DH00162.spu,JUL12DH00163.spu,JUL12DH00164.spu,JUL12DH00165.spu,JUL12DH00166.spu,JUL12DH00167.spu,JUL12DH00168.spu,JUL12DH00169.spu,JUL12DH00170.spu,JUL12DH00171.spu,JUL12DH00172.spu,JUL12DH00173.spu,JUL12DH00174.spu,JUL12DH00175.spu,JUL12DH00176.spu,JUL12DH00177.spu,JUL12DH00178.spu,JUL12DH00179.spu,JUL12DH00180.spu,JUL12DH00181.spu,JUL12DH00182.spu,JUL12DH00183.spu,JUL12DH00184.spu,JUL12DH00185.spu
  (nm),7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 
  time  ,58:29 PM,58:35 PM,58:42 PM,58:49 PM,58:57 PM,59:35 PM,59:43 PM,59:50 PM,59:56 PM,00:04 PM,00:37 PM,00:44 PM,00:50 PM,00:58 PM,01:05 PM,02:16 PM,02:22 PM,02:28 PM,02:36 PM,02:57 PM,03:28 PM,03:33 PM,03:39 PM,03:46 PM,03:56 PM,04:57 PM,05:05 PM,05:11 PM,05:19 PM,05:26 PM,06:00 PM,06:07 PM,06:13 PM,06:20 PM,06:29 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 311 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 312 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 313 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 314 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 315 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 , 1.046426 
