JUL22HTH00005.spu,JUL22HTH00004.spu,JUL22HTH00003.spu,
Wavelength,JUL22HTH00006.spu,JUL22HTH00007.spu,JUL22HTH00008.spu,JUL22HTH00009.spu,JUL22HTH00010.spu,JUL22HTH00011.spu,JUL22HTH00012.spu,JUL22HTH00013.spu,JUL22HTH00014.spu,JUL22HTH00015.spu,JUL22HTH00016.spu,JUL22HTH00017.spu,JUL22HTH00018.spu,JUL22HTH00019.spu,JUL22HTH00020.spu,JUL22HTH00021.spu,JUL22HTH00022.spu,JUL22HTH00023.spu,JUL22HTH00024.spu,JUL22HTH00025.spu,JUL22HTH00026.spu,JUL22HTH00027.spu,JUL22HTH00028.spu,JUL22HTH00029.spu,JUL22HTH00030.spu,JUL22HTH00031.spu,JUL22HTH00032.spu,JUL22HTH00033.spu,JUL22HTH00034.spu,JUL22HTH00035.spu,JUL22HTH00036.spu,JUL22HTH00037.spu,JUL22HTH00038.spu,JUL22HTH00039.spu,JUL22HTH00040.spu,JUL22HTH00041.spu,JUL22HTH00042.spu,JUL22HTH00043.spu,JUL22HTH00044.spu,JUL22HTH00045.spu,JUL22HTH00046.spu,JUL22HTH00047.spu,JUL22HTH00048.spu,JUL22HTH00049.spu,JUL22HTH00050.spu,JUL22HTH00051.spu,JUL22HTH00052.spu,JUL22HTH00053.spu,JUL22HTH00054.spu,JUL22HTH00055.spu,JUL22HTH00056.spu,JUL22HTH00057.spu,JUL22HTH00058.spu,JUL22HTH00059.spu,JUL22HTH00060.spu,JUL22HTH00061.spu,JUL22HTH00062.spu,JUL22HTH00063.spu,JUL22HTH00064.spu,JUL22HTH00065.spu
  (nm),7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 
  time  ,11:50 PM,11:58 PM,12:05 PM,12:16 PM,12:22 PM,13:26 PM,13:32 PM,13:38 PM,13:44 PM,13:49 PM,14:39 PM,14:47 PM,14:54 PM,14:59 PM,15:05 PM,16:50 PM,16:55 PM,17:00 PM,17:07 PM,17:12 PM,18:37 PM,18:44 PM,18:52 PM,18:58 PM,19:05 PM,20:03 PM,20:10 PM,20:16 PM,20:22 PM,20:28 PM,21:18 PM,21:26 PM,21:34 PM,21:42 PM,21:49 PM,22:50 PM,22:57 PM,23:03 PM,23:10 PM,23:24 PM,24:36 PM,24:42 PM,24:49 PM,24:56 PM,25:02 PM,26:16 PM,26:22 PM,26:29 PM,26:35 PM,26:42 PM,27:19 PM,27:25 PM,27:32 PM,27:39 PM,27:47 PM,28:27 PM,28:33 PM,28:39 PM,28:44 PM,28:50 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 311 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 312 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 313 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 314 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 315 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
