AUG5HTH00005.spu,AUG5HTH00004.spu,AUG5HTH00003.spu,
Wavelength,AUG5HTH00006.spu,AUG5HTH00007.spu,AUG5HTH00008.spu,AUG5HTH00009.spu,AUG5HTH00010.spu,AUG5HTH00011.spu,AUG5HTH00012.spu,AUG5HTH00013.spu,AUG5HTH00014.spu,AUG5HTH00015.spu,AUG5HTH00016.spu,AUG5HTH00017.spu,AUG5HTH00018.spu,AUG5HTH00019.spu,AUG5HTH00020.spu,AUG5HTH00021.spu,AUG5HTH00022.spu,AUG5HTH00023.spu,AUG5HTH00024.spu,AUG5HTH00025.spu,AUG5HTH00026.spu,AUG5HTH00027.spu,AUG5HTH00028.spu,AUG5HTH00029.spu,AUG5HTH00030.spu,AUG5HTH00031.spu,AUG5HTH00032.spu,AUG5HTH00033.spu,AUG5HTH00034.spu,AUG5HTH00035.spu,AUG5HTH00036.spu,AUG5HTH00037.spu,AUG5HTH00038.spu,AUG5HTH00039.spu,AUG5HTH00040.spu,AUG5HTH00041.spu,AUG5HTH00042.spu,AUG5HTH00043.spu,AUG5HTH00044.spu,AUG5HTH00045.spu,AUG5HTH00046.spu,AUG5HTH00047.spu,AUG5HTH00048.spu,AUG5HTH00049.spu,AUG5HTH00050.spu,AUG5HTH00051.spu,AUG5HTH00052.spu,AUG5HTH00053.spu,AUG5HTH00054.spu,AUG5HTH00055.spu,AUG5HTH00056.spu,AUG5HTH00057.spu,AUG5HTH00058.spu,AUG5HTH00059.spu,AUG5HTH00060.spu,AUG5HTH00061.spu,AUG5HTH00062.spu,AUG5HTH00063.spu,AUG5HTH00064.spu,AUG5HTH00065.spu
  (nm),8/5/2016 4,8/5/2016 4,8/5/2016 4,8/5/2016 4,8/5/2016 4,8/5/2016 4,8/5/2016 4,8/5/2016 4,8/5/2016 4,8/5/2016 4,8/5/2016 4,8/5/2016 4,8/5/2016 4,8/5/2016 4,8/5/2016 4,8/5/2016 4,8/5/2016 4,8/5/2016 4,8/5/2016 4,8/5/2016 4,8/5/2016 4,8/5/2016 4,8/5/2016 4,8/5/2016 4,8/5/2016 4,8/5/2016 4,8/5/2016 4,8/5/2016 4,8/5/2016 4,8/5/2016 4,8/5/2016 4,8/5/2016 4,8/5/2016 4,8/5/2016 4,8/5/2016 4,8/5/2016 4,8/5/2016 4,8/5/2016 4,8/5/2016 4,8/5/2016 4,8/5/2016 4,8/5/2016 4,8/5/2016 4,8/5/2016 4,8/5/2016 4,8/5/2016 4,8/5/2016 4,8/5/2016 4,8/5/2016 4,8/5/2016 4,8/5/2016 4,8/5/2016 4,8/5/2016 4,8/5/2016 4,8/5/2016 4,8/5/2016 4,8/5/2016 4,8/5/2016 4,8/5/2016 4,8/5/2016 4
  time  ,5:31 PM",5:39 PM",5:52 PM",6:03 PM",6:12 PM",6:54 PM",7:00 PM",7:06 PM",7:13 PM",7:19 PM",8:14 PM",8:21 PM",8:28 PM",8:34 PM",8:41 PM",9:47 PM",9:53 PM",0:00 PM",0:07 PM",0:15 PM",1:29 PM",1:34 PM",1:40 PM",1:45 PM",1:58 PM",2:59 PM",3:05 PM",3:11 PM",3:17 PM",3:23 PM",4:12 PM",4:17 PM",4:23 PM",4:29 PM",4:35 PM",5:26 PM",5:32 PM",5:37 PM",5:44 PM",5:51 PM",7:06 PM",7:11 PM",7:17 PM",7:22 PM",7:31 PM",8:59 PM",9:05 PM",9:11 PM",9:18 PM",9:25 PM",0:08 PM",0:13 PM",0:20 PM",0:27 PM",0:34 PM",1:15 PM",1:20 PM",1:27 PM",1:33 PM",1:40 PM"
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 0 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 311 , 0 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 312 , 0 , 1 , 0 , 1 , 0 , 1 , 1 , 1 , 0 , 1 , 0 , 0 , 1 , 1 , 1 , 0 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 313 , 0 , 1 , 0 , 1 , 0 , 1 , 1 , 1 , 0 , 1 , 0 , 0 , 1 , 1 , 1 , 0 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 314 , 0 , 1 , 0 , 1 , 0 , 1 , 1 , 1 , 0 , 1 , 0 , 0 , 1 , 1 , 1 , 0 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 315 , 1 , 1 , 0 , 1 , 0 , 1 , 1 , 0 , 0 , 1 , 0 , 0 , 1 , 1 , 1 , 0 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
