MAY26LOF00011.spu,MAY26LOF00010.spu,MAY26LOF00009.spu,
Wavelength,MAY26LOF00012.spu,MAY26LOF00013.spu,MAY26LOF00014.spu,MAY26LOF00015.spu,MAY26LOF00016.spu,MAY26LOF00017.spu,MAY26LOF00018.spu,MAY26LOF00019.spu,MAY26LOF00020.spu,MAY26LOF00021.spu,MAY26LOF00022.spu,MAY26LOF00023.spu,MAY26LOF00024.spu,MAY26LOF00025.spu,MAY26LOF00026.spu,MAY26LOF00027.spu
  (nm),5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 
  time  ,52:33 PM,52:47 PM,52:55 PM,53:05 PM,53:12 PM,54:49 PM,54:59 PM,55:10 PM,55:16 PM,55:21 PM,55:53 PM,56:13 PM,56:19 PM,56:26 PM,56:32 PM,58:05 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,
 310 , 0.098093 , 0.05603 , 0.055708 , 0.065323 , 0.088637 , 0.067748 , 0.069071 , 0.033985 , 0.052084 , 0.071723 , 0.052485 , 0.030426 , 0.046095 , 0.05502 , 0.058888 , 0.069263 
 311 , 0.110384 , 0.05697 , 0.068313 , 0.070733 , 0.088189 , 0.087445 , 0.085557 , 0.044635 , 0.05879 , 0.08232 , 0.04761 , 0.023691 , 0.058365 , 0.064397 , 0.077824 , 0.069276 
 312 , 0.086917 , 0.058242 , 0.057559 , 0.069905 , 0.077063 , 0.077413 , 0.068085 , 0.043091 , 0.052783 , 0.058463 , 0.042342 , 0.023878 , 0.056917 , 0.056025 , 0.057608 , 0.061883 
 313 , 0.060097 , 0.059452 , 0.044196 , 0.068278 , 0.065173 , 0.064492 , 0.048896 , 0.039982 , 0.045569 , 0.033194 , 0.037512 , 0.024876 , 0.053838 , 0.046446 , 0.03567 , 0.054406 
 314 , 0.035708 , 0.060805 , 0.031899 , 0.066906 , 0.054441 , 0.053097 , 0.032772 , 0.037236 , 0.039165 , 0.01146 , 0.033233 , 0.025703 , 0.051113 , 0.038178 , 0.017405 , 0.04794 
 315 , 0.025175 , 0.058791 , 0.026716 , 0.061983 , 0.046902 , 0.042105 , 0.026087 , 0.030965 , 0.033417 , 0.004663 , 0.028603 , 0.024196 , 0.044445 , 0.033244 , 0.010449 , 0.040512 
 316 , 0.02759 , 0.054038 , 0.028394 , 0.054524 , 0.042945 , 0.032072 , 0.027371 , 0.022124 , 0.028674 , 0.010612 , 0.024001 , 0.020723 , 0.034554 , 0.031332 , 0.012939 , 0.032576 
 317 , 0.029478 , 0.0502 , 0.029856 , 0.048411 , 0.03966 , 0.023716 , 0.028699 , 0.014788 , 0.024778 , 0.01555 , 0.020206 , 0.017825 , 0.026222 , 0.029703 , 0.01522 , 0.02603 
 318 , 0.031286 , 0.046912 , 0.031387 , 0.043632 , 0.037124 , 0.01858 , 0.030896 , 0.010085 , 0.022505 , 0.01973 , 0.017822 , 0.01619 , 0.019934 , 0.028273 , 0.017986 , 0.021595 
 319 , 0.035383 , 0.044963 , 0.035124 , 0.042481 , 0.037166 , 0.029753 , 0.03969 , 0.018106 , 0.028501 , 0.023139 , 0.022353 , 0.021733 , 0.022209 , 0.026817 , 0.025451 , 0.026622 
 320 , 0.038141 , 0.0432 , 0.037496 , 0.041501 , 0.03701 , 0.037471 , 0.04636 , 0.02412 , 0.03304 , 0.025848 , 0.025846 , 0.025789 , 0.023842 , 0.025656 , 0.030865 , 0.030172 
 321 , 0.040019 , 0.041612 , 0.038999 , 0.040648 , 0.036738 , 0.042921 , 0.051547 , 0.028742 , 0.036565 , 0.028058 , 0.028609 , 0.028826 , 0.025034 , 0.024707 , 0.034885 , 0.032729 
 322 , 0.03851 , 0.039598 , 0.03513 , 0.041302 , 0.0376 , 0.040184 , 0.047476 , 0.026929 , 0.034289 , 0.029971 , 0.030573 , 0.030082 , 0.02324 , 0.024819 , 0.034854 , 0.032367 
 323 , 0.036346 , 0.037707 , 0.030335 , 0.042231 , 0.038895 , 0.035628 , 0.041407 , 0.023644 , 0.030768 , 0.031448 , 0.031852 , 0.030768 , 0.020888 , 0.025243 , 0.03369 , 0.031277 
 324 , 0.034757 , 0.0362 , 0.026491 , 0.04294 , 0.040353 , 0.031973 , 0.03654 , 0.021006 , 0.027909 , 0.032548 , 0.032664 , 0.031469 , 0.018997 , 0.025639 , 0.032707 , 0.030445 
 325 , 0.034302 , 0.033976 , 0.025267 , 0.042285 , 0.040501 , 0.029947 , 0.033985 , 0.020219 , 0.026468 , 0.032562 , 0.031863 , 0.030048 , 0.018728 , 0.025884 , 0.032285 , 0.030149 
 326 , 0.035315 , 0.030526 , 0.027682 , 0.039686 , 0.038434 , 0.029975 , 0.034526 , 0.021922 , 0.026817 , 0.031152 , 0.028743 , 0.025445 , 0.020688 , 0.0259 , 0.032639 , 0.030539 
 327 , 0.036164 , 0.02774 , 0.029881 , 0.03757 , 0.036744 , 0.030002 , 0.034794 , 0.023326 , 0.027126 , 0.029992 , 0.026169 , 0.021771 , 0.02221 , 0.025891 , 0.032906 , 0.030885 
 328 , 0.036887 , 0.025446 , 0.031904 , 0.035816 , 0.035339 , 0.030034 , 0.034897 , 0.024506 , 0.027399 , 0.029027 , 0.023997 , 0.018785 , 0.023415 , 0.025867 , 0.033113 , 0.031196 
 329 , 0.033856 , 0.026321 , 0.030118 , 0.03675 , 0.031913 , 0.029795 , 0.033432 , 0.025388 , 0.027239 , 0.027097 , 0.025169 , 0.020663 , 0.024192 , 0.025413 , 0.03261 , 0.031257 
