MAY26LOF00011.spu,MAY26LOF00010.spu,MAY26LOF00009.spu,
Wavelength,MAY26LOF00027.spu,MAY26LOF00028.spu,MAY26LOF00029.spu,MAY26LOF00030.spu,MAY26LOF00031.spu,MAY26LOF00032.spu,MAY26LOF00033.spu,MAY26LOF00034.spu,MAY26LOF00035.spu,MAY26LOF00036.spu,MAY26LOF00037.spu,MAY26LOF00038.spu,MAY26LOF00039.spu,MAY26LOF00040.spu,MAY26LOF00041.spu,MAY26LOF00042.spu,MAY26LOF00043.spu,MAY26LOF00044.spu,MAY26LOF00045.spu,MAY26LOF00046.spu,MAY26LOF00047.spu,MAY26LOF00048.spu,MAY26LOF00049.spu,MAY26LOF00050.spu,MAY26LOF00051.spu,MAY26LOF00052.spu,MAY26LOF00053.spu,MAY26LOF00054.spu,MAY26LOF00055.spu,MAY26LOF00056.spu,MAY26LOF00057.spu,MAY26LOF00058.spu,MAY26LOF00059.spu,MAY26LOF00060.spu,MAY26LOF00061.spu,MAY26LOF00062.spu,MAY26LOF00063.spu,MAY26LOF00064.spu,MAY26LOF00065.spu,MAY26LOF00066.spu,MAY26LOF00067.spu,MAY26LOF00068.spu,MAY26LOF00069.spu,MAY26LOF00070.spu,MAY26LOF00071.spu,MAY26LOF00072.spu,MAY26LOF00073.spu,MAY26LOF00074.spu,MAY26LOF00075.spu,MAY26LOF00076.spu,MAY26LOF00077.spu,MAY26LOF00078.spu,MAY26LOF00079.spu,MAY26LOF00080.spu,MAY26LOF00081.spu,MAY26LOF00082.spu,MAY26LOF00083.spu,MAY26LOF00084.spu,MAY26LOF00085.spu,MAY26LOF00086.spu,MAY26LOF00087.spu,MAY26LOF00088.spu,MAY26LOF00089.spu,MAY26LOF00090.spu,MAY26LOF00091.spu,MAY26LOF00092.spu,MAY26LOF00093.spu,MAY26LOF00094.spu,MAY26LOF00095.spu,MAY26LOF00096.spu,MAY26LOF00097.spu,MAY26LOF00098.spu,MAY26LOF00099.spu,MAY26LOF00100.spu,MAY26LOF00101.spu,MAY26LOF00102.spu,MAY26LOF00103.spu,MAY26LOF00104.spu,MAY26LOF00105.spu,MAY26LOF00106.spu,MAY26LOF00107.spu,MAY26LOF00108.spu,MAY26LOF00109.spu,MAY26LOF00110.spu,MAY26LOF00111.spu,MAY26LOF00112.spu,MAY26LOF00113.spu,MAY26LOF00114.spu,MAY26LOF00115.spu,MAY26LOF00116.spu,MAY26LOF00117.spu,MAY26LOF00118.spu,MAY26LOF00119.spu,MAY26LOF00120.spu,MAY26LOF00121.spu,MAY26LOF00122.spu,MAY26LOF00123.spu,MAY26LOF00124.spu,MAY26LOF00125.spu,MAY26LOF00126.spu
  (nm),5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 
  time  ,58:05 PM,58:17 PM,58:24 PM,58:31 PM,58:37 PM,59:17 PM,59:23 PM,59:29 PM,59:36 PM,59:43 PM,00:14 PM,00:21 PM,00:28 PM,00:34 PM,00:41 PM,01:15 PM,01:21 PM,01:26 PM,01:39 PM,01:46 PM,02:21 PM,02:29 PM,02:42 PM,02:49 PM,02:57 PM,03:36 PM,03:52 PM,04:02 PM,04:23 PM,04:37 PM,05:17 PM,05:24 PM,05:34 PM,09:46 PM,09:58 PM,11:06 PM,11:42 PM,11:59 PM,12:07 PM,12:17 PM,12:51 PM,12:56 PM,13:04 PM,13:15 PM,13:23 PM,14:03 PM,14:15 PM,14:22 PM,14:30 PM,14:40 PM,15:22 PM,15:28 PM,15:33 PM,15:45 PM,15:52 PM,16:33 PM,16:41 PM,16:51 PM,17:00 PM,17:07 PM,17:55 PM,18:02 PM,18:10 PM,18:21 PM,18:29 PM,19:11 PM,19:24 PM,19:32 PM,19:42 PM,19:56 PM,20:38 PM,20:55 PM,21:04 PM,21:17 PM,21:26 PM,22:05 PM,22:12 PM,22:18 PM,22:27 PM,22:34 PM,23:14 PM,23:20 PM,23:27 PM,23:34 PM,23:44 PM,25:33 PM,25:47 PM,26:02 PM,26:09 PM,26:17 PM,26:50 PM,26:58 PM,27:07 PM,27:17 PM,27:26 PM,28:52 PM,29:01 PM,29:17 PM,29:29 PM,29:49 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 0.069263 , 0.035606 , 0.056352 , 0.06148 , 0.02858 , 0.041606 , 0.058674 , 0.043467 , 0.037286 , 0.043105 , 0.055231 , 0.050284 , 0.046333 , 0.03989 , 0.051713 , 0.04189 , 0.04763 , 0.026034 , 0.027985 , 0.027192 , 0.031016 , 0.032542 , 0.016286 , 0.021203 , 0.029612 , 0.022202 , 0.025341 , 0.027033 , 0.027701 , 0.029184 , 0.028507 , 0.00948 , 0.030591 , 0 , 0.000503 , 0.000511 , 0.024002 , 0.009751 , 0 , 0.000149 , 0.007702 , 0.016045 , 0.00239 , 0.000284 , 0.000376 , 0.00043 , 0 , 0.009864 , 0 , 0 , 0 , 0.000222 , 0 , 0 , 0 , 0.000227 , 0 , 0.000319 , 0.000114 , 0.004203 , 0.002647 , 0.000219 , 0.004105 , 0 , 0.000141 , 0.013239 , 0.011106 , 0.032483 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 311 , 0.069276 , 0.047721 , 0.06406 , 0.066099 , 0.034327 , 0.046203 , 0.07011 , 0.054344 , 0.049171 , 0.05782 , 0.069534 , 0.061919 , 0.052471 , 0.044044 , 0.057131 , 0.0546 , 0.061876 , 0.034126 , 0.036974 , 0.036177 , 0.041161 , 0.040088 , 0.021462 , 0.02871 , 0.038374 , 0.029482 , 0.03387 , 0.035323 , 0.036112 , 0.038281 , 0.037203 , 0.012579 , 0.041744 , 0 , 0.00006 , 0.000058 , 0.031296 , 0.012858 , 0 , 0.000018 , 0.009928 , 0.021605 , 0.002694 , 0.000033 , 0.000045 , 0.00005 , 0 , 0.013037 , 0 , 0 , 0 , 0.000025 , 0 , 0 , 0 , 0.000025 , 0 , 0.000038 , 0.000013 , 0.005605 , 0.003282 , 0.000025 , 0.006281 , 0 , 0.000015 , 0.017181 , 0.014776 , 0.045117 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 312 , 0.061883 , 0.044996 , 0.057101 , 0.056389 , 0.032999 , 0.039635 , 0.059793 , 0.047935 , 0.044766 , 0.046319 , 0.060962 , 0.052943 , 0.046584 , 0.040843 , 0.045804 , 0.047862 , 0.05116 , 0.025125 , 0.035339 , 0.032405 , 0.032793 , 0.0326 , 0.01556 , 0.021658 , 0.032278 , 0.023237 , 0.025539 , 0.025586 , 0.029241 , 0.027956 , 0.030166 , 0.010587 , 0.029873 , 0 , 0 , 0 , 0.027256 , 0.0093 , 0 , 0 , 0.007108 , 0.015356 , 0.001924 , 0 , 0 , 0 , 0 , 0.009396 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.004047 , 0.002297 , 0 , 0.004609 , 0 , 0 , 0.013328 , 0.010876 , 0.03299 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 313 , 0.054406 , 0.040557 , 0.048883 , 0.04536 , 0.030799 , 0.031982 , 0.047279 , 0.04014 , 0.038605 , 0.032601 , 0.050039 , 0.042271 , 0.039634 , 0.03693 , 0.033258 , 0.039158 , 0.038175 , 0.014594 , 0.032469 , 0.027476 , 0.022803 , 0.024075 , 0.008899 , 0.013356 , 0.025035 , 0.015771 , 0.015757 , 0.014605 , 0.021155 , 0.016079 , 0.021673 , 0.008068 , 0.016795 , 0 , 0 , 0 , 0.022008 , 0.005244 , 0 , 0 , 0.003972 , 0.008599 , 0.001088 , 0 , 0 , 0 , 0 , 0.005274 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.002274 , 0.00126 , 0 , 0.002606 , 0 , 0 , 0.008771 , 0.006246 , 0.018945 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 314 , 0.04794 , 0.036646 , 0.041635 , 0.035383 , 0.028861 , 0.025066 , 0.035995 , 0.033416 , 0.033173 , 0.020553 , 0.040286 , 0.032974 , 0.033505 , 0.033463 , 0.022078 , 0.031448 , 0.026717 , 0.005146 , 0.02995 , 0.02324 , 0.013985 , 0.016789 , 0.00311 , 0.005986 , 0.018785 , 0.009132 , 0.007065 , 0.005063 , 0.014141 , 0.005594 , 0.014104 , 0.0058 , 0.005762 , 0 , 0 , 0 , 0.017316 , 0.001685 , 0 , 0 , 0.001264 , 0.002971 , 0.000351 , 0 , 0 , 0 , 0 , 0.001687 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000728 , 0.000394 , 0 , 0.00084 , 0 , 0 , 0.004694 , 0.002044 , 0.006634 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 315 , 0.040512 , 0.031124 , 0.033172 , 0.026176 , 0.024349 , 0.020352 , 0.029796 , 0.028747 , 0.027413 , 0.01658 , 0.032183 , 0.028349 , 0.028142 , 0.027794 , 0.017286 , 0.025206 , 0.018984 , 0.000485 , 0.024789 , 0.019853 , 0.009412 , 0.011244 , 0.00032 , 0.001993 , 0.01405 , 0.004884 , 0.002378 , 0.000483 , 0.008937 , 0.001339 , 0.009621 , 0.004454 , 0.000576 , 0 , 0 , 0 , 0.012984 , 0 , 0 , 0 , 0 , 0.000343 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.002211 , 0 , 0.000667 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
