MAY26LOF00171.spu,MAY26LOF00170.spu,
Wavelength,MAY26LOF00132.spu,MAY26LOF00133.spu,MAY26LOF00134.spu,MAY26LOF00135.spu,MAY26LOF00136.spu,MAY26LOF00137.spu,MAY26LOF00138.spu,MAY26LOF00139.spu,MAY26LOF00140.spu,MAY26LOF00141.spu,MAY26LOF00142.spu,MAY26LOF00143.spu,MAY26LOF00144.spu,MAY26LOF00145.spu,MAY26LOF00146.spu,MAY26LOF00147.spu,MAY26LOF00148.spu,MAY26LOF00149.spu,MAY26LOF00150.spu,MAY26LOF00151.spu,MAY26LOF00152.spu,MAY26LOF00153.spu,MAY26LOF00154.spu,MAY26LOF00155.spu,MAY26LOF00156.spu,MAY26LOF00157.spu,MAY26LOF00158.spu,MAY26LOF00159.spu,MAY26LOF00160.spu,MAY26LOF00161.spu,MAY26LOF00162.spu,MAY26LOF00163.spu,MAY26LOF00164.spu,MAY26LOF00165.spu,MAY26LOF00166.spu
  (nm),5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 
  time  ,33:42 PM,33:55 PM,34:00 PM,34:07 PM,34:14 PM,34:51 PM,34:59 PM,35:05 PM,35:13 PM,35:20 PM,35:50 PM,35:57 PM,36:04 PM,36:13 PM,36:20 PM,36:56 PM,37:05 PM,37:13 PM,37:21 PM,37:28 PM,38:19 PM,38:27 PM,38:35 PM,38:40 PM,38:47 PM,39:20 PM,39:29 PM,39:40 PM,39:55 PM,40:02 PM,40:34 PM,40:46 PM,40:54 PM,41:01 PM,41:07 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000137 , 0 , 0 , 0 
 311 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000016 , 0 , 0 , 0 
 312 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 313 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 314 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 315 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 316 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 317 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 318 , 0 , 0 , 0.00024 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000197 , 0 , 0.000145 , 0.000218 , 0 , 0 , 0 , 0.000197 , 0.000559 , 0.000135 , 0.000873 , 0 , 0.000695 , 0.000145 , 0 , 0.000135 , 0.001258 , 0 , 0.000579 , 0 , 0.001233 , 0.001077 , 0.000217 , 0.000198 , 0 , 0.000073 
 319 , 0 , 0 , 0.002187 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001704 , 0 , 0.001327 , 0.00204 , 0 , 0 , 0 , 0.001795 , 0.005055 , 0.001267 , 0.007961 , 0 , 0.006238 , 0.001327 , 0 , 0.001297 , 0.011565 , 0 , 0.005142 , 0 , 0.011299 , 0.010055 , 0.002003 , 0.001857 , 0 , 0.000635 
 320 , 0 , 0 , 0.003529 , 0 , 0 , 0 , 0 , 0 , 0 , 0.002635 , 0 , 0.002154 , 0.003376 , 0 , 0 , 0 , 0.002894 , 0.00811 , 0.002102 , 0.012858 , 0 , 0.009935 , 0.002154 , 0 , 0.002195 , 0.018823 , 0 , 0.008121 , 0 , 0.018343 , 0.016603 , 0.003266 , 0.00307 , 0 , 0.000988 
 321 , 0 , 0 , 0.004477 , 0 , 0 , 0 , 0 , 0 , 0 , 0.003226 , 0 , 0.002748 , 0.004381 , 0 , 0 , 0 , 0.003669 , 0.01024 , 0.002737 , 0.016331 , 0 , 0.012468 , 0.002748 , 0 , 0.002908 , 0.024067 , 0 , 0.01012 , 0 , 0.023403 , 0.021505 , 0.004185 , 0.003983 , 0 , 0.001214 
 322 , 0.001704 , 0.001571 , 0.009135 , 0 , 0.004245 , 0.004565 , 0.002578 , 0.004756 , 0.006012 , 0.003057 , 0.006393 , 0.002191 , 0.007392 , 0 , 0.007323 , 0.003271 , 0.006317 , 0.013096 , 0.007333 , 0.02001 , 0.002487 , 0.013715 , 0.004399 , 0.003053 , 0.006668 , 0.026052 , 0.004127 , 0.0105 , 0.002448 , 0.027237 , 0.022054 , 0.006711 , 0.006964 , 0.005 , 0.002602 
 323 , 0.003771 , 0.003192 , 0.014192 , 0 , 0.009844 , 0.009479 , 0.00562 , 0.009404 , 0.012837 , 0.002712 , 0.014207 , 0.001317 , 0.010449 , 0 , 0.015272 , 0.007071 , 0.009236 , 0.015681 , 0.0119 , 0.023216 , 0.005263 , 0.014481 , 0.006227 , 0.006853 , 0.010756 , 0.026883 , 0.008532 , 0.010461 , 0.005181 , 0.030159 , 0.021263 , 0.009181 , 0.009981 , 0.010734 , 0.004099 
 324 , 0.005607 , 0.004346 , 0.018314 , 0 , 0.01546 , 0.013182 , 0.008213 , 0.012489 , 0.018357 , 0.002434 , 0.021217 , 0.000515 , 0.012829 , 0 , 0.02133 , 0.010246 , 0.011748 , 0.017671 , 0.015126 , 0.025764 , 0.007458 , 0.015135 , 0.007852 , 0.010351 , 0.014083 , 0.027541 , 0.011816 , 0.010526 , 0.007341 , 0.032442 , 0.020497 , 0.011017 , 0.012295 , 0.015441 , 0.005291 
