MAY26LOF00171.spu,
Wavelength,MAY26LOF00172.spu,MAY26LOF00173.spu,MAY26LOF00174.spu,MAY26LOF00175.spu,MAY26LOF00176.spu,MAY26LOF00177.spu,MAY26LOF00178.spu,MAY26LOF00179.spu,MAY26LOF00180.spu,MAY26LOF00181.spu,MAY26LOF00182.spu,MAY26LOF00183.spu,MAY26LOF00184.spu,MAY26LOF00185.spu,MAY26LOF00186.spu,MAY26LOF00187.spu,MAY26LOF00188.spu,MAY26LOF00189.spu,MAY26LOF00190.spu,MAY26LOF00191.spu,MAY26LOF00192.spu,MAY26LOF00193.spu,MAY26LOF00194.spu,MAY26LOF00195.spu,MAY26LOF00196.spu,MAY26LOF00197.spu,MAY26LOF00198.spu,MAY26LOF00199.spu,MAY26LOF00200.spu,MAY26LOF00201.spu,MAY26LOF00202.spu,MAY26LOF00203.spu,MAY26LOF00204.spu,MAY26LOF00205.spu,MAY26LOF00206.spu,MAY26LOF00207.spu,MAY26LOF00208.spu,MAY26LOF00209.spu,MAY26LOF00210.spu,MAY26LOF00211.spu,MAY26LOF00212.spu,MAY26LOF00213.spu,MAY26LOF00214.spu,MAY26LOF00215.spu,MAY26LOF00216.spu,MAY26LOF00217.spu,MAY26LOF00218.spu,MAY26LOF00219.spu,MAY26LOF00220.spu,MAY26LOF00221.spu
  (nm),5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 
  time  ,48:23 PM,48:34 PM,48:42 PM,48:47 PM,48:56 PM,49:39 PM,49:50 PM,49:56 PM,50:06 PM,50:14 PM,50:47 PM,50:54 PM,51:04 PM,51:11 PM,51:20 PM,52:05 PM,52:13 PM,52:22 PM,52:33 PM,52:44 PM,53:21 PM,53:29 PM,53:36 PM,53:44 PM,53:52 PM,54:33 PM,54:40 PM,54:48 PM,55:01 PM,55:10 PM,55:50 PM,56:00 PM,56:07 PM,56:14 PM,56:21 PM,57:02 PM,57:09 PM,57:17 PM,57:27 PM,57:36 PM,58:17 PM,58:24 PM,58:31 PM,58:40 PM,58:52 PM,59:30 PM,59:39 PM,59:48 PM,59:55 PM,00:04 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 0.000301 , 0.000323 , 0.025166 , 0 , 0.000174 , 0.029918 , 0.000626 , 0 , 0.000205 , 0.006848 , 0.000381 , 0.013021 , 0.014094 , 0 , 0 , 0.000247 , 0.010243 , 0.014417 , 0 , 0 , 0 , 0 , 0.000396 , 0.010813 , 0.011439 , 0.010918 , 0.03414 , 0.0147 , 0.00906 , 0.00023 , 0.016067 , 0.000357 , 0.004479 , 0.003391 , 0.000191 , 0.032322 , 0.000286 , 0.016622 , 0.014923 , 0.009508 , 0.037429 , 0.017937 , 0.022724 , 0.020917 , 0.027151 , 0.019917 , 0.009358 , 0.010811 , 0.007926 , 0.025014 
 311 , 0.000036 , 0.000036 , 0.034787 , 0 , 0.00002 , 0.039032 , 0.000074 , 0 , 0.000022 , 0.008472 , 0.000045 , 0.01814 , 0.018906 , 0 , 0 , 0.000029 , 0.013834 , 0.020644 , 0 , 0 , 0 , 0 , 0.000047 , 0.014798 , 0.01473 , 0.014444 , 0.047636 , 0.018438 , 0.011946 , 0.000027 , 0.021072 , 0.000043 , 0.006467 , 0.004308 , 0.00002 , 0.042946 , 0.000034 , 0.024365 , 0.019719 , 0.012004 , 0.050667 , 0.02391 , 0.030171 , 0.027841 , 0.035883 , 0.026083 , 0.012385 , 0.013541 , 0.010725 , 0.032388 
 312 , 0 , 0 , 0.023984 , 0 , 0 , 0.028684 , 0 , 0 , 0 , 0.006479 , 0 , 0.015753 , 0.013864 , 0 , 0 , 0 , 0.009471 , 0.014282 , 0 , 0 , 0 , 0 , 0 , 0.011071 , 0.01086 , 0.010826 , 0.034661 , 0.01402 , 0.00829 , 0 , 0.014914 , 0 , 0.004465 , 0.00316 , 0 , 0.031479 , 0 , 0.021366 , 0.018094 , 0.011332 , 0.046935 , 0.020898 , 0.0227 , 0.023552 , 0.029274 , 0.021349 , 0.009121 , 0.010506 , 0.007778 , 0.024583 
 313 , 0 , 0 , 0.013048 , 0 , 0 , 0.016604 , 0 , 0 , 0 , 0.003918 , 0 , 0.012554 , 0.008009 , 0 , 0 , 0 , 0.005055 , 0.007667 , 0 , 0 , 0 , 0 , 0 , 0.006468 , 0.006274 , 0.006354 , 0.019784 , 0.008472 , 0.004494 , 0 , 0.008242 , 0 , 0.002392 , 0.001818 , 0 , 0.018209 , 0 , 0.017296 , 0.015795 , 0.010266 , 0.041375 , 0.017076 , 0.014003 , 0.018335 , 0.020934 , 0.015669 , 0.005251 , 0.006506 , 0.004396 , 0.014818 
 314 , 0 , 0 , 0.004398 , 0 , 0 , 0.00574 , 0 , 0 , 0 , 0.001355 , 0 , 0.009667 , 0.002783 , 0 , 0 , 0 , 0.001545 , 0.002356 , 0 , 0 , 0 , 0 , 0 , 0.002155 , 0.002067 , 0.002128 , 0.006795 , 0.003085 , 0.001393 , 0 , 0.0026 , 0 , 0.000733 , 0.000596 , 0 , 0.006401 , 0 , 0.013706 , 0.013774 , 0.009317 , 0.036488 , 0.013749 , 0.006285 , 0.013806 , 0.013228 , 0.010662 , 0.001722 , 0.002434 , 0.001416 , 0.005457 
 315 , 0 , 0 , 0.000517 , 0 , 0 , 0.000407 , 0 , 0 , 0 , 0 , 0 , 0.007101 , 0.000232 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000549 , 0.000257 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000623 , 0 , 0.010978 , 0.014222 , 0.00737 , 0.031015 , 0.010249 , 0.002162 , 0.010649 , 0.007728 , 0.007666 , 0 , 0.000202 , 0 , 0.000561 
