JUN18LOF00007.spu,JUN18LOF00006.spu,JUN18LOF00005.spu,
Wavelength,JUN18LOF00008.spu,JUN18LOF00009.spu,JUN18LOF00010.spu,JUN18LOF00011.spu,JUN18LOF00012.spu,JUN18LOF00013.spu,JUN18LOF00014.spu,JUN18LOF00015.spu,JUN18LOF00016.spu,JUN18LOF00017.spu,JUN18LOF00018.spu,JUN18LOF00019.spu,JUN18LOF00020.spu,JUN18LOF00021.spu,JUN18LOF00022.spu,JUN18LOF00023.spu,JUN18LOF00024.spu,JUN18LOF00025.spu,JUN18LOF00026.spu,JUN18LOF00027.spu,JUN18LOF00028.spu,JUN18LOF00029.spu,JUN18LOF00030.spu,JUN18LOF00031.spu,JUN18LOF00032.spu,JUN18LOF00033.spu,JUN18LOF00034.spu,JUN18LOF00035.spu,JUN18LOF00036.spu,JUN18LOF00037.spu,JUN18LOF00038.spu,JUN18LOF00039.spu,JUN18LOF00040.spu,JUN18LOF00041.spu,JUN18LOF00042.spu,JUN18LOF00043.spu,JUN18LOF00044.spu,JUN18LOF00045.spu,JUN18LOF00046.spu,JUN18LOF00047.spu,JUN18LOF00048.spu,JUN18LOF00049.spu,JUN18LOF00050.spu,JUN18LOF00051.spu,JUN18LOF00052.spu,JUN18LOF00053.spu,JUN18LOF00054.spu,JUN18LOF00055.spu,JUN18LOF00056.spu,JUN18LOF00057.spu,JUN18LOF00058.spu,JUN18LOF00059.spu,JUN18LOF00060.spu,JUN18LOF00061.spu,JUN18LOF00062.spu,JUN18LOF00063.spu,JUN18LOF00064.spu,JUN18LOF00065.spu,JUN18LOF00066.spu,JUN18LOF00067.spu,JUN18LOF00068.spu,JUN18LOF00069.spu,JUN18LOF00070.spu,JUN18LOF00071.spu,JUN18LOF00072.spu,JUN18LOF00073.spu,JUN18LOF00074.spu,JUN18LOF00075.spu,JUN18LOF00076.spu,JUN18LOF00077.spu,JUN18LOF00078.spu,JUN18LOF00079.spu,JUN18LOF00080.spu,JUN18LOF00081.spu,JUN18LOF00082.spu,JUN18LOF00083.spu,JUN18LOF00084.spu,JUN18LOF00085.spu,JUN18LOF00086.spu,JUN18LOF00087.spu,JUN18LOF00088.spu,JUN18LOF00089.spu,JUN18LOF00090.spu,JUN18LOF00091.spu,JUN18LOF00092.spu,JUN18LOF00093.spu,JUN18LOF00094.spu,JUN18LOF00095.spu,JUN18LOF00096.spu,JUN18LOF00097.spu,JUN18LOF00098.spu,JUN18LOF00099.spu,JUN18LOF00100.spu,JUN18LOF00101.spu,JUN18LOF00102.spu,JUN18LOF00103.spu,JUN18LOF00104.spu,JUN18LOF00105.spu,JUN18LOF00106.spu,JUN18LOF00107.spu,JUN18LOF00108.spu,JUN18LOF00109.spu,JUN18LOF00110.spu,JUN18LOF00111.spu,JUN18LOF00112.spu,JUN18LOF00113.spu,JUN18LOF00114.spu,JUN18LOF00115.spu,JUN18LOF00116.spu,JUN18LOF00117.spu,JUN18LOF00118.spu,JUN18LOF00119.spu,JUN18LOF00120.spu,JUN18LOF00121.spu,JUN18LOF00122.spu,JUN18LOF00123.spu,JUN18LOF00124.spu,JUN18LOF00125.spu,JUN18LOF00126.spu
  (nm),6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 
  time  ,:20:40 A,:20:47 A,:20:55 A,:21:01 A,:21:07 A,:21:36 A,:21:40 A,:21:49 A,:21:56 A,:22:03 A,:22:44 A,:22:50 A,:22:55 A,:23:01 A,:23:07 A,:23:39 A,:23:46 A,:23:52 A,:23:59 A,:24:05 A,:24:37 A,:24:43 A,:24:49 A,:24:54 A,:24:59 A,:25:31 A,:25:41 A,:25:46 A,:25:55 A,:26:02 A,:26:33 A,:26:42 A,:26:49 A,:26:55 A,:27:02 A,:27:37 A,:27:44 A,:27:51 A,:27:59 A,:28:06 A,:28:41 A,:28:50 A,:28:58 A,:29:08 A,:29:17 A,:30:12 A,:30:18 A,:30:26 A,:30:33 A,:30:41 A,:31:38 A,:31:48 A,:31:54 A,:32:01 A,:32:09 A,:32:40 A,:32:46 A,:32:53 A,:32:58 A,:33:04 A,:33:38 A,:33:45 A,:33:50 A,:33:57 A,:34:03 A,:34:36 A,:34:44 A,:34:51 A,:35:00 A,:35:11 A,:35:46 A,:35:52 A,:35:58 A,:36:04 A,:36:11 A,:36:43 A,:36:49 A,:36:56 A,:37:02 A,:37:10 A,:37:44 A,:37:50 A,:37:57 A,:38:03 A,:38:11 A,:38:47 A,:38:54 A,:39:01 A,:39:09 A,:39:15 A,:39:53 A,:39:59 A,:40:04 A,:40:12 A,:40:19 A,:41:05 A,:41:11 A,:41:16 A,:41:33 A,:41:44 A,:48:37 A,:48:45 A,:48:51 A,:48:59 A,:49:05 A,:49:37 A,:49:45 A,:49:54 A,:50:02 A,:50:07 A,:50:40 A,:50:47 A,:50:54 A,:51:01 A,:51:09 A,:51:48 A,:51:55 A,:52:01 A,:52:08 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 1.400433 , 1.400433 , 1.400433 , 1.400433 , 1.400433 , 1.400433 , 1.400433 , 1.400433 , 1.400433 , 0 , 0 , 1.400433 , 1.400433 , 1.400433 , 1.400433 , 0 , 0 , 0 , 0 , 1.400433 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1.400433 , 1.400433 , 0 , 1.400433 , 1.400433 , 1.400433 , 1.400433 , 1.400433 , 0 , 1.400433 , 1.400433 , 1.400433 , 0 , 0 , 0 , 0 , 1.400433 , 0 , 0 
 311 , 1.423609 , 1.423609 , 1.423609 , 1.423609 , 1.423609 , 1.423609 , 1.423609 , 1.423609 , 1.423609 , 0 , 0 , 1.423609 , 1.423609 , 1.423609 , 1.423609 , 0 , 0 , 0 , 0 , 1.423609 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1.423609 , 1.423609 , 0 , 1.423609 , 1.423609 , 1.423609 , 1.423609 , 1.423609 , 0 , 1.423609 , 1.423609 , 1.423609 , 0 , 0 , 0 , 0 , 1.423609 , 0 , 0 
 312 , 0 , 1.203474 , 1.203474 , 1.203474 , 0 , 0 , 0 , 0 , 1.203474 , 0 , 0 , 0 , 0 , 0 , 1.203474 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1.203474 , 0 , 0 , 1.203474 , 1.203474 , 1.203474 , 1.203474 , 1.203474 , 0 , 1.203474 , 1.203474 , 1.203474 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 313 , 0 , 1.466924 , 1.466924 , 1.466924 , 0 , 0 , 0 , 0 , 1.466924 , 0 , 0 , 0 , 0 , 0 , 1.466924 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1.466924 , 0 , 0 , 1.466924 , 1.466924 , 1.466924 , 1.466924 , 1.466924 , 0 , 1.466924 , 1.466924 , 1.466924 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 314 , 0 , 1.131664 , 1.131664 , 1.131664 , 0 , 0 , 0 , 0 , 1.131664 , 0 , 0 , 0 , 0 , 0 , 1.131664 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1.131664 , 0 , 0 , 1.131664 , 1.131664 , 1.131664 , 1.131664 , 1.131664 , 0 , 1.131664 , 1.131664 , 1.131664 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 315 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1.009321 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1.009321 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
