JUN18LOF00192.spu,JUN18LOF00191.spu,JUN18LOF00190.spu,JUN18LOF00189.spu,JUN18LOF00188.spu,
Wavelength,JUN18LOF00193.spu,JUN18LOF00194.spu,JUN18LOF00195.spu,JUN18LOF00196.spu,JUN18LOF00197.spu,JUN18LOF00198.spu,JUN18LOF00199.spu,JUN18LOF00200.spu,JUN18LOF00201.spu,JUN18LOF00202.spu,JUN18LOF00203.spu,JUN18LOF00204.spu,JUN18LOF00205.spu,JUN18LOF00206.spu,JUN18LOF00207.spu,JUN18LOF00208.spu,JUN18LOF00209.spu,JUN18LOF00210.spu,JUN18LOF00211.spu,JUN18LOF00212.spu
  (nm),6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 
  time  ,:16:00 A,:16:14 A,:16:21 A,:16:28 A,:16:39 A,:17:11 A,:17:17 A,:17:24 A,:17:34 A,:17:42 A,:18:26 A,:18:31 A,:18:36 A,:18:42 A,:18:49 A,:19:31 A,:19:36 A,:19:44 A,:19:51 A,:19:57 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,
 310 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 311 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 312 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 313 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 314 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 315 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 316 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 317 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 318 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 319 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 320 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 321 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 322 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 323 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 324 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 325 , 0.428254 , 0 , 0.428254 , 0 , 0.428254 , 0 , 0 , 0 , 0.428254 , 0.428254 , 0.428254 , 0.428254 , 0.428254 , 0.428254 , 0.428254 , 0.428254 , 0.428254 , 0.428254 , 0.428254 , 0.428254 
 326 , 0.779682 , 0 , 0.779682 , 0 , 0.779682 , 0 , 0 , 0 , 0.779682 , 0.779682 , 0.779682 , 0.779682 , 0.779682 , 0.779682 , 0.779682 , 0.779682 , 0.779682 , 0.779682 , 0.779682 , 0.779682 
 327 , 0.900229 , 0 , 0.900229 , 0 , 0.900229 , 0 , 0 , 0 , 0.900229 , 0.900229 , 0.900229 , 0.900229 , 0.900229 , 0.900229 , 0.900229 , 0.900229 , 0.900229 , 0.900229 , 0.900229 , 0.900229 
