JUN28LOF00005.spu,JUN28LOF00004.spu,JUN28LOF00003.spu,
Wavelength,JUN28LOF00006.spu,JUN28LOF00007.spu,JUN28LOF00008.spu,JUN28LOF00009.spu,JUN28LOF00010.spu,JUN28LOF00011.spu,JUN28LOF00012.spu,JUN28LOF00013.spu,JUN28LOF00014.spu,JUN28LOF00015.spu,JUN28LOF00016.spu,JUN28LOF00017.spu,JUN28LOF00018.spu,JUN28LOF00019.spu,JUN28LOF00020.spu,JUN28LOF00021.spu,JUN28LOF00022.spu,JUN28LOF00023.spu,JUN28LOF00024.spu,JUN28LOF00025.spu,JUN28LOF00026.spu,JUN28LOF00027.spu,JUN28LOF00028.spu,JUN28LOF00029.spu,JUN28LOF00030.spu,JUN28LOF00031.spu,JUN28LOF00032.spu,JUN28LOF00033.spu,JUN28LOF00034.spu,JUN28LOF00035.spu,JUN28LOF00036.spu,JUN28LOF00037.spu,JUN28LOF00038.spu,JUN28LOF00039.spu,JUN28LOF00040.spu,JUN28LOF00041.spu,JUN28LOF00042.spu,JUN28LOF00043.spu,JUN28LOF00044.spu,JUN28LOF00045.spu,JUN28LOF00046.spu,JUN28LOF00047.spu,JUN28LOF00048.spu,JUN28LOF00049.spu,JUN28LOF00050.spu,JUN28LOF00051.spu,JUN28LOF00052.spu,JUN28LOF00053.spu,JUN28LOF00054.spu,JUN28LOF00055.spu,JUN28LOF00056.spu,JUN28LOF00057.spu,JUN28LOF00058.spu,JUN28LOF00059.spu,JUN28LOF00060.spu,JUN28LOF00061.spu,JUN28LOF00062.spu,JUN28LOF00063.spu,JUN28LOF00064.spu,JUN28LOF00065.spu,JUN28LOF00066.spu,JUN28LOF00067.spu,JUN28LOF00068.spu,JUN28LOF00069.spu,JUN28LOF00070.spu,JUN28LOF00071.spu,JUN28LOF00072.spu,JUN28LOF00073.spu,JUN28LOF00074.spu,JUN28LOF00075.spu,JUN28LOF00076.spu,JUN28LOF00077.spu,JUN28LOF00078.spu,JUN28LOF00079.spu,JUN28LOF00080.spu,JUN28LOF00081.spu,JUN28LOF00082.spu,JUN28LOF00083.spu,JUN28LOF00084.spu,JUN28LOF00085.spu,JUN28LOF00086.spu,JUN28LOF00087.spu,JUN28LOF00088.spu,JUN28LOF00089.spu,JUN28LOF00090.spu,JUN28LOF00091.spu,JUN28LOF00092.spu,JUN28LOF00093.spu,JUN28LOF00094.spu,JUN28LOF00095.spu,JUN28LOF00096.spu,JUN28LOF00097.spu,JUN28LOF00098.spu,JUN28LOF00099.spu,JUN28LOF00100.spu,JUN28LOF00101.spu,JUN28LOF00102.spu,JUN28LOF00103.spu,JUN28LOF00104.spu,JUN28LOF00105.spu,JUN28LOF00106.spu,JUN28LOF00107.spu,JUN28LOF00108.spu,JUN28LOF00109.spu,JUN28LOF00110.spu,JUN28LOF00111.spu,JUN28LOF00112.spu,JUN28LOF00113.spu,JUN28LOF00114.spu,JUN28LOF00115.spu,JUN28LOF00116.spu,JUN28LOF00117.spu,JUN28LOF00118.spu,JUN28LOF00119.spu,JUN28LOF00120.spu,JUN28LOF00121.spu,JUN28LOF00122.spu,JUN28LOF00123.spu,JUN28LOF00124.spu,JUN28LOF00125.spu,JUN28LOF00126.spu,JUN28LOF00127.spu,JUN28LOF00128.spu,JUN28LOF00129.spu,JUN28LOF00130.spu,JUN28LOF00131.spu,JUN28LOF00132.spu,JUN28LOF00133.spu,JUN28LOF00134.spu,JUN28LOF00135.spu,JUN28LOF00136.spu,JUN28LOF00137.spu,JUN28LOF00138.spu,JUN28LOF00139.spu,JUN28LOF00140.spu,JUN28LOF00141.spu,JUN28LOF00142.spu,JUN28LOF00143.spu,JUN28LOF00144.spu,JUN28LOF00145.spu,JUN28LOF00146.spu,JUN28LOF00147.spu,JUN28LOF00148.spu,JUN28LOF00149.spu,JUN28LOF00150.spu,JUN28LOF00151.spu,JUN28LOF00152.spu,JUN28LOF00153.spu,JUN28LOF00154.spu,JUN28LOF00155.spu
  (nm),6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 
  time  ,:31:52 A,:32:01 A,:32:11 A,:32:23 A,:32:31 A,:33:08 A,:33:15 A,:33:22 A,:33:32 A,:33:44 A,:34:19 A,:34:30 A,:34:36 A,:34:43 A,:34:50 A,:35:35 A,:35:42 A,:35:48 A,:35:57 A,:36:02 A,:36:35 A,:36:41 A,:36:47 A,:36:54 A,:37:01 A,:37:35 A,:37:47 A,:37:54 A,:38:01 A,:38:19 A,:38:58 A,:39:05 A,:39:12 A,:39:19 A,:39:29 A,:40:03 A,:40:11 A,:40:17 A,:40:23 A,:40:34 A,:41:17 A,:41:26 A,:41:36 A,:41:43 A,:41:52 A,:42:26 A,:42:32 A,:42:39 A,:42:45 A,:42:55 A,:44:44 A,:44:51 A,:44:59 A,:45:06 A,:45:15 A,:45:48 A,:45:56 A,:46:05 A,:46:15 A,:46:22 A,:46:57 A,:47:06 A,:47:15 A,:47:21 A,:47:31 A,:48:04 A,:48:12 A,:48:19 A,:48:28 A,:48:39 A,:49:13 A,:49:20 A,:49:28 A,:49:37 A,:49:44 A,:50:30 A,:50:41 A,:50:50 A,:51:00 A,:51:11 A,:51:48 A,:51:55 A,:52:03 A,:52:12 A,:52:25 A,:52:59 A,:53:08 A,:53:15 A,:53:25 A,:53:36 A,:54:15 A,:54:26 A,:54:33 A,:54:41 A,:54:49 A,:55:30 A,:55:37 A,:55:46 A,:55:53 A,:56:02 A,:58:11 A,:58:19 A,:58:25 A,:58:38 A,:58:46 A,:59:21 A,:59:28 A,:59:37 A,:59:48 A,:59:58 A,:00:33 A,:00:41 A,:00:57 A,:01:06 A,:01:15 A,:01:50 A,:01:59 A,:02:07 A,:02:14 A,:02:21 A,:03:01 A,:03:12 A,:03:21 A,:03:32 A,:03:40 A,:04:20 A,:04:28 A,:04:38 A,:04:46 A,:04:53 A,:05:40 A,:05:47 A,:05:55 A,:06:02 A,:06:09 A,:06:49 A,:06:56 A,:07:04 A,:07:11 A,:07:20 A,:07:59 A,:08:06 A,:08:16 A,:08:26 A,:08:40 A,:09:16 A,:09:23 A,:09:30 A,:09:37 A,:09:44 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 0 , 1 , 0 , 0 , 0 , 0 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 0 , 0 , 0 , 0 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 
 311 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 0 , 1 , 0 , 0 , 0 , 0 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 0 , 0 , 0 , 0 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 
 312 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 1 , 0 , 0 , 1 , 0 , 1 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 313 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 1 , 0 , 0 , 1 , 0 , 1 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 314 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 1 , 0 , 0 , 1 , 0 , 1 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 315 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 0 , 1 , 0 , 0 , 1 , 1 , 1 , 0 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
