JUN28LOF00160.spu,JUN28LOF00159.spu,JUN28LOF00158.spu,JUN28LOF00157.spu,JUN28LOF00156.spu,
Wavelength,JUN28LOF00161.spu,JUN28LOF00162.spu,JUN28LOF00163.spu,JUN28LOF00164.spu,JUN28LOF00165.spu,JUN28LOF00166.spu,JUN28LOF00167.spu,JUN28LOF00168.spu,JUN28LOF00169.spu,JUN28LOF00170.spu,JUN28LOF00171.spu,JUN28LOF00172.spu,JUN28LOF00173.spu,JUN28LOF00174.spu,JUN28LOF00175.spu,JUN28LOF00176.spu,JUN28LOF00177.spu,JUN28LOF00178.spu,JUN28LOF00179.spu,JUN28LOF00180.spu,JUN28LOF00181.spu,JUN28LOF00182.spu,JUN28LOF00183.spu,JUN28LOF00184.spu,JUN28LOF00185.spu,JUN28LOF00186.spu,JUN28LOF00187.spu,JUN28LOF00188.spu,JUN28LOF00189.spu,JUN28LOF00190.spu,JUN28LOF00191.spu,JUN28LOF00192.spu,JUN28LOF00193.spu,JUN28LOF00194.spu,JUN28LOF00195.spu,JUN28LOF00196.spu,JUN28LOF00197.spu,JUN28LOF00198.spu,JUN28LOF00199.spu,JUN28LOF00200.spu,JUN28LOF00201.spu,JUN28LOF00202.spu,JUN28LOF00203.spu,JUN28LOF00204.spu,JUN28LOF00205.spu,JUN28LOF00206.spu,JUN28LOF00207.spu,JUN28LOF00208.spu,JUN28LOF00209.spu,JUN28LOF00210.spu
  (nm),6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 
  time  ,:16:32 A,:16:43 A,:16:51 A,:16:59 A,:17:06 A,:17:37 A,:17:45 A,:17:50 A,:17:56 A,:18:02 A,:18:45 A,:18:53 A,:18:59 A,:19:07 A,:19:15 A,:19:53 A,:19:59 A,:20:07 A,:20:16 A,:20:23 A,:21:00 A,:21:09 A,:21:16 A,:21:24 A,:21:34 A,:22:11 A,:22:20 A,:22:26 A,:22:35 A,:22:44 A,:23:24 A,:23:31 A,:23:37 A,:23:45 A,:23:52 A,:24:27 A,:24:34 A,:24:42 A,:24:50 A,:24:56 A,:25:34 A,:25:40 A,:25:45 A,:25:54 A,:26:01 A,:26:37 A,:26:46 A,:26:54 A,:27:00 A,:27:06 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 311 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 312 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 313 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 314 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 315 , 0 , 1 , 1 , 1 , 0 , 0 , 0 , 0 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 316 , 0 , 1 , 1 , 1 , 0 , 0 , 0 , 0 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 317 , 0 , 1 , 1 , 1 , 0 , 0 , 0 , 0 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
