JUL2LOF00010.spu,JUL2LOF00009.spu,JUL2LOF00008.spu,JUL2LOF00007.spu,JUL2LOF00006.spu,JUL2LOF00005.spu,
Wavelength,JUL2LOF00011.spu,JUL2LOF00012.spu,JUL2LOF00013.spu,JUL2LOF00014.spu,JUL2LOF00015.spu,JUL2LOF00016.spu,JUL2LOF00017.spu,JUL2LOF00018.spu,JUL2LOF00019.spu,JUL2LOF00020.spu,JUL2LOF00021.spu,JUL2LOF00022.spu,JUL2LOF00023.spu,JUL2LOF00024.spu,JUL2LOF00025.spu,JUL2LOF00026.spu,JUL2LOF00027.spu,JUL2LOF00028.spu,JUL2LOF00029.spu,JUL2LOF00030.spu,JUL2LOF00031.spu,JUL2LOF00032.spu,JUL2LOF00033.spu,JUL2LOF00034.spu,JUL2LOF00035.spu,JUL2LOF00036.spu,JUL2LOF00037.spu,JUL2LOF00038.spu,JUL2LOF00039.spu,JUL2LOF00040.spu,JUL2LOF00041.spu,JUL2LOF00042.spu,JUL2LOF00043.spu,JUL2LOF00044.spu,JUL2LOF00045.spu,JUL2LOF00046.spu,JUL2LOF00047.spu,JUL2LOF00048.spu,JUL2LOF00049.spu,JUL2LOF00050.spu,JUL2LOF00051.spu,JUL2LOF00052.spu,JUL2LOF00053.spu,JUL2LOF00054.spu,JUL2LOF00055.spu,JUL2LOF00056.spu,JUL2LOF00057.spu,JUL2LOF00058.spu,JUL2LOF00059.spu,JUL2LOF00060.spu,JUL2LOF00061.spu,JUL2LOF00062.spu,JUL2LOF00063.spu,JUL2LOF00064.spu,JUL2LOF00065.spu,JUL2LOF00066.spu,JUL2LOF00067.spu,JUL2LOF00068.spu,JUL2LOF00069.spu,JUL2LOF00070.spu,JUL2LOF00071.spu,JUL2LOF00072.spu,JUL2LOF00073.spu,JUL2LOF00074.spu,JUL2LOF00075.spu,JUL2LOF00076.spu,JUL2LOF00077.spu,JUL2LOF00078.spu,JUL2LOF00079.spu,JUL2LOF00080.spu,JUL2LOF00081.spu,JUL2LOF00082.spu,JUL2LOF00083.spu,JUL2LOF00084.spu,JUL2LOF00085.spu,JUL2LOF00086.spu,JUL2LOF00087.spu,JUL2LOF00088.spu,JUL2LOF00089.spu,JUL2LOF00090.spu,JUL2LOF00091.spu,JUL2LOF00092.spu,JUL2LOF00093.spu,JUL2LOF00094.spu,JUL2LOF00095.spu,JUL2LOF00096.spu,JUL2LOF00097.spu,JUL2LOF00098.spu,JUL2LOF00099.spu,JUL2LOF00100.spu,JUL2LOF00101.spu,JUL2LOF00102.spu,JUL2LOF00103.spu,JUL2LOF00104.spu,JUL2LOF00105.spu,JUL2LOF00106.spu,JUL2LOF00107.spu,JUL2LOF00108.spu,JUL2LOF00109.spu,JUL2LOF00110.spu,JUL2LOF00111.spu,JUL2LOF00112.spu,JUL2LOF00113.spu,JUL2LOF00114.spu,JUL2LOF00115.spu,JUL2LOF00116.spu,JUL2LOF00117.spu,JUL2LOF00118.spu,JUL2LOF00119.spu,JUL2LOF00120.spu,JUL2LOF00121.spu,JUL2LOF00122.spu,JUL2LOF00123.spu,JUL2LOF00124.spu,JUL2LOF00125.spu,JUL2LOF00126.spu,JUL2LOF00127.spu,JUL2LOF00128.spu,JUL2LOF00129.spu,JUL2LOF00130.spu,JUL2LOF00131.spu,JUL2LOF00132.spu,JUL2LOF00133.spu,JUL2LOF00134.spu,JUL2LOF00135.spu,JUL2LOF00136.spu,JUL2LOF00137.spu,JUL2LOF00138.spu,JUL2LOF00139.spu,JUL2LOF00140.spu,JUL2LOF00141.spu,JUL2LOF00142.spu,JUL2LOF00143.spu,JUL2LOF00144.spu,JUL2LOF00145.spu,JUL2LOF00146.spu,JUL2LOF00147.spu,JUL2LOF00148.spu,JUL2LOF00149.spu,JUL2LOF00150.spu,JUL2LOF00151.spu,JUL2LOF00152.spu,JUL2LOF00153.spu,JUL2LOF00154.spu,JUL2LOF00155.spu,JUL2LOF00156.spu,JUL2LOF00157.spu,JUL2LOF00158.spu,JUL2LOF00159.spu,JUL2LOF00160.spu,JUL2LOF00161.spu,JUL2LOF00162.spu,JUL2LOF00163.spu,JUL2LOF00164.spu,JUL2LOF00165.spu,JUL2LOF00166.spu,JUL2LOF00167.spu,JUL2LOF00168.spu,JUL2LOF00169.spu,JUL2LOF00170.spu
  (nm),7/2/2016 2,7/2/2016 2,7/2/2016 2,7/2/2016 2,7/2/2016 2,7/2/2016 2,7/2/2016 2,7/2/2016 2,7/2/2016 2,7/2/2016 2,7/2/2016 2,7/2/2016 2,7/2/2016 2,7/2/2016 2,7/2/2016 2,7/2/2016 2,7/2/2016 2,7/2/2016 2,7/2/2016 2,7/2/2016 2,7/2/2016 2,7/2/2016 2,7/2/2016 2,7/2/2016 2,7/2/2016 2,7/2/2016 2,7/2/2016 2,7/2/2016 2,7/2/2016 2,7/2/2016 2,7/2/2016 2,7/2/2016 2,7/2/2016 2,7/2/2016 2,7/2/2016 2,7/2/2016 2,7/2/2016 2,7/2/2016 2,7/2/2016 2,7/2/2016 2,7/2/2016 2,7/2/2016 2,7/2/2016 2,7/2/2016 2,7/2/2016 2,7/2/2016 2,7/2/2016 2,7/2/2016 2,7/2/2016 2,7/2/2016 2,7/2/2016 2,7/2/2016 2,7/2/2016 2,7/2/2016 2,7/2/2016 2,7/2/2016 2,7/2/2016 2,7/2/2016 2,7/2/2016 2,7/2/2016 2,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3
  time  ,7:36 PM",7:47 PM",7:58 PM",8:04 PM",8:09 PM",9:09 PM",9:15 PM",9:21 PM",9:28 PM",9:34 PM",0:03 PM",0:09 PM",0:17 PM",0:23 PM",0:29 PM",1:11 PM",1:17 PM",1:23 PM",1:33 PM",1:41 PM",2:12 PM",2:19 PM",2:24 PM",2:30 PM",2:36 PM",3:10 PM",3:17 PM",3:24 PM",3:30 PM",3:35 PM",4:07 PM",4:12 PM",4:19 PM",4:24 PM",4:33 PM",5:03 PM",5:08 PM",5:14 PM",5:19 PM",5:26 PM",6:04 PM",6:11 PM",6:16 PM",6:23 PM",6:29 PM",7:01 PM",7:06 PM",7:12 PM",7:18 PM",7:25 PM",8:33 PM",8:40 PM",8:45 PM",8:50 PM",8:55 PM",9:25 PM",9:31 PM",9:37 PM",9:43 PM",9:50 PM",0:20 PM",0:25 PM",0:31 PM",0:37 PM",0:43 PM",1:12 PM",1:27 PM",1:34 PM",1:40 PM",1:46 PM",2:15 PM",2:20 PM",2:27 PM",2:32 PM",2:39 PM",3:23 PM",3:28 PM",3:35 PM",3:42 PM",3:48 PM",4:20 PM",4:28 PM",4:35 PM",4:41 PM",4:47 PM",5:17 PM",5:24 PM",5:31 PM",5:40 PM",5:46 PM",6:19 PM",6:24 PM",6:30 PM",6:35 PM",6:42 PM",7:10 PM",7:16 PM",7:21 PM",7:28 PM",7:34 PM",9:31 PM",9:37 PM",9:43 PM",9:48 PM",9:55 PM",0:27 PM",0:32 PM",0:39 PM",0:46 PM",0:53 PM",1:20 PM",1:26 PM",1:53 PM",2:00 PM",2:07 PM",2:56 PM",3:02 PM",3:12 PM",3:19 PM",3:26 PM",4:13 PM",4:20 PM",4:27 PM",4:32 PM",4:38 PM",5:24 PM",5:30 PM",5:38 PM",5:46 PM",5:55 PM",6:45 PM",6:52 PM",6:58 PM",7:04 PM",7:14 PM",7:53 PM",7:58 PM",8:09 PM",8:20 PM",8:26 PM",8:57 PM",9:02 PM",9:08 PM",9:14 PM",9:20 PM",0:00 PM",0:07 PM",0:12 PM",0:20 PM",0:27 PM",7:51 PM",7:58 PM",8:03 PM",8:09 PM",8:14 PM",8:44 PM",8:49 PM",8:56 PM",9:05 PM",9:17 PM"
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 311 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 312 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 313 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 314 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 315 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
