JUL2LOF00175.spu,JUL2LOF00174.spu,JUL2LOF00173.spu,JUL2LOF00172.spu,JUL2LOF00171.spu,
Wavelength,JUL2LOF00176.spu,JUL2LOF00177.spu,JUL2LOF00178.spu,JUL2LOF00179.spu,JUL2LOF00180.spu,JUL2LOF00181.spu,JUL2LOF00182.spu,JUL2LOF00183.spu,JUL2LOF00184.spu,JUL2LOF00185.spu,JUL2LOF00186.spu,JUL2LOF00187.spu,JUL2LOF00188.spu,JUL2LOF00189.spu,JUL2LOF00190.spu,JUL2LOF00191.spu,JUL2LOF00192.spu,JUL2LOF00193.spu,JUL2LOF00194.spu,JUL2LOF00195.spu,JUL2LOF00196.spu,JUL2LOF00197.spu,JUL2LOF00198.spu,JUL2LOF00199.spu,JUL2LOF00200.spu,JUL2LOF00201.spu,JUL2LOF00202.spu,JUL2LOF00203.spu,JUL2LOF00204.spu,JUL2LOF00205.spu,JUL2LOF00206.spu,JUL2LOF00207.spu,JUL2LOF00208.spu,JUL2LOF00209.spu,JUL2LOF00210.spu,JUL2LOF00211.spu,JUL2LOF00212.spu,JUL2LOF00213.spu,JUL2LOF00214.spu,JUL2LOF00215.spu
  (nm),7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3,7/2/2016 3
  time  ,1:37 PM",1:43 PM",1:50 PM",1:57 PM",2:02 PM",2:34 PM",2:40 PM",2:46 PM",2:52 PM",2:57 PM",3:02 PM",3:34 PM",3:39 PM",3:46 PM",3:53 PM",3:59 PM",4:33 PM",4:39 PM",4:44 PM",4:50 PM",4:56 PM",5:31 PM",5:37 PM",5:42 PM",5:48 PM",5:54 PM",6:27 PM",6:33 PM",6:38 PM",6:45 PM",6:50 PM",7:24 PM",7:30 PM",7:36 PM",7:42 PM",8:42 PM",8:47 PM",8:54 PM",8:59 PM",9:06 PM"
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 311 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 312 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 313 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 314 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 315 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 316 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 317 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 318 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 319 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
