JUL26LOF00005.spu,JUL26LOF00004.spu,JUL26LOF00003.spu,
Wavelength,JUL26LOF00006.spu,JUL26LOF00007.spu,JUL26LOF00008.spu,JUL26LOF00009.spu,JUL26LOF00010.spu,JUL26LOF00011.spu,JUL26LOF00012.spu,JUL26LOF00013.spu,JUL26LOF00014.spu,JUL26LOF00015.spu,JUL26LOF00016.spu,JUL26LOF00017.spu,JUL26LOF00018.spu,JUL26LOF00019.spu,JUL26LOF00020.spu,JUL26LOF00021.spu,JUL26LOF00022.spu,JUL26LOF00023.spu,JUL26LOF00024.spu,JUL26LOF00025.spu,JUL26LOF00026.spu,JUL26LOF00027.spu,JUL26LOF00028.spu,JUL26LOF00029.spu,JUL26LOF00030.spu,JUL26LOF00031.spu,JUL26LOF00032.spu,JUL26LOF00033.spu,JUL26LOF00034.spu,JUL26LOF00035.spu,JUL26LOF00036.spu,JUL26LOF00037.spu,JUL26LOF00038.spu,JUL26LOF00039.spu,JUL26LOF00040.spu,JUL26LOF00041.spu,JUL26LOF00042.spu,JUL26LOF00043.spu,JUL26LOF00044.spu,JUL26LOF00045.spu,JUL26LOF00046.spu,JUL26LOF00047.spu,JUL26LOF00048.spu,JUL26LOF00049.spu,JUL26LOF00050.spu,JUL26LOF00051.spu,JUL26LOF00052.spu,JUL26LOF00053.spu,JUL26LOF00054.spu,JUL26LOF00055.spu,JUL26LOF00056.spu,JUL26LOF00057.spu,JUL26LOF00058.spu,JUL26LOF00059.spu,JUL26LOF00060.spu,JUL26LOF00061.spu,JUL26LOF00062.spu,JUL26LOF00063.spu,JUL26LOF00064.spu,JUL26LOF00065.spu,JUL26LOF00066.spu,JUL26LOF00067.spu,JUL26LOF00068.spu,JUL26LOF00069.spu,JUL26LOF00070.spu,JUL26LOF00071.spu,JUL26LOF00072.spu,JUL26LOF00073.spu,JUL26LOF00074.spu,JUL26LOF00075.spu,JUL26LOF00076.spu,JUL26LOF00077.spu,JUL26LOF00078.spu,JUL26LOF00079.spu,JUL26LOF00080.spu,JUL26LOF00081.spu,JUL26LOF00082.spu,JUL26LOF00083.spu,JUL26LOF00084.spu,JUL26LOF00085.spu,JUL26LOF00086.spu,JUL26LOF00087.spu,JUL26LOF00088.spu,JUL26LOF00089.spu,JUL26LOF00090.spu,JUL26LOF00091.spu,JUL26LOF00092.spu,JUL26LOF00093.spu,JUL26LOF00094.spu,JUL26LOF00095.spu,JUL26LOF00096.spu,JUL26LOF00097.spu,JUL26LOF00098.spu,JUL26LOF00099.spu,JUL26LOF00100.spu,JUL26LOF00101.spu,JUL26LOF00102.spu,JUL26LOF00103.spu,JUL26LOF00104.spu,JUL26LOF00105.spu,JUL26LOF00106.spu,JUL26LOF00107.spu,JUL26LOF00108.spu,JUL26LOF00109.spu,JUL26LOF00110.spu,JUL26LOF00111.spu,JUL26LOF00112.spu,JUL26LOF00113.spu,JUL26LOF00114.spu,JUL26LOF00115.spu,JUL26LOF00116.spu,JUL26LOF00117.spu,JUL26LOF00118.spu,JUL26LOF00119.spu,JUL26LOF00120.spu,JUL26LOF00121.spu,JUL26LOF00122.spu,JUL26LOF00123.spu,JUL26LOF00124.spu,JUL26LOF00125.spu,JUL26LOF00126.spu,JUL26LOF00127.spu,JUL26LOF00128.spu,JUL26LOF00129.spu,JUL26LOF00130.spu,JUL26LOF00131.spu,JUL26LOF00132.spu,JUL26LOF00133.spu,JUL26LOF00134.spu,JUL26LOF00135.spu
  (nm),7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 
  time  ,:05:45 A,:05:52 A,:06:00 A,:06:06 A,:06:12 A,:06:51 A,:06:59 A,:07:08 A,:07:20 A,:07:28 A,:08:09 A,:08:18 A,:08:26 A,:08:33 A,:08:44 A,:09:26 A,:09:34 A,:09:47 A,:09:56 A,:10:06 A,:10:45 A,:10:53 A,:11:01 A,:11:08 A,:11:16 A,:11:54 A,:12:02 A,:12:11 A,:12:19 A,:12:26 A,:13:11 A,:13:21 A,:13:30 A,:13:36 A,:13:45 A,:14:25 A,:14:33 A,:14:43 A,:14:53 A,:15:01 A,:15:44 A,:15:51 A,:16:05 A,:16:12 A,:16:21 A,:17:10 A,:17:18 A,:17:25 A,:17:32 A,:17:39 A,:18:47 A,:18:55 A,:19:02 A,:19:13 A,:19:25 A,:20:03 A,:20:15 A,:20:24 A,:20:31 A,:20:38 A,:21:18 A,:21:26 A,:21:34 A,:21:42 A,:21:49 A,:22:34 A,:22:42 A,:22:56 A,:23:05 A,:23:13 A,:24:13 A,:24:22 A,:24:30 A,:24:48 A,:24:56 A,:25:40 A,:25:52 A,:26:02 A,:26:11 A,:26:19 A,:27:01 A,:27:11 A,:27:19 A,:27:26 A,:27:35 A,:28:24 A,:28:33 A,:28:41 A,:28:48 A,:28:59 A,:29:48 A,:29:56 A,:30:03 A,:30:12 A,:30:20 A,:31:03 A,:31:10 A,:31:18 A,:31:25 A,:31:33 A,:33:35 A,:33:47 A,:33:55 A,:34:06 A,:34:12 A,:36:08 A,:36:18 A,:36:28 A,:36:38 A,:36:46 A,:37:27 A,:37:35 A,:37:57 A,:38:04 A,:38:43 A,:38:58 A,:39:07 A,:39:14 A,:39:22 A,:39:29 A,:40:15 A,:40:22 A,:40:30 A,:40:38 A,:40:49 A,:42:01 A,:43:06 A,:43:15 A,:43:23 A,:43:33 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 0 , 0 , 0 
 311 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 0 , 0 , 0 
 312 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 0 , 0 , 0 , 0 
 313 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 0 , 0 , 0 , 0 
 314 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 0 , 0 , 0 , 0 
 315 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 0 , 0 , 0 , 0 
