AUG1LOF00005.spu,AUG1LOF00004.spu,AUG1LOF00003.spu,
Wavelength,AUG1LOF00006.spu,AUG1LOF00007.spu,AUG1LOF00008.spu,AUG1LOF00009.spu,AUG1LOF00010.spu,AUG1LOF00011.spu,AUG1LOF00012.spu,AUG1LOF00013.spu,AUG1LOF00014.spu,AUG1LOF00015.spu,AUG1LOF00016.spu,AUG1LOF00017.spu,AUG1LOF00018.spu,AUG1LOF00019.spu,AUG1LOF00020.spu,AUG1LOF00021.spu,AUG1LOF00022.spu,AUG1LOF00023.spu,AUG1LOF00024.spu,AUG1LOF00025.spu,AUG1LOF00026.spu,AUG1LOF00027.spu,AUG1LOF00028.spu,AUG1LOF00029.spu,AUG1LOF00030.spu,AUG1LOF00031.spu,AUG1LOF00032.spu,AUG1LOF00033.spu,AUG1LOF00034.spu,AUG1LOF00035.spu,AUG1LOF00036.spu,AUG1LOF00037.spu,AUG1LOF00038.spu,AUG1LOF00039.spu,AUG1LOF00040.spu,AUG1LOF00041.spu,AUG1LOF00042.spu,AUG1LOF00043.spu,AUG1LOF00044.spu,AUG1LOF00045.spu,AUG1LOF00046.spu,AUG1LOF00047.spu,AUG1LOF00048.spu,AUG1LOF00049.spu,AUG1LOF00050.spu,AUG1LOF00051.spu,AUG1LOF00052.spu,AUG1LOF00053.spu,AUG1LOF00054.spu,AUG1LOF00055.spu,AUG1LOF00056.spu,AUG1LOF00057.spu,AUG1LOF00058.spu,AUG1LOF00059.spu,AUG1LOF00060.spu,AUG1LOF00061.spu,AUG1LOF00062.spu,AUG1LOF00063.spu,AUG1LOF00064.spu,AUG1LOF00065.spu,AUG1LOF00066.spu,AUG1LOF00067.spu,AUG1LOF00068.spu,AUG1LOF00069.spu,AUG1LOF00070.spu,AUG1LOF00071.spu,AUG1LOF00072.spu,AUG1LOF00073.spu,AUG1LOF00074.spu,AUG1LOF00075.spu,AUG1LOF00076.spu,AUG1LOF00077.spu,AUG1LOF00078.spu,AUG1LOF00079.spu,AUG1LOF00080.spu,AUG1LOF00081.spu,AUG1LOF00082.spu,AUG1LOF00083.spu,AUG1LOF00084.spu,AUG1LOF00085.spu,AUG1LOF00086.spu,AUG1LOF00087.spu,AUG1LOF00088.spu,AUG1LOF00089.spu,AUG1LOF00090.spu,AUG1LOF00091.spu,AUG1LOF00092.spu,AUG1LOF00093.spu,AUG1LOF00094.spu,AUG1LOF00095.spu,AUG1LOF00096.spu,AUG1LOF00097.spu,AUG1LOF00098.spu,AUG1LOF00099.spu,AUG1LOF00100.spu,AUG1LOF00101.spu,AUG1LOF00102.spu,AUG1LOF00103.spu,AUG1LOF00104.spu,AUG1LOF00105.spu,AUG1LOF00106.spu,AUG1LOF00107.spu,AUG1LOF00108.spu,AUG1LOF00109.spu,AUG1LOF00110.spu,AUG1LOF00111.spu,AUG1LOF00112.spu,AUG1LOF00113.spu,AUG1LOF00114.spu,AUG1LOF00115.spu,AUG1LOF00116.spu,AUG1LOF00117.spu,AUG1LOF00118.spu,AUG1LOF00119.spu,AUG1LOF00120.spu,AUG1LOF00121.spu,AUG1LOF00122.spu,AUG1LOF00123.spu,AUG1LOF00124.spu,AUG1LOF00125.spu,AUG1LOF00126.spu,AUG1LOF00127.spu,AUG1LOF00128.spu,AUG1LOF00129.spu,AUG1LOF00130.spu
  (nm),8/1/2016 3,8/1/2016 3,8/1/2016 3,8/1/2016 3,8/1/2016 3,8/1/2016 3,8/1/2016 3,8/1/2016 3,8/1/2016 3,8/1/2016 3,8/1/2016 3,8/1/2016 3,8/1/2016 3,8/1/2016 3,8/1/2016 3,8/1/2016 3,8/1/2016 3,8/1/2016 3,8/1/2016 3,8/1/2016 3,8/1/2016 3,8/1/2016 3,8/1/2016 3,8/1/2016 3,8/1/2016 3,8/1/2016 3,8/1/2016 3,8/1/2016 3,8/1/2016 3,8/1/2016 3,8/1/2016 3,8/1/2016 3,8/1/2016 3,8/1/2016 3,8/1/2016 3,8/1/2016 3,8/1/2016 3,8/1/2016 3,8/1/2016 3,8/1/2016 3,8/1/2016 3,8/1/2016 3,8/1/2016 3,8/1/2016 3,8/1/2016 3,8/1/2016 3,8/1/2016 3,8/1/2016 3,8/1/2016 3,8/1/2016 3,8/1/2016 3,8/1/2016 3,8/1/2016 3,8/1/2016 3,8/1/2016 3,8/1/2016 3,8/1/2016 3,8/1/2016 3,8/1/2016 3,8/1/2016 3,8/1/2016 3,8/1/2016 3,8/1/2016 3,8/1/2016 3,8/1/2016 3,8/1/2016 3,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4
  time  ,4:55 PM",5:02 PM",5:14 PM",5:22 PM",5:28 PM",6:03 PM",6:09 PM",6:15 PM",6:21 PM",6:28 PM",7:20 PM",7:27 PM",7:34 PM",7:40 PM",7:47 PM",8:31 PM",8:37 PM",8:44 PM",8:51 PM",8:58 PM",9:30 PM",9:36 PM",9:42 PM",9:47 PM",9:53 PM",0:31 PM",0:37 PM",0:44 PM",0:50 PM",1:00 PM",1:37 PM",1:45 PM",1:51 PM",2:01 PM",2:08 PM",2:44 PM",2:56 PM",3:05 PM",3:13 PM",3:22 PM",4:01 PM",4:10 PM",4:17 PM",4:25 PM",4:31 PM",5:09 PM",5:16 PM",5:24 PM",5:30 PM",5:36 PM",6:39 PM",6:46 PM",6:52 PM",6:59 PM",7:07 PM",7:38 PM",7:47 PM",7:54 PM",8:00 PM",8:06 PM",8:44 PM",8:52 PM",8:58 PM",9:06 PM",9:15 PM",9:55 PM",0:03 PM",0:10 PM",0:16 PM",0:23 PM",0:58 PM",1:04 PM",1:10 PM",1:16 PM",1:21 PM",2:08 PM",2:15 PM",2:21 PM",2:29 PM",2:43 PM",3:34 PM",3:43 PM",3:50 PM",3:55 PM",4:02 PM",4:37 PM",4:45 PM",4:55 PM",5:01 PM",5:09 PM",5:46 PM",5:53 PM",6:00 PM",6:08 PM",6:15 PM",6:51 PM",6:58 PM",7:06 PM",7:13 PM",7:21 PM",9:15 PM",9:24 PM",9:30 PM",9:35 PM",9:41 PM",0:18 PM",0:27 PM",0:36 PM",0:43 PM",0:50 PM",1:20 PM",1:26 PM",1:33 PM",1:40 PM",1:49 PM",2:23 PM",2:30 PM",2:36 PM",2:41 PM",3:02 PM",3:43 PM",3:50 PM",3:58 PM",4:04 PM",4:12 PM"
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 311 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 312 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 313 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 314 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 315 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 , 0.642055 
