AUG1LOF00135.spu,AUG1LOF00134.spu,AUG1LOF00133.spu,AUG1LOF00132.spu,AUG1LOF00131.spu,
Wavelength,AUG1LOF00136.spu,AUG1LOF00137.spu,AUG1LOF00138.spu,AUG1LOF00139.spu,AUG1LOF00140.spu,AUG1LOF00141.spu,AUG1LOF00142.spu,AUG1LOF00143.spu,AUG1LOF00144.spu,AUG1LOF00145.spu,AUG1LOF00146.spu,AUG1LOF00147.spu,AUG1LOF00148.spu,AUG1LOF00149.spu,AUG1LOF00150.spu,AUG1LOF00151.spu,AUG1LOF00152.spu,AUG1LOF00153.spu,AUG1LOF00154.spu,AUG1LOF00155.spu,AUG1LOF00156.spu,AUG1LOF00157.spu,AUG1LOF00158.spu,AUG1LOF00159.spu,AUG1LOF00160.spu,AUG1LOF00161.spu,AUG1LOF00162.spu,AUG1LOF00163.spu,AUG1LOF00164.spu,AUG1LOF00165.spu,AUG1LOF00166.spu,AUG1LOF00167.spu,AUG1LOF00168.spu,AUG1LOF00169.spu,AUG1LOF00170.spu,AUG1LOF00171.spu,AUG1LOF00172.spu,AUG1LOF00173.spu,AUG1LOF00174.spu,AUG1LOF00175.spu,AUG1LOF00176.spu,AUG1LOF00177.spu,AUG1LOF00178.spu,AUG1LOF00179.spu,AUG1LOF00180.spu,AUG1LOF00181.spu,AUG1LOF00182.spu,AUG1LOF00183.spu,AUG1LOF00184.spu,AUG1LOF00185.spu,AUG1LOF00186.spu,AUG1LOF00187.spu,AUG1LOF00188.spu,AUG1LOF00189.spu,AUG1LOF00190.spu,AUG1LOF00191.spu,AUG1LOF00192.spu,AUG1LOF00193.spu,AUG1LOF00194.spu,AUG1LOF00195.spu,AUG1LOF00196.spu,AUG1LOF00197.spu,AUG1LOF00198.spu,AUG1LOF00199.spu,AUG1LOF00200.spu,AUG1LOF00201.spu,AUG1LOF00202.spu,AUG1LOF00203.spu,AUG1LOF00204.spu,AUG1LOF00205.spu,AUG1LOF00206.spu,AUG1LOF00207.spu,AUG1LOF00208.spu,AUG1LOF00209.spu,AUG1LOF00210.spu
  (nm),8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4,8/1/2016 4
  time  ,6:52 PM",6:59 PM",7:07 PM",7:16 PM",7:24 PM",8:07 PM",8:13 PM",8:21 PM",8:29 PM",8:36 PM",9:27 PM",9:32 PM",9:42 PM",9:50 PM",9:57 PM",0:36 PM",0:42 PM",0:49 PM",0:58 PM",1:05 PM",1:44 PM",1:53 PM",2:03 PM",2:08 PM",2:15 PM",5:15 PM",5:32 PM",5:41 PM",5:47 PM",5:52 PM",6:24 PM",6:30 PM",6:36 PM",6:42 PM",6:48 PM",7:23 PM",7:30 PM",7:37 PM",7:44 PM",7:50 PM",8:27 PM",8:37 PM",8:49 PM",9:04 PM",9:15 PM",9:45 PM",9:50 PM",9:59 PM",0:15 PM",0:29 PM",1:02 PM",1:09 PM",1:16 PM",1:21 PM",1:27 PM",2:02 PM",2:11 PM",2:18 PM",2:26 PM",2:33 PM",3:01 PM",3:07 PM",3:14 PM",3:22 PM",3:32 PM",4:11 PM",4:17 PM",4:23 PM",4:31 PM",4:38 PM",5:18 PM",5:24 PM",5:32 PM",5:42 PM",5:50 PM"
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 311 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 312 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 313 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 314 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 315 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
