MAY31MAT00004.spu,MAY31MAT00003.spu,MAY31MAT00002.spu,
Wavelength,MAY31MAT00005.spu,MAY31MAT00006.spu,MAY31MAT00007.spu,MAY31MAT00008.spu,MAY31MAT00009.spu,MAY31MAT00010.spu,MAY31MAT00011.spu,MAY31MAT00012.spu,MAY31MAT00013.spu,MAY31MAT00014.spu,MAY31MAT00015.spu,MAY31MAT00016.spu,MAY31MAT00017.spu,MAY31MAT00018.spu,MAY31MAT00019.spu,MAY31MAT00020.spu,MAY31MAT00021.spu,MAY31MAT00022.spu,MAY31MAT00023.spu,MAY31MAT00024.spu,MAY31MAT00025.spu,MAY31MAT00026.spu,MAY31MAT00027.spu,MAY31MAT00028.spu,MAY31MAT00029.spu,MAY31MAT00030.spu,MAY31MAT00031.spu,MAY31MAT00032.spu,MAY31MAT00033.spu,MAY31MAT00034.spu,MAY31MAT00035.spu,MAY31MAT00036.spu,MAY31MAT00037.spu,MAY31MAT00038.spu,MAY31MAT00039.spu,MAY31MAT00040.spu,MAY31MAT00041.spu,MAY31MAT00042.spu,MAY31MAT00043.spu,MAY31MAT00044.spu,MAY31MAT00045.spu,MAY31MAT00046.spu,MAY31MAT00047.spu,MAY31MAT00048.spu,MAY31MAT00049.spu,MAY31MAT00050.spu,MAY31MAT00051.spu,MAY31MAT00052.spu,MAY31MAT00053.spu,MAY31MAT00054.spu,MAY31MAT00055.spu,MAY31MAT00056.spu,MAY31MAT00057.spu,MAY31MAT00058.spu,MAY31MAT00059.spu,MAY31MAT00060.spu,MAY31MAT00061.spu,MAY31MAT00062.spu,MAY31MAT00063.spu,MAY31MAT00064.spu,MAY31MAT00065.spu,MAY31MAT00066.spu,MAY31MAT00067.spu,MAY31MAT00068.spu,MAY31MAT00069.spu,MAY31MAT00070.spu,MAY31MAT00071.spu,MAY31MAT00072.spu,MAY31MAT00073.spu,MAY31MAT00074.spu,MAY31MAT00075.spu,MAY31MAT00076.spu,MAY31MAT00077.spu,MAY31MAT00078.spu,MAY31MAT00079.spu,MAY31MAT00080.spu,MAY31MAT00081.spu,MAY31MAT00082.spu,MAY31MAT00083.spu,MAY31MAT00084.spu,MAY31MAT00085.spu,MAY31MAT00086.spu,MAY31MAT00087.spu,MAY31MAT00088.spu,MAY31MAT00089.spu,MAY31MAT00090.spu,MAY31MAT00091.spu,MAY31MAT00092.spu,MAY31MAT00093.spu,MAY31MAT00094.spu,MAY31MAT00095.spu,MAY31MAT00096.spu,MAY31MAT00097.spu,MAY31MAT00098.spu,MAY31MAT00099.spu,MAY31MAT00100.spu,MAY31MAT00101.spu,MAY31MAT00102.spu,MAY31MAT00103.spu,MAY31MAT00104.spu,MAY31MAT00105.spu,MAY31MAT00106.spu,MAY31MAT00107.spu,MAY31MAT00108.spu,MAY31MAT00109.spu,MAY31MAT00110.spu,MAY31MAT00111.spu,MAY31MAT00112.spu,MAY31MAT00113.spu,MAY31MAT00114.spu,MAY31MAT00115.spu,MAY31MAT00116.spu,MAY31MAT00117.spu,MAY31MAT00118.spu,MAY31MAT00119.spu,MAY31MAT00120.spu,MAY31MAT00121.spu,MAY31MAT00122.spu,MAY31MAT00123.spu,MAY31MAT00124.spu,MAY31MAT00125.spu,MAY31MAT00126.spu,MAY31MAT00127.spu,MAY31MAT00128.spu,MAY31MAT00129.spu,MAY31MAT00130.spu,MAY31MAT00131.spu,MAY31MAT00132.spu,MAY31MAT00133.spu,MAY31MAT00134.spu,MAY31MAT00135.spu,MAY31MAT00136.spu,MAY31MAT00137.spu,MAY31MAT00138.spu,MAY31MAT00139.spu,MAY31MAT00140.spu,MAY31MAT00141.spu,MAY31MAT00142.spu,MAY31MAT00143.spu,MAY31MAT00144.spu,MAY31MAT00145.spu
  (nm),5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 
  time  ,:17:55 A,:18:24 A,:18:39 A,:18:45 A,:18:55 A,:19:19 A,:19:27 A,:19:34 A,:19:41 A,:19:49 A,:20:27 A,:20:37 A,:20:46 A,:20:54 A,:21:03 A,:21:15 A,:22:19 A,:22:27 A,:22:37 A,:22:45 A,:22:53 A,:23:36 A,:23:44 A,:24:03 A,:24:14 A,:24:25 A,:26:30 A,:26:40 A,:26:51 A,:27:02 A,:27:10 A,:27:45 A,:27:53 A,:28:02 A,:28:10 A,:28:19 A,:29:16 A,:29:25 A,:29:32 A,:29:41 A,:29:51 A,:30:18 A,:30:26 A,:30:35 A,:30:42 A,:30:51 A,:31:16 A,:31:23 A,:31:30 A,:31:38 A,:31:48 A,:32:23 A,:32:32 A,:32:40 A,:32:49 A,:32:58 A,:34:33 A,:34:42 A,:34:50 A,:35:03 A,:35:17 A,:36:09 A,:36:18 A,:36:26 A,:36:34 A,:36:44 A,:37:01 A,:37:08 A,:37:15 A,:37:23 A,:37:39 A,:39:46 A,:39:54 A,:40:03 A,:40:14 A,:40:22 A,:41:22 A,:41:30 A,:41:37 A,:41:46 A,:41:54 A,:42:13 A,:42:22 A,:42:32 A,:42:39 A,:42:50 A,:44:43 A,:44:51 A,:44:58 A,:45:05 A,:45:13 A,:46:00 A,:46:12 A,:46:23 A,:46:30 A,:46:40 A,:47:33 A,:47:44 A,:47:55 A,:48:05 A,:48:20 A,:49:11 A,:49:17 A,:49:25 A,:49:35 A,:49:43 A,:51:44 A,:51:53 A,:52:01 A,:52:10 A,:52:16 A,:53:04 A,:53:11 A,:53:19 A,:53:27 A,:53:34 A,:54:30 A,:54:38 A,:54:45 A,:54:54 A,:55:03 A,:55:34 A,:55:39 A,:55:45 A,:55:52 A,:55:59 A,:56:28 A,:56:38 A,:56:45 A,:56:54 A,:56:59 A,:58:20 A,:58:30 A,:58:36 A,:58:43 A,:58:54 A,:59:05 A,:59:10 A,:59:16 A,:59:21 A,:59:28 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 0.034742 , 244.903162 , 244.903162 , 244.903162 , 244.903162 , 244.903162 , 244.903162 , 244.903162 , 244.903162 , 244.903162 , 244.903162 , 244.903162 , 244.903162 , 244.903162 , 244.903162 , 244.903162 , 244.903162 , 244.903162 , 244.903162 , 244.903162 , 244.903162 , 244.903162 , 244.903162 , 244.903162 , 244.903162 , 244.903162 , 0 , 0 , 0 , 0 , 244.903162 , 0 , 0 , 0 , 244.903162 , 0 , 0 , 0 , 0 , 244.903162 , 0 , 0 , 0 , 0 , 0 , 0 , 244.903162 , 0 , 244.903162 , 0 , 244.903162 , 0 , 0 , 0 , 244.903162 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 244.903162 , 0 , 244.903162 , 0 , 244.903162 , 0 , 0 , 0 , 0 , 0 , 244.903162 , 0 , 244.903162 , 244.903162 , 0 , 0 , 244.903162 , 244.903162 , 244.903162 , 0 , 0 , 244.903162 , 244.903162 , 0 , 244.903162 , 244.903162 , 0 , 244.903162 , 244.903162 , 244.903162 , 0 , 244.903162 , 244.903162 , 244.903162 , 244.903162 , 244.903162 , 0 , 244.903162 , 244.903162 , 244.903162 , 244.903162 , 0 , 244.903162 , 244.903162 , 0 , 244.903162 , 244.903162 , 244.903162 , 0 , 0 , 244.903162 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 244.903162 , 0 , 0 
 311 , 0.033949 , 232.201201 , 232.201201 , 232.201201 , 232.201201 , 232.201201 , 232.201201 , 232.201201 , 232.201201 , 232.201201 , 232.201201 , 232.201201 , 232.201201 , 232.201201 , 232.201201 , 232.201201 , 232.201201 , 232.201201 , 232.201201 , 232.201201 , 232.201201 , 232.201201 , 232.201201 , 232.201201 , 232.201201 , 232.201201 , 0 , 0 , 0 , 0 , 232.201201 , 0 , 0 , 0 , 232.201201 , 0 , 0 , 0 , 0 , 232.201201 , 0 , 0 , 0 , 0 , 0 , 0 , 232.201201 , 0 , 232.201201 , 0 , 232.201201 , 0 , 0 , 0 , 232.201201 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 232.201201 , 0 , 232.201201 , 0 , 232.201201 , 0 , 0 , 0 , 0 , 0 , 232.201201 , 0 , 232.201201 , 232.201201 , 0 , 0 , 232.201201 , 232.201201 , 232.201201 , 0 , 0 , 232.201201 , 232.201201 , 0 , 232.201201 , 232.201201 , 0 , 232.201201 , 232.201201 , 232.201201 , 0 , 232.201201 , 232.201201 , 232.201201 , 232.201201 , 232.201201 , 0 , 232.201201 , 232.201201 , 232.201201 , 232.201201 , 0 , 232.201201 , 232.201201 , 0 , 232.201201 , 232.201201 , 232.201201 , 0 , 0 , 232.201201 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 232.201201 , 0 , 0 
 312 , 0.032744 , 217.84307 , 217.84307 , 217.84307 , 217.84307 , 217.84307 , 217.84307 , 217.84307 , 217.84307 , 217.84307 , 217.84307 , 217.84307 , 217.84307 , 217.84307 , 217.84307 , 0 , 217.84307 , 217.84307 , 217.84307 , 217.84307 , 217.84307 , 217.84307 , 217.84307 , 217.84307 , 0 , 217.84307 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 217.84307 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 217.84307 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 217.84307 , 217.84307 , 0 , 0 , 0 , 0 , 217.84307 , 0 , 0 , 0 , 217.84307 , 217.84307 , 217.84307 , 0 , 0 , 0 , 0 , 0 , 0 , 217.84307 , 0 , 0 , 0 , 0 , 0 , 217.84307 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 313 , 0.031658 , 204.950824 , 204.950824 , 204.950824 , 204.950824 , 204.950824 , 204.950824 , 204.950824 , 204.950824 , 204.950824 , 204.950824 , 204.950824 , 204.950824 , 204.950824 , 204.950824 , 0 , 204.950824 , 204.950824 , 204.950824 , 204.950824 , 204.950824 , 204.950824 , 204.950824 , 204.950824 , 0 , 204.950824 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 204.950824 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 204.950824 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 204.950824 , 204.950824 , 0 , 0 , 0 , 0 , 204.950824 , 0 , 0 , 0 , 204.950824 , 204.950824 , 204.950824 , 0 , 0 , 0 , 0 , 0 , 0 , 204.950824 , 0 , 0 , 0 , 0 , 0 , 204.950824 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 314 , 0.030733 , 193.964136 , 193.964136 , 193.964136 , 193.964136 , 193.964136 , 193.964136 , 193.964136 , 193.964136 , 193.964136 , 193.964136 , 193.964136 , 193.964136 , 193.964136 , 193.964136 , 0 , 193.964136 , 193.964136 , 193.964136 , 193.964136 , 193.964136 , 193.964136 , 193.964136 , 193.964136 , 0 , 193.964136 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 193.964136 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 193.964136 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 193.964136 , 193.964136 , 0 , 0 , 0 , 0 , 193.964136 , 0 , 0 , 0 , 193.964136 , 193.964136 , 193.964136 , 0 , 0 , 0 , 0 , 0 , 0 , 193.964136 , 0 , 0 , 0 , 0 , 0 , 193.964136 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 315 , 0.028851 , 178.342964 , 178.342964 , 178.342964 , 178.342964 , 178.342964 , 178.342964 , 178.342964 , 0 , 178.342964 , 178.342964 , 178.342964 , 178.342964 , 178.342964 , 178.342964 , 0 , 0 , 0 , 178.342964 , 178.342964 , 178.342964 , 178.342964 , 178.342964 , 178.342964 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 178.342964 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 178.342964 , 178.342964 , 178.342964 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
