JUN18MAT200035.spu,JUN18MAT200034.spu,JUN18MAT200033.spu,JUN18MAT200032.spu,JUN18MAT200031.spu,
Wavelength,JUN18MAT200036.spu,JUN18MAT200037.spu,JUN18MAT200038.spu,JUN18MAT200039.spu,JUN18MAT200040.spu,JUN18MAT200041.spu,JUN18MAT200042.spu,JUN18MAT200043.spu,JUN18MAT200044.spu,JUN18MAT200045.spu,JUN18MAT200046.spu,JUN18MAT200047.spu,JUN18MAT200048.spu,JUN18MAT200049.spu,JUN18MAT200050.spu,JUN18MAT200051.spu,JUN18MAT200052.spu,JUN18MAT200053.spu,JUN18MAT200054.spu,JUN18MAT200055.spu,JUN18MAT200056.spu,JUN18MAT200057.spu,JUN18MAT200058.spu,JUN18MAT200059.spu,JUN18MAT200060.spu
  (nm),6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 
  time  ,32:46 PM,32:58 PM,33:05 PM,33:11 PM,33:18 PM,34:54 PM,35:04 PM,35:10 PM,35:16 PM,35:24 PM,35:57 PM,36:07 PM,36:15 PM,36:21 PM,36:33 PM,37:10 PM,37:16 PM,37:25 PM,37:32 PM,37:42 PM,39:07 PM,39:16 PM,39:27 PM,39:36 PM,39:44 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 1.216142 , 1.216142 , 1.216142 , 1.216142 , 1.216142 , 1.216142 , 1.216142 , 1.216142 , 1.216142 , 1.216142 , 1.216142 , 1.216142 , 1.216142 , 1.216142 , 1.216142 , 1.216142 , 1.216142 , 1.216142 , 1.216142 , 1.216142 , 1.216142 , 1.216142 , 1.216142 , 1.216142 , 1.216142 
 311 , 1.223843 , 1.223843 , 1.223843 , 1.223843 , 1.223843 , 1.223843 , 1.223843 , 1.223843 , 1.223843 , 1.223843 , 1.223843 , 1.223843 , 1.223843 , 1.223843 , 1.223843 , 1.223843 , 1.223843 , 1.223843 , 1.223843 , 1.223843 , 1.223843 , 1.223843 , 1.223843 , 1.223843 , 1.223843 
 312 , 1.307822 , 1.307822 , 1.307822 , 1.307822 , 1.307822 , 1.307822 , 1.307822 , 1.307822 , 1.307822 , 1.307822 , 1.307822 , 1.307822 , 1.307822 , 1.307822 , 1.307822 , 1.307822 , 1.307822 , 1.307822 , 1.307822 , 1.307822 , 1.307822 , 1.307822 , 1.307822 , 1.307822 , 1.307822 
 313 , 1.379481 , 1.379481 , 1.379481 , 1.379481 , 1.379481 , 1.379481 , 1.379481 , 1.379481 , 1.379481 , 1.379481 , 1.379481 , 1.379481 , 1.379481 , 1.379481 , 1.379481 , 1.379481 , 1.379481 , 1.379481 , 1.379481 , 1.379481 , 1.379481 , 1.379481 , 1.379481 , 1.379481 , 1.379481 
 314 , 1.19996 , 1.19996 , 1.19996 , 1.19996 , 1.19996 , 1.19996 , 1.19996 , 1.19996 , 1.19996 , 1.19996 , 1.19996 , 1.19996 , 1.19996 , 1.19996 , 1.19996 , 1.19996 , 1.19996 , 1.19996 , 1.19996 , 1.19996 , 1.19996 , 1.19996 , 1.19996 , 1.19996 , 1.19996 
 315 , 0 , 0 , 0.742529 , 0 , 0 , 0.742529 , 0.742529 , 0.742529 , 0.742529 , 0.742529 , 0.742529 , 0.742529 , 0.742529 , 0.742529 , 0.742529 , 0.742529 , 0.742529 , 0.742529 , 0.742529 , 0.742529 , 0.742529 , 0.742529 , 0.742529 , 0.742529 , 0.742529 
