JUN18MAT200035.spu,JUN18MAT200034.spu,JUN18MAT200033.spu,JUN18MAT200032.spu,JUN18MAT200031.spu,
Wavelength,JUN18MAT200061.spu,JUN18MAT200062.spu,JUN18MAT200063.spu,JUN18MAT200064.spu,JUN18MAT200065.spu,JUN18MAT200066.spu,JUN18MAT200067.spu,JUN18MAT200068.spu,JUN18MAT200069.spu,JUN18MAT200070.spu,JUN18MAT200071.spu,JUN18MAT200072.spu,JUN18MAT200073.spu,JUN18MAT200074.spu,JUN18MAT200075.spu,JUN18MAT200076.spu,JUN18MAT200077.spu,JUN18MAT200078.spu,JUN18MAT200079.spu,JUN18MAT200080.spu
  (nm),6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 ,6/18/2016 
  time  ,40:38 PM,40:52 PM,41:05 PM,41:14 PM,41:25 PM,42:13 PM,42:22 PM,42:31 PM,42:40 PM,42:51 PM,43:39 PM,43:49 PM,43:56 PM,44:06 PM,44:15 PM,44:54 PM,45:02 PM,45:12 PM,45:19 PM,45:27 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,
 310 , 1.216142 , 1.216142 , 1.216142 , 1.216142 , 1.216142 , 1.216142 , 1.216142 , 1.216142 , 1.216142 , 1.216142 , 1.216142 , 1.216142 , 1.216142 , 1.216142 , 1.216142 , 1.216142 , 1.216142 , 1.216142 , 1.216142 , 1.216142 
 311 , 1.223843 , 1.223843 , 1.223843 , 1.223843 , 1.223843 , 1.223843 , 1.223843 , 1.223843 , 1.223843 , 1.223843 , 1.223843 , 1.223843 , 1.223843 , 1.223843 , 1.223843 , 1.223843 , 1.223843 , 1.223843 , 1.223843 , 1.223843 
 312 , 1.307822 , 1.307822 , 1.307822 , 1.307822 , 1.307822 , 1.307822 , 1.307822 , 1.307822 , 1.307822 , 1.307822 , 1.307822 , 1.307822 , 1.307822 , 1.307822 , 1.307822 , 1.307822 , 1.307822 , 1.307822 , 1.307822 , 1.307822 
 313 , 1.379481 , 1.379481 , 1.379481 , 1.379481 , 1.379481 , 1.379481 , 1.379481 , 1.379481 , 1.379481 , 1.379481 , 1.379481 , 1.379481 , 1.379481 , 1.379481 , 1.379481 , 1.379481 , 1.379481 , 1.379481 , 1.379481 , 1.379481 
 314 , 1.19996 , 1.19996 , 1.19996 , 1.19996 , 1.19996 , 1.19996 , 1.19996 , 1.19996 , 1.19996 , 1.19996 , 1.19996 , 1.19996 , 1.19996 , 1.19996 , 1.19996 , 1.19996 , 1.19996 , 1.19996 , 1.19996 , 1.19996 
 315 , 0.742529 , 0.742529 , 0.742529 , 0.742529 , 0.742529 , 0.742529 , 0.742529 , 0.742529 , 0.742529 , 0.742529 , 0.742529 , 0.742529 , 0.742529 , 0.742529 , 0.742529 , 0.742529 , 0.742529 , 0.742529 , 0.742529 , 0.742529 
 316 , 1.248859 , 1.248859 , 1.248859 , 1.248859 , 1.248859 , 1.248859 , 1.248859 , 1.248859 , 1.248859 , 1.248859 , 1.248859 , 1.248859 , 1.248859 , 1.248859 , 1.248859 , 1.248859 , 1.248859 , 1.248859 , 1.248859 , 1.248859 
 317 , 1.465643 , 1.465643 , 1.465643 , 1.465643 , 1.465643 , 1.465643 , 1.465643 , 1.465643 , 1.465643 , 1.465643 , 1.465643 , 1.465643 , 1.465643 , 1.465643 , 1.465643 , 1.465643 , 1.465643 , 1.465643 , 1.465643 , 1.465643 
 318 , 0.892443 , 0.892443 , 0.892443 , 0.892443 , 0.892443 , 0.892443 , 0.892443 , 0.892443 , 0.892443 , 0.892443 , 0.892443 , 0.892443 , 0.892443 , 0.892443 , 0.892443 , 0.892443 , 0.892443 , 0.892443 , 0.892443 , 0.892443 
 319 , 1.510146 , 1.510146 , 1.510146 , 1.510146 , 1.510146 , 1.510146 , 1.510146 , 1.510146 , 1.510146 , 1.510146 , 1.510146 , 1.510146 , 1.510146 , 1.510146 , 1.510146 , 1.510146 , 1.510146 , 1.510146 , 1.510146 , 1.510146 
 320 , 1.084359 , 1.084359 , 1.084359 , 1.084359 , 1.084359 , 1.084359 , 1.084359 , 1.084359 , 1.084359 , 1.084359 , 1.084359 , 1.084359 , 1.084359 , 1.084359 , 1.084359 , 1.084359 , 1.084359 , 1.084359 , 1.084359 , 1.084359 
 321 , 0.260298 , 0.260298 , 0.260298 , 0.260298 , 0.260298 , 0.260298 , 0.260298 , 0.260298 , 0.260298 , 0.260298 , 0.260298 , 0.260298 , 0.260298 , 0.260298 , 0.260298 , 0.260298 , 0.260298 , 0.260298 , 0.260298 , 0.260298 
 322 , 2.33523 , 2.33523 , 2.33523 , 2.33523 , 2.33523 , 2.33523 , 2.33523 , 2.33523 , 2.33523 , 2.33523 , 2.33523 , 2.33523 , 2.33523 , 2.33523 , 2.33523 , 2.33523 , 2.33523 , 2.33523 , 2.33523 , 2.33523 
 323 , 2.86077 , 2.86077 , 2.86077 , 2.86077 , 2.86077 , 2.86077 , 2.86077 , 2.86077 , 2.86077 , 2.86077 , 2.86077 , 2.86077 , 2.86077 , 2.86077 , 2.86077 , 2.86077 , 2.86077 , 2.86077 , 2.86077 , 2.86077 
 324 , 1.734112 , 1.734112 , 1.734112 , 1.734112 , 1.734112 , 1.734112 , 1.734112 , 1.734112 , 1.734112 , 1.734112 , 1.734112 , 1.734112 , 1.734112 , 1.734112 , 1.734112 , 1.734112 , 1.734112 , 1.734112 , 1.734112 , 1.734112 
 325 , 2.16354 , 2.16354 , 2.16354 , 2.16354 , 2.16354 , 2.16354 , 2.16354 , 2.16354 , 2.16354 , 2.16354 , 2.16354 , 2.16354 , 2.16354 , 2.16354 , 2.16354 , 2.16354 , 2.16354 , 2.16354 , 2.16354 , 2.16354 
 326 , 3.916073 , 3.916073 , 3.916073 , 3.916073 , 3.916073 , 3.916073 , 3.916073 , 3.916073 , 3.916073 , 3.916073 , 3.916073 , 3.916073 , 3.916073 , 3.916073 , 3.916073 , 3.916073 , 3.916073 , 3.916073 , 3.916073 , 3.916073 
 327 , 4.633566 , 4.633566 , 4.633566 , 4.633566 , 4.633566 , 4.633566 , 4.633566 , 4.633566 , 4.633566 , 4.633566 , 4.633566 , 4.633566 , 4.633566 , 4.633566 , 4.633566 , 4.633566 , 4.633566 , 4.633566 , 4.633566 , 4.633566 
 328 , 5.047145 , 5.047145 , 0 , 5.047145 , 5.047145 , 5.047145 , 0 , 5.047145 , 0 , 5.047145 , 5.047145 , 5.047145 , 5.047145 , 5.047145 , 0 , 5.047145 , 0 , 5.047145 , 5.047145 , 5.047145 
 329 , 4.720361 , 4.720361 , 0 , 4.720361 , 4.720361 , 4.720361 , 0 , 4.720361 , 0 , 4.720361 , 4.720361 , 4.720361 , 4.720361 , 4.720361 , 0 , 4.720361 , 0 , 4.720361 , 4.720361 , 4.720361 
 330 , 3.82693 , 3.82693 , 0 , 3.82693 , 3.82693 , 3.82693 , 0 , 3.82693 , 0 , 3.82693 , 3.82693 , 3.82693 , 3.82693 , 3.82693 , 0 , 3.82693 , 0 , 3.82693 , 3.82693 , 3.82693 
 331 , 1.651205 , 1.651205 , 0 , 1.651205 , 1.651205 , 1.651205 , 0 , 1.651205 , 0 , 1.651205 , 1.651205 , 1.651205 , 1.651205 , 1.651205 , 0 , 1.651205 , 0 , 1.651205 , 1.651205 , 1.651205 
 332 , 0.055237 , 0.00162 , 0.000406 , 0 , 0 , 0 , 0 , 3.511167 , 0 , 3.511167 , 3.511167 , 3.511167 , 0 , 0 , 0 , 0 , 0 , 0.002466 , 3.511167 , 0 
 333 , 0.087423 , 0.002565 , 0.001306 , 0 , 0 , 0 , 0 , 5.330132 , 0 , 5.330132 , 5.330132 , 5.330132 , 0 , 0 , 0 , 0 , 0 , 0.003903 , 5.330132 , 0 
 334 , 0.102586 , 0.00301 , 0.00203 , 0 , 0 , 0 , 0 , 6.194756 , 0 , 6.194756 , 6.194756 , 6.194756 , 0 , 0 , 0 , 0 , 0 , 0.00458 , 6.194756 , 0 
 335 , 0.076017 , 0.004066 , 0.003309 , 0.002708 , 0.000222 , 0.000372 , 0 , 0 , 0 , 0.005519 , 0.008327 , 0.006217 , 0 , 0.002409 , 0.000701 , 0.000249 , 0.000132 , 0.007341 , 0.025242 , 0.00095 
 336 , 0.04417 , 0.008008 , 0.006982 , 0.008924 , 0.001068 , 0.001885 , 0 , 0 , 0 , 0.00655 , 0.009884 , 0.00738 , 0 , 0.009732 , 0.004299 , 0.001526 , 0.000787 , 0.016524 , 0.019611 , 0.008552 
 337 , 0.036863 , 0.011893 , 0.010088 , 0.011366 , 0.001636 , 0.00299 , 0 , 0 , 0 , 0.006755 , 0.010192 , 0.00761 , 0 , 0.013516 , 0.008008 , 0.002844 , 0.001432 , 0.022694 , 0.019253 , 0.029905 
 338 , 0.033682 , 0.015688 , 0.012737 , 0.012711 , 0.002044 , 0.003834 , 0 , 0 , 0 , 0.006874 , 0.010373 , 0.007745 , 0 , 0.01586 , 0.011789 , 0.004186 , 0.00206 , 0.027137 , 0.019224 , 0.358465 
 339 , 0.032314 , 0.017473 , 0.013104 , 0.015854 , 0.005738 , 0.007341 , 0.000821 , 0.002029 , 0 , 0.01124 , 0.011122 , 0.009435 , 0.004417 , 0.018952 , 0.015509 , 0.007119 , 0.004429 , 0.027139 , 0.020667 , 0.022022 
