JUN28MAT00009.spu,JUN28MAT00008.spu,JUN28MAT00007.spu,JUN28MAT00006.spu,JUN28MAT00005.spu,
Wavelength,JUN28MAT00010.spu,JUN28MAT00011.spu,JUN28MAT00012.spu,JUN28MAT00013.spu,JUN28MAT00014.spu,JUN28MAT00015.spu,JUN28MAT00016.spu,JUN28MAT00017.spu,JUN28MAT00018.spu,JUN28MAT00019.spu,JUN28MAT00020.spu,JUN28MAT00021.spu,JUN28MAT00022.spu,JUN28MAT00023.spu,JUN28MAT00024.spu,JUN28MAT00025.spu,JUN28MAT00026.spu,JUN28MAT00027.spu,JUN28MAT00028.spu,JUN28MAT00029.spu,JUN28MAT00030.spu,JUN28MAT00031.spu,JUN28MAT00032.spu,JUN28MAT00033.spu,JUN28MAT00034.spu,JUN28MAT00035.spu,JUN28MAT00036.spu,JUN28MAT00037.spu,JUN28MAT00038.spu,JUN28MAT00039.spu,JUN28MAT00040.spu,JUN28MAT00041.spu,JUN28MAT00042.spu,JUN28MAT00043.spu,JUN28MAT00044.spu,JUN28MAT00045.spu,JUN28MAT00046.spu,JUN28MAT00047.spu,JUN28MAT00048.spu,JUN28MAT00049.spu,JUN28MAT00050.spu,JUN28MAT00051.spu,JUN28MAT00052.spu,JUN28MAT00053.spu,JUN28MAT00054.spu,JUN28MAT00055.spu,JUN28MAT00056.spu,JUN28MAT00057.spu,JUN28MAT00058.spu,JUN28MAT00059.spu,JUN28MAT00060.spu,JUN28MAT00061.spu,JUN28MAT00062.spu,JUN28MAT00063.spu,JUN28MAT00064.spu,JUN28MAT00065.spu,JUN28MAT00066.spu,JUN28MAT00067.spu,JUN28MAT00068.spu,JUN28MAT00069.spu,JUN28MAT00070.spu,JUN28MAT00071.spu,JUN28MAT00072.spu,JUN28MAT00073.spu,JUN28MAT00074.spu,JUN28MAT00075.spu,JUN28MAT00076.spu,JUN28MAT00077.spu,JUN28MAT00078.spu,JUN28MAT00079.spu,JUN28MAT00080.spu,JUN28MAT00081.spu,JUN28MAT00082.spu,JUN28MAT00083.spu,JUN28MAT00084.spu
  (nm),6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 
  time  ,:47:16 A,:47:22 A,:47:29 A,:47:35 A,:47:41 A,:48:11 A,:48:18 A,:48:25 A,:48:33 A,:48:43 A,:49:23 A,:49:30 A,:49:37 A,:49:44 A,:49:51 A,:50:15 A,:50:22 A,:50:35 A,:50:45 A,:50:54 A,:51:47 A,:51:54 A,:52:01 A,:52:07 A,:52:14 A,:53:28 A,:53:33 A,:53:39 A,:53:47 A,:53:52 A,:54:30 A,:54:39 A,:54:47 A,:54:55 A,:55:05 A,:56:39 A,:56:48 A,:56:58 A,:57:11 A,:57:22 A,:58:48 A,:58:53 A,:58:59 A,:59:05 A,:59:12 A,:01:20 P,:01:26 P,:01:31 P,:01:38 P,:01:46 P,:02:22 P,:02:28 P,:02:36 P,:02:42 P,:02:48 P,:04:42 P,:04:50 P,:04:57 P,:05:07 P,:05:14 P,:05:53 P,:06:02 P,:06:09 P,:06:18 P,:06:24 P,:06:46 P,:06:53 P,:06:59 P,:07:06 P,:07:13 P,:07:38 P,:07:44 P,:07:51 P,:07:59 P,:08:05 P
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 311 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 312 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 
 313 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 
 314 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 
 315 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 0 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 
