JUL8MAT00090.spu,JUL8MAT00089.spu,JUL8MAT00088.spu,JUL8MAT00087.spu,JUL8MAT00086.spu,
Wavelength,JUL8MAT00091.spu,JUL8MAT00092.spu,JUL8MAT00093.spu,JUL8MAT00094.spu,JUL8MAT00095.spu,JUL8MAT00096.spu,JUL8MAT00097.spu,JUL8MAT00098.spu,JUL8MAT00099.spu,JUL8MAT00100.spu
  (nm),7/8/2016 3,7/8/2016 3,7/8/2016 3,7/8/2016 3,7/8/2016 3,7/8/2016 3,7/8/2016 3,7/8/2016 3,7/8/2016 3,7/8/2016 3
  time  ,8:32 PM",8:41 PM",8:48 PM",8:54 PM",9:01 PM",0:08 PM",0:16 PM",0:22 PM",0:28 PM",0:35 PM"
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,
 310 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 311 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 312 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 313 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 314 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 315 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 316 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 317 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 318 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 319 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 320 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 321 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 322 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 323 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 324 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 325 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 326 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 327 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 328 , 1 , 1 , 1 , 0 , 0 , 1 , 1 , 1 , 1 , 1 
 329 , 1 , 1 , 1 , 0 , 0 , 1 , 1 , 1 , 1 , 1 
 330 , 1 , 1 , 1 , 0 , 0 , 1 , 1 , 1 , 1 , 1 
 331 , 1 , 1 , 1 , 0 , 0 , 1 , 1 , 1 , 1 , 1 
 332 , 0 , 0 , 0 , 0 , 0 , 0.000096 , 0 , 0.306271 , 0.306271 , 0.306271 
 333 , 0 , 0 , 0 , 0 , 0 , 0.000205 , 0 , 0.629729 , 0.629729 , 0.629729 
 334 , 0 , 0 , 0 , 0 , 0 , 0.000276 , 0 , 0.83955 , 0.83955 , 0.83955 
 335 , 0 , 0 , 0 , 0 , 0 , 0.000061 , 0 , 0 , 0 , 0 
 336 , 0 , 0 , 0 , 0 , 0 , 0.000625 , 0 , 0 , 0 , 0 
 337 , 0 , 0 , 0 , 0 , 0 , 0.001266 , 0 , 0 , 0 , 0 
 338 , 0 , 0 , 0 , 0 , 0 , 0.001842 , 0 , 0 , 0 , 0 
 339 , 0 , 0 , 0.000036 , 0 , 0 , 0.004037 , 0 , 0 , 0.000102 , 0.000692 
 340 , 0 , 0 , 0.00011 , 0 , 0 , 0.006018 , 0 , 0 , 0.000283 , 0.002196 
 341 , 0 , 0 , 0.000204 , 0 , 0 , 0.007726 , 0 , 0 , 0.000487 , 0.004238 
 342 , 0.000449 , 0.000301 , 0.000334 , 0.000313 , 0.000195 , 0.009141 , 0 , 0.000889 , 0.001005 , 0.005441 
 343 , 0.00138 , 0.000836 , 0.000496 , 0.000951 , 0.000602 , 0.010299 , 0 , 0.002766 , 0.001815 , 0.005513 
 344 , 0.002217 , 0.001247 , 0.000653 , 0.001515 , 0.000971 , 0.011332 , 0 , 0.004487 , 0.002517 , 0.005645 
 345 , 0.002998 , 0.00164 , 0.000892 , 0.00201 , 0.001342 , 0.012227 , 0.00008 , 0.005936 , 0.00316 , 0.005813 
 346 , 0.004063 , 0.002722 , 0.002176 , 0.002421 , 0.002164 , 0.012818 , 0.001187 , 0.006063 , 0.004137 , 0.006326 
 347 , 0.004924 , 0.003607 , 0.00321 , 0.002757 , 0.002873 , 0.01329 , 0.00222 , 0.006149 , 0.004988 , 0.006673 
 348 , 0.005634 , 0.004343 , 0.004059 , 0.003037 , 0.003492 , 0.013672 , 0.003183 , 0.00621 , 0.005735 , 0.006921 
 349 , 0.005929 , 0.004767 , 0.004601 , 0.003544 , 0.003734 , 0.014493 , 0.003689 , 0.006527 , 0.006596 , 0.007746 
 350 , 0.006036 , 0.005032 , 0.004971 , 0.004099 , 0.003801 , 0.015344 , 0.003958 , 0.006866 , 0.007385 , 0.00871 
 351 , 0.00611 , 0.00525 , 0.005269 , 0.004591 , 0.003841 , 0.016055 , 0.004172 , 0.00713 , 0.008039 , 0.009559 
 352 , 0.006394 , 0.005556 , 0.00554 , 0.005163 , 0.004103 , 0.016572 , 0.004438 , 0.007618 , 0.008428 , 0.010153 
 353 , 0.007126 , 0.00608 , 0.005815 , 0.005989 , 0.004838 , 0.016802 , 0.004855 , 0.008653 , 0.008383 , 0.01033 
 354 , 0.007828 , 0.006563 , 0.006047 , 0.006803 , 0.005534 , 0.016947 , 0.005241 , 0.009686 , 0.008284 , 0.010451 
 355 , 0.008501 , 0.007012 , 0.006243 , 0.007604 , 0.00619 , 0.017032 , 0.005599 , 0.010717 , 0.008147 , 0.01053 
 356 , 0.008752 , 0.007448 , 0.006955 , 0.007902 , 0.006231 , 0.018368 , 0.005603 , 0.010525 , 0.008861 , 0.011229 
 357 , 0.00897 , 0.007866 , 0.007699 , 0.008159 , 0.006249 , 0.01979 , 0.00559 , 0.0103 , 0.00959 , 0.01193 
 358 , 0.009174 , 0.008264 , 0.008444 , 0.008402 , 0.006273 , 0.021233 , 0.005579 , 0.010102 , 0.010289 , 0.012599 
 359 , 0.009549 , 0.008458 , 0.008511 , 0.008408 , 0.006475 , 0.021899 , 0.005976 , 0.010301 , 0.010636 , 0.012689 
 360 , 0.010038 , 0.008507 , 0.008121 , 0.008254 , 0.006797 , 0.021965 , 0.00665 , 0.010754 , 0.010729 , 0.012377 
 361 , 0.010504 , 0.008554 , 0.007785 , 0.008114 , 0.007103 , 0.022028 , 0.007287 , 0.01117 , 0.010816 , 0.012088 
 362 , 0.010919 , 0.008666 , 0.007609 , 0.008107 , 0.00739 , 0.022135 , 0.00781 , 0.011518 , 0.010955 , 0.012014 
 363 , 0.01117 , 0.009045 , 0.007898 , 0.008582 , 0.007635 , 0.022407 , 0.00799 , 0.011711 , 0.011318 , 0.012725 
 364 , 0.011398 , 0.009402 , 0.008161 , 0.009031 , 0.007861 , 0.022655 , 0.008154 , 0.011885 , 0.011658 , 0.013407 
 365 , 0.011606 , 0.009738 , 0.008401 , 0.009456 , 0.008071 , 0.022882 , 0.008305 , 0.012044 , 0.011975 , 0.014062 
 366 , 0.011619 , 0.009959 , 0.008775 , 0.00971 , 0.008155 , 0.023345 , 0.008386 , 0.012275 , 0.01236 , 0.014397 
 367 , 0.011594 , 0.010147 , 0.00918 , 0.009918 , 0.008205 , 0.023841 , 0.008439 , 0.012512 , 0.012751 , 0.014657 
 368 , 0.011571 , 0.010321 , 0.009578 , 0.010115 , 0.008247 , 0.024306 , 0.008475 , 0.012734 , 0.013129 , 0.014909 
 369 , 0.011622 , 0.010419 , 0.009802 , 0.010216 , 0.008236 , 0.024518 , 0.008569 , 0.012827 , 0.013155 , 0.014858 
 370 , 0.011753 , 0.010424 , 0.009806 , 0.010206 , 0.008166 , 0.024429 , 0.008741 , 0.012776 , 0.012773 , 0.014454 
