JUL21MAT00005.spu,JUL21MAT00004.spu,JUL21MAT00003.spu,
Wavelength,JUL21LOF00006.spu,JUL21LOF00007.spu,JUL21LOF00008.spu,JUL21LOF00009.spu,JUL21LOF00010.spu,JUL21LOF00011.spu,JUL21LOF00012.spu,JUL21LOF00013.spu,JUL21LOF00014.spu,JUL21LOF00015.spu,JUL21LOF00016.spu,JUL21LOF00017.spu,JUL21LOF00018.spu,JUL21LOF00019.spu,JUL21LOF00020.spu,JUL21LOF00021.spu,JUL21LOF00022.spu,JUL21LOF00023.spu,JUL21LOF00024.spu,JUL21LOF00025.spu,JUL21LOF00026.spu,JUL21LOF00027.spu
  (nm),7/21/2016 ,7/21/2016 ,7/21/2016 ,7/21/2016 ,7/21/2016 ,7/21/2016 ,7/21/2016 ,7/21/2016 ,7/21/2016 ,7/21/2016 ,7/21/2016 ,7/21/2016 ,7/21/2016 ,7/21/2016 ,7/21/2016 ,7/21/2016 ,7/21/2016 ,7/21/2016 ,7/21/2016 ,7/21/2016 ,7/21/2016 ,7/21/2016 
  time  ,:33:38 A,:33:55 A,:34:15 A,:34:25 A,:34:32 A,:35:05 A,:35:11 A,:35:18 A,:35:25 A,:35:32 A,:36:08 A,:36:15 A,:36:28 A,:36:38 A,:37:25 A,:37:30 A,:37:39 A,:37:46 A,:37:53 A,:38:19 A,:38:55 A,:39:01 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,
 310 , 0.000188 , 0.000128 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 311 , 0.000184 , 0.000131 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 312 , 0.000193 , 0.000133 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 313 , 0.000202 , 0.000135 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 314 , 0.000212 , 0.000137 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 315 , 0.000217 , 0.000135 , 0.982641 , 0.982641 , 0.982641 , 0.982641 , 0.982641 , 0.982641 , 0.982641 , 0.982641 , 0.982641 , 0.982641 , 0.982641 , 0.982641 , 0.982641 , 0.982641 , 0.982641 , 0.982641 , 0.982641 , 0.982641 , 0.982641 , 0.982641 
 316 , 0.000285 , 0.00017 , 1.241382 , 1.241382 , 1.241382 , 1.241382 , 1.241382 , 1.241382 , 1.241382 , 1.241382 , 1.241382 , 1.241382 , 1.241382 , 1.241382 , 1.241382 , 1.241382 , 1.241382 , 1.241382 , 1.241382 , 1.241382 , 1.241382 , 1.241382 
 317 , 0.000312 , 0.000178 , 1.314995 , 1.314995 , 1.314995 , 1.314995 , 1.314995 , 1.314995 , 1.314995 , 1.314995 , 1.314995 , 1.314995 , 1.314995 , 1.314995 , 1.314995 , 1.314995 , 1.314995 , 1.314995 , 1.314995 , 1.314995 , 1.314995 , 1.314995 
 318 , 0.000099 , 0.000056 , 0.405014 , 0.405014 , 0.405014 , 0.405014 , 0.405014 , 0.405014 , 0 , 0.405014 , 0.405014 , 0.405014 , 0.405014 , 0.405014 , 0.405014 , 0.405014 , 0 , 0.405014 , 0.405014 , 0 , 0.405014 , 0.405014 
 319 , 0.00059 , 0.000359 , 2.23837 , 2.23837 , 2.23837 , 2.23837 , 2.23837 , 2.23837 , 0 , 2.23837 , 2.23837 , 2.23837 , 2.23837 , 2.23837 , 2.23837 , 2.23837 , 0 , 2.23837 , 2.23837 , 0 , 2.23837 , 2.23837 
 320 , 0.000962 , 0.000623 , 3.416211 , 3.416211 , 3.416211 , 3.416211 , 3.416211 , 3.416211 , 0 , 3.416211 , 3.416211 , 3.416211 , 3.416211 , 3.416211 , 3.416211 , 3.416211 , 0 , 3.416211 , 3.416211 , 0 , 3.416211 , 3.416211 
 321 , 0.001277 , 0.000868 , 4.262379 , 4.262379 , 4.262379 , 4.262379 , 4.262379 , 4.262379 , 0 , 4.262379 , 4.262379 , 4.262379 , 4.262379 , 4.262379 , 4.262379 , 4.262379 , 0 , 4.262379 , 4.262379 , 0 , 4.262379 , 4.262379 
 322 , 0.001684 , 0.001174 , 0 , 0 , 0 , 5.260095 , 0 , 5.260095 , 0 , 5.260095 , 0 , 0 , 5.260095 , 5.260095 , 0 , 5.260095 , 0 , 0 , 0 , 0 , 0 , 5.260095 
 323 , 0.002059 , 0.001458 , 0 , 0 , 0 , 6.029 , 0 , 6.029 , 0 , 6.029 , 0 , 0 , 6.029 , 6.029 , 0 , 6.029 , 0 , 0 , 0 , 0 , 0 , 6.029 
 324 , 0.002389 , 0.001716 , 0 , 0 , 0 , 6.598618 , 0 , 6.598618 , 0 , 6.598618 , 0 , 0 , 6.598618 , 6.598618 , 0 , 6.598618 , 0 , 0 , 0 , 0 , 0 , 6.598618 
 325 , 0.0026 , 0.001893 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 326 , 0.00264 , 0.001949 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 327 , 0.002647 , 0.001975 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 328 , 0.002625 , 0.001976 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 329 , 0.003209 , 0.002382 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 330 , 0.003752 , 0.00275 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 331 , 0.004267 , 0.00309 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 332 , 0.004671 , 0.003328 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 333 , 0.004948 , 0.003456 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 334 , 0.005179 , 0.003551 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 335 , 0.005393 , 0.00367 , 0 , 0 , 0 , 0 , 0.000226 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000143 , 0 , 0 , 0 
 336 , 0.005615 , 0.003943 , 0 , 0 , 0 , 0 , 0.001324 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000706 , 0 , 0 , 0 
 337 , 0.00577 , 0.004156 , 0 , 0 , 0 , 0 , 0.002349 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001082 , 0 , 0 , 0 
 338 , 0.005876 , 0.00432 , 0 , 0 , 0 , 0 , 0.003295 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001335 , 0 , 0 , 0 
 339 , 0.00604 , 0.00449 , 0 , 0 , 0.002116 , 0.000932 , 0.006014 , 0 , 0.000112 , 0.000537 , 0 , 0.000515 , 0 , 0 , 0.000728 , 0 , 0.000564 , 0 , 0.002393 , 0.000466 , 0.000587 , 0.001621 
 340 , 0.006167 , 0.004625 , 0 , 0 , 0.004251 , 0.001888 , 0.008014 , 0 , 0.000223 , 0.001062 , 0 , 0.000981 , 0 , 0 , 0.001359 , 0 , 0.001089 , 0 , 0.00353 , 0.000975 , 0.001348 , 0.003227 
 341 , 0.006248 , 0.004727 , 0 , 0 , 0.005992 , 0.002682 , 0.009266 , 0 , 0.000311 , 0.001477 , 0 , 0.001323 , 0 , 0 , 0.001804 , 0 , 0.001483 , 0 , 0.004564 , 0.001426 , 0.002174 , 0.004512 
 342 , 0.006443 , 0.004888 , 0.000495 , 0.000106 , 0.006735 , 0.003452 , 0.010595 , 0.00034 , 0.000786 , 0.002152 , 0 , 0.00201 , 0.000453 , 0 , 0.00263 , 0 , 0.001489 , 0.000467 , 0.005613 , 0.002198 , 0.002899 , 0.005353 
 343 , 0.006777 , 0.005126 , 0.001316 , 0.000312 , 0.006615 , 0.004217 , 0.012196 , 0.000948 , 0.001637 , 0.002981 , 0 , 0.003141 , 0.001303 , 0 , 0.00389 , 0 , 0.001167 , 0.001546 , 0.006571 , 0.003356 , 0.003303 , 0.005837 
 344 , 0.007086 , 0.005343 , 0.001895 , 0.000484 , 0.006518 , 0.004854 , 0.013502 , 0.001413 , 0.002361 , 0.003579 , 0 , 0.004186 , 0.001989 , 0 , 0.004968 , 0 , 0.000898 , 0.002678 , 0.0073 , 0.004435 , 0.003575 , 0.006243 
 345 , 0.007381 , 0.005546 , 0.00236 , 0.000689 , 0.006529 , 0.005433 , 0.014567 , 0.001803 , 0.002991 , 0.004032 , 0.000087 , 0.005094 , 0.002582 , 0.000091 , 0.005857 , 0.000039 , 0.00082 , 0.003917 , 0.007904 , 0.005435 , 0.003806 , 0.006692 
 346 , 0.007716 , 0.005753 , 0.003111 , 0.001659 , 0.007599 , 0.006413 , 0.015143 , 0.002393 , 0.003638 , 0.004323 , 0.001297 , 0.005279 , 0.003429 , 0.001346 , 0.006043 , 0.000566 , 0.002654 , 0.005953 , 0.008599 , 0.006322 , 0.004324 , 0.008354 
 347 , 0.008017 , 0.005932 , 0.003832 , 0.002638 , 0.008534 , 0.007226 , 0.015587 , 0.002952 , 0.004213 , 0.004563 , 0.002439 , 0.005412 , 0.004205 , 0.002523 , 0.006197 , 0.001032 , 0.00434 , 0.007898 , 0.009234 , 0.007011 , 0.004771 , 0.009782 
 348 , 0.008286 , 0.006088 , 0.004521 , 0.003622 , 0.009349 , 0.007902 , 0.015926 , 0.00348 , 0.004723 , 0.00476 , 0.003511 , 0.005504 , 0.004915 , 0.003619 , 0.006325 , 0.001443 , 0.005883 , 0.009746 , 0.009814 , 0.007551 , 0.005155 , 0.011011 
 349 , 0.00851 , 0.00626 , 0.005083 , 0.003819 , 0.009998 , 0.008376 , 0.016533 , 0.004303 , 0.005391 , 0.005534 , 0.004182 , 0.005948 , 0.005324 , 0.004332 , 0.006954 , 0.002146 , 0.006607 , 0.009868 , 0.010678 , 0.008373 , 0.006135 , 0.011662 
 350 , 0.008711 , 0.006437 , 0.005526 , 0.003694 , 0.010554 , 0.008776 , 0.017183 , 0.005099 , 0.006072 , 0.006513 , 0.004626 , 0.006483 , 0.005586 , 0.004859 , 0.007746 , 0.002933 , 0.006979 , 0.009393 , 0.011565 , 0.009295 , 0.007341 , 0.012036 
 351 , 0.008897 , 0.006605 , 0.005896 , 0.003583 , 0.01106 , 0.009161 , 0.017739 , 0.005743 , 0.00668 , 0.007439 , 0.004996 , 0.006955 , 0.005811 , 0.00534 , 0.00848 , 0.003664 , 0.007312 , 0.009003 , 0.012335 , 0.010167 , 0.008504 , 0.012334 
 352 , 0.009032 , 0.006725 , 0.006033 , 0.003641 , 0.011478 , 0.00937 , 0.01832 , 0.006306 , 0.007176 , 0.008146 , 0.005307 , 0.00721 , 0.006172 , 0.005656 , 0.009057 , 0.004019 , 0.007637 , 0.008905 , 0.012768 , 0.010599 , 0.009311 , 0.012291 
 353 , 0.009084 , 0.006756 , 0.005804 , 0.003992 , 0.011778 , 0.00926 , 0.019071 , 0.006879 , 0.007516 , 0.008456 , 0.005578 , 0.007119 , 0.006821 , 0.005692 , 0.009378 , 0.003683 , 0.007971 , 0.009262 , 0.012671 , 0.010234 , 0.009435 , 0.011694 
 354 , 0.009132 , 0.006784 , 0.005598 , 0.004273 , 0.012058 , 0.009154 , 0.019819 , 0.007423 , 0.007803 , 0.008732 , 0.005821 , 0.007031 , 0.007386 , 0.00572 , 0.009665 , 0.00337 , 0.008249 , 0.009564 , 0.012573 , 0.009909 , 0.009545 , 0.011169 
 355 , 0.009177 , 0.006811 , 0.005413 , 0.0045 , 0.012317 , 0.009051 , 0.020564 , 0.007939 , 0.008047 , 0.008976 , 0.006039 , 0.006946 , 0.007881 , 0.005742 , 0.009921 , 0.003077 , 0.008483 , 0.009819 , 0.012476 , 0.009617 , 0.009642 , 0.010703 
 356 , 0.009626 , 0.007119 , 0.005905 , 0.005062 , 0.012958 , 0.009745 , 0.020091 , 0.008342 , 0.008145 , 0.009547 , 0.006228 , 0.007206 , 0.008184 , 0.006186 , 0.01038 , 0.003491 , 0.00913 , 0.009714 , 0.013094 , 0.010127 , 0.010126 , 0.011608 
 357 , 0.010071 , 0.007421 , 0.006422 , 0.00563 , 0.013584 , 0.010461 , 0.019641 , 0.008717 , 0.008218 , 0.010115 , 0.006405 , 0.007465 , 0.008451 , 0.006632 , 0.010821 , 0.003933 , 0.009766 , 0.009589 , 0.013712 , 0.01065 , 0.010601 , 0.012575 
 358 , 0.010491 , 0.007705 , 0.006928 , 0.006184 , 0.014177 , 0.011157 , 0.019261 , 0.00907 , 0.008276 , 0.010663 , 0.006573 , 0.007706 , 0.008691 , 0.007059 , 0.011236 , 0.004367 , 0.010368 , 0.009462 , 0.014296 , 0.011148 , 0.011048 , 0.013533 
 359 , 0.010728 , 0.007877 , 0.007181 , 0.006178 , 0.01404 , 0.011457 , 0.019153 , 0.009168 , 0.008409 , 0.010893 , 0.00664 , 0.008054 , 0.008596 , 0.007019 , 0.011564 , 0.004717 , 0.010404 , 0.00962 , 0.014415 , 0.011326 , 0.011128 , 0.013432 
 360 , 0.010834 , 0.00797 , 0.007246 , 0.005797 , 0.013435 , 0.011468 , 0.019212 , 0.009092 , 0.008593 , 0.010893 , 0.006636 , 0.008469 , 0.008296 , 0.006674 , 0.011821 , 0.00498 , 0.010058 , 0.009978 , 0.014216 , 0.011278 , 0.010965 , 0.012664 
 361 , 0.010935 , 0.008059 , 0.007306 , 0.00546 , 0.0129 , 0.011478 , 0.019265 , 0.009024 , 0.008761 , 0.010891 , 0.006633 , 0.008858 , 0.008034 , 0.006369 , 0.012057 , 0.005212 , 0.009743 , 0.010317 , 0.014034 , 0.011234 , 0.010822 , 0.012023 
 362 , 0.011067 , 0.008158 , 0.007369 , 0.005303 , 0.012625 , 0.011599 , 0.019274 , 0.00894 , 0.008923 , 0.01089 , 0.006671 , 0.009192 , 0.007918 , 0.006201 , 0.012165 , 0.005432 , 0.00952 , 0.010634 , 0.013963 , 0.011315 , 0.010698 , 0.011713 
 363 , 0.011345 , 0.008304 , 0.007433 , 0.005717 , 0.013173 , 0.012148 , 0.019149 , 0.008779 , 0.009097 , 0.010905 , 0.006848 , 0.009392 , 0.008266 , 0.006441 , 0.011848 , 0.005702 , 0.009553 , 0.010895 , 0.014285 , 0.011857 , 0.010603 , 0.012411 
 364 , 0.011614 , 0.008445 , 0.007493 , 0.006103 , 0.013691 , 0.012662 , 0.019036 , 0.008638 , 0.009257 , 0.010919 , 0.007008 , 0.009581 , 0.008583 , 0.006662 , 0.011571 , 0.005962 , 0.009585 , 0.011135 , 0.014589 , 0.012358 , 0.010516 , 0.013101 
 365 , 0.011874 , 0.008581 , 0.007547 , 0.006463 , 0.014182 , 0.013145 , 0.018933 , 0.008514 , 0.009405 , 0.010932 , 0.007154 , 0.009761 , 0.008875 , 0.006865 , 0.011329 , 0.006213 , 0.009614 , 0.011355 , 0.014878 , 0.012825 , 0.010436 , 0.013783 
 366 , 0.012228 , 0.008819 , 0.007894 , 0.006737 , 0.01456 , 0.013245 , 0.019168 , 0.008823 , 0.009698 , 0.011324 , 0.007529 , 0.00998 , 0.008996 , 0.007268 , 0.011824 , 0.006239 , 0.009904 , 0.011445 , 0.014843 , 0.013117 , 0.010856 , 0.014484 
 367 , 0.012593 , 0.009072 , 0.008307 , 0.006991 , 0.014906 , 0.013265 , 0.019468 , 0.009223 , 0.010022 , 0.011794 , 0.007958 , 0.010202 , 0.00908 , 0.007715 , 0.012495 , 0.006221 , 0.010252 , 0.011507 , 0.014757 , 0.013367 , 0.011378 , 0.01518 
 368 , 0.012946 , 0.009317 , 0.008716 , 0.00724 , 0.01524 , 0.013285 , 0.019757 , 0.009616 , 0.010337 , 0.012257 , 0.008383 , 0.010415 , 0.009158 , 0.008159 , 0.013175 , 0.00621 , 0.010591 , 0.011565 , 0.014692 , 0.013607 , 0.01189 , 0.015865 
 369 , 0.013297 , 0.00954 , 0.008869 , 0.007393 , 0.015362 , 0.013519 , 0.019987 , 0.009884 , 0.010508 , 0.012449 , 0.008592 , 0.010375 , 0.009299 , 0.008389 , 0.013412 , 0.006229 , 0.010815 , 0.011697 , 0.014707 , 0.013532 , 0.012276 , 0.016029 
 370 , 0.013646 , 0.009737 , 0.008702 , 0.007428 , 0.015235 , 0.014022 , 0.020152 , 0.009999 , 0.010499 , 0.012312 , 0.008533 , 0.01004 , 0.00952 , 0.008357 , 0.013095 , 0.00628 , 0.010886 , 0.011925 , 0.014809 , 0.013086 , 0.012509 , 0.015575 
 371 , 0.013978 , 0.009921 , 0.00853 , 0.007464 , 0.015118 , 0.014519 , 0.020308 , 0.010113 , 0.010496 , 0.012189 , 0.008478 , 0.009727 , 0.009744 , 0.008324 , 0.01282 , 0.006318 , 0.010949 , 0.012159 , 0.014895 , 0.01266 , 0.012722 , 0.015157 
 372 , 0.014323 , 0.010113 , 0.008384 , 0.007509 , 0.015037 , 0.014956 , 0.020465 , 0.01024 , 0.01049 , 0.012083 , 0.00843 , 0.009461 , 0.009958 , 0.008312 , 0.012591 , 0.006334 , 0.011011 , 0.012366 , 0.014983 , 0.0123 , 0.012906 , 0.014805 
 373 , 0.015111 , 0.010627 , 0.008604 , 0.007654 , 0.015286 , 0.014521 , 0.0207 , 0.010525 , 0.010421 , 0.012106 , 0.008431 , 0.009666 , 0.010078 , 0.008618 , 0.012591 , 0.006185 , 0.011083 , 0.012231 , 0.015193 , 0.012591 , 0.012798 , 0.015005 
 374 , 0.015821 , 0.011081 , 0.008819 , 0.007794 , 0.015541 , 0.0142 , 0.02092 , 0.010797 , 0.010345 , 0.01212 , 0.008435 , 0.009834 , 0.010174 , 0.008895 , 0.012598 , 0.006038 , 0.011177 , 0.012064 , 0.015396 , 0.01287 , 0.012745 , 0.015171 
 375 , 0.016468 , 0.011487 , 0.009032 , 0.007931 , 0.015802 , 0.013956 , 0.021129 , 0.011059 , 0.010265 , 0.012127 , 0.00844 , 0.009975 , 0.010252 , 0.00915 , 0.012608 , 0.005891 , 0.011289 , 0.011872 , 0.015594 , 0.013139 , 0.012732 , 0.015313 
 376 , 0.017473 , 0.012145 , 0.009181 , 0.007909 , 0.015843 , 0.013961 , 0.02165 , 0.011122 , 0.010299 , 0.012494 , 0.008322 , 0.010049 , 0.010322 , 0.009094 , 0.013054 , 0.005958 , 0.011363 , 0.011824 , 0.016027 , 0.013347 , 0.013108 , 0.015464 
 377 , 0.018448 , 0.01278 , 0.009314 , 0.00778 , 0.015759 , 0.014006 , 0.02222 , 0.011118 , 0.010393 , 0.012974 , 0.00814 , 0.010099 , 0.010366 , 0.008904 , 0.013632 , 0.006112 , 0.011398 , 0.011848 , 0.016487 , 0.013509 , 0.013591 , 0.015579 
 378 , 0.019241 , 0.013285 , 0.009458 , 0.007613 , 0.015643 , 0.013998 , 0.022717 , 0.011126 , 0.010501 , 0.013423 , 0.007947 , 0.010151 , 0.010391 , 0.008709 , 0.014166 , 0.006267 , 0.011411 , 0.011882 , 0.016883 , 0.013653 , 0.014026 , 0.015656 
 379 , 0.020054 , 0.013802 , 0.0095 , 0.007512 , 0.015556 , 0.014016 , 0.022786 , 0.011077 , 0.01064 , 0.01365 , 0.007802 , 0.010214 , 0.01041 , 0.008521 , 0.014421 , 0.006275 , 0.011473 , 0.011962 , 0.016882 , 0.013711 , 0.014214 , 0.015701 
 380 , 0.020935 , 0.014364 , 0.009322 , 0.007612 , 0.015553 , 0.014165 , 0.022167 , 0.010911 , 0.010839 , 0.013517 , 0.007776 , 0.010308 , 0.010459 , 0.008389 , 0.01418 , 0.006008 , 0.011688 , 0.01214 , 0.016205 , 0.013629 , 0.013984 , 0.015739 
