JUL27MAT00005.spu,JUL27MAT00004.spu,
Wavelength,JUL27MAT00006.spu,JUL27MAT00007.spu,JUL27MAT00008.spu,JUL27MAT00009.spu,JUL27MAT00010.spu,JUL27MAT00011.spu,JUL27MAT00012.spu,JUL27MAT00013.spu,JUL27MAT00014.spu,JUL27MAT00015.spu,JUL27MAT00016.spu,JUL27MAT00017.spu,JUL27MAT00018.spu,JUL27MAT00019.spu,JUL27MAT00020.spu,JUL27MAT00021.spu,JUL27MAT00022.spu,JUL27MAT00023.spu,JUL27MAT00024.spu,JUL27MAT00025.spu,JUL27MAT00026.spu,JUL27MAT00027.spu,JUL27MAT00028.spu,JUL27MAT00029.spu,JUL27MAT00030.spu,JUL27MAT00031.spu,JUL27MAT00032.spu,JUL27MAT00033.spu,JUL27MAT00034.spu,JUL27MAT00035.spu,JUL27MAT00036.spu,JUL27MAT00037.spu,JUL27MAT00038.spu,JUL27MAT00039.spu,JUL27MAT00040.spu,JUL27MAT00041.spu,JUL27MAT00042.spu,JUL27MAT00043.spu,JUL27MAT00044.spu,JUL27MAT00045.spu,JUL27MAT00046.spu,JUL27MAT00047.spu,JUL27MAT00048.spu,JUL27MAT00049.spu,JUL27MAT00050.spu,JUL27MAT00051.spu,JUL27MAT00052.spu,JUL27MAT00053.spu,JUL27MAT00054.spu,JUL27MAT00055.spu,JUL27MAT00056.spu,JUL27MAT00057.spu,JUL27MAT00058.spu,JUL27MAT00059.spu,JUL27MAT00060.spu
  (nm),7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 
  time  ,52:17 PM,52:24 PM,52:30 PM,52:43 PM,52:51 PM,53:25 PM,53:35 PM,53:41 PM,53:47 PM,53:55 PM,54:46 PM,54:52 PM,56:35 PM,56:42 PM,56:50 PM,57:33 PM,57:47 PM,57:57 PM,58:07 PM,58:20 PM,02:57 PM,03:06 PM,03:12 PM,03:18 PM,03:22 PM,03:30 PM,03:37 PM,03:45 PM,03:52 PM,04:01 PM,04:59 PM,05:09 PM,05:19 PM,05:29 PM,05:38 PM,06:58 PM,07:05 PM,07:15 PM,07:26 PM,07:37 PM,09:08 PM,09:14 PM,09:22 PM,09:29 PM,09:39 PM,10:34 PM,10:41 PM,10:49 PM,10:55 PM,11:02 PM,11:44 PM,11:52 PM,11:58 PM,12:04 PM,12:09 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 1 , 0 , 0 , 1 , 0 , 0 , 0 , 1 , 0 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 0 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 311 , 1 , 0 , 0 , 1 , 0 , 0 , 0 , 1 , 0 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 0 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 312 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 8.708603 , 8.708603 , 8.708603 , 8.708603 , 8.708603 , 8.708603 , 0 , 0 , 8.708603 , 8.708603 , 0 , 0 , 0 , 8.708603 , 8.708603 , 8.708603 , 8.708603 , 8.708603 , 0 , 0 , 8.708603 , 0 , 0 , 0 , 0 , 8.708603 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 8.708603 , 0 , 0 , 8.708603 , 8.708603 , 8.708603 , 8.708603 , 0 , 8.708603 , 0 , 8.708603 , 8.708603 
 313 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 16.509868 , 16.509868 , 16.509868 , 16.509868 , 16.509868 , 16.509868 , 0 , 0 , 16.509868 , 16.509868 , 0 , 0 , 0 , 16.509868 , 16.509868 , 16.509868 , 16.509868 , 16.509868 , 0 , 0 , 16.509868 , 0 , 0 , 0 , 0 , 16.509868 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 16.509868 , 0 , 0 , 16.509868 , 16.509868 , 16.509868 , 16.509868 , 0 , 16.509868 , 0 , 16.509868 , 16.509868 
 314 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 23.069297 , 23.069297 , 23.069297 , 23.069297 , 23.069297 , 23.069297 , 0 , 0 , 23.069297 , 23.069297 , 0 , 0 , 0 , 23.069297 , 23.069297 , 23.069297 , 23.069297 , 23.069297 , 0 , 0 , 23.069297 , 0 , 0 , 0 , 0 , 23.069297 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 23.069297 , 0 , 0 , 23.069297 , 23.069297 , 23.069297 , 23.069297 , 0 , 23.069297 , 0 , 23.069297 , 23.069297 
 315 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 23.541527 , 23.541527 , 23.541527 , 23.541527 , 23.541527 , 0 , 0 , 23.541527 , 23.541527 , 0 , 0 , 0 , 23.541527 , 23.541527 , 23.541527 , 23.541527 , 23.541527 , 0 , 0 , 23.541527 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 23.541527 , 23.541527 
