JUL27MAT00065.spu,JUL27MAT00064.spu,JUL27MAT00063.spu,JUL27MAT00062.spu,JUL27MAT00061.spu,
Wavelength,JUL27MAT00066.spu,JUL27MAT00067.spu,JUL27MAT00068.spu,JUL27MAT00069.spu,JUL27MAT00070.spu,JUL27MAT00071.spu,JUL27MAT00072.spu,JUL27MAT00073.spu,JUL27MAT00074.spu,JUL27MAT00075.spu,JUL27MAT00076.spu,JUL27MAT00077.spu,JUL27MAT00078.spu,JUL27MAT00079.spu,JUL27MAT00080.spu,JUL27MAT00081.spu,JUL27MAT00082.spu,JUL27MAT00083.spu,JUL27MAT00084.spu,JUL27MAT00085.spu,JUL27MAT00086.spu,JUL27MAT00087.spu,JUL27MAT00088.spu,JUL27MAT00089.spu,JUL27MAT00090.spu
  (nm),7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 ,7/27/2016 
  time  ,19:45 PM,19:51 PM,19:56 PM,20:01 PM,20:07 PM,21:18 PM,21:27 PM,21:34 PM,21:40 PM,21:48 PM,22:20 PM,22:26 PM,22:30 PM,22:37 PM,22:42 PM,22:50 PM,22:56 PM,23:02 PM,23:09 PM,23:17 PM,23:31 PM,23:35 PM,23:41 PM,23:48 PM,23:57 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 1.183611 , 0 , 0 , 1.183611 , 1.183611 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 311 , 1.199183 , 0 , 0 , 1.199183 , 1.199183 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 312 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 313 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 314 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 315 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 316 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 317 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 318 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 319 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 320 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 321 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 322 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000431 , 0 , 0 , 0 , 0 
 323 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001138 , 0 , 0 , 0 , 0 
 324 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001828 , 0 , 0 , 0 , 0 
 325 , 0 , 0 , 0 , 0 , 0 , 0.000315 , 0.0003 , 0.000273 , 0.00014 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.002744 , 0 , 0 , 0 , 0 
 326 , 0 , 0 , 0 , 0 , 0 , 0.001194 , 0.001162 , 0.001178 , 0.00054 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.003764 , 0 , 0 , 0 , 0 
 327 , 0 , 0 , 0 , 0 , 0 , 0.001858 , 0.001848 , 0.002097 , 0.000852 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.00434 , 0 , 0 , 0 , 0 
 328 , 0 , 0 , 0 , 0 , 0 , 0.00229 , 0.002323 , 0.002961 , 0.001062 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.004592 , 0 , 0 , 0 , 0 
 329 , 0.001677 , 0.000493 , 0.001822 , 0.001069 , 0 , 0.004026 , 0.004307 , 0.005437 , 0.001999 , 0.000446 , 0 , 0 , 0 , 0 , 0.000627 , 0.000776 , 0.000825 , 0.001008 , 0 , 0.001133 , 0.007728 , 0.000685 , 0.002001 , 0.000743 , 0.001163 
 330 , 0.003401 , 0.00094 , 0.003816 , 0.002086 , 0 , 0.005956 , 0.006445 , 0.007627 , 0.002876 , 0.00085 , 0 , 0 , 0 , 0 , 0.001319 , 0.001611 , 0.001713 , 0.001978 , 0 , 0.002451 , 0.011699 , 0.0014 , 0.003626 , 0.001522 , 0.002621 
 331 , 0.005048 , 0.001325 , 0.00583 , 0.002996 , 0 , 0.008002 , 0.00863 , 0.009499 , 0.003662 , 0.001199 , 0 , 0 , 0 , 0 , 0.002024 , 0.002442 , 0.002596 , 0.002855 , 0 , 0.00386 , 0.016607 , 0.002091 , 0.004926 , 0.002281 , 0.004306 
 332 , 0.006573 , 0.002799 , 0.007208 , 0.004259 , 0.000644 , 0.009011 , 0.009605 , 0.010046 , 0.004954 , 0.001544 , 0.000538 , 0.000726 , 0.000036 , 0.000749 , 0.002864 , 0.003658 , 0.003652 , 0.003896 , 0.001159 , 0.004621 , 0.017641 , 0.003017 , 0.005865 , 0.003136 , 0.005157 
 333 , 0.007884 , 0.005024 , 0.007965 , 0.005525 , 0.00191 , 0.009225 , 0.009693 , 0.009799 , 0.006517 , 0.001876 , 0.001369 , 0.001829 , 0.000083 , 0.002034 , 0.003689 , 0.004987 , 0.004685 , 0.004958 , 0.002763 , 0.004858 , 0.016096 , 0.00404 , 0.006623 , 0.003923 , 0.005301 
 334 , 0.008981 , 0.007164 , 0.008495 , 0.006478 , 0.003422 , 0.009339 , 0.00974 , 0.009551 , 0.007912 , 0.002167 , 0.002087 , 0.002766 , 0.000118 , 0.003305 , 0.004373 , 0.006106 , 0.005529 , 0.005851 , 0.003991 , 0.005037 , 0.014875 , 0.00495 , 0.007379 , 0.004534 , 0.005362 
