JUL26MNAT00035.spu,JUL26MNAT00034.spu,JUL26MNAT00033.spu,JUL26MNAT00032.spu,JUL26MNAT00031.spu,
Wavelength,JUL26MNAT00036.spu,JUL26MNAT00037.spu,JUL26MNAT00038.spu,JUL26MNAT00039.spu,JUL26MNAT00040.spu
  (nm),7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 
  time  ,38:55 PM,39:06 PM,39:11 PM,39:17 PM,39:33 PM
temp C,SW,SW,SW,SW,SW
,,,,,
 310 , 1 , 1 , 1 , 1 , 1 
 311 , 1 , 1 , 1 , 1 , 1 
 312 , 1 , 1 , 1 , 1 , 1 
 313 , 1 , 1 , 1 , 1 , 1 
 314 , 1 , 1 , 1 , 1 , 1 
 315 , 1 , 1 , 1 , 1 , 1 
 316 , 1 , 1 , 1 , 1 , 1 
 317 , 1 , 1 , 1 , 1 , 1 
 318 , 1 , 1 , 1 , 1 , 1 
 319 , 1 , 1 , 1 , 1 , 1 
 320 , 1 , 1 , 1 , 1 , 1 
 321 , 1 , 1 , 1 , 1 , 1 
 322 , 1 , 1 , 1 , 1 , 1 
 323 , 1 , 1 , 1 , 1 , 1 
 324 , 1 , 1 , 1 , 1 , 1 
 325 , 1 , 1 , 1 , 1 , 1 
 326 , 1 , 1 , 1 , 1 , 1 
 327 , 1 , 1 , 1 , 1 , 1 
 328 , 0 , 0.010396 , 0.010396 , 0.010396 , 0 
 329 , 0 , 0.609048 , 0.609048 , 0.609048 , 0 
 330 , 0 , 0.853473 , 0.853473 , 0.853473 , 0 
 331 , 0 , 0.98629 , 0.98629 , 0.98629 , 0 
 332 , 0 , 1.069111 , 1.069111 , 1.069111 , 0.00015 
 333 , 0 , 1.115694 , 1.115694 , 1.115694 , 0.000487 
 334 , 0 , 1.145758 , 1.145758 , 1.145758 , 0.00095 
 335 , 0.000086 , 0.000794 , 0.000204 , 0.000292 , 0.000273 
 336 , 0.001331 , 0.003813 , 0.00098 , 0.0014 , 0.001575 
 337 , 0.002727 , 0.005956 , 0.00153 , 0.002187 , 0.002865 
 338 , 0.00396 , 0.007619 , 0.001958 , 0.002797 , 0.004037 
 339 , 0.005181 , 0.00912 , 0.003224 , 0.005188 , 0.006628 
 340 , 0.005778 , 0.009817 , 0.004554 , 0.008348 , 0.009228 
 341 , 0.006113 , 0.010238 , 0.00587 , 0.012248 , 0.011714 
 342 , 0.007802 , 0.011734 , 0.007987 , 0.016007 , 0.013487 
 343 , 0.010938 , 0.013676 , 0.010553 , 0.0176 , 0.013664 
 344 , 0.013792 , 0.014973 , 0.012616 , 0.01847 , 0.013468 
 345 , 0.016315 , 0.015837 , 0.014186 , 0.019149 , 0.013286 
 346 , 0.017572 , 0.016097 , 0.014053 , 0.021007 , 0.01422 
 347 , 0.018427 , 0.016005 , 0.013752 , 0.022436 , 0.014774 
 348 , 0.01899 , 0.015729 , 0.013372 , 0.023537 , 0.015068 
 349 , 0.020194 , 0.016649 , 0.014534 , 0.024351 , 0.016256 
 350 , 0.021601 , 0.01797 , 0.01617 , 0.024953 , 0.017755 
 351 , 0.022911 , 0.01919 , 0.01762 , 0.025418 , 0.019151 
 352 , 0.023702 , 0.019899 , 0.018359 , 0.024926 , 0.020398 
 353 , 0.023567 , 0.019716 , 0.017942 , 0.023077 , 0.021387 
 354 , 0.023389 , 0.019513 , 0.017555 , 0.021648 , 0.022223 
 355 , 0.023177 , 0.019295 , 0.017189 , 0.020492 , 0.022924 
 356 , 0.023673 , 0.020152 , 0.017934 , 0.022978 , 0.024097 
 357 , 0.024055 , 0.020933 , 0.018611 , 0.025647 , 0.025136 
 358 , 0.02432 , 0.021607 , 0.019184 , 0.028312 , 0.026041 
 359 , 0.024853 , 0.021662 , 0.019618 , 0.02865 , 0.025962 
 360 , 0.025595 , 0.0213 , 0.019963 , 0.027386 , 0.02525 
 361 , 0.026283 , 0.020942 , 0.020277 , 0.026282 , 0.024595 
 362 , 0.026955 , 0.020782 , 0.02064 , 0.025749 , 0.024142 
 363 , 0.027693 , 0.021335 , 0.021282 , 0.027046 , 0.024289 
 364 , 0.028372 , 0.021836 , 0.021875 , 0.02828 , 0.024419 
 365 , 0.029 , 0.022292 , 0.022425 , 0.029456 , 0.024535 
 366 , 0.028798 , 0.02227 , 0.022397 , 0.029274 , 0.025586 
 367 , 0.028446 , 0.022131 , 0.022254 , 0.028779 , 0.026821 
 368 , 0.028124 , 0.021975 , 0.022124 , 0.028272 , 0.028012 
 369 , 0.027974 , 0.022174 , 0.021961 , 0.027876 , 0.028384 
 370 , 0.028015 , 0.022824 , 0.021764 , 0.027642 , 0.027789 
 371 , 0.028041 , 0.023458 , 0.021586 , 0.027455 , 0.027276 
 372 , 0.028033 , 0.024056 , 0.021425 , 0.027337 , 0.026867 
 373 , 0.027606 , 0.024233 , 0.021296 , 0.027682 , 0.02709 
 374 , 0.027301 , 0.024438 , 0.02121 , 0.028022 , 0.027297 
 375 , 0.02708 , 0.024662 , 0.021153 , 0.028359 , 0.027493 
 376 , 0.027451 , 0.024536 , 0.021635 , 0.028357 , 0.027431 
 377 , 0.027946 , 0.024169 , 0.022187 , 0.028199 , 0.02733 
 378 , 0.028347 , 0.023723 , 0.022609 , 0.028032 , 0.027287 
 379 , 0.028717 , 0.023448 , 0.022723 , 0.028076 , 0.027345 
 380 , 0.029073 , 0.023628 , 0.022372 , 0.028462 , 0.02744 
 381 , 0.029386 , 0.023849 , 0.02207 , 0.028729 , 0.027392 
 382 , 0.029681 , 0.024095 , 0.02179 , 0.028936 , 0.027268 
 383 , 0.030135 , 0.024394 , 0.022199 , 0.029202 , 0.027802 
 384 , 0.030587 , 0.024687 , 0.022653 , 0.029469 , 0.02832 
 385 , 0.031034 , 0.024974 , 0.023118 , 0.029737 , 0.028816 
 386 , 0.03133 , 0.025305 , 0.023577 , 0.029997 , 0.029161 
 387 , 0.031518 , 0.025644 , 0.024016 , 0.03024 , 0.029401 
 388 , 0.031699 , 0.025959 , 0.024441 , 0.030473 , 0.029635 
 389 , 0.031894 , 0.02631 , 0.024801 , 0.030793 , 0.029943 
 390 , 0.032149 , 0.026833 , 0.024978 , 0.031447 , 0.030536 
 391 , 0.032399 , 0.027341 , 0.025151 , 0.032069 , 0.031105 
 392 , 0.032638 , 0.027826 , 0.025315 , 0.032665 , 0.031653 
 393 , 0.033185 , 0.028208 , 0.025844 , 0.033115 , 0.032 
 394 , 0.033746 , 0.028543 , 0.026394 , 0.033506 , 0.032291 
 395 , 0.034264 , 0.028857 , 0.026902 , 0.03387 , 0.032565 
 396 , 0.034976 , 0.029254 , 0.027407 , 0.034396 , 0.032911 
 397 , 0.035826 , 0.029699 , 0.02788 , 0.035035 , 0.033304 
 398 , 0.036565 , 0.030093 , 0.028291 , 0.035594 , 0.033648 
 399 , 0.0372 , 0.030477 , 0.02869 , 0.036098 , 0.034012 
 400 , 0.037661 , 0.031132 , 0.02933 , 0.036661 , 0.034799 
 401 , 0.038067 , 0.031715 , 0.029897 , 0.037163 , 0.035492 
 402 , 0.038429 , 0.032233 , 0.030405 , 0.037604 , 0.036113 
 403 , 0.038872 , 0.032566 , 0.030799 , 0.037943 , 0.036416 
 404 , 0.039321 , 0.032824 , 0.031145 , 0.038235 , 0.036611 
 405 , 0.039746 , 0.033065 , 0.031469 , 0.038509 , 0.036787 
 406 , 0.040085 , 0.033367 , 0.031747 , 0.038832 , 0.037038 
 407 , 0.040319 , 0.033764 , 0.031962 , 0.039255 , 0.037411 
 408 , 0.040538 , 0.034139 , 0.032167 , 0.039657 , 0.037763 
 409 , 0.04075 , 0.034498 , 0.032361 , 0.040039 , 0.038097 
 410 , 0.041264 , 0.034752 , 0.032776 , 0.040421 , 0.038577 
 411 , 0.041751 , 0.034994 , 0.033165 , 0.04078 , 0.039031 
 412 , 0.042209 , 0.035218 , 0.033539 , 0.04112 , 0.039457 
 413 , 0.042644 , 0.035476 , 0.033813 , 0.041419 , 0.039664 
 414 , 0.043059 , 0.035752 , 0.034042 , 0.041691 , 0.039742 
 415 , 0.043453 , 0.036014 , 0.034263 , 0.041947 , 0.039824 
 416 , 0.043825 , 0.03629 , 0.034507 , 0.042223 , 0.04 
 417 , 0.044157 , 0.03664 , 0.034848 , 0.042563 , 0.040445 
 418 , 0.044482 , 0.036974 , 0.035173 , 0.042886 , 0.040874 
 419 , 0.044789 , 0.037292 , 0.035489 , 0.043203 , 0.041288 
 420 , 0.045248 , 0.037583 , 0.035844 , 0.043493 , 0.041547 
 421 , 0.045712 , 0.037865 , 0.036193 , 0.043776 , 0.041789 
 422 , 0.046162 , 0.038139 , 0.036533 , 0.044055 , 0.042021 
 423 , 0.046541 , 0.038473 , 0.036849 , 0.044333 , 0.042312 
 424 , 0.046867 , 0.03887 , 0.037153 , 0.044628 , 0.04265 
 425 , 0.047194 , 0.039255 , 0.037451 , 0.044916 , 0.042987 
 426 , 0.047519 , 0.039628 , 0.037765 , 0.045209 , 0.04333 
 427 , 0.047876 , 0.039943 , 0.038121 , 0.045519 , 0.043697 
 428 , 0.048227 , 0.040248 , 0.038478 , 0.045823 , 0.044064 
 429 , 0.048578 , 0.040558 , 0.038829 , 0.046127 , 0.044421 
 430 , 0.049113 , 0.041015 , 0.039178 , 0.046556 , 0.04476 
 431 , 0.049676 , 0.041503 , 0.039519 , 0.047006 , 0.045075 
 432 , 0.050227 , 0.041977 , 0.039846 , 0.047448 , 0.045387 
 433 , 0.050719 , 0.042459 , 0.04024 , 0.047868 , 0.045755 
 434 , 0.051145 , 0.042951 , 0.040707 , 0.048267 , 0.046199 
 435 , 0.051555 , 0.043422 , 0.041153 , 0.048655 , 0.046628 
 436 , 0.051961 , 0.04389 , 0.041589 , 0.04904 , 0.047053 
 437 , 0.052561 , 0.04445 , 0.042111 , 0.049497 , 0.047568 
 438 , 0.053139 , 0.044997 , 0.042619 , 0.049938 , 0.048073 
 439 , 0.053708 , 0.045524 , 0.043113 , 0.05037 , 0.048557 
 440 , 0.054178 , 0.046099 , 0.043463 , 0.050814 , 0.048964 
 441 , 0.054605 , 0.046681 , 0.043759 , 0.051261 , 0.049326 
 442 , 0.05503 , 0.047251 , 0.044047 , 0.051705 , 0.049687 
 443 , 0.055442 , 0.047796 , 0.044413 , 0.052144 , 0.050094 
 444 , 0.055851 , 0.048298 , 0.044938 , 0.052582 , 0.050607 
 445 , 0.056254 , 0.048787 , 0.04545 , 0.053014 , 0.051108 
 446 , 0.056655 , 0.049277 , 0.045957 , 0.053445 , 0.051596 
 447 , 0.057141 , 0.049749 , 0.046233 , 0.05387 , 0.051901 
 448 , 0.057633 , 0.050214 , 0.046504 , 0.054291 , 0.052197 
 449 , 0.058114 , 0.05068 , 0.046777 , 0.054713 , 0.052494 
 450 , 0.058475 , 0.051085 , 0.047065 , 0.055105 , 0.052816 
 451 , 0.05876 , 0.051464 , 0.047361 , 0.055486 , 0.053153 
 452 , 0.059051 , 0.051837 , 0.047658 , 0.055868 , 0.053496 
 453 , 0.059364 , 0.052185 , 0.04796 , 0.056196 , 0.053834 
 454 , 0.05975 , 0.05245 , 0.04828 , 0.056361 , 0.054153 
 455 , 0.060136 , 0.05272 , 0.048599 , 0.056526 , 0.054466 
 456 , 0.060528 , 0.05299 , 0.048919 , 0.056691 , 0.054791 
 457 , 0.060829 , 0.053321 , 0.049158 , 0.057029 , 0.055043 
 458 , 0.061127 , 0.053654 , 0.049386 , 0.057387 , 0.055284 
 459 , 0.06143 , 0.053994 , 0.049614 , 0.057746 , 0.055531 
 460 , 0.061642 , 0.054242 , 0.049847 , 0.057979 , 0.055775 
 461 , 0.061781 , 0.054404 , 0.050078 , 0.05809 , 0.056013 
 462 , 0.061915 , 0.054574 , 0.050311 , 0.058202 , 0.056258 
 463 , 0.062086 , 0.054754 , 0.050535 , 0.058349 , 0.056483 
 464 , 0.06239 , 0.054998 , 0.050699 , 0.058679 , 0.056594 
 465 , 0.062696 , 0.055244 , 0.050865 , 0.059011 , 0.056706 
 466 , 0.063011 , 0.055498 , 0.051038 , 0.059351 , 0.05682 
 467 , 0.063153 , 0.055654 , 0.051212 , 0.059574 , 0.056971 
 468 , 0.063263 , 0.055794 , 0.051386 , 0.059771 , 0.057126 
 469 , 0.063376 , 0.055928 , 0.051562 , 0.05997 , 0.057282 
 470 , 0.063574 , 0.056067 , 0.051745 , 0.060151 , 0.057466 
 471 , 0.063887 , 0.0562 , 0.051924 , 0.060294 , 0.057677 
 472 , 0.064201 , 0.05634 , 0.052105 , 0.060443 , 0.05789 
 473 , 0.064507 , 0.056485 , 0.052292 , 0.060596 , 0.058107 
 474 , 0.064784 , 0.056771 , 0.052538 , 0.060828 , 0.058289 
 475 , 0.065056 , 0.05705 , 0.052788 , 0.061059 , 0.058471 
 476 , 0.065336 , 0.057329 , 0.053032 , 0.061291 , 0.058652 
 477 , 0.065496 , 0.057545 , 0.053218 , 0.061454 , 0.058852 
 478 , 0.065613 , 0.057732 , 0.053375 , 0.061587 , 0.059061 
 479 , 0.065731 , 0.057919 , 0.053532 , 0.061726 , 0.059265 
 480 , 0.065876 , 0.058105 , 0.053711 , 0.061892 , 0.059436 
 481 , 0.066085 , 0.058297 , 0.053923 , 0.062127 , 0.059546 
 482 , 0.066302 , 0.05849 , 0.054141 , 0.062364 , 0.059657 
 483 , 0.066514 , 0.058677 , 0.054354 , 0.062608 , 0.059763 
 484 , 0.066727 , 0.05882 , 0.054487 , 0.062792 , 0.059919 
 485 , 0.066943 , 0.058961 , 0.054619 , 0.062987 , 0.060073 
 486 , 0.067167 , 0.059102 , 0.054751 , 0.063176 , 0.060235 
 487 , 0.067438 , 0.059209 , 0.054998 , 0.063349 , 0.06043 
 488 , 0.067729 , 0.059297 , 0.055293 , 0.063494 , 0.060659 
 489 , 0.068019 , 0.059385 , 0.055588 , 0.063644 , 0.060882 
 490 , 0.068325 , 0.05955 , 0.055843 , 0.063848 , 0.061128 
 491 , 0.068668 , 0.059896 , 0.056006 , 0.064189 , 0.061402 
 492 , 0.069005 , 0.060241 , 0.056163 , 0.064524 , 0.061675 
 493 , 0.069342 , 0.060574 , 0.056321 , 0.064853 , 0.061943 
 494 , 0.069582 , 0.060824 , 0.056681 , 0.065069 , 0.062281 
 495 , 0.069811 , 0.061065 , 0.05706 , 0.065269 , 0.062618 
 496 , 0.070046 , 0.061307 , 0.057432 , 0.065469 , 0.062954 
 497 , 0.070344 , 0.061595 , 0.057791 , 0.065775 , 0.063222 
 498 , 0.070692 , 0.061913 , 0.058132 , 0.066147 , 0.063437 
 499 , 0.07104 , 0.062231 , 0.058473 , 0.066511 , 0.063651 
 500 , 0.0714 , 0.062591 , 0.058819 , 0.066916 , 0.063901 
 501 , 0.071822 , 0.063079 , 0.059229 , 0.06745 , 0.064299 
 502 , 0.072238 , 0.063568 , 0.05964 , 0.067979 , 0.064692 
 503 , 0.072647 , 0.064044 , 0.060037 , 0.068507 , 0.065077 
 504 , 0.073171 , 0.064422 , 0.060586 , 0.068955 , 0.065574 
 505 , 0.073703 , 0.064777 , 0.06114 , 0.069383 , 0.06608 
 506 , 0.074229 , 0.065133 , 0.061688 , 0.069804 , 0.06658 
 507 , 0.074855 , 0.065624 , 0.062288 , 0.070338 , 0.067115 
 508 , 0.075578 , 0.066229 , 0.062931 , 0.070979 , 0.067682 
 509 , 0.076288 , 0.066833 , 0.063568 , 0.071608 , 0.068242 
 510 , 0.076989 , 0.06744 , 0.064224 , 0.072243 , 0.068824 
 511 , 0.077657 , 0.068076 , 0.065027 , 0.072946 , 0.069575 
 512 , 0.078329 , 0.068711 , 0.065833 , 0.07364 , 0.070319 
 513 , 0.078994 , 0.069347 , 0.066632 , 0.074335 , 0.071063 
 514 , 0.079798 , 0.070089 , 0.067485 , 0.075058 , 0.071762 
 515 , 0.080644 , 0.070858 , 0.068352 , 0.075795 , 0.072451 
 516 , 0.081479 , 0.071629 , 0.069221 , 0.076529 , 0.073142 
 517 , 0.082408 , 0.072522 , 0.070176 , 0.077411 , 0.073952 
 518 , 0.083428 , 0.073544 , 0.071237 , 0.078464 , 0.074895 
 519 , 0.084444 , 0.074563 , 0.072283 , 0.079506 , 0.07584 
 520 , 0.085464 , 0.075558 , 0.073344 , 0.080537 , 0.076774 
 521 , 0.086557 , 0.076398 , 0.074525 , 0.081555 , 0.077758 
 522 , 0.087634 , 0.077221 , 0.07569 , 0.082553 , 0.078726 
 523 , 0.088692 , 0.078037 , 0.076837 , 0.083545 , 0.079675 
 524 , 0.089822 , 0.079023 , 0.077974 , 0.084613 , 0.080653 
 525 , 0.09097 , 0.080053 , 0.079099 , 0.085697 , 0.081625 
 526 , 0.0921 , 0.081073 , 0.080206 , 0.086762 , 0.082585 
 527 , 0.0932 , 0.082069 , 0.08133 , 0.087772 , 0.083554 
 528 , 0.094276 , 0.08305 , 0.082486 , 0.088699 , 0.084559 
 529 , 0.095332 , 0.084018 , 0.083623 , 0.089613 , 0.085545 
 530 , 0.096382 , 0.084972 , 0.084748 , 0.090518 , 0.086524 
 531 , 0.097432 , 0.085941 , 0.085874 , 0.091534 , 0.087425 
 532 , 0.098473 , 0.086896 , 0.086989 , 0.092541 , 0.088319 
 533 , 0.099508 , 0.087846 , 0.088093 , 0.093537 , 0.089201 
 534 , 0.100433 , 0.088706 , 0.089014 , 0.094439 , 0.090012 
 535 , 0.101314 , 0.089533 , 0.089849 , 0.095296 , 0.090796 
 536 , 0.102185 , 0.09035 , 0.090686 , 0.096156 , 0.091569 
 537 , 0.103023 , 0.091109 , 0.091528 , 0.096961 , 0.092319 
 538 , 0.103793 , 0.091764 , 0.092381 , 0.097673 , 0.093031 
 539 , 0.104558 , 0.092413 , 0.093229 , 0.098387 , 0.093738 
 540 , 0.105318 , 0.093057 , 0.09408 , 0.099096 , 0.094441 
 541 , 0.106064 , 0.093668 , 0.09474 , 0.099743 , 0.095007 
 542 , 0.106808 , 0.094268 , 0.095385 , 0.100394 , 0.095563 
 543 , 0.107547 , 0.094869 , 0.096031 , 0.101033 , 0.096113 
 544 , 0.108316 , 0.09553 , 0.096715 , 0.101696 , 0.096742 
 545 , 0.109094 , 0.096236 , 0.097424 , 0.102371 , 0.097417 
 546 , 0.109867 , 0.096943 , 0.098128 , 0.103041 , 0.098093 
 547 , 0.110566 , 0.097609 , 0.098805 , 0.103657 , 0.098715 
 548 , 0.111093 , 0.098222 , 0.099421 , 0.104134 , 0.099226 
 549 , 0.111616 , 0.098833 , 0.100029 , 0.104609 , 0.099735 
 550 , 0.11214 , 0.099439 , 0.100645 , 0.105085 , 0.100245 
 551 , 0.112585 , 0.099934 , 0.101059 , 0.10557 , 0.10063 
 552 , 0.113027 , 0.100407 , 0.101466 , 0.106058 , 0.101 
 553 , 0.11347 , 0.100882 , 0.101865 , 0.106547 , 0.10137 
 554 , 0.113819 , 0.101259 , 0.102224 , 0.106919 , 0.101685 
 555 , 0.114093 , 0.101555 , 0.102549 , 0.107202 , 0.101967 
 556 , 0.114374 , 0.101858 , 0.102883 , 0.107494 , 0.10225 
 557 , 0.114626 , 0.102144 , 0.10317 , 0.107761 , 0.102507 
 558 , 0.114805 , 0.102365 , 0.103321 , 0.107968 , 0.102651 
 559 , 0.114979 , 0.102591 , 0.10347 , 0.108171 , 0.102798 
 560 , 0.115161 , 0.102811 , 0.103619 , 0.108375 , 0.10294 
 561 , 0.115256 , 0.103024 , 0.103646 , 0.108457 , 0.103074 
 562 , 0.115332 , 0.103231 , 0.103645 , 0.108531 , 0.103209 
 563 , 0.115408 , 0.103444 , 0.103644 , 0.108605 , 0.103351 
 564 , 0.115442 , 0.103535 , 0.103649 , 0.108636 , 0.103435 
 565 , 0.115435 , 0.103515 , 0.103665 , 0.108621 , 0.103465 
 566 , 0.115433 , 0.103501 , 0.103678 , 0.108611 , 0.103501 
 567 , 0.115402 , 0.103499 , 0.103641 , 0.108578 , 0.103499 
 568 , 0.115214 , 0.10353 , 0.103375 , 0.108464 , 0.103354 
 569 , 0.115021 , 0.103558 , 0.103101 , 0.10836 , 0.103206 
 570 , 0.114829 , 0.103587 , 0.102836 , 0.108251 , 0.103061 
 571 , 0.114642 , 0.103577 , 0.102613 , 0.108195 , 0.103011 
 572 , 0.114462 , 0.103561 , 0.1024 , 0.108152 , 0.102977 
 573 , 0.114274 , 0.103552 , 0.102188 , 0.108117 , 0.102943 
 574 , 0.114096 , 0.103477 , 0.102008 , 0.108014 , 0.102843 
 575 , 0.113937 , 0.103324 , 0.101848 , 0.107841 , 0.102672 
 576 , 0.113771 , 0.103171 , 0.101681 , 0.107675 , 0.102501 
 577 , 0.113616 , 0.103048 , 0.10151 , 0.107519 , 0.102354 
 578 , 0.113477 , 0.103107 , 0.101282 , 0.107471 , 0.102388 
 579 , 0.113334 , 0.10318 , 0.101054 , 0.107424 , 0.102435 
 580 , 0.113195 , 0.103248 , 0.10083 , 0.10738 , 0.102478 
 581 , 0.11313 , 0.103243 , 0.100773 , 0.107279 , 0.102507 
 582 , 0.113084 , 0.103226 , 0.10076 , 0.107168 , 0.102525 
