JUL26MNAT00045.spu,JUL26MNAT00044.spu,JUL26MNAT00043.spu,JUL26MNAT00042.spu,JUL26MNAT00041.spu,
Wavelength,JUL26MNAT00046.spu,JUL26MNAT00047.spu,JUL26MNAT00048.spu,JUL26MNAT00049.spu,JUL26MNAT00050.spu,JUL26MNAT00051.spu,JUL26MNAT00052.spu,JUL26MNAT00053.spu,JUL26MNAT00054.spu,JUL26MNAT00055.spu,JUL26MNAT00056.spu,JUL26MNAT00057.spu,JUL26MNAT00058.spu,JUL26MNAT00059.spu,JUL26MNAT00060.spu,JUL26MNAT00061.spu,JUL26MNAT00062.spu,JUL26MNAT00063.spu,JUL26MNAT00064.spu,JUL26MNAT00065.spu,JUL26MNAT00066.spu,JUL26MNAT00067.spu,JUL26MNAT00068.spu,JUL26MNAT00069.spu,JUL26MNAT00070.spu,JUL26MNAT00071.spu,JUL26MNAT00072.spu,JUL26MNAT00073.spu,JUL26MNAT00074.spu,JUL26MNAT00075.spu,JUL26MNAT00076.spu,JUL26MNAT00077.spu,JUL26MNAT00078.spu,JUL26MNAT00079.spu,JUL26MNAT00080.spu,JUL26MNAT00081.spu,JUL26MNAT00082.spu,JUL26MNAT00083.spu,JUL26MNAT00084.spu,JUL26MNAT00085.spu,JUL26MNAT00086.spu,JUL26MNAT00087.spu,JUL26MNAT00088.spu,JUL26MNAT00089.spu,JUL26MNAT00090.spu,JUL26MNAT00091.spu,JUL26MNAT00092.spu,JUL26MNAT00093.spu,JUL26MNAT00094.spu,JUL26MNAT00095.spu,JUL26MNAT00096.spu,JUL26MNAT00097.spu,JUL26MNAT00098.spu,JUL26MNAT00099.spu,JUL26MNAT00100.spu,JUL26MNAT00101.spu,JUL26MNAT00102.spu,JUL26MNAT00103.spu,JUL26MNAT00104.spu,JUL26MNAT00105.spu
  (nm),7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 
  time  ,47:18 PM,47:30 PM,47:41 PM,47:49 PM,47:58 PM,06:54 PM,07:14 PM,07:31 PM,07:43 PM,07:53 PM,09:57 PM,10:12 PM,10:21 PM,10:30 PM,10:42 PM,10:50 PM,10:56 PM,11:04 PM,11:15 PM,11:21 PM,12:38 PM,12:52 PM,13:04 PM,13:28 PM,13:36 PM,15:27 PM,15:37 PM,15:47 PM,15:59 PM,16:07 PM,17:00 PM,17:13 PM,17:30 PM,17:39 PM,17:54 PM,19:28 PM,19:36 PM,19:43 PM,19:49 PM,19:56 PM,20:09 PM,20:16 PM,20:22 PM,20:30 PM,20:41 PM,21:54 PM,22:03 PM,22:11 PM,22:22 PM,22:35 PM,23:09 PM,23:22 PM,23:30 PM,23:39 PM,23:52 PM,24:33 PM,24:54 PM,25:04 PM,25:13 PM,25:22 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 311 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 312 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 313 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 314 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 315 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
