AUG6MNAT00050.spu,AUG6MNAT00049.spu,AUG6MNAT00048.spu,
Wavelength,AUG6MNAT00051.spu,AUG6MNAT00052.spu,AUG6MNAT00053.spu,AUG6MNAT00054.spu,AUG6MNAT00055.spu,AUG6MNAT00056.spu,AUG6MNAT00057.spu,AUG6MNAT00058.spu,AUG6MNAT00059.spu,AUG6MNAT00060.spu,AUG6MNAT00061.spu,AUG6MNAT00062.spu,AUG6MNAT00063.spu,AUG6MNAT00064.spu,AUG6MNAT00065.spu,AUG6MNAT00066.spu,AUG6MNAT00067.spu,AUG6MNAT00068.spu,AUG6MNAT00069.spu,AUG6MNAT00070.spu
  (nm),8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1
  time  ,46:57 AM,47:11 AM,47:18 AM,47:25 AM,47:35 AM,48:29 AM,48:36 AM,48:44 AM,48:50 AM,48:57 AM,49:33 AM,49:40 AM,49:46 AM,49:55 AM,50:06 AM,50:54 AM,51:00 AM,51:09 AM,51:16 AM,51:22 AM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,
 310 , 1.424512 , 1.424512 , 1.424512 , 1.424512 , 0 , 1.424512 , 1.424512 , 1.424512 , 1.424512 , 1.424512 , 0 , 0 , 0 , 0 , 1.424512 , 1.424512 , 1.424512 , 0 , 0 , 0 
 311 , 1.443936 , 1.443936 , 1.443936 , 1.443936 , 0 , 1.443936 , 1.443936 , 1.443936 , 1.443936 , 1.443936 , 0 , 0 , 0 , 0 , 1.443936 , 1.443936 , 1.443936 , 0 , 0 , 0 
 312 , 1.446732 , 1.446732 , 1.446732 , 0 , 0 , 0 , 1.446732 , 1.446732 , 1.446732 , 0 , 0 , 0 , 0 , 0 , 0 , 1.446732 , 0 , 0 , 0 , 0 
 313 , 1.448092 , 1.448092 , 1.448092 , 0 , 0 , 0 , 1.448092 , 1.448092 , 1.448092 , 0 , 0 , 0 , 0 , 0 , 0 , 1.448092 , 0 , 0 , 0 , 0 
 314 , 1.449174 , 1.449174 , 1.449174 , 0 , 0 , 0 , 1.449174 , 1.449174 , 1.449174 , 0 , 0 , 0 , 0 , 0 , 0 , 1.449174 , 0 , 0 , 0 , 0 
 315 , 0 , 0 , 1.511221 , 0 , 0 , 0 , 0 , 0 , 1.511221 , 0 , 0 , 0 , 0 , 0 , 0 , 1.511221 , 0 , 0 , 0 , 0 
 316 , 0 , 0 , 2.079742 , 0 , 0 , 0 , 0 , 0 , 2.079742 , 0 , 0 , 0 , 0 , 0 , 0 , 2.079742 , 0 , 0 , 0 , 0 
 317 , 0 , 0 , 2.240492 , 0 , 0 , 0 , 0 , 0 , 2.240492 , 0 , 0 , 0 , 0 , 0 , 0 , 2.240492 , 0 , 0 , 0 , 0 
 318 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 319 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 320 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 321 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 322 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
