JUL14NANT00005.spu,JUL14NANT00004.spu,JUL14NANT00003.spu,
Wavelength,JUL14NANT00006.spu,JUL14NANT00007.spu,JUL14NANT00008.spu,JUL14NANT00009.spu,JUL14NANT00010.spu,JUL14NANT00011.spu,JUL14NANT00012.spu,JUL14NANT00013.spu,JUL14NANT00014.spu,JUL14NANT00015.spu,JUL14NANT00016.spu,JUL14NANT00017.spu,JUL14NANT00018.spu,JUL14NANT00019.spu,JUL14NANT00020.spu,JUL14NANT00021.spu,JUL14NANT00022.spu,JUL14NANT00023.spu,JUL14NANT00024.spu,JUL14NANT00025.spu,JUL14NANT00026.spu,JUL14NANT00027.spu,JUL14NANT00028.spu,JUL14NANT00029.spu,JUL14NANT00030.spu
  (nm),7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 
  time  ,:26:23 A,:26:40 A,:26:46 A,:26:52 A,:26:58 A,:27:26 A,:27:32 A,:27:37 A,:27:42 A,:27:49 A,:28:19 A,:28:24 A,:28:31 A,:28:38 A,:28:45 A,:29:22 A,:29:28 A,:29:37 A,:29:43 A,:29:51 A,:30:38 A,:30:45 A,:30:51 A,:30:57 A,:31:04 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 0.032723 , 197.712942 , 197.712942 , 197.712942 , 197.712942 , 197.712942 , 197.712942 , 197.712942 , 197.712942 , 0 , 197.712942 , 197.712942 , 197.712942 , 197.712942 , 197.712942 , 0 , 197.712942 , 197.712942 , 197.712942 , 197.712942 , 197.712942 , 197.712942 , 197.712942 , 197.712942 , 197.712942 
 311 , 0.031715 , 188.465082 , 188.465082 , 188.465082 , 188.465082 , 188.465082 , 188.465082 , 188.465082 , 188.465082 , 0 , 188.465082 , 188.465082 , 188.465082 , 188.465082 , 188.465082 , 0 , 188.465082 , 188.465082 , 188.465082 , 188.465082 , 188.465082 , 188.465082 , 188.465082 , 188.465082 , 188.465082 
 312 , 0.032916 , 177.355328 , 0 , 177.355328 , 177.355328 , 177.355328 , 0 , 177.355328 , 177.355328 , 0 , 0 , 177.355328 , 0 , 177.355328 , 177.355328 , 0 , 0 , 177.355328 , 0 , 177.355328 , 177.355328 , 177.355328 , 177.355328 , 177.355328 , 177.355328 
 313 , 0.034263 , 167.246383 , 0 , 167.246383 , 167.246383 , 167.246383 , 0 , 167.246383 , 167.246383 , 0 , 0 , 167.246383 , 0 , 167.246383 , 167.246383 , 0 , 0 , 167.246383 , 0 , 167.246383 , 167.246383 , 167.246383 , 167.246383 , 167.246383 , 167.246383 
 314 , 0.03545 , 158.595344 , 0 , 158.595344 , 158.595344 , 158.595344 , 0 , 158.595344 , 158.595344 , 0 , 0 , 158.595344 , 0 , 158.595344 , 158.595344 , 0 , 0 , 158.595344 , 0 , 158.595344 , 158.595344 , 158.595344 , 158.595344 , 158.595344 , 158.595344 
 315 , 0.035205 , 0 , 0 , 146.961833 , 0 , 0 , 0 , 146.961833 , 0 , 0 , 0 , 0 , 0 , 0 , 146.961833 , 0 , 0 , 0 , 0 , 0 , 146.961833 , 0 , 146.961833 , 146.961833 , 146.961833 
