JUL14NANT00005.spu,JUL14NANT00004.spu,JUL14NANT00003.spu,
Wavelength,JUL14NANT00051.spu,JUL14NANT00052.spu,JUL14NANT00053.spu,JUL14NANT00054.spu,JUL14NANT00055.spu,JUL14NANT00056.spu,JUL14NANT00057.spu,JUL14NANT00058.spu,JUL14NANT00059.spu,JUL14NANT00060.spu,JUL14NANT00061.spu,JUL14NANT00062.spu,JUL14NANT00063.spu,JUL14NANT00064.spu,JUL14NANT00065.spu,JUL14NANT00066.spu,JUL14NANT00067.spu,JUL14NANT00068.spu,JUL14NANT00069.spu,JUL14NANT00070.spu
  (nm),7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 
  time  ,:36:01 A,:36:08 A,:36:15 A,:36:22 A,:36:28 A,:37:04 A,:37:11 A,:37:19 A,:37:27 A,:37:34 A,:37:59 A,:38:09 A,:38:17 A,:38:23 A,:38:29 A,:40:39 A,:40:48 A,:40:56 A,:41:01 A,:41:10 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,
 310 , 197.712942 , 197.712942 , 197.712942 , 197.712942 , 197.712942 , 197.712942 , 197.712942 , 197.712942 , 197.712942 , 197.712942 , 197.712942 , 197.712942 , 197.712942 , 197.712942 , 197.712942 , 197.712942 , 197.712942 , 197.712942 , 197.712942 , 197.712942 
 311 , 188.465082 , 188.465082 , 188.465082 , 188.465082 , 188.465082 , 188.465082 , 188.465082 , 188.465082 , 188.465082 , 188.465082 , 188.465082 , 188.465082 , 188.465082 , 188.465082 , 188.465082 , 188.465082 , 188.465082 , 188.465082 , 188.465082 , 188.465082 
 312 , 177.355328 , 177.355328 , 177.355328 , 177.355328 , 177.355328 , 0 , 177.355328 , 0 , 177.355328 , 177.355328 , 177.355328 , 177.355328 , 177.355328 , 177.355328 , 177.355328 , 177.355328 , 177.355328 , 177.355328 , 177.355328 , 177.355328 
 313 , 167.246383 , 167.246383 , 167.246383 , 167.246383 , 167.246383 , 0 , 167.246383 , 0 , 167.246383 , 167.246383 , 167.246383 , 167.246383 , 167.246383 , 167.246383 , 167.246383 , 167.246383 , 167.246383 , 167.246383 , 167.246383 , 167.246383 
 314 , 158.595344 , 158.595344 , 158.595344 , 158.595344 , 158.595344 , 0 , 158.595344 , 0 , 158.595344 , 158.595344 , 158.595344 , 158.595344 , 158.595344 , 158.595344 , 158.595344 , 158.595344 , 158.595344 , 158.595344 , 158.595344 , 158.595344 
 315 , 146.961833 , 146.961833 , 146.961833 , 0 , 146.961833 , 0 , 146.961833 , 0 , 146.961833 , 146.961833 , 0 , 146.961833 , 146.961833 , 146.961833 , 146.961833 , 146.961833 , 0 , 0 , 146.961833 , 146.961833 
 316 , 133.61611 , 133.61611 , 133.61611 , 0 , 133.61611 , 0 , 133.61611 , 0 , 133.61611 , 133.61611 , 0 , 133.61611 , 133.61611 , 133.61611 , 133.61611 , 133.61611 , 0 , 0 , 133.61611 , 133.61611 
 317 , 122.594688 , 122.594688 , 122.594688 , 0 , 122.594688 , 0 , 122.594688 , 0 , 122.594688 , 122.594688 , 0 , 122.594688 , 122.594688 , 122.594688 , 122.594688 , 122.594688 , 0 , 0 , 122.594688 , 122.594688 
 318 , 112.709723 , 112.709723 , 0 , 0 , 112.709723 , 112.709723 , 0 , 112.709723 , 0 , 0 , 0 , 112.709723 , 112.709723 , 112.709723 , 112.709723 , 0 , 0 , 0 , 112.709723 , 0 
 319 , 99.827858 , 99.827858 , 0 , 0 , 99.827858 , 99.827858 , 0 , 99.827858 , 0 , 0 , 0 , 99.827858 , 99.827858 , 99.827858 , 99.827858 , 0 , 0 , 0 , 99.827858 , 0 
 320 , 89.660099 , 89.660099 , 0 , 0 , 89.660099 , 89.660099 , 0 , 89.660099 , 0 , 0 , 0 , 89.660099 , 89.660099 , 89.660099 , 89.660099 , 0 , 0 , 0 , 89.660099 , 0 
 321 , 81.429773 , 81.429773 , 0 , 0 , 81.429773 , 81.429773 , 0 , 81.429773 , 0 , 0 , 0 , 81.429773 , 81.429773 , 81.429773 , 81.429773 , 0 , 0 , 0 , 81.429773 , 0 
 322 , 0 , 0 , 0 , 0 , 72.938928 , 72.938928 , 0 , 0 , 0 , 0 , 0 , 72.938928 , 0 , 0 , 0 , 0 , 72.938928 , 0 , 0 , 0 
 323 , 0 , 0 , 0 , 0 , 65.682417 , 65.682417 , 0 , 0 , 0 , 0 , 0 , 65.682417 , 0 , 0 , 0 , 0 , 65.682417 , 0 , 0 , 0 
 324 , 0 , 0 , 0 , 0 , 59.92551 , 59.92551 , 0 , 0 , 0 , 0 , 0 , 59.92551 , 0 , 0 , 0 , 0 , 59.92551 , 0 , 0 , 0 
 325 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 326 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 327 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 328 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 329 , 0 , 0.008829 , 0.022914 , 0.001753 , 0 , 0.008216 , 0.019366 , 0.00099 , 0.006477 , 0.002285 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000645 , 0 , 0 , 0 
 330 , 0 , 0.015975 , 0.035309 , 0.002587 , 0 , 0.01508 , 0.031411 , 0.001998 , 0.009429 , 0.003153 , 0 , 0 , 0 , 0 , 0 , 0 , 0.00114 , 0 , 0 , 0 
 331 , 0 , 0.021579 , 0.0421 , 0.002999 , 0 , 0.020636 , 0.038824 , 0.003012 , 0.010838 , 0.003511 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001507 , 0 , 0 , 0 
 332 , 0.002952 , 0.031363 , 0.044867 , 0.009277 , 0.002758 , 0.032837 , 0.046916 , 0.011081 , 0.017975 , 0.011825 , 0.001937 , 0.001165 , 0 , 0 , 0 , 0.006084 , 0.007489 , 0.003954 , 0.004399 , 0.004182 
 333 , 0.006561 , 0.042798 , 0.045799 , 0.021116 , 0.008566 , 0.047027 , 0.05274 , 0.02203 , 0.026025 , 0.023263 , 0.004517 , 0.00287 , 0 , 0 , 0 , 0.013737 , 0.016707 , 0.009654 , 0.009883 , 0.009347 
 334 , 0.008928 , 0.05221 , 0.046479 , 0.035615 , 0.01689 , 0.057883 , 0.055299 , 0.030739 , 0.031081 , 0.032043 , 0.006392 , 0.004265 , 0 , 0 , 0 , 0.018927 , 0.025037 , 0.014232 , 0.013565 , 0.012776 
 335 , 0.011755 , 0.057509 , 0.048554 , 0.050386 , 0.027113 , 0.063199 , 0.057187 , 0.038899 , 0.035107 , 0.038648 , 0.009639 , 0.006389 , 0.001408 , 0.002493 , 0.001639 , 0.0232 , 0.031057 , 0.018879 , 0.017174 , 0.016383 
 336 , 0.018365 , 0.054357 , 0.055685 , 0.052779 , 0.028558 , 0.058567 , 0.061002 , 0.049729 , 0.040566 , 0.042961 , 0.018591 , 0.010997 , 0.007671 , 0.014666 , 0.008898 , 0.028536 , 0.03135 , 0.025519 , 0.023568 , 0.023483 
