JUL14NANT00005.spu,JUL14NANT00004.spu,JUL14NANT00003.spu,
Wavelength,JUL14NANT00071.spu,JUL14NANT00072.spu,JUL14NANT00073.spu,JUL14NANT00074.spu,JUL14NANT00075.spu,JUL14NANT00076.spu,JUL14NANT00077.spu,JUL14NANT00078.spu,JUL14NANT00079.spu,JUL14NANT00080.spu,JUL14NANT00081.spu,JUL14NANT00082.spu,JUL14NANT00083.spu,JUL14NANT00084.spu,JUL14NANT00085.spu,JUL14NANT00086.spu,JUL14NANT00087.spu,JUL14NANT00088.spu,JUL14NANT00089.spu,JUL14NANT00090.spu,JUL14NANT00091.spu,JUL14NANT00092.spu,JUL14NANT00093.spu,JUL14NANT00094.spu,JUL14NANT00095.spu
  (nm),7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 
  time  ,:41:47 A,:41:52 A,:41:59 A,:42:05 A,:42:12 A,:42:49 A,:42:55 A,:43:02 A,:43:10 A,:43:18 A,:43:53 A,:44:01 A,:44:06 A,:44:14 A,:44:21 A,:44:58 A,:45:04 A,:45:11 A,:45:17 A,:45:26 A,:45:59 A,:46:05 A,:46:11 A,:46:17 A,:46:24 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 197.712942 , 197.712942 , 197.712942 , 197.712942 , 197.712942 , 197.712942 , 197.712942 , 197.712942 , 197.712942 , 0 , 197.712942 , 197.712942 , 197.712942 , 197.712942 , 197.712942 , 197.712942 , 197.712942 , 197.712942 , 197.712942 , 197.712942 , 197.712942 , 197.712942 , 197.712942 , 197.712942 , 197.712942 
 311 , 188.465082 , 188.465082 , 188.465082 , 188.465082 , 188.465082 , 188.465082 , 188.465082 , 188.465082 , 188.465082 , 0 , 188.465082 , 188.465082 , 188.465082 , 188.465082 , 188.465082 , 188.465082 , 188.465082 , 188.465082 , 188.465082 , 188.465082 , 188.465082 , 188.465082 , 188.465082 , 188.465082 , 188.465082 
 312 , 177.355328 , 0 , 0 , 177.355328 , 177.355328 , 177.355328 , 177.355328 , 177.355328 , 177.355328 , 177.355328 , 177.355328 , 177.355328 , 177.355328 , 177.355328 , 0 , 0 , 177.355328 , 0 , 177.355328 , 177.355328 , 177.355328 , 177.355328 , 177.355328 , 177.355328 , 177.355328 
 313 , 167.246383 , 0 , 0 , 167.246383 , 167.246383 , 167.246383 , 167.246383 , 167.246383 , 167.246383 , 167.246383 , 167.246383 , 167.246383 , 167.246383 , 167.246383 , 0 , 0 , 167.246383 , 0 , 167.246383 , 167.246383 , 167.246383 , 167.246383 , 167.246383 , 167.246383 , 167.246383 
 314 , 158.595344 , 0 , 0 , 158.595344 , 158.595344 , 158.595344 , 158.595344 , 158.595344 , 158.595344 , 158.595344 , 158.595344 , 158.595344 , 158.595344 , 158.595344 , 0 , 0 , 158.595344 , 0 , 158.595344 , 158.595344 , 158.595344 , 158.595344 , 158.595344 , 158.595344 , 158.595344 
 315 , 0 , 0 , 0 , 146.961833 , 0 , 146.961833 , 146.961833 , 146.961833 , 146.961833 , 0 , 0 , 0 , 146.961833 , 146.961833 , 0 , 0 , 146.961833 , 0 , 146.961833 , 146.961833 , 146.961833 , 146.961833 , 146.961833 , 146.961833 , 0 
