AUG6NANT00005.spu,AUG6NANT00004.spu,AUG6NANT00003.spu,
Wavelength,AUG6NANT00006.spu,AUG6NANT00007.spu,AUG6NANT00008.spu,AUG6NANT00009.spu,AUG6NANT00010.spu,AUG6NANT00011.spu,AUG6NANT00012.spu,AUG6NANT00013.spu,AUG6NANT00014.spu,AUG6NANT00015.spu,AUG6NANT00016.spu,AUG6NANT00017.spu,AUG6NANT00018.spu,AUG6NANT00019.spu,AUG6NANT00020.spu,AUG6NANT00021.spu,AUG6NANT00022.spu,AUG6NANT00023.spu,AUG6NANT00024.spu,AUG6NANT00025.spu,AUG6NANT00026.spu,AUG6NANT00027.spu,AUG6NANT00028.spu,AUG6NANT00029.spu,AUG6NANT00030.spu,AUG6NANT00031.spu,AUG6NANT00032.spu,AUG6NANT00033.spu,AUG6NANT00034.spu,AUG6NANT00035.spu,AUG6NANT00036.spu,AUG6NANT00037.spu,AUG6NANT00038.spu,AUG6NANT00039.spu,AUG6NANT00040.spu,AUG6NANT00041.spu,AUG6NANT00042.spu,AUG6NANT00043.spu,AUG6NANT00044.spu,AUG6NANT00045.spu
  (nm),8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1
  time  ,10:54 AM,10:59 AM,11:04 AM,11:12 AM,11:21 AM,11:57 AM,12:06 AM,12:13 AM,12:23 AM,12:30 AM,13:14 AM,13:20 AM,13:28 AM,13:38 AM,13:45 AM,14:29 AM,14:37 AM,14:45 AM,14:52 AM,14:57 AM,17:00 AM,17:09 AM,17:16 AM,17:23 AM,17:29 AM,18:08 AM,18:14 AM,18:21 AM,18:26 AM,18:34 AM,19:34 AM,19:41 AM,19:47 AM,19:52 AM,19:58 AM,20:37 AM,20:44 AM,20:50 AM,20:57 AM,21:04 AM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 1 , 1 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 1 , 1 , 0 , 1 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 
 311 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 1 , 1 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 1 , 1 , 0 , 1 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 
 312 , 0 , 1 , 1 , 1 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 313 , 0 , 1 , 1 , 1 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 314 , 0 , 1 , 1 , 1 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 315 , 0 , 1 , 1 , 1 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
