AUG6NANT00050.spu,AUG6NANT00049.spu,AUG6NANT00048.spu,AUG6NANT00047.spu,AUG6NANT00046.spu,
Wavelength,AUG6NANT00051.spu,AUG6NANT00052.spu,AUG6NANT00053.spu,AUG6NANT00054.spu,AUG6NANT00055.spu,AUG6NANT00056.spu,AUG6NANT00057.spu,AUG6NANT00058.spu,AUG6NANT00059.spu,AUG6NANT00060.spu,AUG6NANT00061.spu,AUG6NANT00062.spu,AUG6NANT00063.spu,AUG6NANT00064.spu,AUG6NANT00065.spu,AUG6NANT00066.spu,AUG6NANT00067.spu,AUG6NANT00068.spu,AUG6NANT00069.spu,AUG6NANT00070.spu
  (nm),8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1
  time  ,28:08 AM,28:15 AM,28:20 AM,28:27 AM,28:35 AM,29:10 AM,29:17 AM,29:24 AM,29:31 AM,29:40 AM,30:09 AM,30:17 AM,31:03 AM,31:09 AM,31:16 AM,31:45 AM,31:50 AM,31:57 AM,32:04 AM,32:13 AM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,
 310 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 0 , 0 , 0 , 1 , 0 , 1 , 1 , 1 , 1 , 1 
 311 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 0 , 0 , 0 , 1 , 0 , 1 , 1 , 1 , 1 , 1 
 312 , 0 , 0.983907 , 0 , 0 , 0 , 0.983907 , 0.983907 , 0 , 0.983907 , 0 , 0 , 0 , 0 , 0 , 0 , 0.983907 , 0.983907 , 0.983907 , 0.983907 , 0.983907 
 313 , 0 , 1.093143 , 0 , 0 , 0 , 1.093143 , 1.093143 , 0 , 1.093143 , 0 , 0 , 0 , 0 , 0 , 0 , 1.093143 , 1.093143 , 1.093143 , 1.093143 , 1.093143 
 314 , 0 , 1.133072 , 0 , 0 , 0 , 1.133072 , 1.133072 , 0 , 1.133072 , 0 , 0 , 0 , 0 , 0 , 0 , 1.133072 , 1.133072 , 1.133072 , 1.133072 , 1.133072 
 315 , 0 , 1.11726 , 0 , 0 , 0 , 0 , 0 , 0 , 1.11726 , 0 , 0 , 0 , 0 , 0 , 0 , 1.11726 , 1.11726 , 1.11726 , 1.11726 , 1.11726 
 316 , 0 , 1.033782 , 0 , 0 , 0 , 0 , 0 , 0 , 1.033782 , 0 , 0 , 0 , 0 , 0 , 0 , 1.033782 , 1.033782 , 1.033782 , 1.033782 , 1.033782 
 317 , 0 , 0.825302 , 0 , 0 , 0 , 0 , 0 , 0 , 0.825302 , 0 , 0 , 0 , 0 , 0 , 0 , 0.825302 , 0.825302 , 0.825302 , 0.825302 , 0.825302 
 318 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.820598 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.820598 , 0.820598 , 0.820598 , 0.820598 
 319 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1.153204 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1.153204 , 1.153204 , 1.153204 , 1.153204 
 320 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1.1889 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1.1889 , 1.1889 , 1.1889 , 1.1889 
 321 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1.202564 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1.202564 , 1.202564 , 1.202564 , 1.202564 
 322 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1.431969 , 1.431969 , 1.431969 
 323 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2.764479 , 2.764479 , 2.764479 
 324 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 3.728508 , 3.728508 , 3.728508 
 325 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 5.081914 
 326 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 5.367674 
 327 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 4.200664 
 328 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1.859561 
 329 , 0.000288 , 0 , 0.00072 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000068 , 0 , 0 , 0 , 0 , 0.000716 , 0 , 0 , 0 , 4.337401 
 330 , 0.000647 , 0 , 0.001614 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000166 , 0 , 0 , 0 , 0 , 0.001624 , 0 , 0 , 0 , 5.441842 
