JUN24SHB100005.spu,JUN24SHB100004.spu,
Wavelength,JUN24SHB100007.spu,JUN24SHB100008.spu,JUN24SHB100009.spu,JUN24SHB100010.spu,JUN24SHB100011.spu,JUN24SHB100012.spu,JUN24SHB100013.spu,JUN24SHB100014.spu,JUN24SHB100015.spu,JUN24SHB100016.spu,JUN24SHB100017.spu,JUN24SHB100018.spu,JUN24SHB100019.spu,JUN24SHB100020.spu
  (nm),6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 
  time  ,33:46 PM,33:56 PM,34:04 PM,34:15 PM,34:31 PM,35:18 PM,35:25 PM,35:35 PM,35:44 PM,35:55 PM,36:31 PM,36:40 PM,36:51 PM,36:59 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,
 310 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 311 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 312 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 313 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 314 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 315 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 316 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 317 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 318 , 0.559527 , 0.559527 , 0.559527 , 0.559527 , 0.559527 , 0.559527 , 0.559527 , 0.559527 , 0.559527 , 0.559527 , 0.559527 , 0.559527 , 0.559527 , 0.559527 
 319 , 1.416689 , 1.416689 , 1.416689 , 1.416689 , 1.416689 , 1.416689 , 1.416689 , 1.416689 , 1.416689 , 1.416689 , 1.416689 , 1.416689 , 1.416689 , 1.416689 
