JUN24SHB100024.spu,JUN24SHB100023.spu,JUN24SHB100022.spu,
Wavelength,JUN24SHB100025.spu,JUN24SHB100026.spu,JUN24SHB100027.spu,JUN24SHB100028.spu,JUN24SHB100029.spu
  (nm),6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 
  time  ,42:33 PM,42:43 PM,42:48 PM,42:55 PM,43:02 PM
temp C,SW,SW,SW,SW,SW
,,,,,
 310 , 1 , 1 , 1 , 1 , 1 
 311 , 1 , 1 , 1 , 1 , 1 
 312 , 1 , 1 , 1 , 1 , 1 
 313 , 1 , 1 , 1 , 1 , 1 
 314 , 1 , 1 , 1 , 1 , 1 
 315 , 1 , 1 , 1 , 1 , 1 
 316 , 1 , 1 , 1 , 1 , 1 
 317 , 1 , 1 , 1 , 1 , 1 
 318 , 0 , 1 , 1 , 1 , 1 
 319 , 0 , 1 , 1 , 1 , 1 
 320 , 0 , 1 , 1 , 1 , 1 
 321 , 0 , 1 , 1 , 1 , 1 
 322 , 0 , 1 , 1 , 1 , 1 
 323 , 0 , 1 , 1 , 1 , 1 
 324 , 0 , 1 , 1 , 1 , 1 
 325 , 1 , 0 , 1 , 1 , 1 
 326 , 1 , 0 , 1 , 1 , 1 
 327 , 1 , 0 , 1 , 1 , 1 
 328 , 0 , 0 , 0 , 0 , 0 
 329 , 0 , 0 , 0 , 0 , 0 
 330 , 0 , 0 , 0 , 0 , 0 
 331 , 0 , 0 , 0 , 0 , 0 
 332 , 0 , 0 , 0 , 0 , 0 
 333 , 0 , 0 , 0 , 0 , 0 
 334 , 0 , 0 , 0 , 0 , 0 
 335 , 0 , 0 , 0 , 0 , 0 
 336 , 0 , 0 , 0 , 0 , 0 
 337 , 0 , 0 , 0 , 0 , 0 
 338 , 0 , 0 , 0 , 0 , 0 
 339 , 0.000391 , 0 , 0.000644 , 0.000907 , 0 
 340 , 0.000794 , 0 , 0.001219 , 0.001716 , 0 
 341 , 0.001127 , 0 , 0.001644 , 0.002315 , 0 
 342 , 0.001447 , 0 , 0.002161 , 0.002827 , 0 
 343 , 0.001754 , 0 , 0.00288 , 0.003282 , 0 
 344 , 0.002008 , 0 , 0.003611 , 0.003653 , 0 
 345 , 0.002249 , 0.000051 , 0.004297 , 0.00403 , 0 
 346 , 0.002803 , 0.000698 , 0.004601 , 0.00521 , 0 
 347 , 0.00331 , 0.001231 , 0.004806 , 0.006336 , 0 
 348 , 0.003774 , 0.001673 , 0.004948 , 0.007407 , 0 
 349 , 0.004397 , 0.002081 , 0.005678 , 0.007611 , 0.000057 
 350 , 0.005006 , 0.002426 , 0.006633 , 0.007438 , 0.000123 
 351 , 0.005511 , 0.002698 , 0.007551 , 0.007242 , 0.000173 
 352 , 0.005899 , 0.002903 , 0.00811 , 0.007251 , 0.000289 
 353 , 0.006171 , 0.003051 , 0.008063 , 0.007675 , 0.000556 
 354 , 0.006412 , 0.003178 , 0.008073 , 0.008053 , 0.000811 
 355 , 0.006629 , 0.00329 , 0.008115 , 0.008394 , 0.001053 
 356 , 0.006663 , 0.003402 , 0.007848 , 0.009176 , 0.001327 
 357 , 0.006679 , 0.003509 , 0.007583 , 0.009966 , 0.0016 
 358 , 0.006687 , 0.003611 , 0.007335 , 0.01074 , 0.001868 
 359 , 0.006932 , 0.003868 , 0.007535 , 0.01101 , 0.00209 
 360 , 0.007343 , 0.004203 , 0.008056 , 0.010915 , 0.002271 
 361 , 0.007738 , 0.004497 , 0.008565 , 0.010827 , 0.00244 
 362 , 0.007985 , 0.004748 , 0.009006 , 0.010737 , 0.002588 
 363 , 0.007697 , 0.004945 , 0.009195 , 0.010601 , 0.002677 
 364 , 0.007444 , 0.00513 , 0.009366 , 0.010473 , 0.002753 
 365 , 0.00722 , 0.005305 , 0.009521 , 0.010351 , 0.002818 
 366 , 0.007491 , 0.005408 , 0.009875 , 0.010617 , 0.002892 
 367 , 0.007868 , 0.005488 , 0.010267 , 0.010959 , 0.002967 
 368 , 0.008238 , 0.005555 , 0.010647 , 0.011286 , 0.00304 
 369 , 0.008428 , 0.005585 , 0.010774 , 0.011482 , 0.003193 
 370 , 0.008393 , 0.005577 , 0.010604 , 0.011521 , 0.003453 
 371 , 0.008347 , 0.005574 , 0.010465 , 0.011564 , 0.003721 
 372 , 0.008309 , 0.005583 , 0.010357 , 0.011628 , 0.003984 
 373 , 0.008508 , 0.005709 , 0.010451 , 0.011959 , 0.004132 
 374 , 0.00867 , 0.005826 , 0.010494 , 0.01225 , 0.004267 
 375 , 0.008803 , 0.005937 , 0.010499 , 0.012512 , 0.004391 
 376 , 0.00897 , 0.006129 , 0.01066 , 0.012405 , 0.004202 
 377 , 0.009179 , 0.006341 , 0.010892 , 0.012173 , 0.003929 
 378 , 0.00941 , 0.006542 , 0.011129 , 0.011964 , 0.003692 
 379 , 0.009538 , 0.006642 , 0.011208 , 0.011879 , 0.003624 
 380 , 0.009416 , 0.00655 , 0.01097 , 0.012018 , 0.003855 
 381 , 0.009274 , 0.006463 , 0.010746 , 0.012154 , 0.004074 
 382 , 0.009119 , 0.006378 , 0.010527 , 0.012291 , 0.004289 
 383 , 0.009054 , 0.006315 , 0.010554 , 0.012456 , 0.004204 
 384 , 0.009006 , 0.006258 , 0.010614 , 0.012618 , 0.004114 
 385 , 0.008965 , 0.006203 , 0.010685 , 0.012779 , 0.004027 
 386 , 0.009034 , 0.006348 , 0.01086 , 0.012913 , 0.004172 
 387 , 0.009171 , 0.006621 , 0.011094 , 0.013025 , 0.004465 
 388 , 0.009302 , 0.00688 , 0.011314 , 0.013134 , 0.004746 
 389 , 0.009445 , 0.007073 , 0.011494 , 0.013256 , 0.004966 
 390 , 0.009644 , 0.007067 , 0.01156 , 0.013431 , 0.005007 
 391 , 0.009838 , 0.007063 , 0.011625 , 0.013603 , 0.005048 
 392 , 0.010023 , 0.007062 , 0.011691 , 0.013768 , 0.00509 
 393 , 0.010294 , 0.00716 , 0.011879 , 0.013864 , 0.00529 
 394 , 0.010561 , 0.007268 , 0.012075 , 0.013945 , 0.005504 
 395 , 0.010807 , 0.007367 , 0.012255 , 0.01402 , 0.005701 
 396 , 0.010951 , 0.007624 , 0.012536 , 0.014311 , 0.006003 
 397 , 0.010995 , 0.008011 , 0.012893 , 0.014783 , 0.006387 
 398 , 0.011032 , 0.008348 , 0.013204 , 0.015193 , 0.006722 
 399 , 0.011098 , 0.008629 , 0.013477 , 0.01555 , 0.007002 
 400 , 0.011395 , 0.008769 , 0.013748 , 0.015824 , 0.007162 
 401 , 0.01166 , 0.008895 , 0.013986 , 0.016066 , 0.007302 
 402 , 0.011895 , 0.009005 , 0.014202 , 0.016281 , 0.007429 
 403 , 0.01206 , 0.009156 , 0.014384 , 0.016411 , 0.007537 
 404 , 0.012192 , 0.00931 , 0.014547 , 0.016506 , 0.00764 
 405 , 0.012317 , 0.009455 , 0.014699 , 0.016596 , 0.007735 
 406 , 0.012432 , 0.009579 , 0.014806 , 0.016734 , 0.007879 
 407 , 0.012532 , 0.009678 , 0.014838 , 0.016957 , 0.008114 
 408 , 0.012628 , 0.009769 , 0.014866 , 0.017168 , 0.008338 
 409 , 0.01272 , 0.009857 , 0.014897 , 0.017367 , 0.008546 
 410 , 0.01288 , 0.010025 , 0.015089 , 0.017497 , 0.008606 
 411 , 0.013031 , 0.010184 , 0.015271 , 0.017623 , 0.008664 
 412 , 0.013173 , 0.010334 , 0.015445 , 0.017737 , 0.008718 
 413 , 0.013312 , 0.01052 , 0.015643 , 0.017929 , 0.008857 
 414 , 0.013448 , 0.010724 , 0.015857 , 0.018149 , 0.009041 
 415 , 0.013577 , 0.010919 , 0.01606 , 0.018362 , 0.009217 
 416 , 0.013727 , 0.011066 , 0.01624 , 0.018556 , 0.009355 
 417 , 0.013938 , 0.011112 , 0.016377 , 0.018719 , 0.009412 
 418 , 0.014141 , 0.011157 , 0.016511 , 0.018874 , 0.009466 
 419 , 0.014337 , 0.011203 , 0.01664 , 0.019024 , 0.009518 
 420 , 0.014512 , 0.011355 , 0.016783 , 0.019194 , 0.009651 
 421 , 0.014678 , 0.01152 , 0.016918 , 0.01936 , 0.00979 
 422 , 0.014843 , 0.011681 , 0.017056 , 0.019524 , 0.009925 
 423 , 0.01498 , 0.011812 , 0.017181 , 0.019794 , 0.010044 
 424 , 0.015099 , 0.01192 , 0.017305 , 0.020153 , 0.010154 
 425 , 0.015217 , 0.012029 , 0.017424 , 0.02051 , 0.010265 
 426 , 0.015347 , 0.012137 , 0.017551 , 0.020784 , 0.010359 
 427 , 0.015533 , 0.012237 , 0.017722 , 0.020663 , 0.010372 
 428 , 0.01572 , 0.012342 , 0.01789 , 0.02054 , 0.010388 
 429 , 0.015903 , 0.012443 , 0.018058 , 0.020419 , 0.010404 
 430 , 0.016162 , 0.012633 , 0.018336 , 0.020671 , 0.010545 
 431 , 0.016438 , 0.012841 , 0.018636 , 0.021013 , 0.010718 
 432 , 0.01671 , 0.01305 , 0.018932 , 0.021347 , 0.010892 
 433 , 0.017048 , 0.013305 , 0.019283 , 0.021783 , 0.011107 
 434 , 0.017477 , 0.01362 , 0.019711 , 0.022352 , 0.011378 
 435 , 0.017903 , 0.013934 , 0.020134 , 0.022916 , 0.011649 
 436 , 0.018328 , 0.014255 , 0.020562 , 0.023475 , 0.011922 
 437 , 0.018771 , 0.014658 , 0.021066 , 0.023926 , 0.012235 
 438 , 0.01921 , 0.015063 , 0.021567 , 0.024374 , 0.012545 
