JUN24SHB100005.spu,JUN24SHB100004.spu,
Wavelength,JUN24SHB100021.spu,JUN24SHB100020.spu,JUN24SHB100019.spu,JUN24SHB100018.spu
  (nm),6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 
  time  ,37:08 PM,36:59 PM,36:51 PM,36:40 PM
temp C,SW,SW,SW,SW
,,,,
 310 , 1 , 1 , 1 , 1 
 311 , 1 , 1 , 1 , 1 
 312 , 1 , 1 , 1 , 1 
 313 , 1 , 1 , 1 , 1 
 314 , 1 , 1 , 1 , 1 
 315 , 1 , 1 , 1 , 1 
 316 , 1 , 1 , 1 , 1 
 317 , 1 , 1 , 1 , 1 
 318 , 0.559527 , 0.559527 , 0.559527 , 0.559527 
 319 , 1.416689 , 1.416689 , 1.416689 , 1.416689 
 320 , 1.598029 , 1.598029 , 1.598029 , 1.598029 
 321 , 1.67682 , 1.67682 , 1.67682 , 1.67682 
 322 , 1.579141 , 1.579141 , 1.579141 , 1.579141 
 323 , 1.34009 , 1.34009 , 1.34009 , 1.34009 
 324 , 0.813304 , 0.813304 , 0.813304 , 0.813304 
 325 , 0.492105 , 0.492105 , 0.492105 , 0.492105 
 326 , 1.017587 , 1.017587 , 1.017587 , 1.017587 
 327 , 1.232314 , 1.232314 , 1.232314 , 1.232314 
 328 , 0.01184 , 0.01184 , 0.01184 , 0.01184 
 329 , 0.775203 , 0.775203 , 0.775203 , 0.775203 
 330 , 0.83011 , 0.83011 , 0.83011 , 0.83011 
 331 , 0.319845 , 0.319845 , 0.319845 , 0.319845 
 332 , 1.286772 , 1.286772 , 0.000151 , 0 
 333 , 2.529175 , 2.529175 , 0.000309 , 0 
 334 , 3.480282 , 3.480282 , 0.000429 , 0 
 335 , 3.983464 , 3.983464 , 0.001321 , 0 
 336 , 3.541849 , 3.541849 , 0.00483 , 0 
 337 , 3.16198 , 3.16198 , 0.007576 , 0 
 338 , 2.831055 , 2.831055 , 0.009705 , 0 
 339 , 2.976866 , 0 , 0.010523 , 0.001177 
 340 , 3.160074 , 0 , 0.011115 , 0.002112 
 341 , 3.314647 , 0 , 0.011623 , 0.002777 
 342 , 3.588798 , 0.00055 , 0.012333 , 0.003696 
 343 , 3.972985 , 0.001135 , 0.013155 , 0.005079 
 344 , 4.308401 , 0.001463 , 0.013838 , 0.006463 
 345 , 4.587044 , 0.001839 , 0.014555 , 0.007733 
 346 , 4.656876 , 0.003826 , 0.016956 , 0.007866 
 347 , 4.717832 , 0.005508 , 0.019104 , 0.007982 
 348 , 4.771509 , 0.006952 , 0.021034 , 0.008085 
 349 , 4.677947 , 0.007578 , 0.021313 , 0.008147 
 350 , 4.536389 , 0.007834 , 0.020958 , 0.008151 
 351 , 4.405935 , 0.008018 , 0.02062 , 0.008111 
 352 , 0.166287 , 0.008344 , 0.020158 , 0.008213 
 353 , 0.056194 , 0.009027 , 0.019658 , 0.008631 
 354 , 0.041092 , 0.009663 , 0.019354 , 0.009019 
 355 , 0.035369 , 0.010256 , 0.019174 , 0.009379 
