JUN28SHB200005.spu,JUN28SHB200004.spu,JUN28SHB200003.spu,
Wavelength,JUN28SHB200006.spu,JUN28SHB200007.spu,JUN28SHB200008.spu,JUN28SHB200009.spu,JUN28SHB200010.spu,JUN28SHB200011.spu,JUN28SHB200012.spu,JUN28SHB200013.spu,JUN28SHB200014.spu,JUN28SHB200015.spu,JUN28SHB200016.spu,JUN28SHB200017.spu,JUN28SHB200018.spu,JUN28SHB200019.spu,JUN28SHB200020.spu,JUN28SHB200021.spu,JUN28SHB200022.spu,JUN28SHB200023.spu,JUN28SHB200024.spu,JUN28SHB200025.spu
  (nm),6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 ,6/28/2016 
  time  ,01:02 PM,01:11 PM,01:20 PM,01:34 PM,01:44 PM,02:15 PM,02:22 PM,02:30 PM,02:36 PM,02:44 PM,03:05 PM,03:13 PM,03:20 PM,03:27 PM,03:33 PM,04:19 PM,04:24 PM,04:29 PM,04:36 PM,04:40 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,
 310 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2.466788 , 0 , 0 , 2.466788 , 0 , 2.466788 , 0 , 2.466788 , 2.466788 , 2.466788 , 0 
 311 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2.519075 , 0 , 0 , 2.519075 , 0 , 2.519075 , 0 , 2.519075 , 2.519075 , 2.519075 , 0 
 312 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 313 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 314 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 315 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 316 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 317 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 318 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 319 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 320 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 321 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 322 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 323 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 324 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 325 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 326 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 327 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 328 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 329 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000622 , 0.001655 , 0 , 0 , 0 
 330 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001137 , 0.002873 , 0 , 0 , 0 
 331 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001546 , 0.003746 , 0 , 0 , 0 
 332 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001325 , 0.000043 , 0.000049 , 0 , 0 , 0 , 0 , 0 , 0.002475 , 0.005716 , 0.000899 , 0.002036 , 0.001055 
 333 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.003234 , 0.000117 , 0.000123 , 0 , 0 , 0 , 0 , 0 , 0.00367 , 0.008293 , 0.002441 , 0.005019 , 0.002717 
 334 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.004778 , 0.00019 , 0.000185 , 0 , 0 , 0 , 0 , 0 , 0.004701 , 0.010543 , 0.003956 , 0.007474 , 0.004195 
 335 , 0 , 0.000293 , 0 , 0 , 0.000027 , 0.000078 , 0 , 0.006092 , 0.000668 , 0.00076 , 0.00026 , 0.000332 , 0 , 0 , 0 , 0.005815 , 0.012341 , 0.005447 , 0.009414 , 0.005754 
 336 , 0 , 0.001582 , 0 , 0 , 0.000136 , 0.000409 , 0 , 0.007338 , 0.002401 , 0.003081 , 0.001456 , 0.001762 , 0 , 0 , 0 , 0.007525 , 0.01327 , 0.006732 , 0.01061 , 0.007868 
 337 , 0 , 0.002629 , 0 , 0 , 0.000215 , 0.000663 , 0 , 0.008446 , 0.003649 , 0.004937 , 0.0025 , 0.002878 , 0 , 0 , 0 , 0.008866 , 0.01384 , 0.007479 , 0.011519 , 0.009402 
 338 , 0 , 0.003484 , 0 , 0 , 0.000272 , 0.00086 , 0 , 0.009441 , 0.004557 , 0.006433 , 0.00342 , 0.003756 , 0 , 0 , 0 , 0.009923 , 0.014165 , 0.007906 , 0.012209 , 0.010522 
 339 , 0.000645 , 0.0042 , 0 , 0.000176 , 0.001021 , 0.00123 , 0 , 0.010522 , 0.005411 , 0.007548 , 0.004482 , 0.004369 , 0.00025 , 0 , 0.000167 , 0.010952 , 0.015164 , 0.009475 , 0.013776 , 0.01156 
 340 , 0.001343 , 0.004876 , 0 , 0.000357 , 0.001943 , 0.001594 , 0 , 0.011501 , 0.006166 , 0.008537 , 0.005477 , 0.004879 , 0.000531 , 0 , 0.00035 , 0.011849 , 0.016178 , 0.011207 , 0.015341 , 0.012467 
 341 , 0.001964 , 0.00553 , 0 , 0.000512 , 0.00289 , 0.001915 , 0 , 0.012359 , 0.006825 , 0.00946 , 0.006369 , 0.005329 , 0.000793 , 0 , 0.000514 , 0.012617 , 0.017107 , 0.012881 , 0.016738 , 0.013256 
 342 , 0.002421 , 0.006349 , 0.000286 , 0.000919 , 0.003828 , 0.002486 , 0.000211 , 0.013145 , 0.00747 , 0.009739 , 0.006943 , 0.006124 , 0.001347 , 0.00026 , 0.00086 , 0.013536 , 0.017738 , 0.013584 , 0.017194 , 0.013603 
 343 , 0.002696 , 0.007307 , 0.000857 , 0.001586 , 0.00459 , 0.003314 , 0.000616 , 0.013837 , 0.008111 , 0.009373 , 0.007169 , 0.007265 , 0.00214 , 0.000764 , 0.001382 , 0.014649 , 0.018037 , 0.013253 , 0.016734 , 0.013513 
 344 , 0.002915 , 0.008149 , 0.001353 , 0.002174 , 0.005174 , 0.00404 , 0.00095 , 0.014394 , 0.008674 , 0.009054 , 0.007322 , 0.008255 , 0.002777 , 0.001185 , 0.001829 , 0.015674 , 0.01823 , 0.012945 , 0.016313 , 0.013394 
 345 , 0.003155 , 0.008874 , 0.001784 , 0.002707 , 0.005657 , 0.004695 , 0.001281 , 0.014883 , 0.009212 , 0.008895 , 0.007516 , 0.009119 , 0.003336 , 0.001559 , 0.00224 , 0.016517 , 0.018416 , 0.012795 , 0.016029 , 0.01334 
 346 , 0.004131 , 0.009295 , 0.002122 , 0.003316 , 0.006329 , 0.005412 , 0.002224 , 0.015628 , 0.010154 , 0.010137 , 0.00867 , 0.009831 , 0.00427 , 0.002116 , 0.002891 , 0.016232 , 0.01927 , 0.014079 , 0.016793 , 0.014087 
 347 , 0.005012 , 0.009653 , 0.00243 , 0.003882 , 0.006924 , 0.006069 , 0.003127 , 0.016293 , 0.011032 , 0.01133 , 0.009806 , 0.010459 , 0.005125 , 0.002609 , 0.003437 , 0.015984 , 0.020001 , 0.015296 , 0.017467 , 0.014755 
 348 , 0.005811 , 0.009959 , 0.002712 , 0.004411 , 0.007454 , 0.006672 , 0.003993 , 0.01689 , 0.011853 , 0.012479 , 0.010928 , 0.011018 , 0.005912 , 0.003048 , 0.003899 , 0.015765 , 0.020632 , 0.016453 , 0.018064 , 0.015355 
 349 , 0.00627 , 0.010502 , 0.003179 , 0.00483 , 0.00782 , 0.007035 , 0.004304 , 0.016787 , 0.012293 , 0.012687 , 0.01119 , 0.011507 , 0.006216 , 0.003599 , 0.004367 , 0.015868 , 0.020408 , 0.017217 , 0.018319 , 0.015239 
 350 , 0.006558 , 0.011089 , 0.003685 , 0.005147 , 0.008095 , 0.007258 , 0.004362 , 0.016418 , 0.012545 , 0.012505 , 0.011082 , 0.011901 , 0.006304 , 0.004157 , 0.004825 , 0.016042 , 0.019876 , 0.01776 , 0.018388 , 0.01486 
 351 , 0.006798 , 0.011604 , 0.004142 , 0.005398 , 0.008331 , 0.007427 , 0.004394 , 0.016057 , 0.012755 , 0.012311 , 0.010958 , 0.01221 , 0.006364 , 0.00466 , 0.005249 , 0.01616 , 0.019369 , 0.018225 , 0.018393 , 0.014495 
 352 , 0.007056 , 0.011834 , 0.00451 , 0.005614 , 0.008518 , 0.007653 , 0.004489 , 0.016069 , 0.012982 , 0.012408 , 0.011141 , 0.012434 , 0.006541 , 0.005038 , 0.005594 , 0.016381 , 0.019225 , 0.018366 , 0.018433 , 0.014624 
 353 , 0.007406 , 0.011608 , 0.004755 , 0.005832 , 0.008663 , 0.00805 , 0.004741 , 0.016796 , 0.013298 , 0.013087 , 0.01196 , 0.012577 , 0.006987 , 0.005231 , 0.005814 , 0.016861 , 0.019747 , 0.018029 , 0.018618 , 0.01572 
 354 , 0.007733 , 0.011418 , 0.00498 , 0.006037 , 0.008801 , 0.008425 , 0.004981 , 0.017486 , 0.013592 , 0.013732 , 0.012759 , 0.012705 , 0.007409 , 0.005408 , 0.006018 , 0.017308 , 0.020231 , 0.017767 , 0.018793 , 0.016797 
 355 , 0.008039 , 0.011257 , 0.005188 , 0.006231 , 0.008931 , 0.008779 , 0.00521 , 0.018142 , 0.013864 , 0.014345 , 0.013538 , 0.012821 , 0.007807 , 0.005573 , 0.006207 , 0.017723 , 0.020681 , 0.017561 , 0.018959 , 0.017853 
 356 , 0.008127 , 0.01165 , 0.005428 , 0.006509 , 0.009043 , 0.009146 , 0.005304 , 0.018152 , 0.014038 , 0.014545 , 0.013672 , 0.013287 , 0.00798 , 0.005593 , 0.006375 , 0.017952 , 0.021492 , 0.017813 , 0.019195 , 0.017951 
 357 , 0.008198 , 0.012056 , 0.005667 , 0.006774 , 0.009147 , 0.009508 , 0.005383 , 0.018126 , 0.014193 , 0.014711 , 0.013761 , 0.013751 , 0.008131 , 0.005602 , 0.006531 , 0.018154 , 0.022301 , 0.01807 , 0.019415 , 0.017993 
 358 , 0.008261 , 0.012446 , 0.005903 , 0.007023 , 0.009242 , 0.009862 , 0.005455 , 0.018097 , 0.014337 , 0.014864 , 0.013841 , 0.014194 , 0.008271 , 0.005608 , 0.006676 , 0.018339 , 0.023088 , 0.01831 , 0.019617 , 0.018028 
 359 , 0.008348 , 0.012574 , 0.005947 , 0.007077 , 0.009346 , 0.00993 , 0.005581 , 0.018156 , 0.014411 , 0.01487 , 0.013751 , 0.014454 , 0.008267 , 0.005725 , 0.006766 , 0.018688 , 0.023241 , 0.018466 , 0.019689 , 0.018053 
 360 , 0.008449 , 0.012514 , 0.005852 , 0.006997 , 0.009451 , 0.009793 , 0.005741 , 0.018269 , 0.014432 , 0.014773 , 0.013549 , 0.014578 , 0.008165 , 0.005912 , 0.006815 , 0.019148 , 0.022942 , 0.018556 , 0.019667 , 0.018068 
 361 , 0.008545 , 0.012453 , 0.005765 , 0.006922 , 0.009548 , 0.009665 , 0.005889 , 0.018367 , 0.014445 , 0.014678 , 0.013362 , 0.01469 , 0.008069 , 0.006083 , 0.00686 , 0.019585 , 0.022661 , 0.018632 , 0.01964 , 0.018076 
 362 , 0.008687 , 0.012517 , 0.005773 , 0.006931 , 0.009647 , 0.009619 , 0.006036 , 0.018491 , 0.01452 , 0.014674 , 0.013351 , 0.014843 , 0.008069 , 0.006267 , 0.006933 , 0.019928 , 0.022578 , 0.01877 , 0.019701 , 0.018207 
