JUL12SHB100005.spu,JUL12SHB100004.spu,JUL12SHB100003.spu,
Wavelength,JUL12SHB100006.spu,JUL12SHB100007.spu,JUL12SHB100008.spu,JUL12SHB100009.spu,JUL12SHB100010.spu,JUL12SHB100011.spu,JUL12SHB100012.spu,JUL12SHB100013.spu,JUL12SHB100014.spu,JUL12SHB100015.spu,JUL12SHB100016.spu,JUL12SHB100017.spu,JUL12SHB100018.spu,JUL12SHB100019.spu,JUL12SHB100020.spu,JUL12SHB100021.spu,JUL12SHB100022.spu,JUL12SHB100023.spu,JUL12SHB100024.spu,JUL12SHB100025.spu
  (nm),7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 
  time  ,33:22 PM,33:38 PM,34:00 PM,34:16 PM,34:44 PM,35:06 PM,35:20 PM,35:38 PM,35:47 PM,35:56 PM,36:25 PM,36:42 PM,36:55 PM,37:04 PM,37:17 PM,37:37 PM,37:45 PM,37:53 PM,38:03 PM,38:10 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,
 310 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 
 311 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 
 312 , 2.327454 , 2.327454 , 2.327454 , 2.327454 , 2.327454 , 0 , 2.327454 , 2.327454 , 0 , 2.327454 , 0 , 2.327454 , 0 , 2.327454 , 2.327454 , 2.327454 , 2.327454 , 2.327454 , 2.327454 , 2.327454 
 313 , 4.345796 , 4.345796 , 4.345796 , 4.345796 , 4.345796 , 0 , 4.345796 , 4.345796 , 0 , 4.345796 , 0 , 4.345796 , 0 , 4.345796 , 4.345796 , 4.345796 , 4.345796 , 4.345796 , 4.345796 , 4.345796 
 314 , 5.996278 , 5.996278 , 5.996278 , 5.996278 , 5.996278 , 0 , 5.996278 , 5.996278 , 0 , 5.996278 , 0 , 5.996278 , 0 , 5.996278 , 5.996278 , 5.996278 , 5.996278 , 5.996278 , 5.996278 , 5.996278 
 315 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 5.821355 , 0 , 0 , 0 , 0 , 5.821355 , 5.821355 , 0 , 5.821355 , 0 , 0 
 316 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 4.49824 , 0 , 0 , 0 , 0 , 4.49824 , 4.49824 , 0 , 4.49824 , 0 , 0 
 317 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 3.418799 , 0 , 0 , 0 , 0 , 3.418799 , 3.418799 , 0 , 3.418799 , 0 , 0 
 318 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 319 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 320 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 321 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 322 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 323 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 324 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 325 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 326 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 327 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 328 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 329 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 330 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 331 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 332 , 0 , 0 , 0.000093 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 333 , 0 , 0 , 0.000219 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 334 , 0 , 0 , 0.000308 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 335 , 0 , 0 , 0.000574 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000256 , 0 , 0 , 0 , 0 , 0 , 0 
 336 , 0 , 0 , 0.001614 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001594 , 0 , 0 , 0 , 0 , 0 , 0 
 337 , 0 , 0 , 0.00263 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.003046 , 0 , 0 , 0 , 0 , 0 , 0 
 338 , 0 , 0 , 0.003628 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.004645 , 0 , 0 , 0 , 0 , 0 , 0 
 339 , 0.000032 , 0.00007 , 0.004779 , 0 , 0.000399 , 0.000495 , 0 , 0.000345 , 0 , 0.000361 , 0.000248 , 0.001148 , 0.000395 , 0.005815 , 0.000874 , 0.000837 , 0 , 0.001122 , 0.000773 , 0 
 340 , 0.00007 , 0.000143 , 0.005823 , 0 , 0.000774 , 0.001012 , 0 , 0.000741 , 0 , 0.000807 , 0.000507 , 0.002329 , 0.000848 , 0.006598 , 0.001867 , 0.001702 , 0 , 0.002166 , 0.001677 , 0 
 341 , 0.000104 , 0.000204 , 0.006729 , 0 , 0.001066 , 0.001455 , 0 , 0.001112 , 0 , 0.001258 , 0.000729 , 0.003324 , 0.001269 , 0.007161 , 0.002784 , 0.002432 , 0 , 0.002974 , 0.002537 , 0 
 342 , 0.000337 , 0.000421 , 0.007433 , 0 , 0.001476 , 0.002084 , 0.000239 , 0.001889 , 0.000315 , 0.001898 , 0.001282 , 0.003958 , 0.001783 , 0.007586 , 0.003625 , 0.002984 , 0.000366 , 0.003544 , 0.003309 , 0.00036 
 343 , 0.000765 , 0.000841 , 0.007935 , 0 , 0.00206 , 0.002971 , 0.000743 , 0.00321 , 0.001015 , 0.00262 , 0.002235 , 0.004253 , 0.002384 , 0.007928 , 0.004432 , 0.003407 , 0.001077 , 0.003942 , 0.003996 , 0.001132 
 344 , 0.001137 , 0.001266 , 0.008346 , 0 , 0.002612 , 0.003821 , 0.001214 , 0.004569 , 0.001716 , 0.003178 , 0.003142 , 0.00449 , 0.002916 , 0.008236 , 0.00523 , 0.003814 , 0.001674 , 0.004292 , 0.004655 , 0.001865 
 345 , 0.001476 , 0.001752 , 0.008777 , 0 , 0.003151 , 0.004617 , 0.001613 , 0.00586 , 0.002389 , 0.003609 , 0.004007 , 0.004756 , 0.003396 , 0.008542 , 0.00601 , 0.004192 , 0.002192 , 0.004644 , 0.005258 , 0.002569 
 346 , 0.001943 , 0.002862 , 0.010158 , 0 , 0.00387 , 0.005171 , 0.001456 , 0.005896 , 0.002692 , 0.003782 , 0.004808 , 0.005817 , 0.003894 , 0.00919 , 0.006669 , 0.004458 , 0.002738 , 0.005465 , 0.005588 , 0.003291 
 347 , 0.002384 , 0.003727 , 0.011447 , 0 , 0.004532 , 0.005595 , 0.001305 , 0.005921 , 0.002939 , 0.003923 , 0.005511 , 0.006828 , 0.004345 , 0.009734 , 0.007258 , 0.004658 , 0.003224 , 0.006177 , 0.005829 , 0.003943 
 348 , 0.0028 , 0.004419 , 0.01265 , 0 , 0.005142 , 0.005929 , 0.00116 , 0.005936 , 0.003143 , 0.00404 , 0.00613 , 0.00779 , 0.004756 , 0.010196 , 0.007786 , 0.004814 , 0.003657 , 0.006799 , 0.006011 , 0.004532 
 349 , 0.003409 , 0.005149 , 0.011838 , 0.000089 , 0.00573 , 0.0064 , 0.001697 , 0.006116 , 0.003686 , 0.004635 , 0.00628 , 0.00813 , 0.005373 , 0.010559 , 0.008012 , 0.005427 , 0.003868 , 0.007223 , 0.006478 , 0.004999 
 350 , 0.004043 , 0.005887 , 0.010688 , 0.0002 , 0.006261 , 0.006913 , 0.002424 , 0.006332 , 0.004293 , 0.005402 , 0.006249 , 0.008207 , 0.006035 , 0.010857 , 0.008103 , 0.006281 , 0.003984 , 0.007548 , 0.007044 , 0.005365 
 351 , 0.00461 , 0.006576 , 0.009868 , 0.000295 , 0.00673 , 0.007393 , 0.003052 , 0.006515 , 0.004814 , 0.006128 , 0.006217 , 0.00827 , 0.006641 , 0.011115 , 0.008168 , 0.007194 , 0.004088 , 0.007839 , 0.007581 , 0.005669 
 352 , 0.005051 , 0.006912 , 0.009836 , 0.000453 , 0.007077 , 0.007612 , 0.00357 , 0.006686 , 0.005113 , 0.006717 , 0.006294 , 0.008572 , 0.007159 , 0.011512 , 0.008301 , 0.007916 , 0.004379 , 0.008113 , 0.008029 , 0.005779 
 353 , 0.005315 , 0.006586 , 0.011117 , 0.000755 , 0.007247 , 0.007361 , 0.003984 , 0.006865 , 0.00506 , 0.007067 , 0.006584 , 0.009369 , 0.007565 , 0.01223 , 0.008576 , 0.008138 , 0.005078 , 0.00839 , 0.00833 , 0.00557 
 354 , 0.005564 , 0.006276 , 0.012536 , 0.001035 , 0.007405 , 0.007134 , 0.004373 , 0.007031 , 0.005 , 0.007403 , 0.006854 , 0.010124 , 0.007943 , 0.012913 , 0.00883 , 0.008347 , 0.005768 , 0.008647 , 0.00861 , 0.00537 
 355 , 0.005799 , 0.005981 , 0.014117 , 0.001295 , 0.00755 , 0.006928 , 0.00474 , 0.007185 , 0.004935 , 0.007726 , 0.007106 , 0.010841 , 0.008295 , 0.013561 , 0.009067 , 0.008542 , 0.006448 , 0.008887 , 0.00887 , 0.00518 
 356 , 0.005822 , 0.006576 , 0.013934 , 0.001309 , 0.007487 , 0.007267 , 0.004523 , 0.007607 , 0.00507 , 0.007865 , 0.007329 , 0.01058 , 0.008442 , 0.013275 , 0.009169 , 0.008456 , 0.006123 , 0.009017 , 0.009203 , 0.005443 
 357 , 0.005839 , 0.007173 , 0.013703 , 0.001311 , 0.007419 , 0.00761 , 0.004294 , 0.008032 , 0.005206 , 0.007987 , 0.007543 , 0.010303 , 0.00857 , 0.013004 , 0.00926 , 0.008368 , 0.005798 , 0.009136 , 0.009526 , 0.005714 
 358 , 0.00586 , 0.007731 , 0.013513 , 0.001311 , 0.007356 , 0.007929 , 0.00408 , 0.008446 , 0.005332 , 0.008103 , 0.007747 , 0.010053 , 0.008692 , 0.012783 , 0.009347 , 0.008293 , 0.005514 , 0.00925 , 0.009836 , 0.00597 
 359 , 0.005928 , 0.00806 , 0.013878 , 0.001538 , 0.007514 , 0.008134 , 0.004315 , 0.008629 , 0.005542 , 0.008225 , 0.008047 , 0.01003 , 0.008667 , 0.012714 , 0.00949 , 0.008335 , 0.005399 , 0.00948 , 0.00992 , 0.006228 
 360 , 0.006028 , 0.008229 , 0.014636 , 0.001913 , 0.007817 , 0.008251 , 0.004856 , 0.008642 , 0.0058 , 0.008345 , 0.008401 , 0.010158 , 0.008541 , 0.012736 , 0.009661 , 0.00846 , 0.005392 , 0.009792 , 0.009845 , 0.006482 
 361 , 0.006125 , 0.008391 , 0.015382 , 0.002261 , 0.008097 , 0.008355 , 0.005368 , 0.008651 , 0.006036 , 0.008454 , 0.008729 , 0.010277 , 0.008422 , 0.012756 , 0.009815 , 0.008581 , 0.005384 , 0.010091 , 0.009776 , 0.006722 
 362 , 0.006246 , 0.008565 , 0.01594 , 0.002522 , 0.00836 , 0.008438 , 0.005757 , 0.00867 , 0.006271 , 0.008548 , 0.00898 , 0.010408 , 0.008375 , 0.012801 , 0.009953 , 0.008767 , 0.005409 , 0.01037 , 0.009781 , 0.006929 
 363 , 0.006467 , 0.008803 , 0.015758 , 0.002527 , 0.008621 , 0.008481 , 0.005753 , 0.008737 , 0.006569 , 0.008615 , 0.009009 , 0.010597 , 0.008557 , 0.012918 , 0.01009 , 0.009213 , 0.005577 , 0.010599 , 0.010075 , 0.007048 
 364 , 0.006678 , 0.009027 , 0.015588 , 0.00253 , 0.008865 , 0.00852 , 0.005747 , 0.008797 , 0.006855 , 0.008675 , 0.009034 , 0.010767 , 0.008715 , 0.013018 , 0.010218 , 0.009643 , 0.005737 , 0.010814 , 0.01036 , 0.007155 
 365 , 0.00688 , 0.009237 , 0.015428 , 0.002533 , 0.009094 , 0.008555 , 0.00574 , 0.008852 , 0.007129 , 0.008729 , 0.009055 , 0.010922 , 0.008852 , 0.013103 , 0.010336 , 0.010056 , 0.005892 , 0.011016 , 0.010637 , 0.007252 
 366 , 0.007139 , 0.00929 , 0.015571 , 0.002589 , 0.008934 , 0.008648 , 0.005893 , 0.008956 , 0.00731 , 0.008999 , 0.00907 , 0.011 , 0.009086 , 0.013176 , 0.010472 , 0.010182 , 0.00586 , 0.011031 , 0.010704 , 0.007254 
 367 , 0.007403 , 0.009314 , 0.015779 , 0.002654 , 0.008708 , 0.008754 , 0.006075 , 0.00907 , 0.007469 , 0.009312 , 0.009086 , 0.011064 , 0.009341 , 0.013244 , 0.010609 , 0.010245 , 0.005793 , 0.011011 , 0.010728 , 0.007239 
 368 , 0.007659 , 0.009345 , 0.015983 , 0.002718 , 0.008501 , 0.008859 , 0.006251 , 0.009182 , 0.007624 , 0.009619 , 0.009102 , 0.011129 , 0.009591 , 0.013305 , 0.010742 , 0.010307 , 0.005733 , 0.010997 , 0.010759 , 0.007227 
 369 , 0.00759 , 0.009365 , 0.015957 , 0.002699 , 0.008491 , 0.008897 , 0.006349 , 0.009222 , 0.00764 , 0.009663 , 0.00912 , 0.011113 , 0.009702 , 0.013315 , 0.010734 , 0.009874 , 0.005746 , 0.011044 , 0.010758 , 0.00721 
