JUL12SHB200005.spu,JUL12SHB200004.spu,JUL12SHB200003.spu,
Wavelength,JUL12SHB200007.spu,JUL12SHB200008.spu,JUL12SHB200009.spu,JUL12SHB200010.spu,JUL12SHB200011.spu,JUL12SHB200012.spu,JUL12SHB200013.spu,JUL12SHB200014.spu,JUL12SHB200015.spu,JUL12SHB200016.spu,JUL12SHB200017.spu,JUL12SHB200018.spu,JUL12SHB200019.spu,JUL12SHB200020.spu,JUL12SHB200021.spu,JUL12SHB200022.spu,JUL12SHB200023.spu,JUL12SHB200024.spu,JUL12SHB200025.spu
  (nm),7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 
  time  ,:44:37 A,:44:49 A,:45:04 A,:45:16 A,:45:46 A,:45:53 A,:46:01 A,:46:22 A,:46:32 A,:46:54 A,:47:06 A,:47:12 A,:47:20 A,:47:29 A,:48:20 A,:48:28 A,:48:34 A,:48:42 A,:48:48 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,
 310 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 
 311 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 
 312 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 0 , 1 , 1 , 1 
 313 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 0 , 1 , 1 , 1 
 314 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 0 , 1 , 1 , 1 
 315 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 
 316 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 
 317 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 
 318 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 0 
 319 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 0 
 320 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 0 
 321 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 0 
 322 , 0 , 0 , 0.943886 , 0 , 0.943886 , 0 , 0.943886 , 0 , 0 , 0.943886 , 0 , 0.943886 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 323 , 0 , 0 , 1.442464 , 0 , 1.442464 , 0 , 1.442464 , 0 , 0 , 1.442464 , 0 , 1.442464 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 324 , 0 , 0 , 1.690718 , 0 , 1.690718 , 0 , 1.690718 , 0 , 0 , 1.690718 , 0 , 1.690718 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 325 , 0 , 0 , 1.663676 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1.663676 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 326 , 0 , 0 , 1.272269 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1.272269 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 327 , 0 , 0 , 0.743777 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.743777 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 328 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 329 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 330 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 331 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 332 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000447 , 0.000603 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000935 , 0 , 0 , 0 
 333 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001102 , 0.000965 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.002364 , 0 , 0 , 0 
 334 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001628 , 0.0011 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.003568 , 0 , 0 , 0 
 335 , 0 , 0 , 0 , 0.000033 , 0 , 0 , 0.002299 , 0.001631 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.004739 , 0.000064 , 0.000104 , 0.000237 
 336 , 0 , 0 , 0 , 0.000201 , 0 , 0 , 0.003807 , 0.003898 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.006347 , 0.000354 , 0.000607 , 0.001314 
 337 , 0 , 0 , 0 , 0.000363 , 0 , 0 , 0.005124 , 0.00599 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.00774 , 0.000598 , 0.001071 , 0.002235 
 338 , 0 , 0 , 0 , 0.000517 , 0 , 0 , 0.006276 , 0.007893 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.008954 , 0.000807 , 0.001494 , 0.00303 
 339 , 0 , 0 , 0 , 0.001193 , 0 , 0 , 0.007712 , 0.0087 , 0.001357 , 0.000455 , 0.000279 , 0 , 0 , 0 , 0.001114 , 0.01025 , 0.001781 , 0.002201 , 0.003901 
 340 , 0 , 0 , 0 , 0.001947 , 0 , 0 , 0.009009 , 0.009197 , 0.002459 , 0.000964 , 0.000518 , 0 , 0 , 0 , 0.002278 , 0.011378 , 0.002797 , 0.002941 , 0.004647 
 341 , 0 , 0 , 0 , 0.002659 , 0 , 0 , 0.01011 , 0.00959 , 0.003237 , 0.001427 , 0.000694 , 0 , 0 , 0 , 0.003275 , 0.012325 , 0.003692 , 0.003646 , 0.005261 
 342 , 0.000209 , 0 , 0 , 0.003418 , 0 , 0 , 0.011047 , 0.010336 , 0.004088 , 0.001902 , 0.001243 , 0.000349 , 0.000077 , 0 , 0.00394 , 0.0133 , 0.004679 , 0.004485 , 0.006037 
 343 , 0.000674 , 0 , 0 , 0.00416 , 0 , 0 , 0.011855 , 0.011466 , 0.005089 , 0.002397 , 0.00222 , 0.001008 , 0.000199 , 0 , 0.004286 , 0.014359 , 0.005753 , 0.005493 , 0.007028 
 344 , 0.001134 , 0 , 0 , 0.004762 , 0 , 0 , 0.012584 , 0.012477 , 0.005939 , 0.002847 , 0.003113 , 0.00154 , 0.00028 , 0 , 0.00458 , 0.015345 , 0.006675 , 0.006457 , 0.007927 
 345 , 0.001625 , 0.000011 , 0.00001 , 0.005286 , 0.000063 , 0 , 0.013231 , 0.013382 , 0.00666 , 0.003291 , 0.003943 , 0.002038 , 0.000396 , 0.000071 , 0.004878 , 0.016171 , 0.007491 , 0.007291 , 0.008709 
 346 , 0.002538 , 0.000155 , 0.000142 , 0.006036 , 0.000907 , 0 , 0.013758 , 0.014182 , 0.007131 , 0.00411 , 0.004845 , 0.003302 , 0.001271 , 0.000998 , 0.005667 , 0.016079 , 0.00836 , 0.007249 , 0.009098 
 347 , 0.00334 , 0.000277 , 0.000256 , 0.006705 , 0.001647 , 0 , 0.014198 , 0.014878 , 0.007553 , 0.004821 , 0.005616 , 0.00471 , 0.002161 , 0.00179 , 0.006417 , 0.016003 , 0.009173 , 0.007224 , 0.00941 
 348 , 0.004049 , 0.000381 , 0.000355 , 0.007303 , 0.0023 , 0 , 0.014571 , 0.015489 , 0.007933 , 0.005442 , 0.00628 , 0.006281 , 0.003062 , 0.002471 , 0.00713 , 0.015938 , 0.009935 , 0.007209 , 0.009665 
 349 , 0.004663 , 0.000673 , 0.000657 , 0.007915 , 0.00275 , 0.00012 , 0.015195 , 0.01552 , 0.008101 , 0.005919 , 0.007184 , 0.006603 , 0.003586 , 0.00284 , 0.007931 , 0.016305 , 0.00967 , 0.007922 , 0.009852 
 350 , 0.005197 , 0.001009 , 0.001022 , 0.008476 , 0.003105 , 0.00025 , 0.015884 , 0.015355 , 0.008179 , 0.006329 , 0.008184 , 0.006401 , 0.003891 , 0.003071 , 0.008724 , 0.016796 , 0.009152 , 0.008951 , 0.01 
 351 , 0.005669 , 0.001305 , 0.001356 , 0.008965 , 0.003429 , 0.000347 , 0.016517 , 0.015212 , 0.008241 , 0.006715 , 0.009156 , 0.006235 , 0.004139 , 0.003272 , 0.009457 , 0.017235 , 0.008755 , 0.010003 , 0.01013 
 352 , 0.00602 , 0.0016 , 0.001733 , 0.009306 , 0.00381 , 0.000521 , 0.017004 , 0.015346 , 0.008461 , 0.007082 , 0.009623 , 0.006344 , 0.004355 , 0.003535 , 0.009613 , 0.017594 , 0.008816 , 0.010688 , 0.010386 
 353 , 0.006196 , 0.001936 , 0.002223 , 0.00942 , 0.004337 , 0.000889 , 0.017237 , 0.01598 , 0.008998 , 0.007425 , 0.009183 , 0.006942 , 0.004558 , 0.003947 , 0.008809 , 0.01784 , 0.009675 , 0.010592 , 0.010902 
 354 , 0.006351 , 0.002245 , 0.002682 , 0.009513 , 0.004829 , 0.001246 , 0.017433 , 0.01657 , 0.009496 , 0.007728 , 0.008835 , 0.007486 , 0.004743 , 0.004325 , 0.008165 , 0.018048 , 0.010548 , 0.010506 , 0.011371 
 355 , 0.006489 , 0.00253 , 0.00311 , 0.009589 , 0.005288 , 0.00159 , 0.017596 , 0.017121 , 0.009955 , 0.007997 , 0.008553 , 0.007983 , 0.004912 , 0.004674 , 0.007636 , 0.018226 , 0.011436 , 0.010429 , 0.011798 
 356 , 0.006712 , 0.002884 , 0.003269 , 0.009893 , 0.005379 , 0.001685 , 0.017989 , 0.017326 , 0.01012 , 0.008302 , 0.009137 , 0.008236 , 0.005143 , 0.00478 , 0.008429 , 0.018869 , 0.011861 , 0.011018 , 0.012136 
