JUL22SHB100005.spu,JUL22SHB100004.spu,JUL22SHB100003.spu,
Wavelength,JUL22SHB100006.spu,JUL22SHB100007.spu,JUL22SHB100008.spu,JUL22SHB100009.spu,JUL22SHB100010.spu,JUL22SHB100011.spu,JUL22SHB100012.spu,JUL22SHB100013.spu,JUL22SHB100014.spu,JUL22SHB100015.spu,JUL22SHB100016.spu,JUL22SHB100017.spu,JUL22SHB100018.spu,JUL22SHB100019.spu,JUL22SHB100020.spu,JUL22SHB100021.spu,JUL22SHB100022.spu,JUL22SHB100023.spu,JUL22SHB100024.spu,JUL22SHB100025.spu
  (nm),7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 ,7/22/2016 
  time  ,55:39 PM,56:06 PM,56:20 PM,56:36 PM,56:54 PM,57:08 PM,57:18 PM,57:31 PM,57:44 PM,57:54 PM,58:36 PM,58:48 PM,58:56 PM,59:05 PM,59:19 PM,59:41 PM,59:52 PM,00:01 PM,00:11 PM,00:19 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,
 310 , 0.014473 , 211.288458 , 211.288458 , 211.288458 , 211.288458 , 211.288458 , 211.288458 , 0 , 211.288458 , 211.288458 , 211.288458 , 211.288458 , 211.288458 , 211.288458 , 211.288458 , 0 , 211.288458 , 211.288458 , 211.288458 , 0 
 311 , 0.01576 , 202.000594 , 202.000594 , 202.000594 , 202.000594 , 202.000594 , 202.000594 , 0 , 202.000594 , 202.000594 , 202.000594 , 202.000594 , 202.000594 , 202.000594 , 202.000594 , 0 , 202.000594 , 202.000594 , 202.000594 , 0 
 312 , 0.01582 , 189.019345 , 189.019345 , 189.019345 , 189.019345 , 0 , 189.019345 , 0 , 189.019345 , 0 , 189.019345 , 189.019345 , 0 , 189.019345 , 189.019345 , 0 , 0 , 189.019345 , 189.019345 , 0 
 313 , 0.015702 , 177.170067 , 177.170067 , 177.170067 , 177.170067 , 0 , 177.170067 , 0 , 177.170067 , 0 , 177.170067 , 177.170067 , 0 , 177.170067 , 177.170067 , 0 , 0 , 177.170067 , 177.170067 , 0 
 314 , 0.015588 , 166.994024 , 166.994024 , 166.994024 , 166.994024 , 0 , 166.994024 , 0 , 166.994024 , 0 , 166.994024 , 166.994024 , 0 , 166.994024 , 166.994024 , 0 , 0 , 166.994024 , 166.994024 , 0 
 315 , 0.015182 , 153.313035 , 153.313035 , 153.313035 , 153.313035 , 0 , 0 , 0 , 153.313035 , 0 , 153.313035 , 0 , 0 , 153.313035 , 0 , 0 , 0 , 0 , 153.313035 , 0 
 316 , 0.014553 , 137.716932 , 137.716932 , 137.716932 , 137.716932 , 0 , 0 , 0 , 137.716932 , 0 , 137.716932 , 0 , 0 , 137.716932 , 0 , 0 , 0 , 0 , 137.716932 , 0 
