MAY31WSG100004.spu,MAY31WSG100003.spu,
Wavelength,MAY31WSG100005.spu,MAY31WSG100006.spu,MAY31WSG100007.spu,MAY31WSG100008.spu,MAY31WSG100009.spu,MAY31WSG100010.spu,MAY31WSG100011.spu,MAY31WSG100012.spu,MAY31WSG100013.spu,MAY31WSG100014.spu,MAY31WSG100015.spu,MAY31WSG100016.spu,MAY31WSG100017.spu,MAY31WSG100018.spu,MAY31WSG100019.spu,MAY31WSG100020.spu,MAY31WSG100021.spu,MAY31WSG100022.spu,MAY31WSG100023.spu,MAY31WSG100024.spu,MAY31WSG100025.spu,MAY31WSG100026.spu,MAY31WSG100027.spu,MAY31WSG100028.spu,MAY31WSG100029.spu
  (nm),5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 
  time  ,:24:01 A,:24:17 A,:24:22 A,:24:29 A,:24:38 A,:25:10 A,:25:20 A,:25:26 A,:25:31 A,:25:39 A,:26:32 A,:26:38 A,:26:44 A,:27:00 A,:27:08 A,:28:01 A,:28:07 A,:28:17 A,:28:23 A,:28:33 A,:29:23 A,:29:30 A,:29:36 A,:29:41 A,:29:50 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 1.0557 , 1.0557 , 1.0557 , 1.0557 , 1.0557 , 1.0557 , 1.0557 , 1.0557 , 1.0557 , 1.0557 , 1.0557 , 1.0557 , 1.0557 , 1.0557 , 1.0557 , 0 , 1.0557 , 1.0557 , 1.0557 , 1.0557 , 1.0557 , 1.0557 , 1.0557 , 1.0557 , 1.0557 
 311 , 0.127288 , 0.127288 , 0.127288 , 0.127288 , 0.127288 , 0.127288 , 0.127288 , 0.127288 , 0.127288 , 0.127288 , 0.127288 , 0.127288 , 0.127288 , 0.127288 , 0.127288 , 0 , 0.127288 , 0.127288 , 0.127288 , 0.127288 , 0.127288 , 0.127288 , 0.127288 , 0.127288 , 0.127288 
 312 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 313 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 314 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 315 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 0 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 
 316 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 0 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 
 317 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 0 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 
 318 , 0.192492 , 0.192492 , 0.192492 , 0 , 0 , 0.192492 , 0.192492 , 0.192492 , 0.192492 , 0.192492 , 0.192492 , 0.192492 , 0.192492 , 0 , 0.192492 , 0.192492 , 0 , 0 , 0 , 0 , 0 , 0.192492 , 0.192492 , 0.192492 , 0 
 319 , 1.200815 , 1.200815 , 1.200815 , 0 , 0 , 1.200815 , 1.200815 , 1.200815 , 1.200815 , 1.200815 , 1.200815 , 1.200815 , 1.200815 , 0 , 1.200815 , 1.200815 , 0 , 0 , 0 , 0 , 0 , 1.200815 , 1.200815 , 1.200815 , 0 
 320 , 1.962178 , 1.962178 , 1.962178 , 0 , 0 , 1.962178 , 1.962178 , 1.962178 , 1.962178 , 1.962178 , 1.962178 , 1.962178 , 1.962178 , 0 , 1.962178 , 1.962178 , 0 , 0 , 0 , 0 , 0 , 1.962178 , 1.962178 , 1.962178 , 0 
 321 , 2.55741 , 2.55741 , 2.55741 , 0 , 0 , 2.55741 , 2.55741 , 2.55741 , 2.55741 , 2.55741 , 2.55741 , 2.55741 , 2.55741 , 0 , 2.55741 , 2.55741 , 0 , 0 , 0 , 0 , 0 , 2.55741 , 2.55741 , 2.55741 , 0 
 322 , 2.029214 , 0 , 2.029214 , 0 , 0 , 0 , 0 , 2.029214 , 0 , 0 , 2.029214 , 0 , 0 , 2.029214 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 323 , 1.319298 , 0 , 1.319298 , 0 , 0 , 0 , 0 , 1.319298 , 0 , 0 , 1.319298 , 0 , 0 , 1.319298 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 324 , 0.633176 , 0 , 0.633176 , 0 , 0 , 0 , 0 , 0.633176 , 0 , 0 , 0.633176 , 0 , 0 , 0.633176 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 325 , 0 , 0 , 0.98271 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 326 , 0 , 0 , 2.739503 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 327 , 0 , 0 , 4.121815 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 328 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 329 , 0.006031 , 0 , 0 , 0.010856 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000935 , 0.002111 , 0 , 0.000291 
 330 , 0.007603 , 0 , 0 , 0.010579 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001711 , 0.003629 , 0 , 0.000628 
 331 , 0.008124 , 0 , 0 , 0.010191 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.002337 , 0.0047 , 0 , 0.001021 
 332 , 0.009187 , 0.00202 , 0 , 0.007596 , 0 , 0 , 0.000684 , 0 , 0.00037 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001084 , 0.003772 , 0.006359 , 0 , 0.00247 
 333 , 0.010131 , 0.005187 , 0 , 0.004875 , 0 , 0 , 0.001236 , 0 , 0.000705 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.00242 , 0.005558 , 0.008116 , 0 , 0.004256 
 334 , 0.010585 , 0.007747 , 0 , 0.003154 , 0 , 0 , 0.001498 , 0 , 0.000875 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.00328 , 0.00696 , 0.009404 , 0 , 0.005554 
 335 , 0.011395 , 0.009194 , 0.000286 , 0.002594 , 0.000153 , 0.000381 , 0.001819 , 0.000137 , 0.001323 , 0.000162 , 0.000075 , 0.00009 , 0.000341 , 0.000305 , 0 , 0 , 0.000077 , 0 , 0 , 0 , 0.004056 , 0.008396 , 0.010627 , 0.000215 , 0.006675 
 336 , 0.014371 , 0.008676 , 0.00174 , 0.004295 , 0.000867 , 0.001884 , 0.002641 , 0.000679 , 0.002717 , 0.000946 , 0.000466 , 0.000492 , 0.001904 , 0.00275 , 0 , 0 , 0.000508 , 0 , 0 , 0 , 0.005529 , 0.011049 , 0.012685 , 0.001321 , 0.00827 
 337 , 0.017601 , 0.008341 , 0.003219 , 0.005637 , 0.001503 , 0.002946 , 0.003235 , 0.001064 , 0.003643 , 0.001689 , 0.000883 , 0.000827 , 0.003263 , 0.009665 , 0 , 0 , 0.001031 , 0 , 0 , 0 , 0.007116 , 0.013837 , 0.014391 , 0.002472 , 0.009742 
 338 , 0.0211 , 0.008111 , 0.004709 , 0.006727 , 0.002072 , 0.003745 , 0.003689 , 0.001355 , 0.004314 , 0.002391 , 0.001323 , 0.001111 , 0.004455 , 0.116516 , 0 , 0 , 0.001669 , 0 , 0 , 0 , 0.008815 , 0.016751 , 0.015831 , 0.00366 , 0.011099 
 339 , 0.020479 , 0.009327 , 0.006659 , 0.009393 , 0.004107 , 0.004814 , 0.005144 , 0.003225 , 0.006226 , 0.00406 , 0.001873 , 0.001888 , 0.005563 , 0.023365 , 0.001488 , 0.00155 , 0.001889 , 0.000341 , 0.000244 , 0.000127 , 0.010386 , 0.017373 , 0.016748 , 0.005507 , 0.013458 
 340 , 0.019206 , 0.010336 , 0.008589 , 0.011758 , 0.006261 , 0.005844 , 0.006638 , 0.005595 , 0.007985 , 0.005783 , 0.002315 , 0.002705 , 0.006399 , 0.013834 , 0.002992 , 0.0031 , 0.00194 , 0.000694 , 0.000525 , 0.000269 , 0.0114 , 0.017066 , 0.016986 , 0.006906 , 0.015367 
 341 , 0.017993 , 0.01095 , 0.010362 , 0.013489 , 0.008112 , 0.006784 , 0.007925 , 0.008022 , 0.009311 , 0.007274 , 0.002629 , 0.003417 , 0.006988 , 0.010801 , 0.004163 , 0.004297 , 0.00194 , 0.000976 , 0.000775 , 0.00039 , 0.011964 , 0.016474 , 0.016833 , 0.007813 , 0.016675 
 342 , 0.018037 , 0.012324 , 0.011392 , 0.01508 , 0.008692 , 0.007984 , 0.009339 , 0.009396 , 0.010669 , 0.00825 , 0.003153 , 0.004488 , 0.007734 , 0.010017 , 0.004576 , 0.004465 , 0.002564 , 0.001543 , 0.001497 , 0.000877 , 0.012596 , 0.016953 , 0.017414 , 0.008604 , 0.017218 
 343 , 0.019303 , 0.014925 , 0.011683 , 0.016985 , 0.008163 , 0.009362 , 0.010883 , 0.009513 , 0.012239 , 0.008745 , 0.003891 , 0.005962 , 0.008703 , 0.010307 , 0.004355 , 0.003818 , 0.003694 , 0.002464 , 0.002742 , 0.001741 , 0.013472 , 0.018648 , 0.018934 , 0.009467 , 0.01728 
 344 , 0.020367 , 0.017649 , 0.011866 , 0.018999 , 0.007734 , 0.010459 , 0.012147 , 0.009587 , 0.013597 , 0.009114 , 0.004475 , 0.007256 , 0.009486 , 0.010487 , 0.004154 , 0.00331 , 0.004534 , 0.00331 , 0.003867 , 0.002497 , 0.014219 , 0.02012 , 0.020291 , 0.010204 , 0.017293 
 345 , 0.021143 , 0.020107 , 0.011962 , 0.020873 , 0.007506 , 0.01122 , 0.013119 , 0.009655 , 0.014633 , 0.009503 , 0.005011 , 0.008431 , 0.010119 , 0.010617 , 0.004051 , 0.003031 , 0.00517 , 0.004074 , 0.004845 , 0.003154 , 0.014841 , 0.021329 , 0.02135 , 0.01084 , 0.017326 
 346 , 0.020761 , 0.018731 , 0.011665 , 0.020445 , 0.008799 , 0.010429 , 0.013179 , 0.010045 , 0.014087 , 0.011059 , 0.006217 , 0.009929 , 0.010561 , 0.01082 , 0.004917 , 0.004331 , 0.005556 , 0.004651 , 0.00528 , 0.003673 , 0.015254 , 0.021631 , 0.020746 , 0.011496 , 0.017847 
 347 , 0.020334 , 0.017603 , 0.011381 , 0.019979 , 0.009847 , 0.009762 , 0.013156 , 0.010276 , 0.013588 , 0.012598 , 0.007188 , 0.011118 , 0.010897 , 0.010921 , 0.005601 , 0.005306 , 0.005851 , 0.005084 , 0.005612 , 0.004078 , 0.015535 , 0.021812 , 0.020174 , 0.011989 , 0.018241 
 348 , 0.019892 , 0.016656 , 0.011111 , 0.019503 , 0.010702 , 0.009192 , 0.013077 , 0.0104 , 0.013132 , 0.014135 , 0.007974 , 0.012068 , 0.011151 , 0.010951 , 0.006146 , 0.006047 , 0.006075 , 0.005411 , 0.005865 , 0.004394 , 0.015717 , 0.021904 , 0.019635 , 0.012358 , 0.018534 
 349 , 0.020948 , 0.01811 , 0.0119 , 0.020087 , 0.011649 , 0.010049 , 0.014176 , 0.011611 , 0.014462 , 0.015136 , 0.00885 , 0.012186 , 0.011843 , 0.011403 , 0.007055 , 0.006767 , 0.007119 , 0.006116 , 0.006465 , 0.00515 , 0.017129 , 0.02328 , 0.020605 , 0.013261 , 0.020007 
 350 , 0.022459 , 0.020441 , 0.013049 , 0.020953 , 0.012584 , 0.011383 , 0.01564 , 0.013211 , 0.016467 , 0.015793 , 0.009745 , 0.012026 , 0.012637 , 0.011955 , 0.008108 , 0.007489 , 0.008515 , 0.006983 , 0.007177 , 0.006095 , 0.018961 , 0.025021 , 0.022027 , 0.014302 , 0.021845 
 351 , 0.02383 , 0.02269 , 0.01412 , 0.02169 , 0.013437 , 0.012609 , 0.016966 , 0.014717 , 0.018409 , 0.016347 , 0.010591 , 0.011891 , 0.013338 , 0.012431 , 0.009119 , 0.008186 , 0.009898 , 0.007834 , 0.00784 , 0.007021 , 0.020681 , 0.026585 , 0.023287 , 0.015239 , 0.02354 
 352 , 0.024671 , 0.023843 , 0.014833 , 0.021845 , 0.013996 , 0.013637 , 0.017656 , 0.015455 , 0.019385 , 0.016441 , 0.011264 , 0.011799 , 0.013925 , 0.013037 , 0.009724 , 0.00875 , 0.010935 , 0.008455 , 0.008311 , 0.007652 , 0.021598 , 0.02728 , 0.024294 , 0.015769 , 0.024477 
 353 , 0.02465 , 0.02296 , 0.014925 , 0.021082 , 0.014074 , 0.014393 , 0.017279 , 0.014838 , 0.018572 , 0.015839 , 0.011651 , 0.011765 , 0.014377 , 0.014027 , 0.009588 , 0.00906 , 0.011274 , 0.00863 , 0.008455 , 0.007711 , 0.021095 , 0.026526 , 0.024991 , 0.01563 , 0.024116 
 354 , 0.024616 , 0.02217 , 0.014982 , 0.020414 , 0.014126 , 0.015096 , 0.016933 , 0.014301 , 0.017859 , 0.015324 , 0.012006 , 0.011726 , 0.014756 , 0.015021 , 0.009458 , 0.009314 , 0.011567 , 0.008774 , 0.008572 , 0.007752 , 0.020637 , 0.025847 , 0.025649 , 0.015495 , 0.023776 
 355 , 0.024572 , 0.021459 , 0.015012 , 0.019823 , 0.014156 , 0.015751 , 0.016616 , 0.013829 , 0.017228 , 0.014876 , 0.012333 , 0.011684 , 0.015076 , 0.016021 , 0.009335 , 0.009522 , 0.011822 , 0.008895 , 0.008668 , 0.007779 , 0.020219 , 0.025232 , 0.026271 , 0.015362 , 0.023457 
 356 , 0.025342 , 0.021515 , 0.015856 , 0.020546 , 0.014296 , 0.015366 , 0.016382 , 0.01411 , 0.0173 , 0.015446 , 0.012273 , 0.012136 , 0.015254 , 0.016405 , 0.010144 , 0.009698 , 0.011549 , 0.009283 , 0.009085 , 0.007967 , 0.020105 , 0.02539 , 0.026261 , 0.015582 , 0.02349 
