JUN17WSG200006.spu,JUN17WSG200005.spu,JUN17WSG200004.spu,
Wavelength,JUN17WSG200007.spu,JUN17WSG200008.spu,JUN17WSG200009.spu,JUN17WSG200010.spu,JUN17WSG200011.spu,JUN17WSG200012.spu,JUN17WSG200013.spu,JUN17WSG200014.spu,JUN17WSG200015.spu,JUN17WSG200016.spu,JUN17WSG200017.spu,JUN17WSG200018.spu,JUN17WSG200019.spu,JUN17WSG200020.spu,JUN17WSG200021.spu,JUN17WSG200022.spu,JUN17WSG200023.spu,JUN17WSG200024.spu,JUN17WSG200025.spu,JUN17WSG200026.spu,JUN17WSG200027.spu,JUN17WSG200028.spu,JUN17WSG200029.spu,JUN17WSG200030.spu,JUN17WSG200031.spu,JUN17WSG200032.spu,JUN17WSG200033.spu,JUN17WSG200034.spu,JUN17WSG200035.spu,JUN17WSG200036.spu,JUN17WSG200037.spu,JUN17WSG200038.spu,JUN17WSG200039.spu,JUN17WSG200040.spu,JUN17WSG200041.spu,JUN17WSG200042.spu,JUN17WSG200043.spu,JUN17WSG200044.spu,JUN17WSG200045.spu,JUN17WSG200046.spu
  (nm),6/17/2016 ,6/17/2016 ,6/17/2016 ,6/17/2016 ,6/17/2016 ,6/17/2016 ,6/17/2016 ,6/17/2016 ,6/17/2016 ,6/17/2016 ,6/17/2016 ,6/17/2016 ,6/17/2016 ,6/17/2016 ,6/17/2016 ,6/17/2016 ,6/17/2016 ,6/17/2016 ,6/17/2016 ,6/17/2016 ,6/17/2016 ,6/17/2016 ,6/17/2016 ,6/17/2016 ,6/17/2016 ,6/17/2016 ,6/17/2016 ,6/17/2016 ,6/17/2016 ,6/17/2016 ,6/17/2016 ,6/17/2016 ,6/17/2016 ,6/17/2016 ,6/17/2016 ,6/17/2016 ,6/17/2016 ,6/17/2016 ,6/17/2016 ,6/17/2016 
  time  ,05:20 PM,05:33 PM,05:41 PM,05:47 PM,05:56 PM,07:11 PM,07:19 PM,07:27 PM,07:37 PM,07:45 PM,08:36 PM,08:46 PM,08:54 PM,09:55 PM,10:18 PM,10:58 PM,11:06 PM,11:15 PM,11:23 PM,11:33 PM,12:41 PM,12:53 PM,13:00 PM,13:09 PM,13:17 PM,14:46 PM,14:55 PM,15:03 PM,15:08 PM,15:16 PM,15:49 PM,15:54 PM,16:01 PM,16:08 PM,16:17 PM,17:08 PM,17:15 PM,17:22 PM,17:30 PM,17:40 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 311 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 312 , 0 , 0 , 0.950555 , 0.950555 , 0.950555 , 0.950555 , 0 , 0.950555 , 0.950555 , 0.950555 , 0.950555 , 0.950555 , 0.950555 , 0.950555 , 0.950555 , 0.950555 , 0.950555 , 0 , 0.950555 , 0 , 0.950555 , 0.950555 , 0.950555 , 0.950555 , 0.950555 , 0.950555 , 0.950555 , 0.950555 , 0.950555 , 0.950555 , 0.950555 , 0.950555 , 0.950555 , 0.950555 , 0.950555 , 0.950555 , 0.950555 , 0.950555 , 0.950555 , 0.950555 
 313 , 0 , 0 , 1.391101 , 1.391101 , 1.391101 , 1.391101 , 0 , 1.391101 , 1.391101 , 1.391101 , 1.391101 , 1.391101 , 1.391101 , 1.391101 , 1.391101 , 1.391101 , 1.391101 , 0 , 1.391101 , 0 , 1.391101 , 1.391101 , 1.391101 , 1.391101 , 1.391101 , 1.391101 , 1.391101 , 1.391101 , 1.391101 , 1.391101 , 1.391101 , 1.391101 , 1.391101 , 1.391101 , 1.391101 , 1.391101 , 1.391101 , 1.391101 , 1.391101 , 1.391101 
 314 , 0 , 0 , 1.631034 , 1.631034 , 1.631034 , 1.631034 , 0 , 1.631034 , 1.631034 , 1.631034 , 1.631034 , 1.631034 , 1.631034 , 1.631034 , 1.631034 , 1.631034 , 1.631034 , 0 , 1.631034 , 0 , 1.631034 , 1.631034 , 1.631034 , 1.631034 , 1.631034 , 1.631034 , 1.631034 , 1.631034 , 1.631034 , 1.631034 , 1.631034 , 1.631034 , 1.631034 , 1.631034 , 1.631034 , 1.631034 , 1.631034 , 1.631034 , 1.631034 , 1.631034 
 315 , 0 , 0 , 1.521788 , 1.521788 , 0 , 0 , 0 , 1.521788 , 1.521788 , 0 , 1.521788 , 1.521788 , 1.521788 , 1.521788 , 1.521788 , 1.521788 , 1.521788 , 0 , 1.521788 , 0 , 1.521788 , 1.521788 , 1.521788 , 1.521788 , 1.521788 , 1.521788 , 1.521788 , 1.521788 , 1.521788 , 1.521788 , 1.521788 , 1.521788 , 1.521788 , 1.521788 , 1.521788 , 1.521788 , 1.521788 , 1.521788 , 1.521788 , 1.521788 
