JUL12WSG200005.spu,JUL12WSG200004.spu,
Wavelength,JUL12WSG200006.spu,JUL12WSG200007.spu,JUL12WSG200008.spu,JUL12WSG200009.spu,JUL12WSG200010.spu,JUL12WSG200011.spu,JUL12WSG200012.spu,JUL12WSG200013.spu,JUL12WSG200014.spu,JUL12WSG200015.spu
  (nm),7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 
  time  ,:01:52 A,:02:00 A,:02:08 A,:02:15 A,:02:23 A,:03:28 A,:03:36 A,:03:44 A,:03:53 A,:04:01 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,
 310 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 311 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 312 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 
 313 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 
 314 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 
 315 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 0 
 316 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 0 
 317 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 0 
 318 , 0.434181 , 0.434181 , 0.434181 , 0.434181 , 0.434181 , 0 , 0 , 0 , 0 , 0 
 319 , 2.726409 , 2.726409 , 2.726409 , 2.726409 , 2.726409 , 0 , 0 , 0 , 0 , 0 
 320 , 4.477369 , 4.477369 , 4.477369 , 4.477369 , 4.477369 , 0 , 0 , 0 , 0 , 0 
 321 , 5.858531 , 5.858531 , 5.858531 , 5.858531 , 5.858531 , 0 , 0 , 0 , 0 , 0 
 322 , 5.090791 , 5.090791 , 5.090791 , 5.090791 , 0 , 0 , 0 , 0 , 0 , 0 
 323 , 3.866183 , 3.866183 , 3.866183 , 3.866183 , 0 , 0 , 0 , 0 , 0 , 0 
 324 , 2.762979 , 2.762979 , 2.762979 , 2.762979 , 0 , 0 , 0 , 0 , 0 , 0 
 325 , 3.126876 , 3.126876 , 0 , 3.126876 , 0 , 0 , 0 , 0 , 0 , 0 
 326 , 4.619316 , 4.619316 , 0 , 4.619316 , 0 , 0 , 0 , 0 , 0 , 0 
 327 , 5.287683 , 5.287683 , 0 , 5.287683 , 0 , 0 , 0 , 0 , 0 , 0 
 328 , 5.552539 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 329 , 5.459892 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 330 , 5.205816 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 331 , 4.859917 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 332 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 333 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 334 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 335 , 0 , 0 , 0 , 0 , 0 , 0.000293 , 0 , 0 , 0.00011 , 0 
 336 , 0 , 0 , 0 , 0 , 0 , 0.001749 , 0 , 0 , 0.000655 , 0 
 337 , 0 , 0 , 0 , 0 , 0 , 0.003184 , 0 , 0 , 0.001192 , 0 
 338 , 0 , 0 , 0 , 0 , 0 , 0.004589 , 0 , 0 , 0.001715 , 0 
 339 , 0 , 0 , 0 , 0 , 0 , 0.005961 , 0.00062 , 0.000875 , 0.002992 , 0.000394 
 340 , 0 , 0 , 0 , 0 , 0 , 0.0072 , 0.001352 , 0.001776 , 0.004286 , 0.000857 
 341 , 0 , 0 , 0 , 0 , 0 , 0.008307 , 0.002072 , 0.002536 , 0.005445 , 0.001312 
 342 , 0 , 0.000352 , 0.000281 , 0.000384 , 0.000076 , 0.009155 , 0.002775 , 0.003276 , 0.006351 , 0.001991 
 343 , 0 , 0.001114 , 0.000819 , 0.001087 , 0.000255 , 0.009735 , 0.003409 , 0.004067 , 0.006984 , 0.002856 
 344 , 0 , 0.001848 , 0.001264 , 0.001638 , 0.000445 , 0.010234 , 0.003977 , 0.004819 , 0.007518 , 0.003607 
 345 , 0.000058 , 0.002606 , 0.001675 , 0.002107 , 0.000688 , 0.010671 , 0.004489 , 0.005553 , 0.00802 , 0.004265 
 346 , 0.000885 , 0.003931 , 0.002454 , 0.002787 , 0.001364 , 0.011133 , 0.004992 , 0.006501 , 0.00897 , 0.004838 
 347 , 0.001703 , 0.005073 , 0.003068 , 0.003346 , 0.001858 , 0.011517 , 0.005391 , 0.007313 , 0.00983 , 0.00534 
 348 , 0.002516 , 0.006068 , 0.003562 , 0.003813 , 0.002232 , 0.011841 , 0.005714 , 0.008016 , 0.010614 , 0.005782 
