DATE,INSTRUMENT,LOCATION,VEGETATION ,REPLICATE,NDVI ,NOTES
2019-06-26,RapidSCAN ,LMAT_B2_CT_EDC_2-1,Tussock,1,0.6536,
2019-06-26,RapidSCAN ,LMAT_B2_CT_EDC_2-1,Tussock,2,0.7667,
2019-06-26,RapidSCAN ,LMAT_B2_CT_EDC_2-1,Tussock,3,0.7342,
2019-06-26,RapidSCAN ,LMAT_B2_CT_EDC_2-1,Tussock,4,0.7579,
2019-06-26,RapidSCAN ,LMAT_B2_CT_EDC_2-1,Tussock,5,0.7743,
2019-06-26,RapidSCAN ,LMAT_B2_CT_EDC_2-1,Tussock,6,0.7619,
2019-06-26,RapidSCAN ,LMAT_B2_CT_EDC_2-1,Tussock,7,0.7824,
2019-06-26,RapidSCAN ,LMAT_B2_CT_EDC_2-1,Tussock,8,0.7551,
2019-06-26,Greenseeker ,LMAT_B2_CT_EDC_2-1,Tussock,1,0.63,
2019-06-26,Greenseeker ,LMAT_B2_CT_EDC_2-1,Tussock,2,0.64,
2019-06-26,Greenseeker ,LMAT_B2_CT_EDC_2-1,Tussock,3,0.66,
2019-06-26,Greenseeker ,LMAT_B2_CT_EDC_2-1,Tussock,4,0.64,
2019-06-26,Greenseeker ,LMAT_B2_CT_EDC_2-1,Tussock,5,0.63,
2019-06-26,Greenseeker ,LMAT_B2_CT_EDC_2-1,Tussock,6,0.65,
2019-06-26,Greenseeker ,LMAT_B2_CT_EDC_2-1,Tussock,7,0.64,
2019-06-26,Greenseeker ,LMAT_B2_CT_EDC_2-1,Tussock,8,0.66,
2019-06-26,RapidSCAN ,LMAT_B2_CT_EDC_2-2,Tussock,1,0.5564,
2019-06-26,RapidSCAN ,LMAT_B2_CT_EDC_2-2,Tussock,2,0.6218,
2019-06-26,RapidSCAN ,LMAT_B2_CT_EDC_2-2,Tussock,3,0.6916,
2019-06-26,RapidSCAN ,LMAT_B2_CT_EDC_2-2,Tussock,4,0.6359,
2019-06-26,RapidSCAN ,LMAT_B2_CT_EDC_2-2,Tussock,5,0.6468,
2019-06-26,RapidSCAN ,LMAT_B2_CT_EDC_2-2,Tussock,6,0.6934,
2019-06-26,RapidSCAN ,LMAT_B2_CT_EDC_2-2,Tussock,7,0.7336,
2019-06-26,RapidSCAN ,LMAT_B2_CT_EDC_2-2,Tussock,8,0.7066,
2019-06-26,Greenseeker ,LMAT_B2_CT_EDC_2-2,Tussock,1,0.55,
2019-06-26,Greenseeker ,LMAT_B2_CT_EDC_2-2,Tussock,2,0.58,
2019-06-26,Greenseeker ,LMAT_B2_CT_EDC_2-2,Tussock,3,0.63,
2019-06-26,Greenseeker ,LMAT_B2_CT_EDC_2-2,Tussock,4,0.53,
2019-06-26,Greenseeker ,LMAT_B2_CT_EDC_2-2,Tussock,5,0.51,
2019-06-26,Greenseeker ,LMAT_B2_CT_EDC_2-2,Tussock,6,0.49,
2019-06-26,Greenseeker ,LMAT_B2_CT_EDC_2-2,Tussock,7,0.55,
2019-06-26,Greenseeker ,LMAT_B2_CT_EDC_2-2,Tussock,8,0.56,
2019-06-26,RapidSCAN ,LMAT_B2_CT_EDC_2-3,Tussock,1,0.6142,
2019-06-26,RapidSCAN ,LMAT_B2_CT_EDC_2-3,Tussock,2,0.5924,
2019-06-26,RapidSCAN ,LMAT_B2_CT_EDC_2-3,Tussock,3,0.5682,
2019-06-26,RapidSCAN ,LMAT_B2_CT_EDC_2-3,Tussock,4,0.9569,
2019-06-26,RapidSCAN ,LMAT_B2_CT_EDC_2-3,Tussock,5,0.5401,
2019-06-26,RapidSCAN ,LMAT_B2_CT_EDC_2-3,Tussock,6,0.6345,
2019-06-26,RapidSCAN ,LMAT_B2_CT_EDC_2-3,Tussock,7,0.6426,
2019-06-26,RapidSCAN ,LMAT_B2_CT_EDC_2-3,Tussock,8,0.5463,
2019-06-26,Greenseeker ,LMAT_B2_CT_EDC_2-3,Tussock,1,0.55,
2019-06-26,Greenseeker ,LMAT_B2_CT_EDC_2-3,Tussock,2,0.58,
2019-06-26,Greenseeker ,LMAT_B2_CT_EDC_2-3,Tussock,3,0.59,
2019-06-26,Greenseeker ,LMAT_B2_CT_EDC_2-3,Tussock,4,0.56,
2019-06-26,Greenseeker ,LMAT_B2_CT_EDC_2-3,Tussock,5,0.53,
2019-06-26,Greenseeker ,LMAT_B2_CT_EDC_2-3,Tussock,6,0.56,
2019-06-26,Greenseeker ,LMAT_B2_CT_EDC_2-3,Tussock,7,0.58,
2019-06-26,Greenseeker ,LMAT_B2_CT_EDC_2-3,Tussock,8,0.59,
2019-06-26,RapidSCAN ,LMAT_B2_F10_15m,Shrub,1,0.7562,
2019-06-26,RapidSCAN ,LMAT_B2_F10_15m,Shrub,2,0.725,
2019-06-26,RapidSCAN ,LMAT_B2_F10_15m,Shrub,3,0.7038,
2019-06-26,RapidSCAN ,LMAT_B2_F10_15m,Shrub,4,0.6966,
2019-06-26,RapidSCAN ,LMAT_B2_F10_15m,Shrub,5,0.6996,
2019-06-26,RapidSCAN ,LMAT_B2_F10_15m,Shrub,6,0.6924,
2019-06-26,RapidSCAN ,LMAT_B2_F10_15m,Shrub,7,0.7198,
2019-06-26,RapidSCAN ,LMAT_B2_F10_15m,Shrub,8,0.7395,
2019-06-26,Greenseeker ,LMAT_B2_F10_15m,Shrub,1,0.8,
2019-06-26,Greenseeker ,LMAT_B2_F10_15m,Shrub,2,0.8,
2019-06-26,Greenseeker ,LMAT_B2_F10_15m,Shrub,3,0.79,
2019-06-26,Greenseeker ,LMAT_B2_F10_15m,Shrub,4,0.78,
2019-06-26,Greenseeker ,LMAT_B2_F10_15m,Shrub,5,0.78,
2019-06-26,Greenseeker ,LMAT_B2_F10_15m,Shrub,6,0.77,
2019-06-26,Greenseeker ,LMAT_B2_F10_15m,Shrub,7,0.78,
2019-06-26,Greenseeker ,LMAT_B2_F10_15m,Shrub,8,0.8,
2019-06-26,RapidSCAN ,LMAT_B2_F10_10m,Shrub,1,0.7632,
2019-06-26,RapidSCAN ,LMAT_B2_F10_10m,Shrub,2,0.7802,
2019-06-26,RapidSCAN ,LMAT_B2_F10_10m,Shrub,3,0.7868,
2019-06-26,RapidSCAN ,LMAT_B2_F10_10m,Shrub,4,0.7287,
2019-06-26,RapidSCAN ,LMAT_B2_F10_10m,Shrub,5,0.6811,
2019-06-26,RapidSCAN ,LMAT_B2_F10_10m,Shrub,6,0.7784,
2019-06-26,RapidSCAN ,LMAT_B2_F10_10m,Shrub,7,0.7269,
2019-06-26,RapidSCAN ,LMAT_B2_F10_10m,Shrub,8,0.669,
2019-06-26,Greenseeker ,LMAT_B2_F10_10m,Shrub,1,0.68,
2019-06-26,Greenseeker ,LMAT_B2_F10_10m,Shrub,2,0.73,
2019-06-26,Greenseeker ,LMAT_B2_F10_10m,Shrub,3,0.69,
2019-06-26,Greenseeker ,LMAT_B2_F10_10m,Shrub,4,0.73,
2019-06-26,Greenseeker ,LMAT_B2_F10_10m,Shrub,5,0.74,
2019-06-26,Greenseeker ,LMAT_B2_F10_10m,Shrub,6,0.77,
2019-06-26,Greenseeker ,LMAT_B2_F10_10m,Shrub,7,0.73,
2019-06-26,Greenseeker ,LMAT_B2_F10_10m,Shrub,8,0.72,
2019-06-26,RapidSCAN ,LMAT_B2_F10_5m,Shrub,1,0.819,
2019-06-26,RapidSCAN ,LMAT_B2_F10_5m,Shrub,2,0.8096,
2019-06-26,RapidSCAN ,LMAT_B2_F10_5m,Shrub,3,0.8092,
2019-06-26,RapidSCAN ,LMAT_B2_F10_5m,Shrub,4,0.797,
2019-06-26,RapidSCAN ,LMAT_B2_F10_5m,Shrub,5,0.7198,
2019-06-26,RapidSCAN ,LMAT_B2_F10_5m,Shrub,6,0.7915,
2019-06-26,RapidSCAN ,LMAT_B2_F10_5m,Shrub,7,0.7753,
2019-06-26,RapidSCAN ,LMAT_B2_F10_5m,Shrub,8,0.7526,
2019-06-26,Greenseeker ,LMAT_B2_F10_5m,Shrub,1,0.67,
2019-06-26,Greenseeker ,LMAT_B2_F10_5m,Shrub,2,0.68,
2019-06-26,Greenseeker ,LMAT_B2_F10_5m,Shrub,3,0.65,
2019-06-26,Greenseeker ,LMAT_B2_F10_5m,Shrub,4,0.66,
2019-06-26,Greenseeker ,LMAT_B2_F10_5m,Shrub,5,0.64,
2019-06-26,Greenseeker ,LMAT_B2_F10_5m,Shrub,6,0.66,
2019-06-26,Greenseeker ,LMAT_B2_F10_5m,Shrub,7,0.69,
2019-06-26,Greenseeker ,LMAT_B2_F10_5m,Shrub,8,0.66,
2019-06-26,RapidSCAN ,ITEX_BOARDWALK-1,Heath,1,0.5241,
2019-06-26,RapidSCAN ,ITEX_BOARDWALK-1,Heath,2,0.5526,
2019-06-26,RapidSCAN ,ITEX_BOARDWALK-1,Heath,3,0.5001,
2019-06-26,RapidSCAN ,ITEX_BOARDWALK-1,Heath,4,0.5295,
2019-06-26,RapidSCAN ,ITEX_BOARDWALK-1,Heath,5,0.5706,
