INSTRUMENT,VEGETATION,LOCATION,REPLICATE,SC_HEIGHT,FILENAME,NOTES,definition,NDVI
Unispec-SC,Tussock,T1,1,1,area match100002.spu,NA,Greenseeker,0.7249939234273437
Unispec-SC,Tussock,T1,1,1,area match100002.spu,NA,MODIS,0.7326780312669904
Unispec-SC,Tussock,T1,1,1,area match100002.spu,NA,RapidSCAN,0.7412536155925632
Unispec-SC,Tussock,T1,1,1,area match100002.spu,NA,ToolikEDC,0.7108088982098327
Unispec-SC,Tussock,T1,2,1,area match100003.spu,NA,Greenseeker,0.7235214895592254
Unispec-SC,Tussock,T1,2,1,area match100003.spu,NA,MODIS,0.7317510746759157
Unispec-SC,Tussock,T1,2,1,area match100003.spu,NA,RapidSCAN,0.7403428343107694
Unispec-SC,Tussock,T1,2,1,area match100003.spu,NA,ToolikEDC,0.7098908094935878
Unispec-SC,Tussock,T1,3,1,area match100004.spu,NA,Greenseeker,0.7258357439447272
Unispec-SC,Tussock,T1,3,1,area match100004.spu,NA,MODIS,0.7338266570794502
Unispec-SC,Tussock,T1,3,1,area match100004.spu,NA,RapidSCAN,0.7424310083057961
Unispec-SC,Tussock,T1,3,1,area match100004.spu,NA,ToolikEDC,0.71187724210091885
Unispec-SC,Tussock,T1,4,1,area match100005.spu,NA,Greenseeker,0.7252983699133321
Unispec-SC,Tussock,T1,4,1,area match100005.spu,NA,MODIS,0.7329997260745934
Unispec-SC,Tussock,T1,4,1,area match100005.spu,NA,RapidSCAN,0.7416122370695769
Unispec-SC,Tussock,T1,4,1,area match100005.spu,NA,ToolikEDC,0.7110589593324018
Unispec-SC,Tussock,T1,5,1,area match100006.spu,NA,Greenseeker,0.72408077903405
Unispec-SC,Tussock,T1,5,1,area match100006.spu,NA,MODIS,0.7324055403562123
Unispec-SC,Tussock,T1,5,1,area match100006.spu,NA,RapidSCAN,0.7410338662179218
Unispec-SC,Tussock,T1,5,1,area match100006.spu,NA,ToolikEDC,0.7105691845998021
Unispec-SC,Tussock,T1,6,1,area match100007.spu,NA,Greenseeker,0.7232769939353522
Unispec-SC,Tussock,T1,6,1,area match100007.spu,NA,MODIS,0.7312305598224574
Unispec-SC,Tussock,T1,6,1,area match100007.spu,NA,RapidSCAN,0.7393951131676474
Unispec-SC,Tussock,T1,6,1,area match100007.spu,NA,ToolikEDC,0.7093873958526586
Unispec-SC,Tussock,T1,7,1,area match100008.spu,NA,Greenseeker,0.724338980925662
Unispec-SC,Tussock,T1,7,1,area match100008.spu,NA,MODIS,0.7325488325590931
Unispec-SC,Tussock,T1,7,1,area match100008.spu,NA,RapidSCAN,0.740910702793575
Unispec-SC,Tussock,T1,7,1,area match100008.spu,NA,ToolikEDC,0.7107549993499565
Unispec-SC,Tussock,T1,8,1,area match100009.spu,NA,Greenseeker,0.7250204734133431
Unispec-SC,Tussock,T1,8,1,area match100009.spu,NA,MODIS,0.7333079256977586
Unispec-SC,Tussock,T1,8,1,area match100009.spu,NA,RapidSCAN,0.7416421770461441
Unispec-SC,Tussock,T1,8,1,area match100009.spu,NA,ToolikEDC,0.7116068199861515
Unispec-SC,Tussock,T1,9,1,area match100010.spu,NA,Greenseeker,0.724605983136576
Unispec-SC,Tussock,T1,9,1,area match100010.spu,NA,MODIS,0.7329811029455404
Unispec-SC,Tussock,T1,9,1,area match100010.spu,NA,RapidSCAN,0.7413291257609324
Unispec-SC,Tussock,T1,9,1,area match100010.spu,NA,ToolikEDC,0.711290874471525
Unispec-SC,Tussock,T2,1,1,area match300001.spu,NA,Greenseeker,0.6400950359196412
Unispec-SC,Tussock,T2,1,1,area match300001.spu,NA,MODIS,0.6614289116493146
Unispec-SC,Tussock,T2,1,1,area match300001.spu,NA,RapidSCAN,0.6556019989120416
Unispec-SC,Tussock,T2,1,1,area match300001.spu,NA,ToolikEDC,0.647009029665532
Unispec-SC,Tussock,T2,2,1,area match300002.spu,NA,Greenseeker,0.6424114328905562
Unispec-SC,Tussock,T2,2,1,area match300002.spu,NA,MODIS,0.6635112554180294
Unispec-SC,Tussock,T2,2,1,area match300002.spu,NA,RapidSCAN,0.658594546613895
Unispec-SC,Tussock,T2,2,1,area match300002.spu,NA,ToolikEDC,0.6488686415301265
Unispec-SC,Tussock,T2,3,1,area match300003.spu,NA,Greenseeker,0.6444756473118761
Unispec-SC,Tussock,T2,3,1,area match300003.spu,NA,MODIS,0.6647533093668594
Unispec-SC,Tussock,T2,3,1,area match300003.spu,NA,RapidSCAN,0.6596783151658635
Unispec-SC,Tussock,T2,3,1,area match300003.spu,NA,ToolikEDC,0.6500095256276214
Unispec-SC,Tussock,T2,4,1,area match300004.spu,NA,Greenseeker,0.6439412824096507
Unispec-SC,Tussock,T2,4,1,area match300004.spu,NA,MODIS,0.6645531724024888
Unispec-SC,Tussock,T2,4,1,area match300004.spu,NA,RapidSCAN,0.6589452877126186
Unispec-SC,Tussock,T2,4,1,area match300004.spu,NA,ToolikEDC,0.6498037290220265
Unispec-SC,Tussock,T2,5,1,area match300005.spu,NA,Greenseeker,0.6444852190500697
Unispec-SC,Tussock,T2,5,1,area match300005.spu,NA,MODIS,0.6649554074571117
Unispec-SC,Tussock,T2,5,1,area match300005.spu,NA,RapidSCAN,0.6595775706385795
Unispec-SC,Tussock,T2,5,1,area match300005.spu,NA,ToolikEDC,0.650051056930288
Unispec-SC,Tussock,T2,6,1,area match300006.spu,NA,Greenseeker,0.645531908947361
Unispec-SC,Tussock,T2,6,1,area match300006.spu,NA,MODIS,0.6659126932785787
Unispec-SC,Tussock,T2,6,1,area match300006.spu,NA,RapidSCAN,0.6609131481113126
Unispec-SC,Tussock,T2,6,1,area match300006.spu,NA,ToolikEDC,0.6511383442163601
Unispec-SC,Tussock,T2,7,1,area match300007.spu,NA,Greenseeker,0.6456192339949678
Unispec-SC,Tussock,T2,7,1,area match300007.spu,NA,MODIS,0.6660312608944069
Unispec-SC,Tussock,T2,7,1,area match300007.spu,NA,RapidSCAN,0.6604556025666172
Unispec-SC,Tussock,T2,7,1,area match300007.spu,NA,ToolikEDC,0.651103218577105
Unispec-SC,Tussock,T2,8,1,area match300008.spu,NA,Greenseeker,0.6460529397985476
Unispec-SC,Tussock,T2,8,1,area match300008.spu,NA,MODIS,0.6665957808687532
Unispec-SC,Tussock,T2,8,1,area match300008.spu,NA,RapidSCAN,0.6613494600818262
Unispec-SC,Tussock,T2,8,1,area match300008.spu,NA,ToolikEDC,0.6517278555002931
Unispec-SC,Tussock,T2,9,1,area match300009.spu,NA,Greenseeker,0.6465396524310302
Unispec-SC,Tussock,T2,9,1,area match300009.spu,NA,MODIS,0.6671403146210966
Unispec-SC,Tussock,T2,9,1,area match300009.spu,NA,RapidSCAN,0.6620466071233766
Unispec-SC,Tussock,T2,9,1,area match300009.spu,NA,ToolikEDC,0.6521081458028948
Unispec-SC,Tussock,T2,10,1,area match300010.spu,NA,Greenseeker,0.6455446317538742
Unispec-SC,Tussock,T2,10,1,area match300010.spu,NA,MODIS,0.6663263282339861
Unispec-SC,Tussock,T2,10,1,area match300010.spu,NA,RapidSCAN,0.6614021108548264
Unispec-SC,Tussock,T2,10,1,area match300010.spu,NA,ToolikEDC,0.6513128358525365
Unispec-SC,Tussock,T3,1,1,area match500001.spu,NA,Greenseeker,0.61159423832601
Unispec-SC,Tussock,T3,1,1,area match500001.spu,NA,MODIS,0.6312837370644296
Unispec-SC,Tussock,T3,1,1,area match500001.spu,NA,RapidSCAN,0.6254958357455072
Unispec-SC,Tussock,T3,1,1,area match500001.spu,NA,ToolikEDC,0.6124819214078945
Unispec-SC,Tussock,T3,2,1,area match500002.spu,NA,Greenseeker,0.6114245847664044
Unispec-SC,Tussock,T3,2,1,area match500002.spu,NA,MODIS,0.6311412148646212
Unispec-SC,Tussock,T3,2,1,area match500002.spu,NA,RapidSCAN,0.6250663150308959
Unispec-SC,Tussock,T3,2,1,area match500002.spu,NA,ToolikEDC,0.6124776090979704
