spu_filename,DateTime,Site,Date,Block,Treatment,Replicate,Location,Notes,Weather,definition,band,average_reflectance,AK_Time
2019-07-12_DHT_00011.spu,2019-07-12T18:47:37Z,DHT,2019-07-12,B1,NP,1,5,NA,"Variable cloud cover, mostly in block 1. Otherwise, fairly consistent.",ToolikGIS_MicaSense_2019,blue,NA,2019-07-12T18:47:37Z
2019-07-12_DHT_00011.spu,2019-07-12T18:47:37Z,DHT,2019-07-12,B1,NP,1,5,NA,"Variable cloud cover, mostly in block 1. Otherwise, fairly consistent.",ToolikGIS_MicaSense_2019,green,NA,2019-07-12T18:47:37Z
2019-07-12_DHT_00011.spu,2019-07-12T18:47:37Z,DHT,2019-07-12,B1,NP,1,5,NA,"Variable cloud cover, mostly in block 1. Otherwise, fairly consistent.",ToolikGIS_MicaSense_2019,nir,NA,2019-07-12T18:47:37Z
2019-07-12_DHT_00011.spu,2019-07-12T18:47:37Z,DHT,2019-07-12,B1,NP,1,5,NA,"Variable cloud cover, mostly in block 1. Otherwise, fairly consistent.",ToolikGIS_MicaSense_2019,red,NA,2019-07-12T18:47:37Z
2019-07-12_DHT_00011.spu,2019-07-12T18:47:37Z,DHT,2019-07-12,B1,NP,1,5,NA,"Variable cloud cover, mostly in block 1. Otherwise, fairly consistent.",ToolikGIS_MicaSense_2019,red_edge,NA,2019-07-12T18:47:37Z
2019-07-12_DHT_00012.spu,2019-07-12T18:47:52Z,DHT,2019-07-12,B1,NP,2,6.25,NA,NA,ToolikGIS_MicaSense_2019,blue,NA,2019-07-12T18:47:52Z
2019-07-12_DHT_00012.spu,2019-07-12T18:47:52Z,DHT,2019-07-12,B1,NP,2,6.25,NA,NA,ToolikGIS_MicaSense_2019,green,NA,2019-07-12T18:47:52Z
2019-07-12_DHT_00012.spu,2019-07-12T18:47:52Z,DHT,2019-07-12,B1,NP,2,6.25,NA,NA,ToolikGIS_MicaSense_2019,nir,NA,2019-07-12T18:47:52Z
2019-07-12_DHT_00012.spu,2019-07-12T18:47:52Z,DHT,2019-07-12,B1,NP,2,6.25,NA,NA,ToolikGIS_MicaSense_2019,red,NA,2019-07-12T18:47:52Z
2019-07-12_DHT_00012.spu,2019-07-12T18:47:52Z,DHT,2019-07-12,B1,NP,2,6.25,NA,NA,ToolikGIS_MicaSense_2019,red_edge,NA,2019-07-12T18:47:52Z
2019-07-12_DHT_00013.spu,2019-07-12T18:48:03Z,DHT,2019-07-12,B1,NP,3,7.5,NA,NA,ToolikGIS_MicaSense_2019,blue,NA,2019-07-12T18:48:03Z
2019-07-12_DHT_00013.spu,2019-07-12T18:48:03Z,DHT,2019-07-12,B1,NP,3,7.5,NA,NA,ToolikGIS_MicaSense_2019,green,NA,2019-07-12T18:48:03Z
2019-07-12_DHT_00013.spu,2019-07-12T18:48:03Z,DHT,2019-07-12,B1,NP,3,7.5,NA,NA,ToolikGIS_MicaSense_2019,nir,NA,2019-07-12T18:48:03Z
2019-07-12_DHT_00013.spu,2019-07-12T18:48:03Z,DHT,2019-07-12,B1,NP,3,7.5,NA,NA,ToolikGIS_MicaSense_2019,red,NA,2019-07-12T18:48:03Z
2019-07-12_DHT_00013.spu,2019-07-12T18:48:03Z,DHT,2019-07-12,B1,NP,3,7.5,NA,NA,ToolikGIS_MicaSense_2019,red_edge,NA,2019-07-12T18:48:03Z
2019-07-12_DHT_00014.spu,2019-07-12T18:48:11Z,DHT,2019-07-12,B1,NP,4,8.75,NA,NA,ToolikGIS_MicaSense_2019,blue,NA,2019-07-12T18:48:11Z
2019-07-12_DHT_00014.spu,2019-07-12T18:48:11Z,DHT,2019-07-12,B1,NP,4,8.75,NA,NA,ToolikGIS_MicaSense_2019,green,NA,2019-07-12T18:48:11Z
2019-07-12_DHT_00014.spu,2019-07-12T18:48:11Z,DHT,2019-07-12,B1,NP,4,8.75,NA,NA,ToolikGIS_MicaSense_2019,nir,NA,2019-07-12T18:48:11Z
2019-07-12_DHT_00014.spu,2019-07-12T18:48:11Z,DHT,2019-07-12,B1,NP,4,8.75,NA,NA,ToolikGIS_MicaSense_2019,red,NA,2019-07-12T18:48:11Z
2019-07-12_DHT_00014.spu,2019-07-12T18:48:11Z,DHT,2019-07-12,B1,NP,4,8.75,NA,NA,ToolikGIS_MicaSense_2019,red_edge,NA,2019-07-12T18:48:11Z
2019-07-12_DHT_00015.spu,2019-07-12T18:48:22Z,DHT,2019-07-12,B1,NP,5,10,NA,NA,ToolikGIS_MicaSense_2019,blue,NA,2019-07-12T18:48:22Z
2019-07-12_DHT_00015.spu,2019-07-12T18:48:22Z,DHT,2019-07-12,B1,NP,5,10,NA,NA,ToolikGIS_MicaSense_2019,green,NA,2019-07-12T18:48:22Z
2019-07-12_DHT_00015.spu,2019-07-12T18:48:22Z,DHT,2019-07-12,B1,NP,5,10,NA,NA,ToolikGIS_MicaSense_2019,nir,NA,2019-07-12T18:48:22Z
2019-07-12_DHT_00015.spu,2019-07-12T18:48:22Z,DHT,2019-07-12,B1,NP,5,10,NA,NA,ToolikGIS_MicaSense_2019,red,NA,2019-07-12T18:48:22Z
2019-07-12_DHT_00015.spu,2019-07-12T18:48:22Z,DHT,2019-07-12,B1,NP,5,10,NA,NA,ToolikGIS_MicaSense_2019,red_edge,NA,2019-07-12T18:48:22Z
2019-07-12_DHT_00016.spu,2019-07-12T18:48:30Z,DHT,2019-07-12,B1,NP,6,11.25,NA,NA,ToolikGIS_MicaSense_2019,blue,NA,2019-07-12T18:48:30Z
2019-07-12_DHT_00016.spu,2019-07-12T18:48:30Z,DHT,2019-07-12,B1,NP,6,11.25,NA,NA,ToolikGIS_MicaSense_2019,green,NA,2019-07-12T18:48:30Z
2019-07-12_DHT_00016.spu,2019-07-12T18:48:30Z,DHT,2019-07-12,B1,NP,6,11.25,NA,NA,ToolikGIS_MicaSense_2019,nir,NA,2019-07-12T18:48:30Z
2019-07-12_DHT_00016.spu,2019-07-12T18:48:30Z,DHT,2019-07-12,B1,NP,6,11.25,NA,NA,ToolikGIS_MicaSense_2019,red,NA,2019-07-12T18:48:30Z
2019-07-12_DHT_00016.spu,2019-07-12T18:48:30Z,DHT,2019-07-12,B1,NP,6,11.25,NA,NA,ToolikGIS_MicaSense_2019,red_edge,NA,2019-07-12T18:48:30Z
2019-07-12_DHT_00017.spu,2019-07-12T18:48:38Z,DHT,2019-07-12,B1,NP,7,12.5,NA,NA,ToolikGIS_MicaSense_2019,blue,NA,2019-07-12T18:48:38Z
2019-07-12_DHT_00017.spu,2019-07-12T18:48:38Z,DHT,2019-07-12,B1,NP,7,12.5,NA,NA,ToolikGIS_MicaSense_2019,green,NA,2019-07-12T18:48:38Z
2019-07-12_DHT_00017.spu,2019-07-12T18:48:38Z,DHT,2019-07-12,B1,NP,7,12.5,NA,NA,ToolikGIS_MicaSense_2019,nir,NA,2019-07-12T18:48:38Z
2019-07-12_DHT_00017.spu,2019-07-12T18:48:38Z,DHT,2019-07-12,B1,NP,7,12.5,NA,NA,ToolikGIS_MicaSense_2019,red,NA,2019-07-12T18:48:38Z
2019-07-12_DHT_00017.spu,2019-07-12T18:48:38Z,DHT,2019-07-12,B1,NP,7,12.5,NA,NA,ToolikGIS_MicaSense_2019,red_edge,NA,2019-07-12T18:48:38Z
