filename,Date,Site,FileNum,Block,Treatment,Measurement,int,Weather,Notes,n_maxed
UnispecData/2017/spu/2017-06-19/HST_00003.spu,2017-06-19,HST,3,"B1, B2, B3, B4",REF,2,50,NA,NA,7
UnispecData/2017/spu/2017-06-19/HST_00046.spu,2017-06-19,HST,46,B2,CT,2,80,NA,NA,19
UnispecData/2017/spu/2017-07-04/LMAT_00073.spu,2017-07-04,LMAT,73,B2,NH4,3,70,NA,NA,11
UnispecData/2017/spu/2017-07-04/LMAT_00074.spu,2017-07-04,LMAT,74,B2,NH4,4,70,NA,NA,10
UnispecData/2017/spu/2017-07-04/LMAT_00075.spu,2017-07-04,LMAT,75,B2,NH4,5,70,NA,NA,8
UnispecData/2017/spu/2017-07-04/LMAT_00076.spu,2017-07-04,LMAT,76,B2,F10,1,70,NA,NA,5
UnispecData/2017/spu/2017-07-04/LMAT_00077.spu,2017-07-04,LMAT,77,B2,F10,2,70,NA,NA,9
UnispecData/2017/spu/2017-07-04/LMAT_00078.spu,2017-07-04,LMAT,78,B2,F10,3,70,NA,NA,6
UnispecData/2017/spu/2017-07-04/LMAT_00079.spu,2017-07-04,LMAT,79,B2,F10,4,70,NA,NA,9
UnispecData/2017/spu/2017-07-06/DHT_00005.ref.spu,2017-07-06,DHT,5,"B1, B2, B3",REF,3,90,NA,NA,5
UnispecData/2017/spu/2017-07-06/DHT_00017.spu,2017-07-06,DHT,17,B1,P,3,90,NA,NA,8
UnispecData/2017/spu/2017-07-06/DHT_00067.spu,2017-07-06,DHT,67,B2,EXCT-LF,3,90,NA,NA,21
UnispecData/2017/spu/2017-07-06/DHT_00068.spu,2017-07-06,DHT,68,B2,EXCT-LF,4,90,NA,NA,11
UnispecData/2017/spu/2017-07-06/DHT_00091.spu,2017-07-06,DHT,91,B2,EXNP-LF,2,90,NA,NA,41
UnispecData/2017/spu/2017-07-06/DHT_00092.spu,2017-07-06,DHT,92,B2,EXNP-LF,3,90,NA,NA,48
UnispecData/2017/spu/2017-07-06/DHT_00093.spu,2017-07-06,DHT,93,B2,EXNP-LF,4,90,NA,NA,19
UnispecData/2017/spu/2017-07-06/DHT_00095.spu,2017-07-06,DHT,95,B2,EXNP-SF,1,90,NA,NA,50
UnispecData/2017/spu/2017-07-06/DHT_00096.spu,2017-07-06,DHT,96,B2,EXNP-SF,2,90,NA,NA,54
