LMAT_00003_ref.spu,
Wavelength,LMAT_00005_B1_F2.spu,LMAT_00006_B1_F2.spu,LMAT_00007_B1_F2.spu,LMAT_00008_B1_F2.spu,LMAT_00009_B1_F2.spu,LMAT_00010_B1 _H.spu,LMAT_00011_B1 _H.spu,LMAT_00012_B1 _H.spu,LMAT_00013_B1 _H.spu,LMAT_00014_B1 _H.spu,LMAT_00015_B1_F5.spu,LMAT_00016_B1_F5.spu,LMAT_00017_B1_F5.spu,LMAT_00018_B1_F5.spu,LMAT_00019_B1_F5.spu,LMAT_00020_B1_F10.spu,LMAT_00021_B1_F10.spu,LMAT_00022_B1_F10.spu,LMAT_00023_B1_F10.spu,LMAT_00024_B1_F10.spu,LMAT_00025_B1_X.spu,LMAT_00026_B1_X.spu,LMAT_00027_B1_X.spu,LMAT_00028_B1_X.spu,LMAT_00029_B1_X.spu,LMAT_00030_B1_F1.spu,LMAT_00031_B1_F1.spu,LMAT_00032_B1_F1.spu,LMAT_00033_B1_F1.spu,LMAT_00034_B1_F1.spu,LMAT_00035_B1_CT.spu,LMAT_00036_B1_CT.spu,LMAT_00037_B1_CT.spu,LMAT_00038_B1_CT.spu,LMAT_00039_B1_CT.spu,LMAT_00040_B1_NO3.spu,LMAT_00041_B1_NO3.spu,LMAT_00042_B1_NO3.spu,LMAT_00043_B1_NO3.spu,LMAT_00044_B1_NO3.spu,LMAT_00045_B1_NH4.spu,LMAT_00046_B1_NH4.spu,LMAT_00047_B1_NH4.spu,LMAT_00048_B1_NH4.spu,LMAT_00049_B1_NH4.spu,LMAT_00050_B1_F0.5.spu,LMAT_00051_B1_F0.5.spu,LMAT_00052_B1_F0.5.spu,LMAT_00053_B1_F0.5.spu,LMAT_00054_B1_F0.5.spu,LMAT_00055_B2_F5.spu,LMAT_00056_B2_F5.spu,LMAT_00057_B2_F5.spu,LMAT_00058_B2_F5.spu,LMAT_00059_B2_F5.spu,LMAT_00060_B2_CT.spu,LMAT_00061_B2_CT.spu,LMAT_00062_B2_CT.spu,LMAT_00063_B2_CT.spu,LMAT_00064_B2_CT.spu,LMAT_00065_B2_F0.5.spu,LMAT_00066_B2_F0.5.spu,LMAT_00067_B2_F0.5.spu,LMAT_00068_B2_F0.5.spu,LMAT_00069_B2_F0.5.spu
  (nm),6/8/2017 3,6/8/2017 3,6/8/2017 3,6/8/2017 3,6/8/2017 3,6/8/2017 3,6/8/2017 3,6/8/2017 3,6/8/2017 3,6/8/2017 3,6/8/2017 3,6/8/2017 3,6/8/2017 3,6/8/2017 3,6/8/2017 3,6/8/2017 3,6/8/2017 3,6/8/2017 3,6/8/2017 3,6/8/2017 3,6/8/2017 3,6/8/2017 3,6/8/2017 3,6/8/2017 3,6/8/2017 3,6/8/2017 3,6/8/2017 3,6/8/2017 3,6/8/2017 3,6/8/2017 3,6/8/2017 3,6/8/2017 3,6/8/2017 3,6/8/2017 3,6/8/2017 3,6/8/2017 3,6/8/2017 3,6/8/2017 3,6/8/2017 3,6/8/2017 3,6/8/2017 3,6/8/2017 3,6/8/2017 3,6/8/2017 3,6/8/2017 3,6/8/2017 4,6/8/2017 4,6/8/2017 4,6/8/2017 4,6/8/2017 4,6/8/2017 4,6/8/2017 4,6/8/2017 4,6/8/2017 4,6/8/2017 4,6/8/2017 4,6/8/2017 4,6/8/2017 4,6/8/2017 4,6/8/2017 4,6/8/2017 4,6/8/2017 4,6/8/2017 4,6/8/2017 4,6/8/2017 4
  time  ,7:08 PM",7:22 PM",7:32 PM",7:40 PM",7:51 PM",8:22 PM",8:34 PM",8:45 PM",8:54 PM",9:07 PM",9:42 PM",9:57 PM",0:14 PM",0:23 PM",0:34 PM",0:57 PM",1:08 PM",1:19 PM",1:32 PM",1:41 PM",2:07 PM",2:21 PM",2:29 PM",2:38 PM",2:49 PM",3:36 PM",3:46 PM",3:57 PM",4:11 PM",4:22 PM",6:16 PM",6:32 PM",6:43 PM",6:53 PM",7:06 PM",7:37 PM",7:48 PM",7:59 PM",8:06 PM",8:16 PM",8:44 PM",8:56 PM",9:05 PM",9:18 PM",9:34 PM",0:05 PM",0:21 PM",0:30 PM",0:41 PM",0:49 PM",7:02 PM",7:03 PM",7:24 PM",7:34 PM",7:44 PM",8:28 PM",8:39 PM",8:50 PM",8:59 PM",9:10 PM",9:48 PM",0:00 PM",0:10 PM",0:22 PM",0:35 PM"
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 400 , 0.03762 , 0.039349 , 0.036429 , 0.04118 , 0.058332 , 0.044415 , 0.03586 , 0.026999 , 0.032614 , 0.036144 , 0.02822 , 0.050478 , 0.039776 , 0.034466 , 0.033571 , 0.03238 , 0.059817 , 0.033886 , 0.068372 , 0.040437 , 0.032096 , 0.043021 , 0.043703 , 0.034374 , 0.039786 , 0.054669 , 0.042492 , 0.036745 , 0.047701 , 0.051292 , 0.032869 , 0.046928 , 0.030142 , 0.035168 , 0.041607 , 0.035483 , 0.040895 , 0.028708 , 0.034222 , 0.041282 , 0.027152 , 0.029034 , 0.026633 , 0.03234 , 0.033774 , 0.039858 , 0.035107 , 0.033327 , 0.034069 , 0.031414 , 0.058911 , 0.059237 , 0.028525 , 0.03529 , 0.045565 , 0.037141 , 0.037955 , 0.042391 , 0.058657 , 0.051017 , 0.04826 , 0.031984 , 0.041231 , 0.042564 , 0.04234 
 401 , 0.037813 , 0.039531 , 0.036551 , 0.041424 , 0.058701 , 0.044621 , 0.036055 , 0.027126 , 0.032568 , 0.03623 , 0.028368 , 0.050932 , 0.040048 , 0.034565 , 0.033789 , 0.032568 , 0.060357 , 0.034161 , 0.069016 , 0.040824 , 0.032206 , 0.043162 , 0.043876 , 0.034492 , 0.040079 , 0.055039 , 0.042841 , 0.036862 , 0.048107 , 0.051563 , 0.033044 , 0.04729 , 0.03022 , 0.035351 , 0.042169 , 0.035661 , 0.041124 , 0.028761 , 0.03442 , 0.041486 , 0.027271 , 0.029216 , 0.026764 , 0.032351 , 0.03381 , 0.040131 , 0.035258 , 0.033396 , 0.034172 , 0.031378 , 0.059332 , 0.059622 , 0.028657 , 0.035465 , 0.045945 , 0.037193 , 0.037937 , 0.04249 , 0.058898 , 0.051418 , 0.048521 , 0.03202 , 0.041176 , 0.042531 , 0.042428 
 402 , 0.037972 , 0.039694 , 0.03667 , 0.041636 , 0.059032 , 0.044796 , 0.036229 , 0.027243 , 0.032524 , 0.036303 , 0.028503 , 0.051326 , 0.040282 , 0.034644 , 0.033983 , 0.032723 , 0.060827 , 0.034403 , 0.069593 , 0.041164 , 0.032303 , 0.043284 , 0.044019 , 0.034592 , 0.040345 , 0.055368 , 0.043148 , 0.036954 , 0.048481 , 0.051798 , 0.033206 , 0.047599 , 0.030287 , 0.035505 , 0.042654 , 0.035831 , 0.041321 , 0.028807 , 0.034602 , 0.041678 , 0.027379 , 0.029374 , 0.026876 , 0.032366 , 0.033846 , 0.040366 , 0.035379 , 0.033468 , 0.034266 , 0.031337 , 0.059693 , 0.059955 , 0.028786 , 0.035621 , 0.046276 , 0.037248 , 0.03792 , 0.04257 , 0.059116 , 0.051777 , 0.048764 , 0.032051 , 0.041122 , 0.042507 , 0.042507 
 403 , 0.038251 , 0.039849 , 0.036791 , 0.041895 , 0.059486 , 0.044953 , 0.036344 , 0.027308 , 0.032636 , 0.036461 , 0.02863 , 0.051761 , 0.040616 , 0.034756 , 0.034277 , 0.032966 , 0.061393 , 0.034735 , 0.070183 , 0.041543 , 0.032476 , 0.043504 , 0.044196 , 0.034777 , 0.040702 , 0.055725 , 0.04345 , 0.037249 , 0.048789 , 0.052081 , 0.033499 , 0.047904 , 0.03043 , 0.035672 , 0.043195 , 0.036045 , 0.041586 , 0.028885 , 0.034884 , 0.041906 , 0.027532 , 0.029567 , 0.026978 , 0.032465 , 0.033882 , 0.040702 , 0.035608 , 0.033627 , 0.034426 , 0.031474 , 0.060189 , 0.060424 , 0.028907 , 0.035854 , 0.046711 , 0.037484 , 0.038048 , 0.042715 , 0.059486 , 0.052177 , 0.04914 , 0.032178 , 0.041224 , 0.042598 , 0.042577 
 404 , 0.038551 , 0.039986 , 0.036911 , 0.042155 , 0.059968 , 0.045111 , 0.036436 , 0.027362 , 0.0328 , 0.036641 , 0.028743 , 0.052189 , 0.040968 , 0.034872 , 0.034602 , 0.033221 , 0.061965 , 0.035077 , 0.070758 , 0.041928 , 0.032671 , 0.043752 , 0.044367 , 0.034991 , 0.041076 , 0.056073 , 0.043741 , 0.037591 , 0.049071 , 0.052362 , 0.033815 , 0.048175 , 0.030588 , 0.035832 , 0.043709 , 0.036264 , 0.041864 , 0.028981 , 0.035185 , 0.042144 , 0.027686 , 0.029768 , 0.027082 , 0.032595 , 0.033922 , 0.041044 , 0.035865 , 0.033815 , 0.034591 , 0.031667 , 0.060702 , 0.060907 , 0.029024 , 0.036091 , 0.04715 , 0.037774 , 0.038206 , 0.042878 , 0.059882 , 0.052567 , 0.049546 , 0.032336 , 0.041356 , 0.042705 , 0.042651 
 405 , 0.038836 , 0.040124 , 0.037024 , 0.042405 , 0.060415 , 0.045243 , 0.036522 , 0.027408 , 0.032941 , 0.036805 , 0.028859 , 0.052588 , 0.041302 , 0.034983 , 0.034895 , 0.033454 , 0.062499 , 0.035397 , 0.071286 , 0.042274 , 0.032843 , 0.043987 , 0.044533 , 0.03519 , 0.041422 , 0.056398 , 0.044009 , 0.037908 , 0.049325 , 0.052621 , 0.034109 , 0.048441 , 0.030737 , 0.035987 , 0.044195 , 0.036467 , 0.04211 , 0.029067 , 0.035474 , 0.042361 , 0.027833 , 0.029951 , 0.027167 , 0.032712 , 0.033967 , 0.041379 , 0.036096 , 0.034 , 0.034742 , 0.031839 , 0.06119 , 0.061364 , 0.029143 , 0.036325 , 0.047568 , 0.038039 , 0.038355 , 0.043027 , 0.060262 , 0.052927 , 0.049914 , 0.032472 , 0.041488 , 0.04282 , 0.042721 
 406 , 0.039063 , 0.04021 , 0.037144 , 0.042669 , 0.060866 , 0.045382 , 0.036636 , 0.027494 , 0.033074 , 0.036978 , 0.028983 , 0.053036 , 0.041599 , 0.035125 , 0.035192 , 0.033725 , 0.06306 , 0.035754 , 0.071905 , 0.042658 , 0.033041 , 0.044224 , 0.044676 , 0.03539 , 0.041754 , 0.05673 , 0.044334 , 0.038202 , 0.04965 , 0.052914 , 0.03442 , 0.048746 , 0.030902 , 0.036162 , 0.044764 , 0.036691 , 0.04236 , 0.029148 , 0.035765 , 0.042581 , 0.027979 , 0.030152 , 0.027273 , 0.032832 , 0.034056 , 0.041654 , 0.036294 , 0.034188 , 0.034894 , 0.032004 , 0.061649 , 0.061836 , 0.02928 , 0.03657 , 0.047985 , 0.03828 , 0.038522 , 0.043187 , 0.060645 , 0.053322 , 0.050234 , 0.032644 , 0.04161 , 0.042956 , 0.042812 
 407 , 0.039246 , 0.040246 , 0.037311 , 0.042982 , 0.061354 , 0.045529 , 0.036799 , 0.027646 , 0.033207 , 0.037188 , 0.029159 , 0.053614 , 0.041859 , 0.035353 , 0.035487 , 0.034085 , 0.063734 , 0.036176 , 0.072719 , 0.043116 , 0.033263 , 0.044528 , 0.04485 , 0.035631 , 0.042093 , 0.057128 , 0.044762 , 0.038467 , 0.0501 , 0.05328 , 0.034764 , 0.049176 , 0.031105 , 0.036399 , 0.045495 , 0.036988 , 0.042615 , 0.029248 , 0.036087 , 0.042826 , 0.028147 , 0.030416 , 0.027413 , 0.032996 , 0.03423 , 0.041903 , 0.036476 , 0.034419 , 0.035075 , 0.032173 , 0.062132 , 0.062377 , 0.029493 , 0.036888 , 0.048443 , 0.038489 , 0.038756 , 0.043383 , 0.061087 , 0.053792 , 0.050478 , 0.032873 , 0.041737 , 0.04316 , 0.042971 
 408 , 0.039406 , 0.040281 , 0.037467 , 0.043284 , 0.061811 , 0.045672 , 0.036941 , 0.027784 , 0.033332 , 0.037378 , 0.029319 , 0.054156 , 0.042108 , 0.035573 , 0.035775 , 0.034419 , 0.064355 , 0.036582 , 0.073489 , 0.043553 , 0.033489 , 0.044809 , 0.044999 , 0.035854 , 0.042421 , 0.057496 , 0.045156 , 0.038723 , 0.050536 , 0.053618 , 0.035091 , 0.049583 , 0.031292 , 0.036616 , 0.046187 , 0.037255 , 0.042858 , 0.029342 , 0.036392 , 0.04306 , 0.028311 , 0.030664 , 0.027537 , 0.033153 , 0.034385 , 0.04213 , 0.036638 , 0.034643 , 0.035248 , 0.032334 , 0.062595 , 0.062875 , 0.029701 , 0.037176 , 0.048877 , 0.038678 , 0.038969 , 0.043565 , 0.061497 , 0.054234 , 0.050715 , 0.033096 , 0.041861 , 0.04334 , 0.043105 
 409 , 0.039559 , 0.040304 , 0.037617 , 0.043578 , 0.062252 , 0.045802 , 0.037087 , 0.02792 , 0.03344 , 0.037572 , 0.029478 , 0.054665 , 0.042337 , 0.035777 , 0.036048 , 0.034739 , 0.06495 , 0.036963 , 0.074219 , 0.043962 , 0.033689 , 0.045069 , 0.045148 , 0.036071 , 0.04272 , 0.057849 , 0.045532 , 0.038961 , 0.050939 , 0.053931 , 0.035405 , 0.049957 , 0.031465 , 0.036816 , 0.04683 , 0.037516 , 0.043093 , 0.029432 , 0.03668 , 0.043285 , 0.028461 , 0.0309 , 0.02766 , 0.033293 , 0.034535 , 0.042348 , 0.036805 , 0.034851 , 0.035405 , 0.032492 , 0.063019 , 0.063358 , 0.029884 , 0.037448 , 0.04928 , 0.038859 , 0.039175 , 0.043748 , 0.061879 , 0.054654 , 0.050928 , 0.033293 , 0.041987 , 0.043522 , 0.04324 
 410 , 0.039848 , 0.040562 , 0.03773 , 0.043949 , 0.062842 , 0.046089 , 0.03722 , 0.028125 , 0.033641 , 0.03773 , 0.029733 , 0.055264 , 0.042691 , 0.035986 , 0.036416 , 0.035034 , 0.065617 , 0.037368 , 0.074916 , 0.044492 , 0.033856 , 0.045319 , 0.04541 , 0.036393 , 0.043269 , 0.0583 , 0.045931 , 0.039305 , 0.051413 , 0.054267 , 0.035725 , 0.05036 , 0.031715 , 0.037016 , 0.047607 , 0.037798 , 0.043462 , 0.02962 , 0.037016 , 0.043665 , 0.028691 , 0.031251 , 0.027864 , 0.033494 , 0.03466 , 0.042703 , 0.037016 , 0.035091 , 0.035612 , 0.032724 , 0.063669 , 0.063918 , 0.030084 , 0.037764 , 0.049873 , 0.039203 , 0.039429 , 0.043926 , 0.062378 , 0.05523 , 0.051504 , 0.03355 , 0.042182 , 0.043654 , 0.043405 
 411 , 0.040114 , 0.040795 , 0.037841 , 0.044284 , 0.063386 , 0.046352 , 0.037352 , 0.028307 , 0.03383 , 0.037875 , 0.029989 , 0.05583 , 0.043011 , 0.036182 , 0.036761 , 0.035318 , 0.066239 , 0.03775 , 0.07558 , 0.044977 , 0.034 , 0.045557 , 0.045659 , 0.036705 , 0.043784 , 0.058716 , 0.046295 , 0.039636 , 0.051852 , 0.05458 , 0.036034 , 0.050739 , 0.031955 , 0.037205 , 0.048341 , 0.038057 , 0.043795 , 0.029784 , 0.03733 , 0.044011 , 0.028909 , 0.031568 , 0.028057 , 0.033693 , 0.034773 , 0.043034 , 0.037227 , 0.035318 , 0.035818 , 0.032955 , 0.064261 , 0.064443 , 0.030273 , 0.038057 , 0.050432 , 0.039523 , 0.03967 , 0.044091 , 0.062841 , 0.055761 , 0.052045 , 0.033773 , 0.042364 , 0.043773 , 0.043568 
 412 , 0.04036 , 0.04101 , 0.037944 , 0.044612 , 0.063908 , 0.046606 , 0.037465 , 0.028484 , 0.034 , 0.038012 , 0.030216 , 0.056352 , 0.043312 , 0.036359 , 0.037089 , 0.035584 , 0.066815 , 0.038103 , 0.076195 , 0.045444 , 0.034137 , 0.045774 , 0.045888 , 0.036986 , 0.044258 , 0.059098 , 0.046629 , 0.03995 , 0.052271 , 0.054881 , 0.036325 , 0.051086 , 0.032165 , 0.037374 , 0.049011 , 0.038297 , 0.04411 , 0.029954 , 0.037625 , 0.044349 , 0.02911 , 0.031869 , 0.028233 , 0.033875 , 0.034878 , 0.043346 , 0.03742 , 0.035527 , 0.035995 , 0.033157 , 0.06482 , 0.064946 , 0.030444 , 0.038331 , 0.05096 , 0.039813 , 0.039881 , 0.044235 , 0.06327 , 0.05626 , 0.052545 , 0.034 , 0.042537 , 0.043882 , 0.043711 
 413 , 0.040608 , 0.041214 , 0.038081 , 0.044931 , 0.064405 , 0.046817 , 0.0376 , 0.028612 , 0.03417 , 0.038172 , 0.030396 , 0.056869 , 0.043684 , 0.036571 , 0.037406 , 0.035874 , 0.067413 , 0.038458 , 0.076882 , 0.045891 , 0.03433 , 0.045983 , 0.046086 , 0.037292 , 0.044679 , 0.059522 , 0.046966 , 0.040276 , 0.052695 , 0.055223 , 0.036617 , 0.051506 , 0.03234 , 0.037612 , 0.049642 , 0.038561 , 0.04445 , 0.030087 , 0.037932 , 0.04461 , 0.029332 , 0.0321 , 0.028372 , 0.034067 , 0.034993 , 0.043741 , 0.0376 , 0.035748 , 0.036148 , 0.033335 , 0.065377 , 0.065492 , 0.030613 , 0.038607 , 0.051437 , 0.040093 , 0.040048 , 0.044416 , 0.063685 , 0.056721 , 0.052993 , 0.034215 , 0.042678 , 0.044096 , 0.043821 
