MAT_0001_ref.spu,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wavelength,MAT_0004_XXX_XXX.spu,MAT_0005_XXX_XXX.spu,MAT_0006_XXX_XXX.spu,MAT_0007_XXX_XXX.spu,MAT_0008_XXX_XXX.spu,MAT_0009_B2_P.spu,MAT_0010_B2_P.spu,MAT_0011_B2_P.spu,MAT_0012_B2_P.spu,MAT_0013_B2_P.spu,MAT_0014_B2_CT2.spu,MAT_0015_B2_CT2.spu,MAT_0016_B2_CT2.spu,MAT_0017_B2_CT2.spu,MAT_0018_B2_CT2.spu,MAT_0019_B2_CT1.spu,MAT_0020_B2_CT1.spu,MAT_0021_B2_CT1.spu,MAT_0022_B2_CT1.spu,MAT_0023_B2_CT1.spu,MAT_0024_B2_N.spu,MAT_0025_B2_N.spu,MAT_0026_B2_N.spu,MAT_0027_B2_N.spu,MAT_0028_B2_N.spu,MAT_0029_B2_NP.spu,MAT_0030_B2_NP.spu,MAT_0031_B2_NP.spu,MAT_0032_B2_NP.spu,MAT_0033_B2_NP.spu,MAT_0034_B4_N.spu,MAT_0035_B4_N.spu,MAT_0036_B4_N.spu,MAT_0037_B4_N.spu,MAT_0038_B4_N.spu,MAT_0039_B4_P.spu,MAT_0040_B4_P.spu,MAT_0041_B4_P.spu,MAT_0042_B4_P.spu,MAT_0043_B4_P.spu,MAT_0044_B4_CT2.spu,MAT_0045_B4_CT2.spu,MAT_0046_B4_CT2.spu,MAT_0047_B4_CT2.spu,MAT_0048_B4_CT2.spu,MAT_0049_B4_CT2-old.spu,MAT_0050_B4_CT2-old.spu,MAT_0051_B4_CT2-old.spu,MAT_0052_B4_CT2-old.spu,MAT_0053_B4_CT2-old.spu,MAT_0054_B4_CT1.spu,MAT_0055_B4_CT1.spu,MAT_0056_B4_CT1.spu,MAT_0057_B4_CT1.spu,MAT_0058_B4_CT1.spu,MAT_0059_B4_NP.spu,MAT_0060_B4_NP.spu,MAT_0061_B4_NP.spu,MAT_0062_B4_NP.spu,MAT_0063_B4_NP.spu,MAT_0064_B3_N.spu,MAT_0065_B3_N.spu,MAT_0066_B3_N.spu,MAT_0067_B3_N.spu,MAT_0068_B3_N.spu,MAT_0069_B3_Extra3.spu,MAT_0070_B3_Extra3.spu,MAT_0071_B3_Extra3.spu,MAT_0072_B3_Extra3.spu,MAT_0073_B3_Extra3.spu,MAT_0074_B3_CT2.spu,MAT_0075_B3_CT2.spu,MAT_0076_B3_CT2.spu,MAT_0077_B3_CT2.spu,MAT_0078_B3_CT2.spu,MAT_0079_B3_CT1.spu,MAT_0080_B3_CT1.spu,MAT_0081_B3_CT1.spu,MAT_0082_B3_CT1.spu,MAT_0083_B3_CT1.spu,MAT_0084_B3_NP.spu,MAT_0085_B3_NP.spu,MAT_0086_B3_NP.spu,MAT_0087_B3_NP.spu,MAT_0088_B3_NP.spu,MAT_0089_B3_P.spu,MAT_0090_B3_P.spu,MAT_0091_B3_P.spu,MAT_0092_B3_P.spu,MAT_0093_B3_P.spu,MAT_0094_B1_CT2.spu,MAT_0095_B1_CT2.spu,MAT_0096_B1_CT2.spu,MAT_0097_B1_CT2.spu,MAT_0098_B1_CT2.spu,MAT_0099_B2_NP.spu,MAT_0100_B2_NP.spu,MAT_0101_B2_NP.spu,MAT_0102_B2_NP.spu,MAT_0103_B2_NP.spu,MAT_0104_B3_N.spu,MAT_0105_B3_N.spu,MAT_0106_B3_N.spu,MAT_0107_B3_N.spu,MAT_0108_B3_N.spu,MAT_0109_B4_P.spu,MAT_0110_B4_P.spu,MAT_0111_B4_P.spu,MAT_0112_B4_P.spu,MAT_0113_B4_P.spu,MAT_0114_B5_CT1.spu,MAT_0115_B5_CT1.spu,MAT_0116_B5_CT1.spu,MAT_0117_B5_CT1.spu,MAT_0118_B5_CT1.spu
  (nm),6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 2,6/8/2017 3,6/8/2017 3,6/8/2017 3,6/8/2017 3,6/8/2017 3,6/8/2017 3,6/8/2017 3,6/8/2017 3,6/8/2017 3,6/8/2017 3
  time  ,"9:52 PM""","9:53 PM""","0:00 PM""","0:02 PM""","0:40 PM""","1:10 PM""","1:11 PM""","1:31 PM""","1:32 PM""","1:46 PM""","4:03 PM""","4:29 PM""","4:46 PM""","5:06 PM""","5:19 PM""","6:40 PM""","7:05 PM""","7:17 PM""","7:33 PM""","7:47 PM""","9:28 PM""","9:47 PM""","0:10 PM""","0:21 PM""","0:38 PM""","1:28 PM""","1:44 PM""","2:04 PM""","2:20 PM""","2:33 PM""","4:06 PM""","4:19 PM""","4:41 PM""","4:51 PM""","5:04 PM""","5:52 PM""","6:07 PM""","6:20 PM""","6:33 PM""","6:49 PM""","7:34 PM""","7:47 PM""","8:01 PM""","8:12 PM""","8:27 PM""","9:24 PM""","9:40 PM""","9:52 PM""","0:03 PM""","0:13 PM""","1:13 PM""","1:36 PM""","1:49 PM""","2:04 PM""","2:20 PM""","4:37 PM""","5:02 PM""","5:21 PM""","5:42 PM""","5:58 PM""","2:15 PM""","2:48 PM""","3:04 PM""","3:20 PM""","3:34 PM""","5:08 PM""","5:24 PM""","5:37 PM""","5:47 PM""","6:02 PM""","7:50 PM""","8:03 PM""","8:16 PM""","8:31 PM""","8:45 PM""","9:57 PM""","0:13 PM""","0:29 PM""","0:46 PM""","1:01 PM""","1:52 PM""","2:10 PM""","2:22 PM""","2:40 PM""","2:55 PM""","3:44 PM""","3:55 PM""","4:09 PM""","4:20 PM""","4:31 PM""","5:48 PM""","5:59 PM""","6:11 PM""","6:22 PM""","6:33 PM""","7:22 PM""","7:32 PM""","7:45 PM""","7:56 PM""","8:07 PM""","8:52 PM""","9:07 PM""","9:19 PM""","9:33 PM""","9:42 PM""","0:24 PM""","0:33 PM""","0:43 PM""","0:53 PM""","1:03 PM""","1:54 PM""","2:06 PM""","2:17 PM""","2:29 PM""","2:38 PM"""
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,0.022879,0.023184,0.024283,0.024201,0.026348,0.031658,0.031587,0.03473,0.034832,0.035097,0.037854,0.042798,0.030112,0.034018,0.040773,0.030173,0.037202,0.04762,0.023561,0.037854,0.037965,0.03707,0.051017,0.028606,0.030346,0.051048,0.042452,0.038342,0.058616,0.058718,0.037325,0.032035,0.041536,0.044954,0.026328,0.036043,0.034354,0.035473,0.035402,0.03177,0.024883,0.02647,0.031384,0.036673,0.026439,0.03352,0.023856,0.032513,0.038169,0.033723,0.03707,0.028942,0.030366,0.025148,0.027294,0.048973,0.041099,0.03703,0.047223,0.045575,0.032818,0.034385,0.030407,0.026775,0.031719,0.028769,0.034568,0.028352,0.046409,0.030661,0.026918,0.032482,0.019145,0.026216,0.03412,0.039817,0.037467,0.062706,0.042319,0.049827,0.029868,0.042574,0.044568,0.034781,0.040224,0.038403,0.039746,0.036602,0.03647,0.028016,0.048688,0.051017,0.032523,0.040855,0.026592,0.044964,0.038932,0.045829,0.045595,0.029654,0.034924,0.027304,0.039959,0.029278,0.025453,0.045656,0.031292,0.037162,0.036165,0.023886,0.042299,0.028728,0.03355,0.036653,0.035972
401,0.023174,0.023392,0.024519,0.024457,0.026568,0.031875,0.031854,0.034948,0.034999,0.035289,0.038155,0.043183,0.030354,0.034265,0.041052,0.030364,0.037534,0.047952,0.023671,0.038082,0.038134,0.037306,0.051304,0.028782,0.030458,0.051304,0.042614,0.0386,0.058774,0.058918,0.037627,0.032175,0.041755,0.04519,0.026443,0.036261,0.034648,0.035589,0.035589,0.031823,0.025119,0.026485,0.031502,0.036975,0.026547,0.033727,0.023909,0.032609,0.038382,0.033975,0.037462,0.028989,0.030468,0.025285,0.027375,0.049194,0.041248,0.037213,0.047455,0.045842,0.032941,0.034461,0.030478,0.026754,0.031699,0.028761,0.034699,0.028378,0.046452,0.030737,0.027002,0.032609,0.019129,0.026164,0.034213,0.039976,0.037617,0.062953,0.042572,0.050104,0.029847,0.042831,0.044641,0.034844,0.040358,0.038424,0.039851,0.036727,0.036468,0.028026,0.049173,0.051118,0.032578,0.041114,0.026609,0.045086,0.039055,0.045924,0.045759,0.02964,0.034958,0.027333,0.040182,0.029237,0.025554,0.046038,0.031337,0.037337,0.03621,0.023867,0.042624,0.028792,0.03353,0.036862,0.035961
402,0.023443,0.023579,0.024734,0.024692,0.026771,0.032072,0.032093,0.035127,0.035159,0.035463,0.038413,0.043526,0.03056,0.034476,0.04129,0.030539,0.037825,0.048239,0.023758,0.038277,0.038277,0.03751,0.051546,0.028944,0.03055,0.051536,0.042759,0.038833,0.058916,0.059095,0.037899,0.032303,0.041951,0.045405,0.02654,0.036439,0.034896,0.035694,0.035768,0.031862,0.025322,0.026487,0.0316,0.037248,0.026634,0.033909,0.023947,0.032692,0.038571,0.034203,0.037815,0.029038,0.03056,0.025406,0.027453,0.049384,0.041384,0.037363,0.047662,0.046077,0.033048,0.034539,0.030539,0.02675,0.031673,0.028755,0.034823,0.028408,0.046486,0.030802,0.027075,0.032723,0.019117,0.02612,0.034287,0.040114,0.037752,0.063168,0.042801,0.05035,0.029826,0.043064,0.044712,0.034907,0.040471,0.038445,0.039946,0.036838,0.03646,0.028041,0.049604,0.05121,0.032629,0.041353,0.026624,0.045205,0.039169,0.046003,0.045909,0.029626,0.034991,0.027369,0.040387,0.029206,0.025647,0.046371,0.031379,0.0375,0.036261,0.023863,0.042917,0.028849,0.033521,0.037048,0.035946
403,0.023579,0.023782,0.0249,0.024783,0.026967,0.032359,0.032359,0.03531,0.035321,0.035662,0.038805,0.043909,0.030803,0.034788,0.041607,0.030771,0.038198,0.048437,0.02392,0.038485,0.038549,0.037782,0.051942,0.029098,0.030782,0.051804,0.04295,0.039071,0.059113,0.059305,0.038304,0.032412,0.042087,0.045677,0.026765,0.036738,0.03514,0.03579,0.036045,0.031954,0.025529,0.026637,0.031783,0.037558,0.026797,0.034117,0.023995,0.032806,0.038805,0.0345,0.038283,0.029248,0.030803,0.025476,0.027628,0.04962,0.041586,0.037526,0.04784,0.046253,0.033232,0.034703,0.030729,0.026861,0.031741,0.028843,0.035022,0.028448,0.046562,0.030942,0.027223,0.032828,0.019211,0.026136,0.034426,0.040265,0.037985,0.063492,0.043067,0.050611,0.029898,0.043269,0.044846,0.035022,0.040638,0.038603,0.040105,0.037015,0.036546,0.028065,0.050184,0.051356,0.032838,0.041682,0.026701,0.045326,0.039348,0.046157,0.046008,0.029748,0.035161,0.027468,0.040595,0.02929,0.025731,0.046807,0.031538,0.037793,0.036397,0.023941,0.043216,0.028971,0.033637,0.03726,0.036024
404,0.023662,0.023985,0.025043,0.024827,0.027168,0.03266,0.032628,0.035476,0.035476,0.035865,0.03922,0.044302,0.031042,0.03512,0.041939,0.030998,0.038584,0.048596,0.024082,0.038681,0.038853,0.038055,0.052362,0.029251,0.031052,0.052081,0.043137,0.039296,0.059321,0.059526,0.038745,0.032509,0.042187,0.045953,0.027028,0.037062,0.035357,0.035875,0.036339,0.032045,0.025722,0.026812,0.03198,0.037871,0.026974,0.034322,0.02405,0.032919,0.039037,0.034807,0.038756,0.02951,0.031085,0.025517,0.027816,0.049859,0.04181,0.037677,0.047992,0.046395,0.033437,0.034904,0.030945,0.027017,0.031829,0.028959,0.035228,0.028506,0.046643,0.031096,0.027395,0.032919,0.019335,0.026176,0.03457,0.040407,0.038238,0.06382,0.043331,0.050862,0.029995,0.043471,0.045003,0.035152,0.040817,0.038799,0.040278,0.037192,0.036663,0.028107,0.050787,0.05152,0.033081,0.042015,0.026791,0.045435,0.039544,0.04632,0.046093,0.029909,0.035357,0.027589,0.040806,0.029412,0.025809,0.047258,0.031721,0.03812,0.036544,0.02405,0.043504,0.02911,0.033793,0.037472,0.036134
405,0.02374,0.024166,0.025181,0.024864,0.027342,0.032941,0.032876,0.035637,0.035627,0.036052,0.0396,0.044664,0.031271,0.03543,0.042241,0.031217,0.038934,0.048746,0.024231,0.038857,0.03913,0.038312,0.052763,0.029394,0.031293,0.052327,0.043311,0.039512,0.059509,0.059727,0.039152,0.032592,0.042274,0.046225,0.027277,0.037362,0.035572,0.035954,0.03662,0.032123,0.025912,0.026982,0.032156,0.038159,0.027135,0.034513,0.0241,0.033018,0.039261,0.035092,0.039207,0.029743,0.031359,0.025574,0.027997,0.050078,0.042012,0.03782,0.048135,0.046542,0.033629,0.035092,0.031151,0.027157,0.031915,0.029056,0.03543,0.028554,0.046716,0.031239,0.027549,0.033007,0.01944,0.026207,0.034699,0.040538,0.038475,0.064137,0.043573,0.051093,0.030082,0.04366,0.045144,0.035277,0.040975,0.038988,0.040429,0.037373,0.036762,0.028139,0.051344,0.051661,0.033324,0.042328,0.026873,0.045548,0.03972,0.046487,0.04617,0.03006,0.03555,0.027702,0.041008,0.029525,0.025879,0.047688,0.031894,0.038421,0.036685,0.024144,0.043769,0.02923,0.033935,0.037668,0.036227
