DHT_00004_ref.spu,DHT_00003_ref.spu,DHT_00002_ref.spu,
Wavelength,DHT_00005_B1_N.spu,DHT_00006_B1_N.spu,DHT_00007_B1_N.spu,DHT_00008_B1_N.spu,DHT_00009_B1_N.spu,DHT_00010_B1_CT1.spu,DHT_00011_B1_CT1.spu,DHT_00012_B1_CT1.spu,DHT_00013_B1_CT1.spu,DHT_00014_B1_CT1.spu,DHT_00015_B1_CT2.spu,DHT_00016_B1_CT2.spu,DHT_00017_B1_CT2.spu,DHT_00018_B1_CT2.spu,DHT_00019_B1_CT2.spu,DHT_00020_B1_P.spu,DHT_00021_B1_P.spu,DHT_00022_B1_P.spu,DHT_00023_B1_P.spu,DHT_00024_B1_P.spu,DHT_00025_B1_NP.spu,DHT_00026_B1_NP.spu,DHT_00027_B1_NP.spu,DHT_00028_B1_NP.spu,DHT_00029_B1_NP.spu,DHT_00030_B2_NP.spu,DHT_00031_B2_NP.spu,DHT_00032_B2_NP.spu,DHT_00033_B2_NP.spu,DHT_00034_B2_NP.spu,DHT_00035_B2_CT2.spu,DHT_00036_B2_CT2.spu,DHT_00037_B2_CT2.spu,DHT_00038_B2_CT2.spu,DHT_00039_B2_CT2.spu,DHT_00040_B2_CT1.spu,DHT_00041_B2_CT1.spu,DHT_00042_B2_CT1.spu,DHT_00043_B2_CT1.spu,DHT_00044_B2_CT1.spu,DHT_00045_B2_N.spu,DHT_00046_B2_N.spu,DHT_00047_B2_N.spu,DHT_00048_B2_N.spu,DHT_00049_B2_N.spu,DHT_00050_B2_P.spu,DHT_00051_B2_P.spu,DHT_00052_B2_P.spu,DHT_00053_B2_P.spu,DHT_00054_B2_P.spu,DHT_00055_B3_NP.spu,DHT_00056_B3_NP.spu,DHT_00057_B3_NP.spu,DHT_00058_B3_NP.spu,DHT_00059_B3_NP.spu,DHT_00060_B3_CT2.spu,DHT_00061_B3_CT2.spu,DHT_00062_B3_CT2.spu,DHT_00063_B3_CT2.spu,DHT_00064_B3_CT2.spu,DHT_00065_B3_CT1.spu,DHT_00066_B3_CT1.spu,DHT_00067_B3_CT1.spu,DHT_00068_B3_CT1.spu,DHT_00069_B3_CT1.spu,DHT_00070_B3_N.spu,DHT_00071_B3_N.spu,DHT_00072_B3_N.spu,DHT_00073_B3_N.spu,DHT_00074_B3_N.spu,DHT_00075_B3_P.spu,DHT_00076_B3_P.spu,DHT_00077_B3_P.spu,DHT_00078_B3_P.spu,DHT_00079_B3_P.spu
  (nm),6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 
  time  ,35:22 PM,35:34 PM,35:47 PM,35:57 PM,36:07 PM,37:07 PM,37:29 PM,37:49 PM,38:02 PM,38:14 PM,39:00 PM,39:11 PM,39:23 PM,39:38 PM,39:48 PM,41:05 PM,41:21 PM,41:34 PM,41:45 PM,41:58 PM,42:43 PM,42:58 PM,43:12 PM,43:22 PM,43:34 PM,48:04 PM,48:16 PM,48:29 PM,48:40 PM,48:50 PM,49:35 PM,49:46 PM,49:58 PM,50:11 PM,50:19 PM,51:18 PM,51:29 PM,51:46 PM,51:59 PM,52:08 PM,53:08 PM,53:19 PM,53:28 PM,53:40 PM,53:54 PM,55:10 PM,55:26 PM,55:37 PM,55:49 PM,55:58 PM,57:32 PM,57:44 PM,57:57 PM,58:06 PM,58:18 PM,59:12 PM,59:27 PM,59:39 PM,59:49 PM,59:59 PM,01:10 PM,01:22 PM,01:34 PM,01:43 PM,01:53 PM,02:40 PM,02:51 PM,03:02 PM,03:14 PM,03:23 PM,04:20 PM,04:32 PM,04:42 PM,04:52 PM,05:02 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 0.06179 , 0.056795 , 0.04439 , 0.035428 , 0.042631 , 0.038475 , 0.023603 , 0.028581 , 0.019436 , 0.021051 , 0.030979 , 0.026989 , 0.034818 , 0.036112 , 0.007553 , 0.033243 , 0.032513 , 0.00956 , 0.006881 , 0.039613 , 0.002432 , 0.063791 , 0 , 0.042521 , 0.057209 , 0.034042 , 0.041377 , 0.026477 , 0.01755 , 0.02262 , 0.002506 , 0 , 0 , 0 , 0.014802 , 0.007329 , 0.009772 , 0.009439 , 0.007393 , 0.01517 , 0.002472 , 0.002529 , 0.002495 , 0.038394 , 0.024316 , 0.004823 , 0.002483 , 0.004972 , 0.017056 , 0.01294 , 0.002455 , 0 , 0.005168 , 0.0159 , 0.002949 , 0.031024 , 0.031415 , 0.021413 , 0.006967 , 0.028576 , 0.027064 , 0.02984 , 0.015785 , 0.007398 , 0.033881 , 0.002432 , 0 , 0.007295 , 0.022132 , 0.00499 , 0.031588 , 0.030036 , 0.015049 , 0.041998 , 0.025535 
 311 , 0.058532 , 0.048086 , 0.039043 , 0.032006 , 0.033403 , 0.030658 , 0.015031 , 0.010904 , 0.008761 , 0.01444 , 0.023394 , 0.023642 , 0.031 , 0.034525 , 0.000889 , 0.033812 , 0.027167 , 0.007026 , 0.000801 , 0.034204 , 0.000282 , 0.05999 , 0 , 0.030829 , 0.054571 , 0.028537 , 0.03553 , 0.021273 , 0.008905 , 0.015705 , 0.000293 , 0 , 0 , 0 , 0.014169 , 0.006916 , 0.001143 , 0.001088 , 0.000862 , 0.008435 , 0.000287 , 0.000298 , 0.000287 , 0.040397 , 0.021008 , 0.000563 , 0.000287 , 0.000586 , 0.020411 , 0.002143 , 0.000287 , 0 , 0.000602 , 0.010098 , 0.000348 , 0.027559 , 0.027918 , 0.014765 , 0.000812 , 0.021676 , 0.016075 , 0.028349 , 0.008871 , 0.000873 , 0.028194 , 0.000287 , 0 , 0.000851 , 0.021234 , 0.000586 , 0.022239 , 0.022532 , 0.00843 , 0.042203 , 0.022383 
 312 , 0.057042 , 0.051657 , 0.0408 , 0.033308 , 0.037695 , 0.030117 , 0.015562 , 0.017194 , 0.012685 , 0.019666 , 0.026915 , 0.026261 , 0.03499 , 0.033273 , 0.008116 , 0.034336 , 0.03037 , 0.009291 , 0.00155 , 0.034032 , 0 , 0.058034 , 0.001601 , 0.032639 , 0.053394 , 0.03503 , 0.042579 , 0.023587 , 0.01497 , 0.021348 , 0.001641 , 0.001626 , 0 , 0.003313 , 0.01766 , 0.007862 , 0.003293 , 0.003166 , 0 , 0.010025 , 0 , 0 , 0.001611 , 0.042285 , 0.026616 , 0.003181 , 0.004681 , 0 , 0.022194 , 0.00692 , 0.007842 , 0 , 0.003379 , 0.016869 , 0 , 0.026429 , 0.033222 , 0.015714 , 0.003146 , 0.02652 , 0.025937 , 0.029078 , 0.013627 , 0.006565 , 0.029899 , 0.001601 , 0.001621 , 0.003181 , 0.025836 , 0.001636 , 0.02535 , 0.022822 , 0.014701 , 0.038698 , 0.023359 
 313 , 0.056001 , 0.056118 , 0.043187 , 0.035022 , 0.042912 , 0.030567 , 0.017153 , 0.025434 , 0.017846 , 0.025592 , 0.031293 , 0.029163 , 0.039379 , 0.03226 , 0.01593 , 0.034775 , 0.034199 , 0.011829 , 0.00306 , 0.034594 , 0 , 0.056583 , 0.003153 , 0.035798 , 0.052612 , 0.042047 , 0.049975 , 0.026522 , 0.021984 , 0.027657 , 0.003232 , 0.003218 , 0 , 0.0065 , 0.021128 , 0.008821 , 0.006514 , 0.006328 , 0 , 0.012471 , 0 , 0 , 0.003148 , 0.043912 , 0.032418 , 0.006319 , 0.009193 , 0 , 0.023458 , 0.012852 , 0.015451 , 0 , 0.006682 , 0.024095 , 0 , 0.025759 , 0.038923 , 0.017502 , 0.00624 , 0.032111 , 0.03703 , 0.029967 , 0.019096 , 0.012936 , 0.032292 , 0.003153 , 0.003194 , 0.006319 , 0.030456 , 0.003208 , 0.029591 , 0.024053 , 0.021747 , 0.035254 , 0.024671 
 314 , 0.055206 , 0.059716 , 0.045132 , 0.036473 , 0.047118 , 0.030883 , 0.018436 , 0.032186 , 0.02216 , 0.030544 , 0.034933 , 0.031494 , 0.043077 , 0.031421 , 0.022396 , 0.035148 , 0.037427 , 0.013969 , 0.004338 , 0.035088 , 0 , 0.055386 , 0.00445 , 0.03827 , 0.052002 , 0.047892 , 0.055928 , 0.028996 , 0.027835 , 0.03287 , 0.004562 , 0.004553 , 0 , 0.009141 , 0.024017 , 0.009609 , 0.009227 , 0.009063 , 0 , 0.014554 , 0 , 0 , 0.004411 , 0.045355 , 0.037199 , 0.008982 , 0.012929 , 0 , 0.024468 , 0.017718 , 0.021811 , 0 , 0.009468 , 0.030015 , 0 , 0.025186 , 0.043782 , 0.019008 , 0.008874 , 0.036774 , 0.046383 , 0.030698 , 0.023609 , 0.018256 , 0.034314 , 0.00445 , 0.004506 , 0.008982 , 0.034344 , 0.004514 , 0.033166 , 0.025075 , 0.02774 , 0.032358 , 0.025715 
 315 , 0.057056 , 0.060624 , 0.045448 , 0.037553 , 0.049181 , 0.032873 , 0.021815 , 0.036076 , 0.026855 , 0.034956 , 0.038872 , 0.034453 , 0.045234 , 0.033242 , 0.025996 , 0.037264 , 0.040788 , 0.018098 , 0.009245 , 0.037937 , 0.004676 , 0.055825 , 0.007372 , 0.039188 , 0.050096 , 0.051256 , 0.058545 , 0.032616 , 0.031571 , 0.036005 , 0.006267 , 0.006256 , 0.00268 , 0.013849 , 0.026531 , 0.010769 , 0.012571 , 0.012392 , 0.004775 , 0.016059 , 0.004126 , 0.002031 , 0.006671 , 0.049415 , 0.042613 , 0.012289 , 0.017836 , 0.004814 , 0.026859 , 0.022956 , 0.026147 , 0.002696 , 0.014297 , 0.031876 , 0.005626 , 0.029306 , 0.045939 , 0.023165 , 0.014166 , 0.040123 , 0.051165 , 0.033507 , 0.027022 , 0.021562 , 0.036761 , 0.00675 , 0.008845 , 0.013628 , 0.037458 , 0.008861 , 0.037601 , 0.029571 , 0.031508 , 0.032616 , 0.029552 
