SHB1_00004_SHB1_REF.spu,SHB1_00003_SHB1_REF.spu,SHB1_00002_SHB1_REF.spu,
Wavelength,SHB1_00005_B1_NP.spu,SHB1_00006_B1_NP.spu,SHB1_00007_B1_NP.spu,SHB1_00008_B1_NP.spu,SHB1_00009_B1_NP.spu,SHB1_00010_B1_NP-tall.spu,SHB1_00011_B1_NP-tall.spu,SHB1_00012_B1_NP-tall.spu,SHB1_00013_B1_NP-tall.spu,SHB1_00014_B1_NP-tall.spu,SHB1_00015_B1_P.spu,SHB1_00016_B1_P.spu,SHB1_00017_B1_P.spu,SHB1_00018_B1_P.spu,SHB1_00019_B1_P.spu,SHB1_00020_B1_N.spu,SHB1_00021_B1_N.spu,SHB1_00022_B1_N.spu,SHB1_00023_B1_N.spu,SHB1_00024_B1_N.spu,SHB1_00025_B1_CT2.spu,SHB1_00026_B1_CT2.spu,SHB1_00027_B1_CT2.spu,SHB1_00028_B1_CT2.spu,SHB1_00029_B1_CT2.spu
  (nm),6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 
  time  ,46:53 PM,47:11 PM,47:20 PM,47:37 PM,48:02 PM,05:31 PM,06:13 PM,06:41 PM,07:12 PM,07:54 PM,09:38 PM,09:57 PM,10:17 PM,10:51 PM,11:27 PM,13:17 PM,13:44 PM,14:14 PM,14:38 PM,15:01 PM,16:06 PM,16:44 PM,17:07 PM,17:33 PM,17:59 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 0.034989 , 0.031474 , 0.03604 , 0.028615 , 0.06123 , 0.019235 , 0.002543 , 0 , 0.007685 , 0.00252 , 0.003046 , 0.005668 , 0.008052 , 0.010578 , 0 , 0.019133 , 0.014788 , 0.012058 , 0.00491 , 0.026394 , 0.024428 , 0.009499 , 0.019387 , 0.033938 , 0.038769 
 311 , 0.029173 , 0.028109 , 0.036913 , 0.027134 , 0.055979 , 0.014467 , 0.000297 , 0 , 0.000906 , 0.000291 , 0.00036 , 0.000662 , 0.000938 , 0.00124 , 0 , 0.020083 , 0.002336 , 0.007607 , 0.000577 , 0.021164 , 0.015707 , 0.001112 , 0.014319 , 0.0284 , 0.029237 
 312 , 0.023023 , 0.020817 , 0.025214 , 0.018812 , 0.043549 , 0.009482 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.014064 , 0.000472 , 0.004819 , 0 , 0.014094 , 0.009989 , 0 , 0.009396 , 0.019164 , 0.01926 
 313 , 0.017654 , 0.014076 , 0.013818 , 0.010566 , 0.031716 , 0.005228 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.007873 , 0.000263 , 0.002664 , 0 , 0.007801 , 0.005529 , 0 , 0.005204 , 0.01068 , 0.010666 
 314 , 0.01305 , 0.00836 , 0.004324 , 0.003386 , 0.021492 , 0.001647 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.002512 , 0.000082 , 0.000842 , 0 , 0.002466 , 0.001748 , 0 , 0.001643 , 0.003395 , 0.003372 
 315 , 0.016015 , 0.011447 , 0.00708 , 0.005597 , 0.021204 , 0.006052 , 0.004986 , 0.003507 , 0.004396 , 0.004859 , 0.003296 , 0.003962 , 0.003911 , 0.006781 , 0.002853 , 0.004859 , 0.005551 , 0.004139 , 0.003334 , 0.004059 , 0.0055 , 0.004838 , 0.005445 , 0.005618 , 0.005424 
 316 , 0.024928 , 0.021494 , 0.019574 , 0.015256 , 0.028919 , 0.016675 , 0.01378 , 0.009721 , 0.012022 , 0.013381 , 0.009115 , 0.010915 , 0.010772 , 0.018817 , 0.007884 , 0.013381 , 0.015241 , 0.011321 , 0.009179 , 0.011178 , 0.015143 , 0.013242 , 0.015049 , 0.015421 , 0.014891 
 317 , 0.032082 , 0.02963 , 0.029766 , 0.022881 , 0.034932 , 0.025272 , 0.020958 , 0.014839 , 0.018084 , 0.02028 , 0.013868 , 0.016541 , 0.016323 , 0.028741 , 0.011992 , 0.02028 , 0.023018 , 0.017038 , 0.013913 , 0.016943 , 0.022949 , 0.019929 , 0.022885 , 0.023287 , 0.022493 
 318 , 0.036171 , 0.034792 , 0.035924 , 0.027528 , 0.038279 , 0.030519 , 0.025495 , 0.01794 , 0.021612 , 0.024383 , 0.016722 , 0.019985 , 0.019586 , 0.03513 , 0.014438 , 0.024584 , 0.028126 , 0.020382 , 0.01671 , 0.020466 , 0.027804 , 0.024045 , 0.027773 , 0.028223 , 0.027187 
 319 , 0.025399 , 0.026485 , 0.022324 , 0.019108 , 0.029444 , 0.019924 , 0.017776 , 0.011007 , 0.013308 , 0.015063 , 0.010241 , 0.01338 , 0.011914 , 0.024929 , 0.008795 , 0.017087 , 0.022189 , 0.0126 , 0.010227 , 0.013573 , 0.019103 , 0.016833 , 0.018954 , 0.020289 , 0.018746 
 320 , 0.016817 , 0.019832 , 0.011503 , 0.012332 , 0.022399 , 0.011445 , 0.01166 , 0.005522 , 0.0067 , 0.007687 , 0.00513 , 0.008216 , 0.005926 , 0.016855 , 0.00438 , 0.011176 , 0.017449 , 0.006368 , 0.005117 , 0.008136 , 0.012205 , 0.011083 , 0.01203 , 0.014028 , 0.01202 
 321 , 0.009835 , 0.014387 , 0.002704 , 0.006757 , 0.016658 , 0.004502 , 0.006709 , 0.001091 , 0.001328 , 0.001722 , 0.001012 , 0.004099 , 0.001162 , 0.010327 , 0.000859 , 0.006413 , 0.013587 , 0.001267 , 0.001009 , 0.003761 , 0.00662 , 0.006404 , 0.006484 , 0.008981 , 0.006543 
 322 , 0.009843 , 0.012681 , 0.002373 , 0.00532 , 0.015289 , 0.005388 , 0.005995 , 0.001014 , 0.00154 , 0.002087 , 0.001178 , 0.004872 , 0.001074 , 0.010032 , 0 , 0.005686 , 0.012878 , 0.001456 , 0.001834 , 0.005213 , 0.007106 , 0.007533 , 0.00697 , 0.009843 , 0.006517 
 323 , 0.011815 , 0.012284 , 0.004438 , 0.005269 , 0.015356 , 0.00835 , 0.006576 , 0.002157 , 0.003272 , 0.004144 , 0.002497 , 0.006854 , 0.002271 , 0.011518 , 0 , 0.006182 , 0.013148 , 0.003057 , 0.003916 , 0.008083 , 0.009208 , 0.010067 , 0.009062 , 0.012196 , 0.007999 
 324 , 0.013426 , 0.011964 , 0.006083 , 0.005231 , 0.015428 , 0.010758 , 0.007063 , 0.003075 , 0.004664 , 0.005788 , 0.003549 , 0.00843 , 0.003225 , 0.012732 , 0 , 0.006582 , 0.013356 , 0.004312 , 0.005611 , 0.01042 , 0.010908 , 0.012064 , 0.010772 , 0.014086 , 0.009178 
 325 , 0.015468 , 0.013232 , 0.008801 , 0.006663 , 0.017017 , 0.013291 , 0.008763 , 0.00534 , 0.007161 , 0.008421 , 0.005921 , 0.010632 , 0.005228 , 0.015686 , 0.001679 , 0.008656 , 0.015246 , 0.006584 , 0.007766 , 0.01291 , 0.013077 , 0.014136 , 0.013206 , 0.016672 , 0.011393 
 326 , 0.018301 , 0.016887 , 0.013386 , 0.010327 , 0.02095 , 0.016232 , 0.012302 , 0.009776 , 0.011551 , 0.012773 , 0.010374 , 0.014045 , 0.008979 , 0.021432 , 0.005915 , 0.013368 , 0.019809 , 0.010656 , 0.010799 , 0.015871 , 0.016172 , 0.016621 , 0.016899 , 0.020558 , 0.015389 
 327 , 0.020545 , 0.019848 , 0.017157 , 0.013293 , 0.024199 , 0.018568 , 0.015091 , 0.01339 , 0.015187 , 0.016325 , 0.013893 , 0.016906 , 0.012058 , 0.026111 , 0.009342 , 0.017246 , 0.023639 , 0.014056 , 0.013255 , 0.01827 , 0.018727 , 0.0187 , 0.019866 , 0.023737 , 0.01871 
 328 , 0.022359 , 0.022301 , 0.020322 , 0.015743 , 0.026939 , 0.020461 , 0.017332 , 0.016399 , 0.018266 , 0.019288 , 0.016736 , 0.019361 , 0.014641 , 0.03 , 0.012175 , 0.020504 , 0.026923 , 0.016961 , 0.015289 , 0.020257 , 0.020882 , 0.020474 , 0.022301 , 0.026392 , 0.021529 
 329 , 0.020194 , 0.018894 , 0.017449 , 0.013599 , 0.023711 , 0.019682 , 0.015304 , 0.014254 , 0.01628 , 0.015837 , 0.01369 , 0.017388 , 0.012359 , 0.02648 , 0.010154 , 0.017095 , 0.023711 , 0.013839 , 0.012968 , 0.017589 , 0.018017 , 0.018558 , 0.019658 , 0.022885 , 0.018412 
 330 , 0.018188 , 0.015778 , 0.014816 , 0.011626 , 0.020753 , 0.018922 , 0.013391 , 0.012249 , 0.014419 , 0.012642 , 0.010783 , 0.01554 , 0.010208 , 0.023213 , 0.008236 , 0.013986 , 0.020753 , 0.010984 , 0.010833 , 0.015138 , 0.015411 , 0.01681 , 0.017194 , 0.01969 , 0.015561 
 331 , 0.016448 , 0.01309 , 0.012565 , 0.009936 , 0.018201 , 0.018264 , 0.011719 , 0.01052 , 0.012815 , 0.009862 , 0.008192 , 0.013933 , 0.008323 , 0.02039 , 0.006562 , 0.011326 , 0.018201 , 0.008533 , 0.008991 , 0.013016 , 0.013172 , 0.015306 , 0.015047 , 0.016943 , 0.01311 
 332 , 0.01672 , 0.013519 , 0.012991 , 0.010609 , 0.018587 , 0.018935 , 0.012286 , 0.011188 , 0.013286 , 0.010701 , 0.008886 , 0.01466 , 0.009133 , 0.020885 , 0.007094 , 0.011802 , 0.018463 , 0.008903 , 0.009692 , 0.013786 , 0.013844 , 0.01574 , 0.014848 , 0.01766 , 0.013866 
 333 , 0.018122 , 0.015764 , 0.014957 , 0.012644 , 0.020637 , 0.020314 , 0.0141 , 0.013212 , 0.014925 , 0.013583 , 0.011458 , 0.016696 , 0.01144 , 0.02328 , 0.008893 , 0.014055 , 0.020336 , 0.01087 , 0.011819 , 0.016191 , 0.016125 , 0.017272 , 0.015813 , 0.020378 , 0.016431 
 334 , 0.019287 , 0.017744 , 0.016689 , 0.01445 , 0.022382 , 0.021461 , 0.015616 , 0.014966 , 0.01633 , 0.016047 , 0.013633 , 0.018432 , 0.013384 , 0.025343 , 0.010452 , 0.015997 , 0.021944 , 0.012553 , 0.013639 , 0.018262 , 0.018042 , 0.018602 , 0.016658 , 0.022775 , 0.018641 
 335 , 0.02011 , 0.019036 , 0.017908 , 0.015679 , 0.023664 , 0.02224 , 0.016812 , 0.016237 , 0.01746 , 0.017813 , 0.015354 , 0.019708 , 0.014862 , 0.026954 , 0.011629 , 0.017316 , 0.023091 , 0.013934 , 0.014989 , 0.019732 , 0.019363 , 0.01961 , 0.017397 , 0.0244 , 0.020091 
