NANT_00009_NANT_REF.spu,NANT_00008_NANT_REF.spu,NANT_00007_NANT_REF.spu,NANT_00006_NANT_REF.spu,NANT_00005_NANT_REF.spu,
Wavelength,NANT_00010_B3_CT.spu,NANT_00011_B3_CT.spu,NANT_00012_B3_CT.spu,NANT_00013_B3_CT.spu,NANT_00014_B3_CT.spu,NANT_00015_B3_CT-old.spu,NANT_00016_B3_CT-old.spu,NANT_00017_B3_CT-old.spu,NANT_00018_B3_CT-old.spu,NANT_00019_B3_CT-old.spu,NANT_00020_B3_N.spu,NANT_00021_B3_N.spu,NANT_00022_B3_N.spu,NANT_00023_B3_N.spu,NANT_00024_B3_N.spu,NANT_00025_B3_N-old.spu,NANT_00026_B3_N-old.spu,NANT_00027_B3_N-old.spu,NANT_00028_B3_N-old.spu,NANT_00029_B3_N-old.spu,NANT_00030_B3_NP.spu,NANT_00031_B3_NP.spu,NANT_00032_B3_NP.spu,NANT_00033_B3_NP.spu,NANT_00034_B3_NP.spu,NANT_00035_B3_NP-old.spu,NANT_00036_B3_NP-old.spu,NANT_00037_B3_NP-old.spu,NANT_00038_B3_NP-old.spu,NANT_00039_B3_NP-old.spu,NANT_00040_B3_P.spu,NANT_00041_B3_P.spu,NANT_00042_B3_P.spu,NANT_00043_B3_P.spu,NANT_00044_B3_P.spu,NANT_00045_B3_P-old.spu,NANT_00046_B3_P-old.spu,NANT_00047_B3_P-old.spu,NANT_00048_B3_P-old.spu,NANT_00049_B3_P-old.spu,NANT_00050_B2_P.spu,NANT_00051_B2_P.spu,NANT_00052_B2_P.spu,NANT_00053_B2_P.spu,NANT_00054_B2_P.spu,NANT_00055_B2_NP.spu,NANT_00056_B2_NP.spu,NANT_00057_B2_NP.spu,NANT_00058_B2_NP.spu,NANT_00059_B2_NP.spu,NANT_00060_B2_CT.spu,NANT_00061_B2_CT.spu,NANT_00062_B2_CT.spu,NANT_00063_B2_CT.spu,NANT_00064_B2_CT.spu,NANT_00065_B2_N.spu,NANT_00066_B2_N.spu,NANT_00067_B2_N.spu,NANT_00068_B2_N.spu,NANT_00069_B2_N.spu,NANT_00070_B1_P.spu,NANT_00071_B1_P.spu,NANT_00072_B1_P.spu,NANT_00073_B1_P.spu,NANT_00074_B1_P.spu,NANT_00075_B1_CT.spu,NANT_00076_B1_CT.spu,NANT_00077_B1_CT.spu,NANT_00078_B1_CT.spu,NANT_00079_B1_CT.spu,NANT_00080_B1_NP.spu,NANT_00081_B1_NP.spu,NANT_00082_B1_NP.spu,NANT_00083_B1_NP.spu,NANT_00084_B1_NP.spu,NANT_00085_B1_N.spu,NANT_00086_B1_N.spu,NANT_00087_B1_N.spu,NANT_00088_B1_N.spu,NANT_00089_B1_N.spu
  (nm),6/17/2017 ,6/17/2017 ,6/17/2017 ,6/17/2017 ,6/17/2017 ,6/17/2017 ,6/17/2017 ,6/17/2017 ,6/17/2017 ,6/17/2017 ,6/17/2017 ,6/17/2017 ,6/17/2017 ,6/17/2017 ,6/17/2017 ,6/17/2017 ,6/17/2017 ,6/17/2017 ,6/17/2017 ,6/17/2017 ,6/17/2017 ,6/17/2017 ,6/17/2017 ,6/17/2017 ,6/17/2017 ,6/17/2017 ,6/17/2017 ,6/17/2017 ,6/17/2017 ,6/17/2017 ,6/17/2017 ,6/17/2017 ,6/17/2017 ,6/17/2017 ,6/17/2017 ,6/17/2017 ,6/17/2017 ,6/17/2017 ,6/17/2017 ,6/17/2017 ,6/17/2017 ,6/17/2017 ,6/17/2017 ,6/17/2017 ,6/17/2017 ,6/17/2017 ,6/17/2017 ,6/17/2017 ,6/17/2017 ,6/17/2017 ,6/17/2017 ,6/17/2017 ,6/17/2017 ,6/17/2017 ,6/17/2017 ,6/17/2017 ,6/17/2017 ,6/17/2017 ,6/17/2017 ,6/17/2017 ,6/17/2017 ,6/17/2017 ,6/17/2017 ,6/17/2017 ,6/17/2017 ,6/17/2017 ,6/17/2017 ,6/17/2017 ,6/17/2017 ,6/17/2017 ,6/17/2017 ,6/17/2017 ,6/17/2017 ,6/17/2017 ,6/17/2017 ,6/17/2017 ,6/17/2017 ,6/17/2017 ,6/17/2017 ,6/17/2017 
  time  ,:40:47 A,:41:00 A,:41:14 A,:41:29 A,:41:41 A,:42:02 A,:42:14 A,:42:23 A,:42:32 A,:42:40 A,:43:06 A,:43:15 A,:43:24 A,:43:32 A,:43:41 A,:44:02 A,:44:12 A,:44:22 A,:44:31 A,:44:41 A,:45:06 A,:45:17 A,:45:30 A,:45:43 A,:45:56 A,:46:19 A,:46:29 A,:46:37 A,:46:47 A,:46:56 A,:47:20 A,:47:28 A,:47:37 A,:47:48 A,:47:58 A,:48:20 A,:48:30 A,:48:38 A,:48:48 A,:48:56 A,:51:28 A,:51:38 A,:51:48 A,:51:57 A,:52:08 A,:52:50 A,:53:00 A,:53:11 A,:53:20 A,:53:30 A,:54:31 A,:54:42 A,:54:53 A,:55:03 A,:55:27 A,:55:55 A,:56:07 A,:56:18 A,:56:28 A,:56:39 A,:58:55 A,:59:10 A,:59:24 A,:59:35 A,:59:46 A,:00:31 A,:00:44 A,:00:54 A,:01:03 A,:01:13 A,:01:44 A,:01:56 A,:02:09 A,:02:18 A,:02:29 A,:02:59 A,:03:08 A,:03:17 A,:03:28 A,:03:36 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 0.09108 , 0.106233 , 0.081259 , 0.09264 , 0.094912 , 0.092385 , 0.086415 , 0.113923 , 0.08936 , 0.085615 , 0.119287 , 0.095968 , 0.131287 , 0.113163 , 0.093877 , 0.087672 , 0.079679 , 0.116471 , 0.099981 , 0.104243 , 0.107355 , 0.094831 , 0.085091 , 0.099638 , 0.07775 , 0.093769 , 0.115314 , 0.12527 , 0.107254 , 0.088573 , 0.105917 , 0.091464 , 0.073811 , 0.090771 , 0.090415 , 0.106824 , 0.106757 , 0.11801 , 0.104081 , 0.101574 , 0.108834 , 0.097628 , 0.128268 , 0.103564 , 0.083726 , 0.138352 , 0.124578 , 0.140933 , 0.158169 , 0.133565 , 0.113593 , 0.146136 , 0.106233 , 0.120618 , 0.123502 , 0.140543 , 0.133465 , 0.141733 , 0.150378 , 0.143508 , 0.152778 , 0.149598 , 0.17681 , 0.153625 , 0.145518 , 0.178188 , 0.193441 , 0.178175 , 0.178827 , 0.162666 , 0.179532 , 0.204022 , 0.201777 , 0.206005 , 0.194086 , 0.206711 , 0.159312 , 0.176165 , 0.164219 , 0.176454 
 311 , 0.079473 , 0.110903 , 0.077661 , 0.092258 , 0.092528 , 0.088596 , 0.086097 , 0.113993 , 0.086405 , 0.081272 , 0.117597 , 0.088018 , 0.128146 , 0.110318 , 0.095516 , 0.077237 , 0.075618 , 0.115496 , 0.095207 , 0.09362 , 0.097083 , 0.08762 , 0.081323 , 0.097276 , 0.070909 , 0.081169 , 0.114661 , 0.121683 , 0.104125 , 0.074436 , 0.102833 , 0.089168 , 0.065731 , 0.081034 , 0.081015 , 0.104093 , 0.102891 , 0.106136 , 0.09673 , 0.095304 , 0.103444 , 0.086335 , 0.128378 , 0.100784 , 0.080289 , 0.132657 , 0.117546 , 0.128635 , 0.14859 , 0.119274 , 0.10823 , 0.139666 , 0.103367 , 0.112098 , 0.115297 , 0.135066 , 0.129579 , 0.135149 , 0.144851 , 0.136723 , 0.148468 , 0.142082 , 0.16742 , 0.143874 , 0.14158 , 0.164549 , 0.182878 , 0.170697 , 0.176235 , 0.154025 , 0.169245 , 0.191738 , 0.195644 , 0.192515 , 0.182917 , 0.200302 , 0.150877 , 0.165891 , 0.158715 , 0.167144 
 312 , 0.083186 , 0.10071 , 0.07396 , 0.085346 , 0.080912 , 0.084028 , 0.08217 , 0.102942 , 0.085602 , 0.073889 , 0.108183 , 0.088807 , 0.123267 , 0.104503 , 0.086088 , 0.074311 , 0.072459 , 0.112523 , 0.093319 , 0.084705 , 0.09751 , 0.085572 , 0.082788 , 0.089294 , 0.067484 , 0.081589 , 0.108142 , 0.116239 , 0.094838 , 0.075296 , 0.093378 , 0.086403 , 0.060966 , 0.076406 , 0.07532 , 0.094838 , 0.09247 , 0.097569 , 0.091568 , 0.088908 , 0.102105 , 0.082829 , 0.115728 , 0.091407 , 0.077255 , 0.127108 , 0.110136 , 0.11872 , 0.137414 , 0.111721 , 0.09884 , 0.125678 , 0.095402 , 0.105791 , 0.101582 , 0.121973 , 0.119504 , 0.12094 , 0.1353 , 0.125351 , 0.135514 , 0.130551 , 0.157799 , 0.133496 , 0.133246 , 0.155703 , 0.166318 , 0.155609 , 0.161836 , 0.141373 , 0.15809 , 0.185569 , 0.177122 , 0.176593 , 0.16614 , 0.181342 , 0.14525 , 0.151554 , 0.145956 , 0.155656 
 313 , 0.088262 , 0.090263 , 0.070902 , 0.078804 , 0.070044 , 0.080178 , 0.078435 , 0.092226 , 0.085221 , 0.067322 , 0.099402 , 0.090659 , 0.119077 , 0.099166 , 0.076775 , 0.072865 , 0.06994 , 0.109828 , 0.092149 , 0.07738 , 0.099155 , 0.084495 , 0.08471 , 0.082037 , 0.065024 , 0.08356 , 0.101987 , 0.1115 , 0.086288 , 0.077929 , 0.084682 , 0.084039 , 0.057446 , 0.073178 , 0.071001 , 0.086288 , 0.082774 , 0.090863 , 0.087552 , 0.083439 , 0.101541 , 0.08091 , 0.10356 , 0.08279 , 0.074834 , 0.122596 , 0.103845 , 0.110834 , 0.127941 , 0.106314 , 0.090445 , 0.113232 , 0.088168 , 0.100805 , 0.089351 , 0.109944 , 0.110356 , 0.108047 , 0.126792 , 0.115327 , 0.123636 , 0.120408 , 0.149678 , 0.124752 , 0.125665 , 0.148859 , 0.151735 , 0.141947 , 0.148243 , 0.130262 , 0.1486 , 0.18122 , 0.160181 , 0.162985 , 0.15174 , 0.163827 , 0.140908 , 0.139126 , 0.134441 , 0.145703 
 314 , 0.092401 , 0.081564 , 0.068385 , 0.073377 , 0.061015 , 0.077008 , 0.075355 , 0.083315 , 0.08499 , 0.061863 , 0.092129 , 0.092416 , 0.115605 , 0.094774 , 0.069022 , 0.071698 , 0.067887 , 0.107634 , 0.091173 , 0.071287 , 0.100413 , 0.083541 , 0.086299 , 0.076028 , 0.062987 , 0.085247 , 0.096885 , 0.107588 , 0.079181 , 0.080167 , 0.077471 , 0.082078 , 0.054528 , 0.070496 , 0.067445 , 0.079181 , 0.074672 , 0.085303 , 0.08426 , 0.078929 , 0.101096 , 0.079402 , 0.093454 , 0.075647 , 0.072802 , 0.118908 , 0.098646 , 0.104296 , 0.120089 , 0.101841 , 0.083464 , 0.102945 , 0.082165 , 0.096664 , 0.079155 , 0.099915 , 0.102765 , 0.097352 , 0.119755 , 0.107013 , 0.113761 , 0.111995 , 0.143016 , 0.117505 , 0.119421 , 0.143262 , 0.139616 , 0.130592 , 0.13694 , 0.121039 , 0.140741 , 0.177617 , 0.146144 , 0.151696 , 0.139852 , 0.149251 , 0.137418 , 0.128815 , 0.124881 , 0.137474 
 315 , 0.091438 , 0.077787 , 0.069554 , 0.073114 , 0.060572 , 0.077591 , 0.075383 , 0.080187 , 0.083551 , 0.063295 , 0.08909 , 0.092032 , 0.110847 , 0.093164 , 0.069938 , 0.071711 , 0.069273 , 0.105182 , 0.09221 , 0.071851 , 0.100832 , 0.084964 , 0.087925 , 0.077736 , 0.061952 , 0.083518 , 0.093066 , 0.104036 , 0.077287 , 0.079958 , 0.074896 , 0.080735 , 0.052806 , 0.070476 , 0.066214 , 0.079392 , 0.073371 , 0.084753 , 0.084912 , 0.077469 , 0.099587 , 0.079631 , 0.088823 , 0.077189 , 0.072786 , 0.115586 , 0.094909 , 0.101618 , 0.11342 , 0.101692 , 0.082189 , 0.098268 , 0.078396 , 0.093403 , 0.076197 , 0.098689 , 0.099438 , 0.09294 , 0.113177 , 0.101819 , 0.107479 , 0.106254 , 0.138261 , 0.111774 , 0.112382 , 0.13791 , 0.133082 , 0.125242 , 0.131043 , 0.115909 , 0.132544 , 0.16719 , 0.136165 , 0.14388 , 0.133896 , 0.13879 , 0.132923 , 0.122646 , 0.117448 , 0.130196 
