MAT_00009_MAT_REF.spu,MAT_00008_MAT_REF.spu,MAT_00007_MAT_REF.spu,MAT_00006_MAT_REF.spu,MAT_00005_MAT_REF.spu,
Wavelength,MAT_00010_B2_P.spu,MAT_00011_B2_P.spu,MAT_00012_B2_P.spu,MAT_00013_B2_P.spu,MAT_00014_B2_P.spu,MAT_00015_B2_CT2.spu,MAT_00016_B2_CT2.spu,MAT_00017_B2_CT2.spu,MAT_00018_B2_CT2.spu,MAT_00019_B2_CT2.spu,MAT_00020_B2_CT1.spu,MAT_00021_B2_CT1.spu,MAT_00022_B2_CT1.spu,MAT_00023_B2_CT1.spu,MAT_00024_B2_CT1.spu,MAT_00025_B2_N.spu,MAT_00026_B2_N.spu,MAT_00027_B2_N.spu,MAT_00028_B2_N.spu,MAT_00029_B2_N.spu,MAT_00030_B2_NP.spu,MAT_00031_B2_NP.spu,MAT_00032_B2_NP.spu,MAT_00033_B2_NP.spu,MAT_00034_B2_NP.spu,MAT_00035_B4_N.spu,MAT_00036_B4_N.spu,MAT_00037_B4_N.spu,MAT_00038_B4_N.spu,MAT_00039_B4_N.spu,MAT_00040_B4_P.spu,MAT_00041_B4_P.spu,MAT_00042_B4_P.spu,MAT_00043_B4_P.spu,MAT_00044_B4_P.spu,MAT_00045_B4_CT2.spu,MAT_00046_B4_CT2.spu,MAT_00047_B4_CT2.spu,MAT_00048_B4_CT2.spu,MAT_00049_B4_CT2.spu,MAT_00055_B4_CT1.spu,MAT_00056_B4_CT1.spu,MAT_00057_B4_CT1.spu,MAT_00058_B4_CT1.spu,MAT_00059_B4_CT1.spu,MAT_00060_B4_NP.spu,MAT_00061_B4_NP.spu,MAT_00062_B4_NP.spu,MAT_00063_B4_NP.spu,MAT_00064_B4_NP.spu,MAT_00065_B3_N.spu,MAT_00066_B3_N.spu,MAT_00067_B3_N.spu,MAT_00068_B3_N.spu,MAT_00069_B3_N.spu,MAT_00070_B3_CT2.spu,MAT_00071_B3_CT2.spu,MAT_00072_B3_CT2.spu,MAT_00073_B3_CT2.spu,MAT_00074_B3_CT2.spu,MAT_00075_B3_CT1.spu,MAT_00076_B3_CT1.spu,MAT_00077_B3_CT1.spu,MAT_00078_B3_CT1.spu,MAT_00079_B3_CT1.spu,MAT_00080_B3_NP.spu,MAT_00081_B3_NP.spu,MAT_00082_B3_NP.spu,MAT_00083_B3_NP.spu,MAT_00084_B3_NP.spu,MAT_00085_B3_P.spu,MAT_00086_B3_P.spu,MAT_00087_B3_P.spu,MAT_00088_B3_P.spu,MAT_00089_B3_P.spu,MAT_00090_B1_CT2.spu,MAT_00091_B1_CT2.spu,MAT_00092_B1_CT2.spu,MAT_00093_B1_CT2.spu,MAT_00094_B1_CT2.spu,MAT_00100_B1_NP.spu,MAT_00101_B1_NP.spu,MAT_00102_B1_NP.spu,MAT_00103_B1_NP.spu,MAT_00104_B1_NP.spu,MAT_00105_B1_N.spu,MAT_00106_B1_N.spu,MAT_00107_B1_N.spu,MAT_00108_B1_N.spu,MAT_00109_B1_N.spu,MAT_00110_B1_P.spu,MAT_00111_B1_P.spu,MAT_00112_B1_P.spu,MAT_00113_B1_P.spu,MAT_00114_B1_P.spu
  (nm),6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 
  time  ,50:20 PM,50:40 PM,51:05 PM,51:17 PM,51:26 PM,51:59 PM,52:09 PM,52:18 PM,52:29 PM,52:39 PM,53:46 PM,53:58 PM,54:13 PM,54:26 PM,54:36 PM,56:51 PM,57:04 PM,57:19 PM,57:32 PM,58:06 PM,58:50 PM,59:00 PM,59:21 PM,59:31 PM,59:46 PM,:01:12 P,:01:27 P,:01:40 P,:01:49 P,:01:58 P,:02:24 P,:02:33 P,:02:46 P,:02:55 P,:03:07 P,:03:31 P,:03:39 P,:03:49 P,:04:00 P,:04:09 P,:05:43 P,:05:57 P,:06:11 P,:06:25 P,:06:42 P,:07:59 P,:08:09 P,:08:23 P,:08:38 P,:08:53 P,:10:47 P,:10:58 P,:11:08 P,:11:22 P,:11:33 P,:12:27 P,:12:39 P,:12:48 P,:13:00 P,:13:23 P,:14:03 P,:14:15 P,:14:25 P,:14:37 P,:14:46 P,:15:33 P,:15:47 P,:15:57 P,:16:11 P,:16:23 P,:17:00 P,:17:14 P,:17:27 P,:17:35 P,:17:48 P,:18:59 P,:19:13 P,:19:24 P,:19:36 P,:19:47 P,:21:50 P,:22:03 P,:22:15 P,:22:27 P,:22:38 P,:23:25 P,:23:34 P,:23:46 P,:23:56 P,:24:05 P,:24:37 P,:24:47 P,:24:57 P,:25:06 P,:25:15 P
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 0.026956 , 0.038417 , 0.010078 , 0.022803 , 0.015267 , 0.002896 , 0.036146 , 0.020504 , 0.029401 , 0.038452 , 0.048683 , 0.013044 , 0.00787 , 0.013641 , 0.038118 , 0.005168 , 0.002987 , 0 , 0 , 0 , 0 , 0 , 0.018503 , 0 , 0 , 0 , 0 , 0.005244 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 311 , 0.033919 , 0.049271 , 0.013875 , 0.021707 , 0.014627 , 0.000339 , 0.02413 , 0.027989 , 0.040487 , 0.03696 , 0.050109 , 0.014507 , 0.000932 , 0.01502 , 0.035829 , 0.007094 , 0.000346 , 0 , 0 , 0 , 0 , 0 , 0.015279 , 0 , 0 , 0 , 0 , 0.007174 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 312 , 0.032492 , 0.050663 , 0.013294 , 0.018307 , 0.013442 , 0.008497 , 0.022237 , 0.038786 , 0.029187 , 0.037425 , 0.051901 , 0.015361 , 0.006796 , 0.015887 , 0.036664 , 0.006796 , 0.005168 , 0.008609 , 0 , 0.007006 , 0.008634 , 0.001813 , 0.024199 , 0.00695 , 0.003559 , 0 , 0 , 0.00859 , 0 , 0 , 0 , 0 , 0 , 0 , 0.003614 , 0 , 0 , 0 , 0 , 0.001776 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.003676 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 313 , 0.030149 , 0.050618 , 0.012222 , 0.015063 , 0.012355 , 0.016942 , 0.021944 , 0.048336 , 0.016481 , 0.038096 , 0.053511 , 0.016026 , 0.013467 , 0.016567 , 0.037802 , 0.006247 , 0.010234 , 0.016999 , 0 , 0.01383 , 0.017103 , 0.003613 , 0.033544 , 0.013767 , 0.007117 , 0 , 0 , 0.009727 , 0 , 0 , 0 , 0 , 0 , 0 , 0.007186 , 0 , 0 , 0 , 0 , 0.003555 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.007255 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 314 , 0.028152 , 0.050597 , 0.011312 , 0.012294 , 0.01143 , 0.024178 , 0.021678 , 0.056309 , 0.005604 , 0.038665 , 0.054965 , 0.016598 , 0.019092 , 0.017154 , 0.038853 , 0.005777 , 0.014508 , 0.024022 , 0 , 0.01954 , 0.024248 , 0.005156 , 0.041613 , 0.019513 , 0.010183 , 0 , 0 , 0.01068 , 0 , 0 , 0 , 0 , 0 , 0 , 0.010216 , 0 , 0 , 0 , 0 , 0.005092 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.010248 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 315 , 0.026578 , 0.049452 , 0.011825 , 0.014057 , 0.014037 , 0.024619 , 0.021155 , 0.054298 , 0.004061 , 0.038323 , 0.054905 , 0.018928 , 0.023466 , 0.018043 , 0.039615 , 0.007451 , 0.01864 , 0.024525 , 0 , 0.022681 , 0.025419 , 0.005557 , 0.041678 , 0.02111 , 0.011025 , 0 , 0 , 0.012078 , 0.00078 , 0 , 0.00076 , 0 , 0.00078 , 0.00076 , 0.011025 , 0.002311 , 0 , 0 , 0 , 0.004732 , 0 , 0 , 0 , 0 , 0.002277 , 0 , 0 , 0 , 0.013321 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000765 , 0 , 0 , 0 , 0 , 0.002222 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001536 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
