SHB2_00005_SHB2_REF.spu,SHB2_00004_SHB2_REF.spu,SHB2_00003_SHB2_REF.spu,SHB2_00002_SHB2_REF.spu,
Wavelength,SHB2_00006_B2_NP.spu,SHB2_00007_B2_NP.spu,SHB2_00008_B2_NP.spu,SHB2_00009_B2_NP.spu,SHB2_00010_B2_NP.spu,SHB2_00011_B2_CT1.spu,SHB2_00012_B2_CT1.spu,SHB2_00013_B2_CT1.spu,SHB2_00014_B2_CT1.spu,SHB2_00015_B2_CT1.spu,SHB2_00016_B2_N.spu,SHB2_00017_B2_N.spu,SHB2_00018_B2_N.spu,SHB2_00019_B2_N.spu,SHB2_00020_B2_N.spu,SHB2_00021_B2_P.spu,SHB2_00022_B2_P.spu,SHB2_00023_B2_P.spu,SHB2_00024_B2_P.spu,SHB2_00025_B2_P.spu
  (nm),6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 
  time  ,26:11 AM,26:32 AM,26:46 AM,26:58 AM,27:13 AM,29:20 AM,30:01 AM,30:24 AM,30:46 AM,31:20 AM,32:19 AM,32:33 AM,32:44 AM,33:04 AM,33:17 AM,34:32 AM,34:40 AM,34:49 AM,34:58 AM,35:06 AM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,
 310 , 0.040977 , 0.016438 , 0.016916 , 0.008522 , 0.029951 , 0.016736 , 0 , 0 , 0.01821 , 0.020855 , 0.018578 , 0.006552 , 0.029583 , 0.028447 , 0.026105 , 0.028249 , 0.035411 , 0.063968 , 0.052586 , 0.044187 
 311 , 0.049649 , 0.021765 , 0.022386 , 0.010907 , 0.034085 , 0.02179 , 0 , 0 , 0.019528 , 0.027084 , 0.024692 , 0.008703 , 0.035864 , 0.033587 , 0.0263 , 0.033574 , 0.035158 , 0.061777 , 0.052625 , 0.037546 
 312 , 0.034561 , 0.015274 , 0.015586 , 0.007754 , 0.023377 , 0.015508 , 0 , 0 , 0.013424 , 0.019004 , 0.021319 , 0.006194 , 0.024198 , 0.025592 , 0.022043 , 0.025592 , 0.036418 , 0.05384 , 0.04383 , 0.035051 
 313 , 0.018954 , 0.008369 , 0.008471 , 0.004319 , 0.012705 , 0.008641 , 0 , 0 , 0.007365 , 0.010428 , 0.017361 , 0.003444 , 0.012862 , 0.017242 , 0.017902 , 0.017242 , 0.037738 , 0.046566 , 0.035376 , 0.033466 
 314 , 0.005951 , 0.002628 , 0.002637 , 0.001378 , 0.003956 , 0.002757 , 0 , 0 , 0.002313 , 0.003276 , 0.0141 , 0.001098 , 0.003918 , 0.010279 , 0.014465 , 0.010279 , 0.038947 , 0.040577 , 0.028404 , 0.03214 
 315 , 0.002889 , 0.003112 , 0.003165 , 0 , 0.003192 , 0.00115 , 0 , 0.000974 , 0.000959 , 0 , 0.012747 , 0.000909 , 0.001662 , 0.008293 , 0.010423 , 0.011682 , 0.038708 , 0.035084 , 0.027185 , 0.031545 
