MAT_00009_MAT_REF.spu,MAT_00008_MAT_REF.spu,MAT_00007_MAT_REF.spu,MAT_00006_MAT_REF.spu,MAT_00005_MAT_REF.spu,
Wavelength,WSG1_00005_XXX_XXX.spu,WSG1_00006_XXX_XXX.spu,WSG1_00007_XXX_XXX.spu,WSG1_00008_XXX_XXX.spu,WSG1_00009_XXX_XXX.spu,WSG1_00010_XXX_XXX.spu,WSG1_00011_XXX_XXX.spu,WSG1_00012_XXX_XXX.spu,WSG1_00013_XXX_XXX.spu,WSG1_00014_XXX_XXX.spu,WSG1_00015_XXX_XXX.spu,WSG1_00016_XXX_XXX.spu,WSG1_00017_XXX_XXX.spu,WSG1_00018_XXX_XXX.spu,WSG1_00019_XXX_XXX.spu,WSG1_00020_XXX_XXX.spu,WSG1_00021_XXX_XXX.spu,WSG1_00022_XXX_XXX.spu,WSG1_00023_XXX_XXX.spu,WSG1_00024_XXX_XXX.spu,WSG1_00000_XXX_XXX.spu,WSG1_00001_XXX_XXX.spu,WSG1_00002_XXX_XXX.spu,WSG1_00003_XXX_XXX.spu,WSG1_00004_XXX_XXX.spu
  (nm),6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 ,6/26/2017 
  time  ,:39:12 P,:39:20 P,:39:28 P,:39:37 P,:39:46 P,:40:37 P,:40:47 P,:40:57 P,:41:09 P,:41:18 P,:42:03 P,:42:14 P,:42:28 P,:42:40 P,:42:53 P,:44:24 P,:44:33 P,:44:44 P,:44:51 P,:45:04 P,:36:58 P,:37:10 P,:37:22 P,:37:31 P,:37:39 P
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 311 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 312 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 313 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 314 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 315 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 316 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 317 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 318 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000133 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 319 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001283 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 320 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.002176 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 321 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.002888 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 322 , 0 , 0.003477 , 0 , 0.001183 , 0.002343 , 0.001175 , 0.001214 , 0.001204 , 0 , 0.001227 , 0 , 0 , 0.002328 , 0.000567 , 0.002838 , 0.007444 , 0.001199 , 0 , 0 , 0.005872 , 0.003011 , 0.002923 , 0.002351 , 0.004771 , 0.003547 
 323 , 0 , 0.007328 , 0 , 0.002469 , 0.004921 , 0.002471 , 0.002552 , 0.002538 , 0 , 0.002563 , 0 , 0 , 0.004838 , 0.001199 , 0.005926 , 0.01232 , 0.00251 , 0 , 0 , 0.01229 , 0.006318 , 0.006081 , 0.004949 , 0.01008 , 0.007443 
 324 , 0 , 0.010359 , 0 , 0.003459 , 0.006933 , 0.003482 , 0.003594 , 0.003585 , 0 , 0.0036 , 0 , 0 , 0.006757 , 0.0017 , 0.008305 , 0.01619 , 0.003524 , 0 , 0 , 0.017268 , 0.008898 , 0.008489 , 0.006992 , 0.01429 , 0.010487 
 325 , 0.002742 , 0.013544 , 0.001804 , 0.004051 , 0.009523 , 0.006012 , 0.005369 , 0.005999 , 0.001587 , 0.00579 , 0.001165 , 0.000197 , 0.009235 , 0.004538 , 0.010899 , 0.020407 , 0.00529 , 0.002528 , 0.00058 , 0.020781 , 0.011501 , 0.011209 , 0.009823 , 0.017774 , 0.014063 
 326 , 0.009627 , 0.0174 , 0.006338 , 0.004195 , 0.013309 , 0.011038 , 0.008383 , 0.010668 , 0.005592 , 0.009911 , 0.004143 , 0.000693 , 0.012911 , 0.011031 , 0.014181 , 0.025681 , 0.008388 , 0.008989 , 0.002064 , 0.022825 , 0.014498 , 0.014882 , 0.01416 , 0.020687 , 0.018921 
 327 , 0.015155 , 0.020571 , 0.009973 , 0.004325 , 0.016418 , 0.015162 , 0.010781 , 0.014496 , 0.008827 , 0.013266 , 0.006599 , 0.001096 , 0.01593 , 0.016321 , 0.016817 , 0.030018 , 0.01095 , 0.014317 , 0.003288 , 0.02452 , 0.016895 , 0.018007 , 0.01772 , 0.023038 , 0.022912 
 328 , 0.019684 , 0.023231 , 0.012947 , 0.004444 , 0.019024 , 0.018615 , 0.012727 , 0.017699 , 0.011493 , 0.016051 , 0.008668 , 0.001427 , 0.018465 , 0.020719 , 0.018977 , 0.033658 , 0.013112 , 0.018808 , 0.004322 , 0.025955 , 0.018852 , 0.020718 , 0.020703 , 0.024972 , 0.026259 
 329 , 0.019256 , 0.022382 , 0.011597 , 0.004503 , 0.021002 , 0.017605 , 0.014701 , 0.017049 , 0.008388 , 0.016394 , 0.007985 , 0.002093 , 0.018507 , 0.021038 , 0.021021 , 0.032757 , 0.015091 , 0.018573 , 0.004768 , 0.027877 , 0.018542 , 0.021163 , 0.021415 , 0.025515 , 0.025732 
 330 , 0.018733 , 0.021544 , 0.010315 , 0.004553 , 0.022652 , 0.016602 , 0.016356 , 0.016369 , 0.005585 , 0.016599 , 0.007322 , 0.002683 , 0.018455 , 0.021172 , 0.022733 , 0.031834 , 0.016733 , 0.018217 , 0.00513 , 0.029563 , 0.018198 , 0.021441 , 0.021938 , 0.025904 , 0.025152 
 331 , 0.01829 , 0.020811 , 0.009219 , 0.0046 , 0.024043 , 0.015739 , 0.017746 , 0.015778 , 0.003206 , 0.016764 , 0.006756 , 0.0032 , 0.018399 , 0.021279 , 0.024171 , 0.031021 , 0.018097 , 0.0179 , 0.00544 , 0.031036 , 0.017895 , 0.021635 , 0.022373 , 0.026201 , 0.024641 
 332 , 0.019275 , 0.021745 , 0.010551 , 0.007351 , 0.025094 , 0.016883 , 0.018676 , 0.017405 , 0.004342 , 0.017168 , 0.00785 , 0.005289 , 0.019566 , 0.02186 , 0.025119 , 0.031946 , 0.01956 , 0.018918 , 0.006536 , 0.032072 , 0.019563 , 0.022543 , 0.022878 , 0.027275 , 0.025088 
 333 , 0.021022 , 0.023594 , 0.013207 , 0.011457 , 0.025892 , 0.019133 , 0.019294 , 0.020231 , 0.007449 , 0.01769 , 0.009847 , 0.008213 , 0.021407 , 0.022699 , 0.025738 , 0.033835 , 0.021009 , 0.020639 , 0.008013 , 0.032782 , 0.022304 , 0.023818 , 0.023404 , 0.028736 , 0.026052 
 334 , 0.02251 , 0.025199 , 0.015497 , 0.014926 , 0.026573 , 0.021086 , 0.019823 , 0.022684 , 0.010146 , 0.018143 , 0.011583 , 0.010782 , 0.023036 , 0.023451 , 0.026269 , 0.035495 , 0.022255 , 0.022106 , 0.009268 , 0.033358 , 0.024702 , 0.024926 , 0.02387 , 0.029989 , 0.026867 
 335 , 0.023475 , 0.02613 , 0.017145 , 0.016757 , 0.026998 , 0.022365 , 0.020105 , 0.024252 , 0.01212 , 0.018495 , 0.012759 , 0.012631 , 0.024128 , 0.023992 , 0.026592 , 0.036593 , 0.02307 , 0.023155 , 0.010296 , 0.033476 , 0.026069 , 0.025592 , 0.02407 , 0.030768 , 0.027385 
 336 , 0.023163 , 0.025205 , 0.017286 , 0.014139 , 0.026741 , 0.021904 , 0.019706 , 0.023493 , 0.012396 , 0.018656 , 0.012514 , 0.012666 , 0.023766 , 0.024018 , 0.026361 , 0.036221 , 0.022777 , 0.023262 , 0.010985 , 0.032217 , 0.024522 , 0.02505 , 0.023495 , 0.030299 , 0.027171 
 337 , 0.022878 , 0.024401 , 0.01741 , 0.011889 , 0.026529 , 0.021494 , 0.019357 , 0.02283 , 0.012631 , 0.01878 , 0.012302 , 0.012693 , 0.023457 , 0.024013 , 0.026163 , 0.035881 , 0.022527 , 0.02335 , 0.011594 , 0.031134 , 0.023189 , 0.024581 , 0.022986 , 0.029892 , 0.026985 
 338 , 0.022615 , 0.023697 , 0.017521 , 0.009934 , 0.026351 , 0.021127 , 0.01905 , 0.022248 , 0.012833 , 0.018874 , 0.012116 , 0.012714 , 0.02319 , 0.023985 , 0.02599 , 0.035568 , 0.022311 , 0.023424 , 0.012137 , 0.030192 , 0.02203 , 0.024171 , 0.022531 , 0.029535 , 0.026819 
 339 , 0.023537 , 0.024592 , 0.017559 , 0.011177 , 0.026699 , 0.020996 , 0.019754 , 0.022415 , 0.012977 , 0.019905 , 0.012563 , 0.012868 , 0.023499 , 0.024265 , 0.026445 , 0.035871 , 0.022986 , 0.023381 , 0.012554 , 0.031151 , 0.022506 , 0.024525 , 0.023211 , 0.029731 , 0.027516 
 340 , 0.024549 , 0.025673 , 0.017578 , 0.012794 , 0.027086 , 0.020912 , 0.02056 , 0.022687 , 0.013091 , 0.020967 , 0.013061 , 0.013019 , 0.023854 , 0.024562 , 0.026965 , 0.036248 , 0.023715 , 0.023318 , 0.012896 , 0.032307 , 0.023208 , 0.024965 , 0.024003 , 0.029995 , 0.028277 
 341 , 0.025431 , 0.026644 , 0.017588 , 0.014187 , 0.027404 , 0.020831 , 0.021277 , 0.022927 , 0.013182 , 0.021883 , 0.01349 , 0.013142 , 0.024143 , 0.024826 , 0.027433 , 0.03659 , 0.024326 , 0.023256 , 0.013186 , 0.033301 , 0.023832 , 0.025346 , 0.024699 , 0.030221 , 0.028938 
 342 , 0.026325 , 0.027393 , 0.01812 , 0.014983 , 0.027578 , 0.021046 , 0.021338 , 0.023434 , 0.013492 , 0.022192 , 0.014188 , 0.013531 , 0.024896 , 0.025321 , 0.02771 , 0.036835 , 0.024676 , 0.02369 , 0.013717 , 0.033886 , 0.024304 , 0.025981 , 0.025169 , 0.03063 , 0.029572 
 343 , 0.027245 , 0.027913 , 0.01918 , 0.015199 , 0.027614 , 0.021561 , 0.020733 , 0.024199 , 0.014027 , 0.021898 , 0.015156 , 0.014189 , 0.02613 , 0.026038 , 0.027779 , 0.036976 , 0.02478 , 0.024633 , 0.0145 , 0.034078 , 0.024613 , 0.026878 , 0.025405 , 0.031226 , 0.030172 
 344 , 0.02806 , 0.028365 , 0.0201 , 0.015376 , 0.027636 , 0.022018 , 0.020201 , 0.024845 , 0.014497 , 0.021629 , 0.015985 , 0.014754 , 0.027212 , 0.026643 , 0.027806 , 0.037085 , 0.024868 , 0.025467 , 0.01518 , 0.034248 , 0.024861 , 0.027662 , 0.02559 , 0.031746 , 0.030673 
 345 , 0.028707 , 0.02874 , 0.020865 , 0.015487 , 0.02767 , 0.022407 , 0.019765 , 0.025352 , 0.014832 , 0.021428 , 0.016671 , 0.015179 , 0.028124 , 0.027122 , 0.027854 , 0.037199 , 0.024951 , 0.026161 , 0.015739 , 0.034401 , 0.025062 , 0.028319 , 0.025758 , 0.032189 , 0.031049 
