WSG23_00004_XXX_XXX.spu,WSG23_00003_XXX_XXX.spu,WSG23_00002_XXX_XXX.spu,
Wavelength,WSG23_00044_XXX_XXX.spu,WSG23_00043_XXX_XXX.spu,WSG23_00042_XXX_XXX.spu,WSG23_00041_XXX_XXX.spu,WSG23_00040_XXX_XXX.spu,WSG23_00039_XXX_XXX.spu,WSG23_00038_XXX_XXX.spu,WSG23_00037_XXX_XXX.spu,WSG23_00036_XXX_XXX.spu,WSG23_00035_XXX_XXX.spu,WSG23_00034_XXX_XXX.spu,WSG23_00033_XXX_XXX.spu,WSG23_00032_XXX_XXX.spu,WSG23_00031_XXX_XXX.spu,WSG23_00030_XXX_XXX.spu,WSG23_00029_XXX_XXX.spu,WSG23_00028_XXX_XXX.spu,WSG23_00027_XXX_XXX.spu,WSG23_00026_XXX_XXX.spu,WSG23_00025_XXX_XXX.spu,WSG23_00024_XXX_XXX.spu,WSG23_00023_XXX_XXX.spu,WSG23_00022_XXX_XXX.spu,WSG23_00021_XXX_XXX.spu,WSG23_00020_XXX_XXX.spu,WSG23_00019_XXX_XXX.spu,WSG23_00018_XXX_XXX.spu,WSG23_00017_XXX_XXX.spu,WSG23_00016_XXX_XXX.spu,WSG23_00015_XXX_XXX.spu,WSG23_00014_XXX_XXX.spu,WSG23_00013_XXX_XXX.spu,WSG23_00012_XXX_XXX.spu,WSG23_00011_XXX_XXX.spu,WSG23_00010_XXX_XXX.spu,WSG23_00009_XXX_XXX.spu,WSG23_00008_XXX_XXX.spu,WSG23_00007_XXX_XXX.spu,WSG23_00006_XXX_XXX.spu,WSG23_00005_XXX_XXX.spu
  (nm),6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 
  time  ,30:50 AM,30:41 AM,30:32 AM,30:22 AM,30:13 AM,29:31 AM,29:21 AM,29:09 AM,29:00 AM,28:53 AM,27:52 AM,27:43 AM,27:33 AM,27:24 AM,27:16 AM,26:53 AM,26:41 AM,26:30 AM,26:21 AM,26:12 AM,24:24 AM,24:14 AM,24:04 AM,23:49 AM,23:42 AM,22:52 AM,22:44 AM,22:33 AM,22:24 AM,22:13 AM,21:06 AM,20:56 AM,20:46 AM,20:34 AM,20:19 AM,19:08 AM,18:56 AM,18:41 AM,18:29 AM,18:10 AM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 0.072053 , 0.074019 , 0.071869 , 0.074675 , 0.076648 , 0.035617 , 0.034095 , 0.047382 , 0.060112 , 0.066174 , 0.05159 , 0.078192 , 0.036351 , 0.053204 , 0.045937 , 0.074061 , 0.075471 , 0.068429 , 0.05897 , 0.082041 , 0.094693 , 0.091077 , 0.089287 , 0.068331 , 0.089371 , 0.04772 , 0.09229 , 0.055678 , 0.056982 , 0.060415 , 0.087807 , 0.084275 , 0.08897 , 0.080137 , 0.076874 , 0.071848 , 0.060725 , 0.056834 , 0.072962 , 0.073096 
 311 , 0.068071 , 0.068999 , 0.068158 , 0.071929 , 0.070232 , 0.031554 , 0.031825 , 0.037644 , 0.049667 , 0.055042 , 0.050654 , 0.077827 , 0.036485 , 0.055274 , 0.037108 , 0.060662 , 0.07507 , 0.06778 , 0.05809 , 0.075832 , 0.092706 , 0.092679 , 0.082917 , 0.065964 , 0.091347 , 0.038692 , 0.102442 , 0.056917 , 0.055671 , 0.056805 , 0.076535 , 0.085601 , 0.091321 , 0.074719 , 0.066156 , 0.06992 , 0.059012 , 0.058587 , 0.070994 , 0.06206 
 312 , 0.060672 , 0.060491 , 0.062644 , 0.066347 , 0.061185 , 0.028246 , 0.032154 , 0.033161 , 0.045234 , 0.050324 , 0.043208 , 0.06865 , 0.034705 , 0.048056 , 0.041242 , 0.059219 , 0.059436 , 0.05665 , 0.054587 , 0.066208 , 0.084607 , 0.082991 , 0.072697 , 0.059834 , 0.077141 , 0.040343 , 0.083919 , 0.05402 , 0.050378 , 0.051289 , 0.068385 , 0.072763 , 0.078763 , 0.064296 , 0.062566 , 0.060624 , 0.051295 , 0.054002 , 0.057609 , 0.055432 
 313 , 0.054083 , 0.05297 , 0.057832 , 0.061337 , 0.053312 , 0.025581 , 0.032747 , 0.03004 , 0.042348 , 0.047193 , 0.036385 , 0.059937 , 0.033006 , 0.040993 , 0.046405 , 0.059447 , 0.044641 , 0.046267 , 0.051377 , 0.057721 , 0.077013 , 0.073458 , 0.06368 , 0.054238 , 0.063371 , 0.043015 , 0.064903 , 0.051063 , 0.045485 , 0.046488 , 0.061988 , 0.060604 , 0.066601 , 0.05518 , 0.060461 , 0.052066 , 0.044085 , 0.04936 , 0.045038 , 0.05044 
 314 , 0.048659 , 0.046782 , 0.053889 , 0.057241 , 0.046818 , 0.023394 , 0.033252 , 0.027473 , 0.039971 , 0.044636 , 0.030871 , 0.052775 , 0.031583 , 0.03521 , 0.050867 , 0.05957 , 0.032545 , 0.037784 , 0.048736 , 0.05073 , 0.070782 , 0.065598 , 0.056254 , 0.049641 , 0.052052 , 0.045221 , 0.049183 , 0.048644 , 0.041472 , 0.04255 , 0.056732 , 0.050699 , 0.056651 , 0.047764 , 0.058701 , 0.045068 , 0.038145 , 0.045552 , 0.034656 , 0.04634 
 315 , 0.044461 , 0.04251 , 0.049265 , 0.052814 , 0.04311 , 0.021445 , 0.030714 , 0.024577 , 0.037166 , 0.03984 , 0.027687 , 0.047007 , 0.028158 , 0.027957 , 0.046654 , 0.055149 , 0.026107 , 0.033457 , 0.042808 , 0.04452 , 0.064363 , 0.061207 , 0.050496 , 0.044424 , 0.045606 , 0.043376 , 0.040898 , 0.04452 , 0.038888 , 0.037825 , 0.050103 , 0.043224 , 0.050579 , 0.042831 , 0.054458 , 0.039341 , 0.034908 , 0.038883 , 0.027861 , 0.039373 
